root,geom,btag,horizon,scheme,model,n,ic_pearson_log,ic_spearman,lam_E2,lam_E4,ic_corrected_E2,ic_corrected_E4,r2_oos,r2_corrected_E2,r2_corrected_E4,ic_ir,ic_ir_n_blocks,ic_ir_block_len_windows,hit_rate,qlike_mean
ES,RTH,B0,1h,S-A,M6_GK,10906,0.7852960535732673,0.7724779495863364,0.9308850207198344,0.9763634147783378,0.8139268849816783,0.7947447471460307,0.45620538984556624,0.49007705537338214,0.46724957422655766,3.262411035307521,173,63,0.48592388812471343,0.6847061172305577
ES,RTH,B0,1h,S-B_q0.80,M1_EWMA,2181,0.543367681986931,0.46451598664831595,0.9308850207198344,0.9763634147783378,0.5631781323577929,0.549905489863433,-0.5169814551714755,-0.5553655324389088,-0.5294969550747096,1.0743264800966246,34,63,0.47155963302752296,0.6372234477302269
ES,RTH,B0,1h,S-B_q0.80,M2_HAR,2181,0.6197693836316621,0.5118827383030349,0.9308850207198344,0.9763634147783378,0.6423653366535977,0.627226457896928,-0.21048321479111642,-0.22611086235801073,-0.21557876053651814,1.5055633242126583,34,63,0.44357798165137613,0.46995937999736803
ES,RTH,B0,1h,S-B_q0.80,M3_HARJ,2181,0.2869410623070045,0.35331711190905357,0.9308850207198344,0.9763634147783378,0.2974025451346343,0.29039354135467765,-0.838893197048822,-0.9011781029628375,-0.859201793462606,1.110770360540983,34,63,0.41834862385321103,0.9811996276836649
ES,RTH,B0,1h,S-B_q0.80,M4_HARQ,2181,0.2705617990301907,0.3396625927084343,0.9308850207198344,0.9763634147783378,0.2804261160840482,0.2738172025431709,-0.8992475043075674,-0.966013507889726,-0.9210172059875084,1.1129452781532845,34,63,0.4279816513761468,1.025216924350301
ES,RTH,B0,1h,S-B_q0.80,M5_RGARCH,2181,0.5266604897131514,0.4664010988118055,0.9308850207198344,0.9763634147783378,0.5458618184627828,0.532997276408485,-2.4366956618255458,-2.6176118506464943,-2.49568513623459,1.2675193974093875,34,63,0.44220183486238535,1.794193365293578
ES,RTH,B0,1h,S-B_q0.80,M6_PARK,2181,0.5016948432808617,0.4428324629182828,0.9308850207198344,0.9763634147783378,0.5199859583464277,0.5077312429541145,-1.5875937288954138,-1.7054670486240717,-1.626027465660256,1.3789480358894572,34,63,0.4706422018348624,1.3637449155002124
ES,RTH,B0,1h,S-B_q0.80,M6_GK,2181,0.5130703843539086,0.4536879916864106,0.9308850207198344,0.9763634147783378,0.5317762362530037,0.5192436547033027,-1.4078844194968374,-1.5124149472382198,-1.4419676097925762,1.450803702633132,34,63,0.463302752293578,1.2361879156051407
ES,RTH,B0,1h,S-C_q0.80,M1_EWMA,2181,0.5262557206684304,0.4207872018766765,0.9308850207198344,0.9763634147783378,0.5454422920864466,0.5325876371767131,0.22563353086524784,0.24238603677473514,0.23109584756048349,0.7747138878817996,34,63,0.501834862385321,0.3334903362305244
ES,RTH,B0,1h,S-C_q0.80,M2_HAR,2181,0.6941393559320396,0.6052300623337609,0.9308850207198344,0.9763634147783378,0.7194467375025991,0.7024912507889585,0.45007519723944966,0.4834917172600067,0.46097097702255624,3.431640805241725,34,63,0.5266055045871559,0.21077621746782266
ES,RTH,B0,1h,S-C_q0.80,M3_HARJ,2181,0.3245151939222252,0.3576653362452151,0.9308850207198344,0.9763634147783378,0.33634657874120955,0.3284197654696371,0.07848103512025628,0.08430797936738578,0.08038096668961496,1.427841363059878,34,63,0.5091743119266054,0.7172443026787199
ES,RTH,B0,1h,S-C_q0.80,M4_HARQ,2181,0.3416326510692906,0.38712725351829425,0.9308850207198344,0.9763634147783378,0.35408811521159295,0.34574318011081134,0.0792488721732788,0.08513282565444792,0.08116739215517467,1.507482488175544,34,63,0.5082568807339449,0.7303223177739938
ES,RTH,B0,1h,S-C_q0.80,M5_RGARCH,2181,0.6765625368917754,0.6016890833175282,0.9308850207198344,0.9763634147783378,0.7012290914260241,0.684702947205585,0.04936681406571897,0.05303212853027178,0.05056192532257739,3.9885669575580462,34,63,0.5146788990825688,0.632229739961945
ES,RTH,B0,1h,S-C_q0.80,M6_PARK,2181,0.6360661633418466,0.5756294895782145,0.9308850207198344,0.9763634147783378,0.6592562748983365,0.6437193206983285,0.19306958232171123,0.20740432816548543,0.197743564946607,3.4246539219582677,34,63,0.544954128440367,0.3927762516792021
ES,RTH,B0,1h,S-C_q0.80,M6_GK,2181,0.646885740605599,0.5871309569736723,0.9308850207198344,0.9763634147783378,0.6704703193074911,0.6546690792735581,0.24149107843559992,0.25942095216964584,0.2473372873054909,3.568694803466886,34,63,0.5371559633027523,0.3679830502282919
ES,RTH,B0,1h,S-B_q0.90,M1_EWMA,1091,0.5236841918460924,0.4414889107730453,0.9308850207198344,0.9763634147783378,0.5427770088031773,0.5299851676820704,-1.203804751730205,-1.2931830730279958,-1.2329474184604745,0.8693436351676732,17,63,0.47522935779816516,0.882588341032201
ES,RTH,B0,1h,S-B_q0.90,M2_HAR,1091,0.6067136201564081,0.4676867133404777,0.9308850207198344,0.9763634147783378,0.6288335777097974,0.6140136072850777,-0.8499861663260979,-0.913094686676579,-0.8705633101984561,1.4029500720256474,17,63,0.45321100917431195,0.6704482463859961
ES,RTH,B0,1h,S-B_q0.90,M3_HARJ,1091,0.04288025915996685,0.10972927469222157,0.9308850207198344,0.9763634147783378,0.0444436153810655,0.043396195063731595,-2.307303547049837,-2.478612820803203,-2.363160593818092,0.5235560700117564,17,63,0.41284403669724773,1.6882814824109609
ES,RTH,B0,1h,S-B_q0.90,M4_HARQ,1091,0.023496381238479466,0.0985364580027265,0.9308850207198344,0.9763634147783378,0.02435302750186718,0.02377909004031417,-2.358891452251842,-2.5340309487714814,-2.415997380224839,0.4753104919397948,17,63,0.42477064220183486,1.7505441772484398
ES,RTH,B0,1h,S-B_q0.90,M5_RGARCH,1091,0.5004808185184698,0.4299278509732684,0.9308850207198344,0.9763634147783378,0.5187276718840828,0.506502611028071,-4.018125045338404,-4.316456872655733,-4.11539902511672,1.1474016487684415,17,63,0.44954128440366975,2.3989298117779603
