root,geom,btag,horizon,M,estimator,lam,var_log_rv,in_unit,n_windows,mean_eff_M,share_full_M
ES,GLOBEX,B0,1day,1379,E4,0.9980157499857758,1.0427598409404542,True,1953,1354.31592421915,0.2452636968766001
ES,GLOBEX,B1,1day,5,E2,2.0493845617704625,2.021453252424886,False,1953,4.998463901689708,0.9984639016897081
ES,GLOBEX,B1,1day,5,E4,0.9993262128653456,2.021453252424886,True,1953,4.998463901689708,0.9984639016897081
ES,GLOBEX,B1,1day,6,E2,0.6274606709083689,2.06148843232169,True,1953,5.972350230414746,0.9733742959549411
ES,GLOBEX,B1,1day,6,E4,0.8842474089043504,2.06148843232169,True,1953,5.972350230414746,0.9733742959549411
ES,GLOBEX,B1,1day,10,E2,0.696094840257528,1.7337375378018842,True,1953,9.96979006656426,0.9728622631848438
ES,GLOBEX,B1,1day,10,E4,0.8930909620446065,1.7337375378018842,True,1953,9.96979006656426,0.9728622631848438
ES,GLOBEX,B1,1day,12,E2,0.7227954156858353,1.7119664871143385,True,1953,11.943164362519202,0.9723502304147466
ES,GLOBEX,B1,1day,12,E4,0.9053333134071908,1.7119664871143385,True,1953,11.943164362519202,0.9723502304147466
ES,GLOBEX,B1,1day,23,E2,0.784598247038028,1.530006551420828,True,1953,22.8868407578085,0.9723502304147466
ES,GLOBEX,B1,1day,23,E4,0.9333692850930547,1.530006551420828,True,1953,22.8868407578085,0.9723502304147466
ES,GLOBEX,B1,1day,46,E2,0.822794504503243,1.430677643039211,True,1953,45.77009728622632,0.9713261648745519
ES,GLOBEX,B1,1day,46,E4,0.9600752347046897,1.430677643039211,True,1953,45.77009728622632,0.9713261648745519
ES,GLOBEX,B1,1day,138,E2,0.8562155472508735,1.3219603553399315,True,1953,136.63184843830004,0.3061955965181772
ES,GLOBEX,B1,1day,138,E4,0.9852879078034243,1.3219603553399315,True,1953,136.63184843830004,0.3061955965181772
ES,GLOBEX,B1,1day,345,E2,0.8602182110962887,1.2268561181217221,True,1953,341.10240655401947,0.30568356374807987
ES,GLOBEX,B1,1day,345,E4,0.9933993540437049,1.2268561181217221,True,1953,341.10240655401947,0.30568356374807987
ES,GLOBEX,B1,1day,1379,E2,0.8444522596248096,1.0459528873508332,True,1953,1354.31592421915,0.2452636968766001
ES,GLOBEX,B1,1day,1379,E4,0.9980312144245638,1.0459528873508332,True,1953,1354.31592421915,0.2452636968766001
NQ,GLOBEX,B0,1day,5,E2,0.5535288524982818,1.9033052380942905,True,1948,4.998459958932238,0.9984599589322382
NQ,GLOBEX,B0,1day,5,E4,0.869045314894022,1.9033052380942905,True,1948,4.998459958932238,0.9984599589322382
NQ,GLOBEX,B0,1day,6,E2,0.6077687263702316,1.9081326509446483,True,1948,5.974845995893224,0.9758726899383984
NQ,GLOBEX,B0,1day,6,E4,0.8701127514156439,1.9081326509446483,True,1948,5.974845995893224,0.9758726899383984
NQ,GLOBEX,B0,1day,10,E2,0.6670736266007047,1.545522232657709,True,1948,9.972279260780287,0.9753593429158111
NQ,GLOBEX,B0,1day,10,E4,0.8821543875195063,1.545522232657709,True,1948,9.972279260780287,0.9753593429158111
NQ,GLOBEX,B0,1day,12,E2,0.6869874006189076,1.5747856372177935,True,1948,11.948151950718685,0.9748459958932238
NQ,GLOBEX,B0,1day,12,E4,0.8952211681806878,1.5747856372177935,True,1948,11.948151950718685,0.9748459958932238
NQ,GLOBEX,B0,1day,23,E2,0.7752883729253708,1.3674167020406913,True,1948,22.89681724845996,0.9748459958932238
NQ,GLOBEX,B0,1day,23,E4,0.9219503963504976,1.3674167020406913,True,1948,22.89681724845996,0.9748459958932238
NQ,GLOBEX,B0,1day,46,E2,0.8197375814676046,1.2827948496947734,True,1948,45.78901437371663,0.9738193018480493
NQ,GLOBEX,B0,1day,46,E4,0.9550978070764585,1.2827948496947734,True,1948,45.78901437371663,0.9738193018480493
NQ,GLOBEX,B0,1day,138,E2,0.8615536992343096,1.1919437612890649,True,1948,136.66273100616016,0.3069815195071869
NQ,GLOBEX,B0,1day,138,E4,0.9828423509087283,1.1919437612890649,True,1948,136.66273100616016,0.3069815195071869
NQ,GLOBEX,B0,1day,345,E2,0.8734467693196297,1.1347262392668884,True,1948,340.5805954825462,0.3069815195071869
NQ,GLOBEX,B0,1day,345,E4,0.9925082242494988,1.1347262392668884,True,1948,340.5805954825462,0.3069815195071869
NQ,GLOBEX,B0,1day,1379,E2,0.8763327212359883,1.075925634987752,True,1948,1343.0764887063656,0.28234086242299794
NQ,GLOBEX,B0,1day,1379,E4,0.9979673357818636,1.075925634987752,True,1948,1343.0764887063656,0.28234086242299794
NQ,GLOBEX,B1,1day,5,E2,0.6527925461262137,1.8991008419126125,True,1948,4.998459958932238,0.9984599589322382
NQ,GLOBEX,B1,1day,5,E4,0.8659499676354974,1.8991008419126125,True,1948,4.998459958932238,0.9984599589322382
NQ,GLOBEX,B1,1day,6,E2,0.6063568282572466,1.9039392747940975,True,1948,5.974845995893224,0.9758726899383984
NQ,GLOBEX,B1,1day,6,E4,0.8740671783609844,1.9039392747940975,True,1948,5.974845995893224,0.9758726899383984
NQ,GLOBEX,B1,1day,10,E2,0.6606312081826432,1.5798749970908172,True,1948,9.972279260780287,0.9753593429158111
NQ,GLOBEX,B1,1day,10,E4,0.884945620905556,1.5798749970908172,True,1948,9.972279260780287,0.9753593429158111
NQ,GLOBEX,B1,1day,12,E2,0.689134299389476,1.5801256324675943,True,1948,11.948151950718685,0.9748459958932238
NQ,GLOBEX,B1,1day,12,E4,0.8961948646798223,1.5801256324675943,True,1948,11.948151950718685,0.9748459958932238
NQ,GLOBEX,B1,1day,23,E2,0.7743826606526728,1.3807825107917022,True,1948,22.89681724845996,0.9748459958932238
NQ,GLOBEX,B1,1day,23,E4,0.9232180948851549,1.3807825107917022,True,1948,22.89681724845996,0.9748459958932238
NQ,GLOBEX,B1,1day,46,E2,0.8204231955649284,1.28983345521619,True,1948,45.78901437371663,0.9738193018480493
NQ,GLOBEX,B1,1day,46,E4,0.9555756498550634,1.28983345521619,True,1948,45.78901437371663,0.9738193018480493
NQ,GLOBEX,B1,1day,138,E2,0.8612766618201638,1.2004166153239344,True,1948,136.66273100616016,0.3069815195071869
NQ,GLOBEX,B1,1day,138,E4,0.9830672187707488,1.2004166153239344,True,1948,136.66273100616016,0.3069815195071869
NQ,GLOBEX,B1,1day,345,E2,0.8725997293902825,1.1390727218053731,True,1948,340.5805954825462,0.3069815195071869
NQ,GLOBEX,B1,1day,345,E4,0.9925995703183076,1.1390727218053731,True,1948,340.5805954825462,0.3069815195071869
NQ,GLOBEX,B1,1day,1379,E2,0.874551540212329,1.080749982400513,True,1948,1343.0764887063656,0.28234086242299794
NQ,GLOBEX,B1,1day,1379,E4,0.9979877899103251,1.080749982400513,True,1948,1343.0764887063656,0.28234086242299794
ES,RTH,B0,1day,5,E2,0.6674569053956986,1.9488508622192238,True,1901,5.0,1.0
ES,RTH,B0,1day,5,E4,0.9987898809130052,1.9488508622192238,True,1901,5.0,1.0
ES,RTH,B0,1day,6,E2,0.7070567530122667,1.8260915595278078,True,1901,6.0,1.0
ES,RTH,B0,1day,6,E4,0.8762862664573361,1.8260915595278078,True,1901,6.0,1.0
ES,RTH,B0,1day,10,E2,0.7964025744051493,1.6040631157317915,True,1901,10.0,1.0
ES,RTH,B0,1day,10,E4,0.900682313272714,1.6040631157317915,True,1901,10.0,1.0
ES,RTH,B0,1day,13,E2,0.8100563833884549,1.5283148259668886,True,1901,13.0,1.0
ES,RTH,B0,1day,13,E4,0.9118447260631064,1.5283148259668886,True,1901,13.0,1.0
ES,RTH,B0,1day,26,E2,0.8618667460988569,1.3813160554355983,True,1901,26.0,1.0
ES,RTH,B0,1day,26,E4,0.9466743434530042,1.3813160554355983,True,1901,26.0,1.0
ES,RTH,B0,1day,78,E2,0.9005703779751143,1.2879430297423513,True,1901,77.99684376643872,0.9984218832193582
ES,RTH,B0,1day,78,E4,0.9794354879174912,1.2879430297423513,True,1901,77.99684376643872,0.9984218832193582
ES,RTH,B0,1day,195,E2,0.9102063914659567,1.1822887198092387,True,1901,194.98947922146237,0.9984218832193582
ES,RTH,B0,1day,195,E4,0.9905107079928765,1.1822887198092387,True,1901,194.98947922146237,0.9984218832193582
ES,RTH,B0,1day,389,E2,0.911645734847303,1.090467395405732,True,1901,388.977906365071,0.9984218832193582
ES,RTH,B0,1day,389,E4,0.9948453111439494,1.090467395405732,True,1901,388.977906365071,0.9984218832193582
ES,RTH,B0,1h,4,E2,2.000991535379179,2.290181392006856,False,11406,4.0,1.0
ES,RTH,B0,1h,4,E4,0.9998813037596884,2.290181392006856,True,11406,4.0,1.0
ES,RTH,B0,1h,5,E2,1.9991876077661606,2.1377636090752703,False,11406,5.0,1.0
ES,RTH,B0,1h,5,E4,0.9998205898237407,2.1377636090752703,True,11406,5.0,1.0
ES,RTH,B0,1h,6,E2,1.2884060231509873,2.0478772170965818,False,11406,5.99982465369104,0.9998246536910398
ES,RTH,B0,1h,6,E4,0.999554905249429,2.0478772170965818,True,11406,5.99982465369104,0.9998246536910398
ES,RTH,B0,1h,10,E2,0.8498677406524652,1.8316367808086953,True,11406,9.9995616342276,0.9997369805365597
ES,RTH,B0,1h,10,E4,0.9986220945339904,1.8316367808086953,True,11406,9.9995616342276,0.9997369805365597
ES,RTH,B0,1h,12,E2,0.8645618737558912,1.7888184172749784,True,11406,11.99947396107312,0.9997369805365597
ES,RTH,B0,1h,12,E4,0.9227328542443578,1.7888184172749784,True,11406,11.99947396107312,0.9997369805365597
ES,RTH,B0,1h,15,E2,0.8708449936254052,1.7090042676361088,True,11406,14.99929861476416,0.9997369805365597
ES,RTH,B0,1h,15,E4,0.9318398191664921,1.7090042676361088,True,11406,14.99929861476416,0.9997369805365597
ES,RTH,B0,1h,20,E2,0.8987169951203806,1.6451706106667912,True,11406,19.99894792214624,0.9997369805365597
ES,RTH,B0,1h,20,E4,0.9451846419725217,1.6451706106667912,True,11406,19.99894792214624,0.9997369805365597
ES,RTH,B0,1h,30,E2,0.9137200319415585,1.5483130471458506,True,11406,29.99833421006488,0.9997369805365597
ES,RTH,B0,1h,30,E4,0.9594569844266996,1.5483130471458506,True,11406,29.99833421006488,0.9997369805365597
ES,RTH,B0,1h,60,E2,0.9308850207198343,1.379757187868818,True,11406,59.99631772751184,0.9997369805365597
ES,RTH,B0,1h,60,E4,0.9763634147783378,1.379757187868818,True,11406,59.99631772751184,0.9997369805365597
ES,RTH,B0,30min,5,E2,2.8513679344295446,2.147580458450691,False,22812,4.9997808171138,0.9998684902682798
ES,RTH,B0,30min,5,E4,0.9999309617057162,2.147580458450691,True,22812,4.9997808171138,0.9998684902682798
ES,RTH,B0,30min,6,E2,1.5500971956739886,2.05985104937167,False,22812,5.99973698053656,0.9998684902682798
ES,RTH,B0,30min,6,E4,0.9998524404358731,2.05985104937167,True,22812,5.99973698053656,0.9998684902682798
ES,RTH,B0,30min,10,E2,0.941316128418579,1.8133454017242416,True,22812,9.99947396107312,0.9998246536910398
ES,RTH,B0,30min,10,E4,0.9995810469714874,1.8133454017242416,True,22812,9.99947396107312,0.9998246536910398
ES,RTH,B0,30min,15,E2,0.7908763355009446,1.6698530817990072,True,22812,14.99916710503244,0.9998246536910398
ES,RTH,B0,30min,15,E4,0.9945328044395927,1.6698530817990072,True,22812,14.99916710503244,0.9998246536910398
ES,RTH,B0,30min,30,E2,0.7917703994735505,1.454255243185988,True,22812,29.99815886375592,0.9998246536910398
ES,RTH,B0,30min,30,E4,0.9989807345567925,1.454255243185988,True,22812,29.99815886375592,0.9998246536910398
ES,RTH,B1,1day,5,E2,0.6829345621878058,1.9710314008648528,True,1901,5.0,1.0
ES,RTH,B1,1day,5,E4,0.998789800057109,1.9710314008648528,True,1901,5.0,1.0
ES,RTH,B1,1day,6,E2,0.7095489499063753,1.8424508958099193,True,1901,6.0,1.0
ES,RTH,B1,1day,6,E4,0.8772415654860083,1.8424508958099193,True,1901,6.0,1.0
ES,RTH,B1,1day,10,E2,0.7970247403170426,1.6110278962617064,True,1901,10.0,1.0
ES,RTH,B1,1day,10,E4,0.9009648830901815,1.6110278962617064,True,1901,10.0,1.0
ES,RTH,B1,1day,13,E2,0.812188394549583,1.5395148336868043,True,1901,13.0,1.0
ES,RTH,B1,1day,13,E4,0.912565318717302,1.5395148336868043,True,1901,13.0,1.0
ES,RTH,B1,1day,26,E2,0.8645778688053366,1.3880367967993927,True,1901,26.0,1.0
ES,RTH,B1,1day,26,E4,0.9470599469918308,1.3880367967993927,True,1901,26.0,1.0
ES,RTH,B1,1day,78,E2,0.9014433754785697,1.2960880100406602,True,1901,77.99684376643872,0.9984218832193582
ES,RTH,B1,1day,78,E4,0.9795864932338894,1.2960880100406602,True,1901,77.99684376643872,0.9984218832193582
ES,RTH,B1,1day,195,E2,0.911420573262332,1.190981052717185,True,1901,194.98947922146237,0.9984218832193582
ES,RTH,B1,1day,195,E4,0.9905243303403031,1.190981052717185,True,1901,194.98947922146237,0.9984218832193582
ES,RTH,B1,1day,389,E2,0.9127468958775105,1.0981016388915237,True,1901,388.977906365071,0.9984218832193582
ES,RTH,B1,1day,389,E4,0.9948615656316039,1.0981016388915237,True,1901,388.977906365071,0.9984218832193582
ES,RTH,B1,1h,4,E2,2.039931547342415,2.2845726849056165,False,11406,4.0,1.0
ES,RTH,B1,1h,4,E4,0.9998863110602728,2.2845726849056165,True,11406,4.0,1.0
ES,RTH,B1,1h,5,E2,1.9847502982656948,2.127739557448313,False,11406,5.0,1.0
ES,RTH,B1,1h,5,E4,0.9998206779286086,2.127739557448313,True,11406,5.0,1.0
ES,RTH,B1,1h,6,E2,1.352675704541269,2.0414584677682206,False,11406,5.99982465369104,0.9998246536910398
ES,RTH,B1,1h,6,E4,0.9995552235065781,2.0414584677682206,True,11406,5.99982465369104,0.9998246536910398
ES,RTH,B1,1h,10,E2,0.8503051236409909,1.8250866361108664,True,11406,9.9995616342276,0.9997369805365597
ES,RTH,B1,1h,10,E4,0.9986226597532692,1.8250866361108664,True,11406,9.9995616342276,0.9997369805365597
