cell,t,converged,om,beta,gamma,xi,phi,tau1,tau2,log_sigma_u,persistence
ES/RTH/B1/1day,1571,True,-0.27224961907942424,0.3072122523883939,0.666506717153211,-0.866240152279842,0.9260395836836293,-0.16590193291548205,0.08570122567848132,-1.4320849407269127,0.9244238552632958
ES/RTH/B1/1day,1634,True,-0.2399153925413221,0.31787156629068314,0.6568775232202362,-0.863415041943048,0.9279872224966768,-0.1642534661866878,0.08612568044090793,-1.4410029005196971,0.9274455145843264
ES/RTH/B1/1day,1697,True,-0.277867782505588,0.3326511948222959,0.6399069600765575,-0.820354128729134,0.9323060548155964,-0.15654776265698825,0.08792658306086501,-1.4313441864515064,0.9292403282203124
ES/RTH/B1/1day,1760,True,-0.29716181820327486,0.33214762116019125,0.6387341339750345,-0.8216053134066217,0.9327155909356852,-0.15882909051922947,0.08881256876664112,-1.4413692457292113,0.9279049063815087
ES/RTH/B1/1day,1823,True,-0.31466628900246396,0.33588222799867695,0.6339686786581646,-0.8126057598648107,0.9337417809407796,-0.15931002822264329,0.08667821677693702,-1.4549099248748876,0.9278452710696244
ES/RTH/B1/1day,1886,True,-0.3293849499535999,0.33738273908339034,0.6318605467927012,-0.8022992074417281,0.9344337193726387,-0.15799861903276302,0.08677072410603756,-1.4760032294064618,0.9278145399477233
NQ/GLOBEX/B1/1day,500,True,-0.29077967854260844,0.2607059180472882,0.704658455213251,0.19064988317055764,1.0342019919358933,-0.20092923249480546,0.03515064494497358,-1.6493876379030739,0.9894650960633018
NQ/GLOBEX/B1/1day,563,True,-2.181384262328074,0.24592892909250927,0.5745012597772118,1.1880924768626078,1.137310059339905,-0.18531325913816077,0.047725858408898494,-1.6591982814979407,0.8993149909405802
NQ/GLOBEX/B1/1day,626,True,-2.317717429288389,0.2761218547174179,0.541871085815981,1.3413727927161554,1.1521154264993603,-0.1829619193875209,0.05011367772301169,-1.669143588179668,0.9004198918599683
NQ/GLOBEX/B1/1day,689,True,-1.7534311558838542,0.25886660909872317,0.5969732198338353,0.6236522349459754,1.077870581803733,-0.19012882369237988,0.04341211773283711,-1.6600054394315893,0.9023264808822671
NQ/GLOBEX/B1/1day,752,True,-1.6920729092518592,0.2898589252530322,0.5745399580973267,0.6862425656566504,1.0866372077805089,-0.17170602073539462,0.051606004489985195,-1.6023694246106004,0.9141754210782418
NQ/GLOBEX/B1/1day,815,True,-1.6681007262888803,0.2905973338549574,0.5774461883226436,0.6370111943742216,1.0783545957611547,-0.173319253079601,0.04833500352035206,-1.6119216115981017,0.9132890848374413
NQ/GLOBEX/B1/1day,878,True,-1.5078154310814111,0.28550659825705493,0.5922374290277379,0.38915451765273434,1.0541560985063412,-0.1719794871363138,0.0510921725984953,-1.5992191955176231,0.9098172958303613
NQ/GLOBEX/B1/1day,941,True,-1.4544661988788978,0.27825893345160047,0.6021216684796746,0.2734158681259071,1.042207185589338,-0.17042872260131456,0.05238500125123577,-1.6047874087358531,0.9057944629401585
NQ/GLOBEX/B1/1day,1004,True,-1.474907690339347,0.28910443912088735,0.5909384404901785,0.24771122450099742,1.0405411850043031,-0.17716004701936197,0.053524851005881696,-1.5566650196637313,0.9040002242531325
NQ/GLOBEX/B1/1day,1067,True,-1.056418947208019,0.2769822514975696,0.630240887078773,0.12637733878144186,1.0294387710415935,-0.18163104137106292,0.055053233733444104,-1.556608680789251,0.9257766557521054
NQ/GLOBEX/B1/1day,1130,True,-1.0440148262036721,0.27425301669214586,0.6330317546432973,0.1195875034497679,1.0289205563614856,-0.1814840955801496,0.054940914291292844,-1.5688083037451657,0.9255924018742148
NQ/GLOBEX/B1/1day,1193,True,-1.1226363725969064,0.28882104627775596,0.6128533489410881,0.2197241090202275,1.0415487005420714,-0.17759973570111004,0.062086536110469354,-1.5563556469950781,0.9271376554902029
NQ/GLOBEX/B1/1day,1256,True,-1.0836586010345215,0.2876557559362,0.6157109624981058,0.11972213550456993,1.0321525214018517,-0.18426571089017502,0.06352167881217177,-1.514309574729698,0.9231633783333808
NQ/GLOBEX/B1/1day,1319,True,-1.073408542304608,0.29345475122258935,0.6113274067200616,0.09255263058946837,1.0294298037143212,-0.18584539782111265,0.062317656300039985,-1.5068487868878808,0.9227734035276074
NQ/GLOBEX/B1/1day,1382,True,-1.0293325442761407,0.29144619963632035,0.6173659276977059,0.00451034841528603,1.018557828705095,-0.18780850553830242,0.061531911601072714,-1.501977372026639,0.9202690984686023
NQ/GLOBEX/B1/1day,1445,True,-1.0556845967683377,0.30525901539231703,0.603062600923048,-0.004326426295458334,1.0179572734966746,-0.18777919180247948,0.06478555856691623,-1.4825062834642115,0.9191509763757562
NQ/GLOBEX/B1/1day,1508,True,-1.0117485654562064,0.30140940515439935,0.6091333840218272,-0.004286421287052358,1.0183084174551515,-0.18542270392012083,0.0649305381995835,-1.473289111110926,0.9216950574567673
NQ/GLOBEX/B1/1day,1571,True,-0.8270592050605289,0.30388128591682334,0.619858282675801,-0.14061609400238995,1.0042563905506707,-0.18167301827878551,0.0628065860541725,-1.4751639190358827,0.9263779275297606
NQ/GLOBEX/B1/1day,1634,True,-0.8593344331792934,0.3180631653746504,0.6048071759346981,-0.09312215945580576,1.009271650394481,-0.17613710104229452,0.06291273255031601,-1.4611914648769417,0.9284779020006884
NQ/GLOBEX/B1/1day,1697,True,-0.8687483995921848,0.328233644275727,0.5943607782590374,-0.06806505236826643,1.0128378747437705,-0.1710371662000777,0.0679503633337822,-1.4393979698388732,0.9302247517586639
NQ/GLOBEX/B1/1day,1760,True,-0.9141994878489988,0.34033760828044496,0.5805970632982451,-0.018132538177922135,1.0178242060383262,-0.16750543928475145,0.06797720044704397,-1.42288717806968,0.9312833532601652
NQ/GLOBEX/B1/1day,1823,True,-0.9284213373561092,0.34496206535985463,0.5756772738322316,-0.032687689170828454,1.0160512456982838,-0.16533264359660313,0.06857332982291373,-1.4134483285021933,0.9298796765572855
NQ/GLOBEX/B1/1day,1886,True,-0.9136330500177116,0.3509988726656553,0.5714753984525107,-0.07022618142029835,1.011954811840568,-0.16323624985383894,0.06697228357356613,-1.4032077221452266,0.9293061519781793
NQ/GLOBEX/B0/1day,500,True,0.10820023579884096,0.21994893889249711,0.7765249485531862,-1.5257838492917857,0.8574020892423936,-0.18052707335105284,0.035891857817227084,-1.704146566287566,0.8857430521308411
NQ/GLOBEX/B0/1day,563,True,-2.157831832363896,0.24750645164423418,0.576452710310962,1.1464963654598863,1.1306089291025145,-0.18636658827849337,0.04781547074670563,-1.6635907997303214,0.899249033127153
NQ/GLOBEX/B0/1day,626,True,-2.2878480625403865,0.276948771014854,0.544725715545391,1.2894274157267727,1.1443417353560474,-0.18366748857020243,0.05012019663100392,-1.6728005585447208,0.9003011416351314
NQ/GLOBEX/B0/1day,689,True,-1.7255108551981841,0.26057670589531745,0.5991434953703318,0.5831908569014722,1.0712271485149176,-0.19075180032363995,0.043355509809367226,-1.6621023087113382,0.9023954839921388
NQ/GLOBEX/B0/1day,752,True,-1.6644848302972346,0.29383975324204326,0.5748211495121286,0.6484452044260303,1.0800515982408654,-0.17138009880225943,0.05150073995299712,-1.59968447437502,0.9146762544752692
NQ/GLOBEX/B0/1day,815,True,-1.6423320444998604,0.29552156395193246,0.5768181631319331,0.6015396818168353,1.0720151044327455,-0.17298033482423175,0.04819061888718801,-1.60838721335675,0.9138793473405162
NQ/GLOBEX/B0/1day,878,True,-1.4822817556959975,0.290255629626188,0.5917060753841668,0.3562970553518664,1.0480987805866437,-0.17147979665483093,0.05096423726468102,-1.5963492794978453,0.9104220457020419
NQ/GLOBEX/B0/1day,941,True,-1.4260693203365822,0.2825077747698686,0.6022431657311824,0.23883315589474455,1.0359694221497175,-0.16959398619942667,0.0523185173440702,-1.6026248651710668,0.9064132791660182
NQ/GLOBEX/B0/1day,1004,True,-1.425636606032063,0.2924062644087034,0.5933805409780046,0.18422200149384044,1.0311879558842454,-0.17586543164074164,0.05356463704449167,-1.5552313122799926,0.9042931315212996
NQ/GLOBEX/B0/1day,1067,True,-1.0593835866991088,0.2810055221525628,0.6282133515479951,0.13082598187917718,1.0271744214787588,-0.18112363840359152,0.055255182214072274,-1.5551422235680434,0.9262902080941068
NQ/GLOBEX/B0/1day,1130,True,-1.038410394275834,0.27824161451163065,0.6316673634528118,0.11370214619463735,1.0255803549009541,-0.18131377268709697,0.05504541311242826,-1.5675377639700152,0.9260672533009153
NQ/GLOBEX/B0/1day,1193,True,-1.121539056936179,0.292278368543057,0.6116379781032724,0.22105511807916073,1.0389066952720638,-0.17747855526182946,0.0619278614069716,-1.555802176255907,0.9277131590772146
NQ/GLOBEX/B0/1day,1256,True,-1.1182560720156562,0.2891545581696978,0.6135202890856584,0.16169952516212072,1.0338676537843376,-0.18412019704166827,0.0635330975435045,-1.514787943073066,0.9234533399957761
NQ/GLOBEX/B0/1day,1319,True,-1.0599169788598455,0.29601084982019565,0.6118228368937804,0.07726586350000503,1.0249531685598536,-0.18582343420672126,0.06223016267677016,-1.5076241645530786,0.9231006050917544
NQ/GLOBEX/B0/1day,1382,True,-1.0300606747248282,0.296096867707364,0.6149511317630549,0.007784457502908491,1.0161181431235287,-0.1873081639063785,0.061659307393014354,-1.5017694746830106,0.9209598698261517
NQ/GLOBEX/B0/1day,1445,True,-1.0660323685730249,0.30938313307928034,0.600398795570416,0.00972678179879438,1.016650054213855,-0.18697134142758604,0.06514129498041862,-1.4809302121272419,0.919778601145877
NQ/GLOBEX/B0/1day,1508,True,-1.0240563230933613,0.30574404621161005,0.6061488506645009,0.013130895462115082,1.0173495716162617,-0.18456636950834548,0.06522941214348268,-1.4725064271553054,0.9224093197708294
NQ/GLOBEX/B0/1day,1571,True,-0.8282541895029688,0.3083248972987092,0.6175267470894708,-0.1375005806227817,1.001782034873317,-0.18065295518813515,0.06310467625986109,-1.4740448275768574,0.9269520985866995
NQ/GLOBEX/B0/1day,1634,True,-0.8599283031444089,0.3222255976599174,0.6027428765133838,-0.09044490861981866,1.0067519359726815,-0.17515356813810776,0.06313450065031564,-1.4600867333270213,0.9290381554835094
NQ/GLOBEX/B0/1day,1697,True,-0.8636327984121916,0.3319832055441119,0.593035753117836,-0.07256813365902273,1.0095575511333568,-0.1700900403301162,0.06814352904980978,-1.4389246922359034,0.9306869281962804
NQ/GLOBEX/B0/1day,1760,True,-0.9111672882139359,0.34342143676242914,0.5796888655570539,-0.020220089301563327,1.0148072918885873,-0.16659640019245034,0.06811327410884645,-1.4230130787877162,0.9316939245563505
NQ/GLOBEX/B0/1day,1823,True,-0.9366281999384771,0.3487358383036621,0.5733627275582044,-0.020148445441676027,1.0146373647869305,-0.16447804298103194,0.06868966393568751,-1.4129770349831783,0.9304910852603654
NQ/GLOBEX/B0/1day,1886,True,-0.9123826203887564,0.35484688203890785,0.5697418599345208,-0.07004053749677058,1.0091797085675447,-0.1622861278942641,0.06710443546315291,-1.4027254542396355,0.9298188062063584
NQ/RTH/B0/1day,500,True,-1.08860401563715,0.27543177589230866,0.6346475194582597,-0.8867325231698571,0.9314249406611453,-0.17987955815313939,0.0611880891095719,-1.5738950742650215,0.8665583040444613
NQ/RTH/B0/1day,563,True,-2.3231792289433564,0.2913240799735375,0.533477662793181,1.1058539792054543,1.1305910127609835,-0.1802190586748761,0.07485088425740172,-1.5797653343888212,0.8944691310362424
NQ/RTH/B0/1day,626,True,-2.3353332323992477,0.3116812220677794,0.5165097736124484,1.0567509520015235,1.126531788146373,-0.18364550159049542,0.0753096865924311,-1.6083812378953826,0.8935459009304892
NQ/RTH/B0/1day,689,True,-1.7853226192111769,0.2939945341933611,0.5670098088311457,0.4986779121440127,1.070896965851265,-0.1829111726361271,0.06950202470584838,-1.6004159920513064,0.9012036180785409
NQ/RTH/B0/1day,752,True,-1.5472726036012197,0.29347892877862325,0.583232936920328,0.32807163692944175,1.0540733931501713,-0.1744092541451529,0.07182543097269561,-1.6029632227063302,0.9082492495951732
NQ/RTH/B0/1day,815,True,-1.5807233597573875,0.29945231411722284,0.5767841076154805,0.3421530387187617,1.054011833717508,-0.18033732821636528,0.07161291460283023,-1.6151116405331316,0.9073895890441319
NQ/RTH/B0/1day,878,True,-1.7434215406545412,0.30792142006915907,0.557707062416162,0.49919466766390563,1.0716610131817763,-0.1780734120563383,0.07770393683306676,-1.611959501113604,0.9055943356366953
NQ/RTH/B0/1day,941,True,-1.762022560839288,0.3213356327301299,0.5458755594397984,0.4898192130966802,1.0708018275953617,-0.18169913389168374,0.07961560038128149,-1.5914052297197032,0.9058601794179064
NQ/RTH/B0/1day,1004,True,-1.638537753615521,0.315497765451748,0.5580258899105457,0.6604479393193201,1.088450671825881,-0.18994394014115135,0.0788266315379258,-1.5450937766166717,0.9228814202211166
NQ/RTH/B0/1day,1067,True,-1.5952318252874118,0.3217158355365748,0.5545818294762728,0.6440598234664558,1.0884020604400892,-0.19225591975021494,0.07915818855750509,-1.5510945098977464,0.9253238414211843
NQ/RTH/B0/1day,1130,True,-1.5211800424919106,0.32211231426994213,0.5583680204446801,0.570482842483129,1.0816863406939765,-0.19472858711743285,0.0789623525552824,-1.5398170183405298,0.9260913750652877
NQ/RTH/B0/1day,1193,True,-1.6319361320651757,0.33174537022558676,0.5424717617336233,0.6827677066128013,1.0939587391230643,-0.19597087013077952,0.08197466365671957,-1.5354978562542865,0.9251870947015688
NQ/RTH/B0/1day,1256,True,-1.6407755927474237,0.3329816206770962,0.5409540920099976,0.6576044707404118,1.091034314645968,-0.19983743759627245,0.08232047863631148,-1.5130718152351053,0.9231810977081558
NQ/RTH/B0/1day,1319,True,-1.6033991158678573,0.34004035102656255,0.538351832189393,0.5705825054251057,1.0809585977555172,-0.19914988730280866,0.08181083760150874,-1.499044698336098,0.9219763926491222
NQ/RTH/B0/1day,1382,True,-1.5986232851538715,0.3389773986799635,0.5402919852791082,0.5286384746144783,1.0754422506780537,-0.20171632518206695,0.08087072887947445,-1.4976008189154582,0.9200302273518415
