test,cell,model,result,message
assert_forecasts_positive,NQ_RTH_B0_1day,M6_GK,PASS,
assert_forecasts_positive,NQ_RTH_B0_1h,M1_EWMA,PASS,
assert_forecasts_positive,NQ_RTH_B0_1h,M2_HAR,PASS,
assert_forecasts_positive,NQ_RTH_B0_1h,M3_HARJ,PASS,
assert_forecasts_positive,NQ_RTH_B0_1h,M4_HARQ,FAIL,"[assert_forecasts_positive] cell=NQ_RTH_B0_1h model=M4_HARQ: 0 non-finite, 0 non-positive, 2 at or below the 1e-300 floor, of 10906 forecasts; min=1e-300"
assert_forecasts_positive,NQ_RTH_B0_1h,M5_RGARCH,PASS,
assert_forecasts_positive,NQ_RTH_B0_1h,M6_PARK,PASS,
assert_forecasts_positive,NQ_RTH_B0_1h,M6_GK,PASS,
assert_forecasts_positive,NQ_RTH_B0_30min,M1_EWMA,PASS,
assert_forecasts_positive,NQ_RTH_B0_30min,M2_HAR,PASS,
assert_forecasts_positive,NQ_RTH_B0_30min,M3_HARJ,PASS,
assert_forecasts_positive,NQ_RTH_B0_30min,M4_HARQ,FAIL,"[assert_forecasts_positive] cell=NQ_RTH_B0_30min model=M4_HARQ: 0 non-finite, 0 non-positive, 2 at or below the 1e-300 floor, of 22312 forecasts; min=1e-300"
assert_forecasts_positive,NQ_RTH_B0_30min,M5_RGARCH,PASS,
assert_forecasts_positive,NQ_RTH_B0_30min,M6_PARK,PASS,
assert_forecasts_positive,NQ_RTH_B0_30min,M6_GK,PASS,
assert_forecasts_positive,NQ_RTH_B1_1day,M1_EWMA,PASS,
assert_forecasts_positive,NQ_RTH_B1_1day,M2_HAR,PASS,
assert_forecasts_positive,NQ_RTH_B1_1day,M3_HARJ,FAIL,"[assert_forecasts_positive] cell=NQ_RTH_B1_1day model=M3_HARJ: 0 non-finite, 0 non-positive, 1 at or below the 1e-300 floor, of 1401 forecasts; min=1e-300"
assert_forecasts_positive,NQ_RTH_B1_1day,M4_HARQ,FAIL,"[assert_forecasts_positive] cell=NQ_RTH_B1_1day model=M4_HARQ: 0 non-finite, 0 non-positive, 2 at or below the 1e-300 floor, of 1401 forecasts; min=1e-300"
assert_forecasts_positive,NQ_RTH_B1_1day,M5_RGARCH,PASS,
assert_forecasts_positive,NQ_RTH_B1_1day,M6_PARK,PASS,
assert_forecasts_positive,NQ_RTH_B1_1day,M6_GK,PASS,
assert_forecasts_positive,NQ_RTH_B1_1h,M1_EWMA,PASS,
assert_forecasts_positive,NQ_RTH_B1_1h,M2_HAR,PASS,
assert_forecasts_positive,NQ_RTH_B1_1h,M3_HARJ,PASS,
assert_forecasts_positive,NQ_RTH_B1_1h,M4_HARQ,FAIL,"[assert_forecasts_positive] cell=NQ_RTH_B1_1h model=M4_HARQ: 0 non-finite, 0 non-positive, 1 at or below the 1e-300 floor, of 10906 forecasts; min=1e-300"
assert_forecasts_positive,NQ_RTH_B1_1h,M5_RGARCH,PASS,
assert_forecasts_positive,NQ_RTH_B1_1h,M6_PARK,PASS,
assert_forecasts_positive,NQ_RTH_B1_1h,M6_GK,PASS,
assert_forecasts_positive,NQ_RTH_B1_30min,M1_EWMA,PASS,
assert_forecasts_positive,NQ_RTH_B1_30min,M2_HAR,PASS,
assert_forecasts_positive,NQ_RTH_B1_30min,M3_HARJ,PASS,
assert_forecasts_positive,NQ_RTH_B1_30min,M4_HARQ,FAIL,"[assert_forecasts_positive] cell=NQ_RTH_B1_30min model=M4_HARQ: 0 non-finite, 0 non-positive, 1 at or below the 1e-300 floor, of 22312 forecasts; min=1e-300"
assert_forecasts_positive,NQ_RTH_B1_30min,M5_RGARCH,PASS,
assert_forecasts_positive,NQ_RTH_B1_30min,M6_PARK,PASS,
assert_forecasts_positive,NQ_RTH_B1_30min,M6_GK,PASS,
assert_loss_finite,ES_GLOBEX_B0_1day/S-A,,PASS,
assert_loss_finite,ES_GLOBEX_B0_1day/S-B_q0.80,,PASS,
assert_loss_finite,ES_GLOBEX_B0_1day/S-C_q0.80,,PASS,
assert_loss_finite,ES_GLOBEX_B0_1day/S-B_q0.90,,PASS,
assert_loss_finite,ES_GLOBEX_B0_1day/S-C_q0.90,,PASS,
assert_loss_finite,ES_GLOBEX_B0_1h/S-A,,FAIL,"[assert_loss_finite] cell=ES_GLOBEX_B0_1h/S-A: 1318 non-finite of 286972 entries (shape (40996, 7)); by model: M1_EWMA=180, M2_HAR=180, M3_HARJ=180, M4_HARQ=180, M5_RGARCH=181, M6_PARK=237, M6_GK=180"
assert_loss_finite,ES_GLOBEX_B0_1h/S-B_q0.80,,FAIL,"[assert_loss_finite] cell=ES_GLOBEX_B0_1h/S-B_q0.80: 8 non-finite of 57393 entries (shape (8199, 7)); by model: M6_PARK=8"
assert_loss_finite,ES_GLOBEX_B0_1h/S-C_q0.80,,FAIL,"[assert_loss_finite] cell=ES_GLOBEX_B0_1h/S-C_q0.80: 181 non-finite of 57393 entries (shape (8199, 7)); by model: M1_EWMA=25, M2_HAR=25, M3_HARJ=25, M4_HARQ=25, M5_RGARCH=25, M6_PARK=31, M6_GK=25"
assert_loss_finite,ES_GLOBEX_B0_1h/S-B_q0.90,,FAIL,"[assert_loss_finite] cell=ES_GLOBEX_B0_1h/S-B_q0.90: 7 non-finite of 28700 entries (shape (4100, 7)); by model: M6_PARK=7"
assert_loss_finite,ES_GLOBEX_B0_1h/S-C_q0.90,,FAIL,"[assert_loss_finite] cell=ES_GLOBEX_B0_1h/S-C_q0.90: 131 non-finite of 28700 entries (shape (4100, 7)); by model: M1_EWMA=18, M2_HAR=18, M3_HARJ=18, M4_HARQ=18, M5_RGARCH=18, M6_PARK=23, M6_GK=18"
assert_loss_finite,ES_GLOBEX_B0_30min/S-A,,FAIL,"[assert_loss_finite] cell=ES_GLOBEX_B0_30min/S-A: 885 non-finite of 151228 entries (shape (21604, 7)); by model: M1_EWMA=124, M2_HAR=124, M3_HARJ=124, M4_HARQ=124, M5_RGARCH=124, M6_PARK=141, M6_GK=124"
assert_loss_finite,ES_GLOBEX_B0_30min/S-B_q0.80,,FAIL,"[assert_loss_finite] cell=ES_GLOBEX_B0_30min/S-B_q0.80: 1 non-finite of 30247 entries (shape (4321, 7)); by model: M6_PARK=1"
assert_loss_finite,ES_GLOBEX_B0_30min/S-C_q0.80,,PASS,
assert_loss_finite,ES_GLOBEX_B0_30min/S-B_q0.90,,FAIL,"[assert_loss_finite] cell=ES_GLOBEX_B0_30min/S-B_q0.90: 1 non-finite of 15127 entries (shape (2161, 7)); by model: M6_PARK=1"
assert_loss_finite,ES_GLOBEX_B0_30min/S-C_q0.90,,PASS,
assert_loss_finite,ES_GLOBEX_B1_1day/S-A,,PASS,
assert_loss_finite,ES_GLOBEX_B1_1day/S-B_q0.80,,PASS,
assert_loss_finite,ES_GLOBEX_B1_1day/S-C_q0.80,,PASS,
assert_loss_finite,ES_GLOBEX_B1_1day/S-B_q0.90,,PASS,
assert_loss_finite,ES_GLOBEX_B1_1day/S-C_q0.90,,PASS,
