geom,df,nu,subarm,seed_index,seed,n_grid,b,c,A,rmse,cond,b_trigamma_analytic
GLOBEX,nu3,3.0,signal,1,2318296352,10,-1.2244772649580173,1.1044325077509296,3.390330694795744,0.004338922379536931,113.59684647782949,-1.13767466962387
GLOBEX,nu3,3.0,signal,2,3156315006,10,-1.216983927260985,1.0408977959299328,2.8527941996974686,0.010147581671133304,111.09394449673573,-1.13767466962387
GLOBEX,nu3,3.0,signal,3,2635235805,10,-1.1262302917791198,1.1123822242985084,3.054035298362546,0.013008009855395342,91.28142040775239,-1.13767466962387
GLOBEX,nu3,3.0,signal,4,2781231417,10,-1.3210563798887358,1.007483433046646,3.786762226096447,0.009493295818185227,141.0510347708794,-1.13767466962387
GLOBEX,nu3,3.0,reference,0,533861932,10,-1.1591864237316332,0.03759209716125813,3.13449378310232,0.003721564593205795,98.16124946197037,-1.13767466962387
GLOBEX,nu3,3.0,reference,1,3389570949,10,-1.1027916765081933,0.037264558545166304,2.9739714980089276,0.005100861064768976,86.65308087415681,-1.13767466962387
GLOBEX,nu3,3.0,reference,2,1787933805,10,-1.3012665450671272,0.044730432705442164,3.873203112291022,0.012037236898915926,135.21409741793792,-1.13767466962387
GLOBEX,nu3,3.0,reference,3,3648849665,10,-1.1373649316926218,0.03938998883130562,3.1345440187261038,0.004531280987848656,93.65025013528252,-1.13767466962387
GLOBEX,nu3,3.0,reference,4,2060405485,10,-1.1852683599113778,0.04547675530905409,3.3898915226714186,0.00999149097071827,104.34581238390405,-1.13767466962387
GLOBEX,nu3.67,3.67,signal,0,2096293690,10,-1.1001665026558018,1.0035712487171233,2.9458014698777064,0.00588557985280547,86.11215273408688,-1.13767466962387
GLOBEX,nu3.67,3.67,signal,1,882781479,10,-1.063659858523228,1.054882138675056,2.5978056296298804,0.010371356777391151,79.02677116801233,-1.13767466962387
GLOBEX,nu3.67,3.67,signal,2,935694812,10,-1.09443569356519,1.0025248023632738,3.08884849797649,0.01290406329922062,85.37029261452776,-1.13767466962387
GLOBEX,nu3.67,3.67,signal,3,927601778,10,-0.9662039638934641,1.0539558156321014,2.0076505520614623,0.018825685594045547,63.37688600460256,-1.13767466962387
GLOBEX,nu3.67,3.67,signal,4,1618333716,10,-1.2656163107157314,1.0621217460094425,3.4606533583874057,0.007832836993104443,124.41458279976638,-1.13767466962387
GLOBEX,nu3.67,3.67,reference,0,3020754091,10,-1.0740206306759672,0.0176817808618695,2.5889993639697066,0.00564943002287575,80.81468914351896,-1.13767466962387
GLOBEX,nu3.67,3.67,reference,1,3818894405,10,-1.0092064017183504,0.010709095304830524,2.2733027661980576,0.005078844104332959,69.82729352855512,-1.13767466962387
GLOBEX,nu3.67,3.67,reference,2,2296594218,10,-1.2656058191341946,0.018654775466822236,3.9089207006864153,0.009824953184046881,125.22615735659777,-1.13767466962387
GLOBEX,nu3.67,3.67,reference,3,203330690,10,-1.162311268543977,0.017265839963578958,3.0885086714502847,0.005123036173743899,98.7492351589331,-1.13767466962387
GLOBEX,nu3.67,3.67,reference,4,2306492961,10,-1.1177183372833135,0.025090263655766554,2.832157382947224,0.004862401046516963,89.23834203310217,-1.13767466962387
GLOBEX,nu4,4.0,signal,0,744577626,10,-1.0680789879121775,1.0418153059055837,2.6818241219111854,0.009404591552658643,79.91498801955626,-1.13767466962387
GLOBEX,nu4,4.0,signal,1,2875238330,10,-1.1878120937845762,0.9970814108860722,4.025804256896586,0.006076522332151011,106.51721137767038,-1.13767466962387
GLOBEX,nu4,4.0,signal,2,1221063552,10,-1.2030831823829493,1.0829502738106886,3.2588716096493577,0.009416318811283636,108.20709802256987,-1.13767466962387
GLOBEX,nu4,4.0,signal,3,3301078866,10,-1.0766859711840575,0.961240214405401,2.3911810277549717,0.013368797771232925,81.09244456729819,-1.13767466962387
GLOBEX,nu4,4.0,signal,4,1575510304,10,-1.0745484651719446,1.0510117509730508,2.69127112736444,0.010381205884862132,81.05498270780402,-1.13767466962387
GLOBEX,nu4,4.0,reference,0,3873109205,10,-1.2139973514043378,0.01471762411401245,3.4343041936037153,0.007467437351756213,111.11506493521662,-1.13767466962387
GLOBEX,nu4,4.0,reference,1,1839658677,10,-1.128371695726733,0.011453279767076578,2.870518743337291,0.0031702693379166993,91.38968280365641,-1.13767466962387
GLOBEX,nu4,4.0,reference,2,1379036418,10,-1.0900484811507305,0.009581111532943052,2.707480246435395,0.0030040296360530324,83.84937398897276,-1.13767466962387
GLOBEX,nu4,4.0,reference,3,2813303116,10,-1.1232855323701887,0.010501343370287611,2.829797795589898,0.0036973118586519703,90.32300758871654,-1.13767466962387
GLOBEX,nu4,4.0,reference,4,3558964626,10,-1.113130798222669,0.012035986924217472,2.7508223368362392,0.004385912998314598,88.23485322402036,-1.13767466962387
GLOBEX,nu6,6.0,signal,0,2781573951,10,-1.212405056932139,1.1019471653610968,3.2056663511222516,0.011710131948173916,110.35181201132328,-1.13767466962387
GLOBEX,nu6,6.0,signal,1,1657568292,10,-0.9846625525717506,1.0208065828634778,2.273594113846389,0.004873922376300411,66.20187563635292,-1.13767466962387
GLOBEX,nu6,6.0,signal,2,4173009574,10,-1.2821682546134894,1.091564767355703,3.7753980829874236,0.012644945980643836,129.5298010159536,-1.13767466962387
GLOBEX,nu6,6.0,signal,3,3823597149,10,-1.0776325002394318,1.1015687786729806,2.726836142085715,0.010989135649897551,81.65434706094294,-1.13767466962387
GLOBEX,nu6,6.0,signal,4,2123472242,10,-1.2772385130199169,0.9428136732130651,3.889249170156777,0.002850464016652427,128.36893623462973,-1.13767466962387
GLOBEX,nu6,6.0,reference,0,2621637972,10,-1.176751551600741,0.006554868764387486,3.2770522475863064,0.008391624066954255,102.22823558498408,-1.13767466962387
GLOBEX,nu6,6.0,reference,1,4005666826,10,-1.0896773727903946,0.0030771344628492546,2.697832190553941,0.0022054850728486083,83.76774713483559,-1.13767466962387
GLOBEX,nu6,6.0,reference,2,718148982,10,-1.1607155102102098,0.0052769175311221566,3.1674221368461484,0.004665013508948189,98.54610110099537,-1.13767466962387
GLOBEX,nu6,6.0,reference,3,3804543345,10,-1.0623699659355839,0.0023872977100516603,2.613450477079745,0.005953105471664539,78.8290271590004,-1.13767466962387
GLOBEX,nu6,6.0,reference,4,3673048719,10,-1.110679637512396,0.0029564192277573894,2.9245937630021976,0.0021182269971146373,88.04010416839706,-1.13767466962387
GLOBEX,nu10,10.0,signal,0,1336562198,10,-1.287451328470234,1.059315605808549,4.139997473709467,0.010376188986156092,131.76940897038543,-1.13767466962387
GLOBEX,nu10,10.0,signal,1,2238676896,10,-1.213719237517987,0.9646544423690933,3.132936648826645,0.002453095950027686,110.57026535410827,-1.13767466962387
GLOBEX,nu10,10.0,signal,2,2760308389,10,-1.1839971173117687,1.046891622810939,3.2438701531897074,0.005409924474863825,103.78259794431693,-1.13767466962387
GLOBEX,nu10,10.0,signal,3,1579734626,10,-1.0882526570577193,1.011802499989028,2.578510062979845,0.010664086366334117,83.35405895041968,-1.13767466962387
GLOBEX,nu10,10.0,signal,4,113576041,10,-1.14348301138441,1.0563173108847923,2.6057126795504955,0.014496072337724998,94.18265355435462,-1.13767466962387
GLOBEX,nu10,10.0,reference,0,175044604,10,-1.0722615250418852,0.001372611712267209,2.644901779623949,0.004232793793200968,80.58391495104114,-1.13767466962387
GLOBEX,nu10,10.0,reference,1,1196335365,10,-1.0591429938162236,0.0009213525243955503,2.483427963571782,0.005529593055813894,78.10671960711056,-1.13767466962387
GLOBEX,nu10,10.0,reference,2,2970608831,10,-1.1235555589340012,0.002647114303058124,3.0058993021243543,0.002864623493910013,90.66705600654632,-1.13767466962387
GLOBEX,nu10,10.0,reference,3,2123520676,10,-1.077074715552979,0.002331679412740872,2.4811414350078387,0.001546031171078682,81.23442050024786,-1.13767466962387
GLOBEX,nu10,10.0,reference,4,4249269149,10,-1.1175947075508499,0.002719955924578412,2.8986407221270154,0.0012693826334221428,89.32000215123897,-1.13767466962387
RTH,gaussian,,signal,0,1414399186,8,-1.1358006082329493,1.0674481536416833,2.8877776221021856,0.005778427588257913,91.89507708224853,-1.144373249661363
RTH,gaussian,,signal,1,2862891691,8,-1.2825805994129145,0.9883474478309283,4.207135850553674,0.008951795881082487,128.59357546585636,-1.144373249661363
RTH,gaussian,,signal,2,1648971164,8,-1.3365433807290068,1.0766475951064718,4.422543113853421,0.008025712345796559,144.37537143167117,-1.144373249661363
RTH,gaussian,,signal,3,311595206,8,-1.0417449783692319,1.0339175234732678,2.5870687115809896,0.003956661537243416,75.16432415126695,-1.144373249661363
RTH,gaussian,,signal,4,3433341767,8,-1.1270547344336637,1.0224195069035533,2.7975037810681336,0.006129524957232221,90.04531923843739,-1.144373249661363
RTH,gaussian,,reference,0,2745987970,8,-1.0814972376940013,0.0017848965214114294,2.6529716011027937,0.00231550657065783,81.66198474523287,-1.144373249661363
RTH,gaussian,,reference,1,820761511,8,-1.1144015676127579,0.001967736030267002,2.8892388449707616,0.0034348174870140052,87.94079693643253,-1.144373249661363
RTH,gaussian,,reference,2,3252044970,8,-1.1882919515545394,0.005220294585101916,3.3533331861926943,0.00492943850267873,103.65477588316331,-1.144373249661363
