cell,stratum,key,n_windows,n_grid,b,c,A,rmse,cond,degenerate,reason
NQ/RTH/B0/1h,vol_tercile,1,3802,9,-0.00015050895188828043,-401.7906549019349,402.675311045397,0.0517720604936632,189815268281.50955,True,|b|=0.000151 <= 0.01; cond=1.9e+11 > 1e8
NQ/RTH/B0/1h,vol_tercile,2,3802,9,-56.777146390032776,0.43347858688105756,-4.3778992260303856e+33,0.01809621464661095,3.002978337846214e+300,True,A=-4.38e+33 <= 0; cond=3e+300 > 1e8
NQ/RTH/B0/1h,vol_tercile,3,3802,9,-55.581044776459514,0.6684676173143317,-4.19017075136728e+32,0.027527093921003064,3.00074336483438e+300,True,A=-4.19e+32 <= 0; cond=3e+300 > 1e8
NQ/RTH/B0/30min,pooled,all,22812,5,-0.7009504660809367,1.3684356791732393,2.3299100072766117,0.005302468130276586,73.86245739384485,False,
NQ/RTH/B0/30min,year,2016,2868,5,-0.8656721672178834,1.0078991406546272,3.0253525984881997,0.0045635748298788635,99.49007022386495,False,
NQ/RTH/B0/30min,year,2017,2844,5,-0.6819563293817682,0.6650977584498922,2.5809183960756807,0.016265928575483406,75.12312640116767,False,
NQ/RTH/B0/30min,year,2018,2832,5,-0.7827197432829364,1.2948293849882924,2.2569340556644373,0.02078592950067381,81.28025141939156,False,
NQ/RTH/B0/30min,year,2019,2844,5,-1.0980803906272574,1.2052527806476476,3.3317443565889038,0.006213947840569548,138.97276137020873,False,
NQ/RTH/B0/30min,year,2020,2868,5,-0.8894859547781749,1.523863889926596,2.003541428040129,0.012114717122314775,92.82111995467478,False,
NQ/RTH/B0/30min,year,2021,2868,5,-0.8776180409799512,1.1594579738071165,2.4790294446641354,0.019392206597917093,94.71667731176896,False,
NQ/RTH/B0/30min,year,2022,2856,5,-1.049394018320976,0.7240427510689676,2.7210093784206957,0.006890551800120723,123.93166983291505,False,
NQ/RTH/B0/30min,year,2023,2832,5,-0.8209360893283377,0.5676881703833062,2.488455942717254,0.0035948889478670237,87.87853753769902,False,
NQ/RTH/B0/30min,vol_tercile,1,7604,5,-0.00033663972530083384,-158.6461201217807,159.406350914257,0.057612563940685826,28472194796.301815,True,|b|=0.000337 <= 0.01; cond=2.85e+10 > 1e8
NQ/RTH/B0/30min,vol_tercile,2,7604,5,-66.47763672043835,0.36497613170487175,-6.658545771453236e+45,0.031430319786868784,2.242200966350077e+300,True,A=-6.66e+45 <= 0; cond=2.24e+300 > 1e8
NQ/RTH/B0/30min,vol_tercile,3,7604,5,-65.36625163193129,0.642897623067023,-5.08016643042624e+44,0.032399695537647794,2.2373250272884336e+300,True,A=-5.08e+44 <= 0; cond=2.24e+300 > 1e8
NQ/RTH/B1/1day,pooled,all,1901,8,-0.9743997227891924,1.0567722578646066,3.5897307083476124,0.016249669737984123,70.47027152605779,False,
NQ/RTH/B1/1day,year,2016,239,8,-0.8684905647193712,0.7118682777626558,3.0435608463006663,0.031758538044217466,56.67602275555803,False,
NQ/RTH/B1/1day,year,2017,237,8,-0.8996221486835724,0.39835282761414276,3.2867651737821486,0.022479383701102477,60.944493528257226,False,
NQ/RTH/B1/1day,year,2018,236,8,-0.7451000269756826,0.9220232687572187,2.128029833114664,0.029032106385417398,42.17580571567663,False,
NQ/RTH/B1/1day,year,2019,237,8,-1.0120173149335214,0.6532879150677899,3.639900910597655,0.02574629760914633,75.28768217103436,False,
NQ/RTH/B1/1day,year,2020,239,8,-1.4619063099356153,1.125115000267289,5.8411730631251295,0.015762350243276158,192.31971546911575,False,
NQ/RTH/B1/1day,year,2021,239,8,-1.1366006896376455,0.6473001660583799,4.636134452429294,0.023681394545924463,99.24988622736753,False,
NQ/RTH/B1/1day,year,2022,238,8,-1.4110732896641764,0.33646919668212416,5.1180657546983035,0.01267930787898946,170.83587481634098,False,
NQ/RTH/B1/1day,year,2023,236,8,-1.0916884202303403,0.3149896341307748,4.033079147564697,0.014048156755962124,88.63658542728484,False,
NQ/RTH/B1/1day,vol_tercile,1,634,8,-0.0001370773158814754,-307.1276246372768,307.80814824458815,0.036490085416686205,101783491778.60663,True,|b|=0.000137 <= 0.01; cond=1.02e+11 > 1e8
NQ/RTH/B1/1day,vol_tercile,2,633,8,-2.2332679044631063,0.3919618630170998,-8.714208116739115,0.03591681520253287,1023.724164411172,True,A=-8.71 <= 0
NQ/RTH/B1/1day,vol_tercile,3,634,8,-0.7093977045836461,0.6067834471827593,-0.44211950298495895,0.02482109952579534,56.8596945863858,True,A=-0.442 <= 0
NQ/RTH/B1/1h,pooled,all,11406,9,-0.8032152282589848,1.424896531154938,2.4407802378582644,0.011876103992107716,48.37411655705927,False,
NQ/RTH/B1/1h,year,2016,1434,9,-0.7547480897306522,0.9726679142465501,2.454852910639197,0.026099322821030196,45.490282192155846,False,
NQ/RTH/B1/1h,year,2017,1422,9,-0.6823777483639757,0.7177200346114638,2.2369398559463427,0.027386074248123685,40.28657103957756,False,
NQ/RTH/B1/1h,year,2018,1416,9,-1.07808703133533,1.3419889282071387,3.4840553596020394,0.009271401783679967,77.61262029081846,False,
NQ/RTH/B1/1h,year,2019,1422,9,-0.9036406358369432,1.1312351348368141,2.8916590355692033,0.017680962029996024,58.087496133703524,False,
NQ/RTH/B1/1h,year,2020,1434,9,-0.9118838303811192,1.4921095236078787,1.8576987052034781,0.019099233868055232,54.79339203103643,False,
