geom,H,sigma_w,tag,seed_index,seed,b,c,A,rmse,cond,emb_neg_eig,emb_min_eig
RTH,0.05,1.0099504938362078,H0.05,1,1877616317,-1.1115996533079429,1.0368107991039353,2.9953831452447957,0.006577519489134461,87.72616715940549,0,0.0004677914385424753
RTH,0.05,1.0099504938362078,H0.05,2,3798019970,-1.1256482293381294,1.0626508472201648,2.9275730314737602,0.0047521148460078775,90.08810698968472,0,0.0004677914385424753
RTH,0.05,1.0099504938362078,H0.05,3,1535382838,-0.9136035161820167,1.0803147355661558,2.3043091865157748,0.0047432614034428385,57.73960592604099,0,0.0004677914385424753
RTH,0.05,1.0099504938362078,H0.05,4,1420599095,-1.0768118913354152,1.052472116511332,2.9603975485564593,0.0028758841097818893,81.7199350255347,0,0.0004677914385424753
RTH,0.1,1.0099504938362078,H0.10,0,3372346253,-1.066840885003993,0.931475599798613,2.872537867033961,0.008218612885695507,79.84907618972007,0,0.0016981079982429925
RTH,0.1,1.0099504938362078,H0.10,1,2586686049,-1.189854651013293,0.9837533466185338,3.4074933473069717,0.006439901847368568,104.14350540661528,0,0.0016981079982429925
RTH,0.1,1.0099504938362078,H0.10,2,3632738436,-1.3080318417741974,1.0461198817150845,4.448443903516942,0.019762932695103912,136.27089343908037,0,0.0016981079982429925
RTH,0.1,1.0099504938362078,H0.10,3,2871638207,-1.2060031964384998,1.1218857821205774,3.251394708323429,0.011408009494574932,107.24473892216461,0,0.0016981079982429925
RTH,0.1,1.0099504938362078,H0.10,4,223397461,-1.108440212193574,1.0632599121310888,3.2854022756761663,0.012477525172259037,88.10256673955129,0,0.0016981079982429925
RTH,0.2,1.0099504938362078,H0.20,0,2120304260,-0.9376357510845533,1.0201368436578482,2.4508835414336705,0.004258271568081804,60.91971142912355,0,0.011188230819874967
RTH,0.2,1.0099504938362078,H0.20,1,3591056955,-0.9993196331326087,1.1006046007005426,2.6003154649366413,0.017717365134743056,69.11881587120446,0,0.011188230819874967
RTH,0.2,1.0099504938362078,H0.20,2,1473657691,-1.1347199640820587,1.0463519091707851,3.1167960602525455,0.013052744113684032,92.2869405830253,0,0.011188230819874967
RTH,0.2,1.0099504938362078,H0.20,3,3671373098,-1.040187798522304,1.0527226914900913,2.783244737313085,0.011740100205180178,75.47816798374386,0,0.011188230819874967
RTH,0.2,1.0099504938362078,H0.20,4,2101084190,-1.1375425806892403,0.9964744821715141,3.150439934943664,0.007749041299637913,92.91446636122491,0,0.011188230819874967
RTH,0.3,1.0099504938362078,H0.30,0,2479043254,-1.0051202924400933,1.061777727006853,2.470105102256057,0.0065849948636922265,69.5517817645104,0,0.05528646592043529
RTH,0.3,1.0099504938362078,H0.30,1,51613025,-1.068785577367603,1.0041169829820913,2.6407674047648464,0.004536141893136681,79.53758550073282,0,0.05528646592043529
RTH,0.3,1.0099504938362078,H0.30,2,651663081,-1.1102561104544095,1.041842673772943,3.185045261331648,0.005898563218828521,88.07366850816513,0,0.05528646592043529
RTH,0.3,1.0099504938362078,H0.30,3,151123832,-1.1789108804694917,1.0368972537155403,3.4216197605819585,0.003650681010030354,101.89076142004829,0,0.05528646592043529
RTH,0.3,1.0099504938362078,H0.30,4,325920356,-1.1237361000565291,1.0241828722591815,3.4242524388829754,0.015876469716040353,91.28956024295607,0,0.05528646592043529
RTH,0.45,1.0099504938362078,H0.45,0,2616399089,-0.9854985775085258,0.9708207262346543,2.689766815159266,0.010588901448984337,67.58355024954606,0,0.49586035817205243
RTH,0.45,1.0099504938362078,H0.45,1,4004836746,-1.1479744328732984,1.0185626963323415,3.542695995703916,0.007195544069842659,96.17678853514285,0,0.49586035817205243
RTH,0.45,1.0099504938362078,H0.45,2,2477071830,-1.0217135253828546,1.0051743899991772,2.769447094743734,0.007735621391076322,72.75178610624073,0,0.49586035817205243
RTH,0.45,1.0099504938362078,H0.45,3,565043629,-1.1049131387344688,1.0135297612295162,3.0830270650774865,0.014457593346290468,86.81552124099804,0,0.49586035817205243
RTH,0.45,1.0099504938362078,H0.45,4,3084038091,-1.0341902472335658,0.992205493836557,2.5474555987416307,0.012434014392322043,73.93025633882735,0,0.49586035817205243
RTH,0.5,1.0099504938362078,H0.50,0,2448779512,-1.1184893512392318,0.991361773710849,3.3002866192481624,0.009368971924169016,89.91328737727143,0,1.0
RTH,0.5,1.0099504938362078,H0.50,1,2417552553,-1.2576416544950881,1.0657211790616234,3.9514663467986875,0.005508128892197789,121.40030470502758,0,1.0
RTH,0.5,1.0099504938362078,H0.50,2,2499929059,-1.1262808209134976,0.9957264071163969,3.380221375211978,0.006889165004128003,91.58663401822687,0,1.0
RTH,0.5,1.0099504938362078,H0.50,3,100714235,-1.127632922162837,0.9781103804911943,2.9013308753674014,0.0074993591027776455,90.39113966274867,0,1.0
RTH,0.5,1.0099504938362078,H0.50,4,1159159948,-1.222239553649466,1.0759293712282667,3.5370491191181106,0.017435899698429822,111.68500612387612,0,1.0
GLOBEX,0.05,0.5049752469181039,sens_H0.05_sw0.505,0,77540693,-1.3746232635232898,1.0476745572563197,4.779694854930272,0.010041735488433621,160.51575245550046,0,0.00014951190303769124
GLOBEX,0.05,0.5049752469181039,sens_H0.05_sw0.505,1,4011799073,-1.0798586410713198,1.027178365883943,2.738911152037681,0.0036338754352299284,82.06764876891134,0,0.00014951190303769124
GLOBEX,0.05,0.5049752469181039,sens_H0.05_sw0.505,2,2970083038,-1.0764238761399405,0.9886638334210414,2.349502935309967,0.011916263450064446,81.02101355368507,0,0.00014951190303769124
GLOBEX,0.05,0.5049752469181039,sens_H0.05_sw0.505,3,3956283172,-1.0899676224111963,1.0387050655119403,2.6094998814319195,0.004119645421747041,83.70375537262863,0,0.00014951190303769124
GLOBEX,0.05,0.5049752469181039,sens_H0.05_sw0.505,4,3928901524,-1.1683280119977597,1.0048593769337832,3.3773586951278878,0.0032687360870740896,100.59528891113753,0,0.00014951190303769124
GLOBEX,0.5,0.5049752469181039,sens_H0.50_sw0.505,0,268993732,-1.161528758628442,0.991610951381341,3.162185051663204,0.011696226632657538,98.70995669921744,0,1.0
GLOBEX,0.5,0.5049752469181039,sens_H0.50_sw0.505,1,2656789626,-1.3368554040192278,0.9723099642513721,4.222537829678452,0.005917095008558777,146.78763483996016,0,1.0
GLOBEX,0.5,0.5049752469181039,sens_H0.50_sw0.505,2,3624215743,-1.1455037603482456,1.056576759907569,3.5329103249794,0.007497267346005313,96.21264522173104,0,1.0
GLOBEX,0.5,0.5049752469181039,sens_H0.50_sw0.505,3,232699074,-1.0519101392345531,1.053642590963721,2.731746884933571,0.007163642535938107,77.27550111941619,0,1.0
GLOBEX,0.5,0.5049752469181039,sens_H0.50_sw0.505,4,582305796,-1.1200322736555455,1.0110348664786883,2.906413055099082,0.008459123079390415,89.80569409484492,0,1.0
GLOBEX,0.05,2.0199009876724157,sens_H0.05_sw2.020,0,2000243419,-0.9688410291430924,1.0577454905534254,2.908854269806741,0.013935602481923702,65.51417218673556,0,0.00014951190303769124
GLOBEX,0.05,2.0199009876724157,sens_H0.05_sw2.020,1,1414863596,-0.8604877075419248,0.9722924125008183,2.3101365725414897,0.005927665895796487,51.17207025023597,0,0.00014951190303769124
GLOBEX,0.05,2.0199009876724157,sens_H0.05_sw2.020,2,2720324427,-1.115121855207867,1.0129399024036103,3.5559580025158524,0.0039276734573588995,90.39631742931176,0,0.00014951190303769124
GLOBEX,0.05,2.0199009876724157,sens_H0.05_sw2.020,3,4060717676,-1.0197192929543526,1.0582835904783348,2.878011328329035,0.010077926590880113,72.53954694882871,0,0.00014951190303769124
GLOBEX,0.05,2.0199009876724157,sens_H0.05_sw2.020,4,3503317597,-0.9268190962735193,1.0597113061231018,2.230287260197782,0.009091276400362348,58.44133379380379,0,0.00014951190303769124
GLOBEX,0.5,2.0199009876724157,sens_H0.50_sw2.020,0,461225469,-1.106432489916155,1.0712994255299373,3.9329828838936893,0.00799594917069269,90.07449503418748,0,1.0
GLOBEX,0.5,2.0199009876724157,sens_H0.50_sw2.020,1,1121510786,-1.030926924771627,1.042485054610471,3.404306245541497,0.007867530360825731,75.85990715011134,0,1.0
GLOBEX,0.5,2.0199009876724157,sens_H0.50_sw2.020,2,1640385632,-0.9982135331379601,1.051178042347455,3.231988021307073,0.011263552817063587,70.55669370658345,0,1.0
GLOBEX,0.5,2.0199009876724157,sens_H0.50_sw2.020,3,971749602,-1.1362595670932865,1.0128644871407437,3.696123515709033,0.01083900230335757,94.8389944672251,0,1.0
GLOBEX,0.5,2.0199009876724157,sens_H0.50_sw2.020,4,1223122574,-1.0584832311577614,1.1131430849376143,3.353658997721156,0.012496365821351375,79.95893946875282,0,1.0
RTH,0.05,0.5049752469181039,sens_H0.05_sw0.505,0,2132213881,-1.140479741889274,0.9348221282489089,3.290385429345145,0.0034968855167420514,93.89710796416817,0,0.0004677914385424753
RTH,0.05,0.5049752469181039,sens_H0.05_sw0.505,1,3460709608,-1.0853912788563065,1.0835039304198806,2.7648622015148017,0.0075786043581157585,82.58148547848502,0,0.0004677914385424753
RTH,0.05,0.5049752469181039,sens_H0.05_sw0.505,2,3424813410,-1.1884130604951118,1.018852804240337,3.432815841041858,0.016527440984706838,103.91265526914772,0,0.0004677914385424753
RTH,0.05,0.5049752469181039,sens_H0.05_sw0.505,3,1340721734,-1.0523652522087785,1.0207927148598204,2.687890880345928,0.004928912112749249,77.05212197807502,0,0.0004677914385424753
RTH,0.05,0.5049752469181039,sens_H0.05_sw0.505,4,2308100759,-1.1559123204640702,1.0012845043597132,3.3307010240377086,0.010201933238588454,96.98483315736341,0,0.0004677914385424753
RTH,0.5,0.5049752469181039,sens_H0.50_sw0.505,0,3638645941,-1.1761956789104637,1.011961129115319,3.431800461043652,0.008249533981754664,101.36328252175402,0,1.0
RTH,0.5,0.5049752469181039,sens_H0.50_sw0.505,1,3038698075,-1.1074801600037911,0.9939086117879158,2.8363881575408865,0.007679023595174613,86.5725568645922,0,1.0
RTH,0.5,0.5049752469181039,sens_H0.50_sw0.505,2,2883654602,-1.1350729345082828,1.0252692478824683,3.3202078291349446,0.020027431805919874,92.98565996470806,0,1.0
RTH,0.5,0.5049752469181039,sens_H0.50_sw0.505,3,2241798505,-0.978355510366618,1.0636621552981862,2.276359611091773,0.006202890122981293,65.47942230764271,0,1.0
RTH,0.5,0.5049752469181039,sens_H0.50_sw0.505,4,774987424,-1.1082973569385914,1.0455341260458837,3.3243807180774425,0.008251534809931531,88.21804530440828,0,1.0
RTH,0.05,2.0199009876724157,sens_H0.05_sw2.020,0,2882597285,-0.9557950420579495,1.0581431443919915,2.602228792625106,0.011571145875452316,63.579444302655396,0,0.0004677914385424753
RTH,0.05,2.0199009876724157,sens_H0.05_sw2.020,1,3060469979,-1.1190957091130662,1.029831410951647,3.030647574214266,0.008578832652855346,89.16798287545042,0,0.0004677914385424753
RTH,0.05,2.0199009876724157,sens_H0.05_sw2.020,2,137398097,-1.0956595352363994,1.0513392123065208,3.2337301090415767,0.01011902804438403,85.74519291221095,0,0.0004677914385424753
RTH,0.05,2.0199009876724157,sens_H0.05_sw2.020,3,485513178,-0.9941854887590821,1.0622277567125908,3.084360137786238,0.010130423737852796,70.2652657459483,0,0.0004677914385424753
RTH,0.05,2.0199009876724157,sens_H0.05_sw2.020,4,3578077177,-0.9565378621592849,1.0123194944768743,2.6974143803747412,0.009069502274359681,64.0221365127569,0,0.0004677914385424753
RTH,0.5,2.0199009876724157,sens_H0.50_sw2.020,0,3578345088,-1.0477699776757792,0.9455319238159285,3.3223931154201023,0.006013014032821885,78.61098526529668,0,1.0
RTH,0.5,2.0199009876724157,sens_H0.50_sw2.020,1,76519034,-1.1025901838240233,0.9949960800002674,3.7942225051313136,0.009241370269281849,89.20739237826807,0,1.0
RTH,0.5,2.0199009876724157,sens_H0.50_sw2.020,2,821921470,-0.9657382886971555,1.0750365306865468,3.358839182553376,0.016701597777977115,68.18884950661162,0,1.0
RTH,0.5,2.0199009876724157,sens_H0.50_sw2.020,3,2883414192,-1.0758866450377165,0.9999719950892003,3.7736302710102234,0.004225663502328932,84.8869860631199,0,1.0
RTH,0.5,2.0199009876724157,sens_H0.50_sw2.020,4,1477136301,-0.8289691214596325,0.9819447626032144,2.3581131174605536,0.015262142236852294,49.68967754753915,0,1.0
