cell,candidate,n,n_zero,share_zero,r2_floored,r2_repaired,lift,lam_intercept,keep_floored,keep_repaired,keep_floored_corr,keep_repaired_corr,status_changes
ES/RTH/B1/30min,JumpVar,22811,11080,0.48573056858533165,0.00018186990541827226,0.010714824952660405,0.010532955047242132,0.3958240376050629,False,False,False,True,False
ES/RTH/B1/30min,Parkinson,22811,0,0.0,0.5554209795192917,0.5554209795192917,0.0,0.3958240376050629,True,True,True,True,False
ES/RTH/B1/30min,GarmanKlass,22811,0,0.0,0.5671243775815537,0.5671243775815537,0.0,0.3958240376050629,True,True,True,True,False
ES/RTH/B1/30min,RealizedQuarticity,22811,0,0.0,0.5190305924628488,0.5190305924628488,0.0,0.3958240376050629,True,True,True,True,False
NQ/RTH/B0/1day,RS_up,1900,0,0.0,0.6104083524286786,0.6104083524286786,0.0,0.9312843759268288,True,True,True,True,False
NQ/RTH/B0/1day,RS_down,1900,0,0.0,0.5997625858198221,0.5997625858198221,0.0,0.9312843759268288,True,True,True,True,False
NQ/RTH/B0/1day,JumpVar,1900,652,0.3431578947368421,0.003924405918603044,0.0037713293590722024,-0.00015307655953084162,0.9312843759268288,False,False,False,False,False
NQ/RTH/B0/1day,Parkinson,1900,0,0.0,0.5804871342372645,0.5804871342372645,0.0,0.9312843759268288,True,True,True,True,False
NQ/RTH/B0/1day,GarmanKlass,1900,0,0.0,0.5803928608220689,0.5803928608220689,0.0,0.9312843759268288,True,True,True,True,False
NQ/RTH/B0/1day,RealizedQuarticity,1900,0,0.0,0.5975681978983252,0.5975681978983252,0.0,0.9312843759268288,True,True,True,True,False
NQ/RTH/B0/1h,RS_up,11405,2,0.00017536168347216134,0.00918846972329676,0.35635052014878826,0.34716205042549153,0.8101747602302579,False,True,False,True,True
NQ/RTH/B0/1h,RS_down,11405,5,0.00043840420868040335,0.008001455242790768,0.4127720267262875,0.4047705714834967,0.8101747602302579,False,True,False,True,True
NQ/RTH/B0/1h,JumpVar,11405,5398,0.4733011836913634,0.00012031014883699323,0.008042337057000793,0.0079220269081638,0.8101747602302579,False,False,False,False,False
NQ/RTH/B0/1h,Parkinson,11405,0,0.0,0.4692786003329961,0.4692786003329961,0.0,0.8101747602302579,True,True,True,True,False
NQ/RTH/B0/1h,GarmanKlass,11405,0,0.0,0.4823386446686295,0.4823386446686295,0.0,0.8101747602302579,True,True,True,True,False
NQ/RTH/B0/1h,RealizedQuarticity,11405,0,0.0,0.4730579802149364,0.4730579802149364,0.0,0.8101747602302579,True,True,True,True,False
NQ/RTH/B0/30min,RS_up,22811,291,0.012757003200210424,0.0005732543690184264,0.18380183834581929,0.18322858397680086,0.6765338975574761,False,True,False,True,True
NQ/RTH/B0/30min,RS_down,22811,406,0.01779843058173688,0.002073657685147674,0.2502638841947961,0.24819022650964845,0.6765338975574761,False,True,False,True,True
NQ/RTH/B0/30min,JumpVar,22811,11242,0.4928324054184385,0.00010377269466506639,0.008455635957231733,0.008351863262566666,0.6765338975574761,False,False,False,False,False
NQ/RTH/B0/30min,Parkinson,22811,0,0.0,0.507162956094994,0.507162956094994,0.0,0.6765338975574761,True,True,True,True,False
NQ/RTH/B0/30min,GarmanKlass,22811,0,0.0,0.5214444493988363,0.5214444493988363,0.0,0.6765338975574761,True,True,True,True,False
NQ/RTH/B0/30min,RealizedQuarticity,22811,0,0.0,0.47634415800937724,0.47634415800937724,0.0,0.6765338975574761,True,True,True,True,False
NQ/RTH/B1/1day,RS_up,1900,0,0.0,0.6155255006891709,0.6155255006891709,0.0,0.9312843759268288,True,True,True,True,False
NQ/RTH/B1/1day,RS_down,1900,0,0.0,0.5963867366409349,0.5963867366409349,0.0,0.9312843759268288,True,True,True,True,False
NQ/RTH/B1/1day,JumpVar,1900,701,0.36894736842105263,0.005019148443603262,0.0028486812814292914,-0.0021704671621739706,0.9312843759268288,False,False,False,False,False
NQ/RTH/B1/1day,Parkinson,1900,0,0.0,0.5801102210422953,0.5801102210422953,0.0,0.9312843759268288,True,True,True,True,False
NQ/RTH/B1/1day,GarmanKlass,1900,0,0.0,0.5796522714409251,0.5796522714409251,0.0,0.9312843759268288,True,True,True,True,False
NQ/RTH/B1/1day,RealizedQuarticity,1900,0,0.0,0.596572281750948,0.596572281750948,0.0,0.9312843759268288,True,True,True,True,False
