cell,dropped_M,b,b_full,deviation,rmse,n_grid
SPY/ARCX/TICK,78,-0.5337701953826575,-0.5332573378046044,0.0005128575780530831,0.05772197976596595,14
SPY/ARCX/TICK,130,-0.5477718583831943,-0.5332573378046044,0.014514520578589929,0.057396358707787816,14
SPY/ARCX/TICK,195,-0.5465885343898286,-0.5332573378046044,0.013331196585224192,0.057054767079978926,14
SPY/ARCX/TICK,390,-0.5351708798629363,-0.5332573378046044,0.0019135420583319407,0.057030546374825,14
SPY/ARCX/TICK,780,-0.5233399413698056,-0.5332573378046044,0.00991739643479883,0.056798689090181105,14
SPY/ARCX/TICK,1560,-0.5089348860368701,-0.5332573378046044,0.024322451767734288,0.05647669084488144,14
SPY/ARCX/TICK,2340,-0.5019314282829139,-0.5332573378046044,0.031325909521690454,0.056496705396548746,14
SPY/ARCX/TICK,4680,-0.4817561802298901,-0.5332573378046044,0.051501157574714296,0.055977678336503925,14
SPY/ARCX/TICK,11700,-0.7559291666485882,-0.5332573378046044,0.22267182884398384,0.008267238913341137,14
SPY/XNAS/TICK,5,-0.452663388762058,-0.5985384739875643,0.1458750852255063,0.05755564447787119,14
SPY/XNAS/TICK,6,-0.6084800610627041,-0.5985384739875643,0.009941587075139813,0.06097932661818485,14
SPY/XNAS/TICK,10,-0.5750007207003441,-0.5985384739875643,0.023537753287220187,0.06011675910473823,14
SPY/XNAS/TICK,13,-0.5717131619522593,-0.5985384739875643,0.026825312035305027,0.060620129639767414,14
SPY/XNAS/TICK,26,-0.5297203763563654,-0.5985384739875643,0.06881809763119895,0.059447931860650165,14
SPY/XNAS/TICK,39,-0.5985434261873985,-0.5985384739875643,4.952199834207249e-06,0.061072546154222904,14
SPY/XNAS/TICK,78,-0.6167026878951236,-0.5985384739875643,0.01816421390755929,0.0608468404867765,14
SPY/XNAS/TICK,130,-0.615547256706031,-0.5985384739875643,0.01700878271846673,0.0605795725424826,14
SPY/XNAS/TICK,195,-0.6105445849454133,-0.5985384739875643,0.012006110957848981,0.06034267824269934,14
SPY/XNAS/TICK,390,-0.5973927308537875,-0.5985384739875643,0.0011457431337767998,0.060137953352105644,14
SPY/XNAS/TICK,780,-0.5855469016109646,-0.5985384739875643,0.012991572376599758,0.060266456825328336,14
SPY/XNAS/TICK,1560,-0.5734817391818654,-0.5985384739875643,0.02505673480569892,0.060155726870955745,14
SPY/XNAS/TICK,2340,-0.5672269215208928,-0.5985384739875643,0.0313115524666715,0.06014176408611214,14
SPY/XNAS/TICK,4680,-0.552668222727215,-0.5985384739875643,0.04587025126034927,0.05990380120751328,14
SPY/XNAS/TICK,11700,-0.8301503587469724,-0.5985384739875643,0.23161188475940808,0.01462399964991547,14
