cell,par_i,par_j,boot_corr,asym_corr
NQ/RTH/B1/1day,b,c,-0.15745664632071563,-0.7481562588648306
NQ/RTH/B1/1day,b,A,-0.910012828815878,-0.9722641244493343
NQ/RTH/B1/1day,b,b,1.0,1.0
NQ/RTH/B1/1h,c,c,0.9999999999999999,1.0
NQ/RTH/B1/1h,c,A,0.481962627424935,0.8101633422792033
NQ/RTH/B1/1h,c,b,-0.5621413305534141,-0.9446267753494074
NQ/RTH/B1/1h,A,c,0.48196262742493506,0.8101633422792033
NQ/RTH/B1/1h,A,A,1.0,1.0
NQ/RTH/B1/1h,A,b,-0.9002361161573433,-0.9506433118472467
NQ/RTH/B1/1h,b,c,-0.5621413305534141,-0.9446267753494074
NQ/RTH/B1/1h,b,A,-0.9002361161573434,-0.9506433118472467
NQ/RTH/B1/1h,b,b,0.9999999999999999,1.0
NQ/RTH/B1/30min,c,c,0.9999999999999999,1.0
NQ/RTH/B1/30min,c,A,0.7315906242535244,0.8957301530182255
NQ/RTH/B1/30min,c,b,-0.8524176112810256,-0.9795591493359699
NQ/RTH/B1/30min,A,c,0.7315906242535244,0.8957301530182255
NQ/RTH/B1/30min,A,A,1.0,1.0
NQ/RTH/B1/30min,A,b,-0.9205710100255764,-0.9646101692562447
NQ/RTH/B1/30min,b,c,-0.8524176112810254,-0.9795591493359699
NQ/RTH/B1/30min,b,A,-0.9205710100255764,-0.9646101692562447
NQ/RTH/B1/30min,b,b,1.0,1.0
SPY/ARCX/TICK,c,c,0.9999999999999999,1.0
SPY/ARCX/TICK,c,A,0.12493335706509114,0.5814852600928816
SPY/ARCX/TICK,c,b,-0.1219477565792298,-0.812730179690509
SPY/ARCX/TICK,A,c,0.12493335706509114,0.5814852600928816
SPY/ARCX/TICK,A,A,1.0,1.0
SPY/ARCX/TICK,A,b,-0.8959389670036554,-0.9171555192940893
SPY/ARCX/TICK,b,c,-0.12194775657922981,-0.812730179690509
SPY/ARCX/TICK,b,A,-0.8959389670036553,-0.9171555192940893
SPY/ARCX/TICK,b,b,1.0,1.0
SPY/XNAS/TICK,c,c,1.0,1.0
SPY/XNAS/TICK,c,A,0.10087948136584987,0.5689948701610075
SPY/XNAS/TICK,c,b,-0.06538632510653869,-0.7748846850342269
SPY/XNAS/TICK,A,c,0.10087948136584986,0.5689948701610075
SPY/XNAS/TICK,A,A,1.0,1.0
SPY/XNAS/TICK,A,b,-0.9160998723176553,-0.9330773855621798
SPY/XNAS/TICK,b,c,-0.06538632510653869,-0.7748846850342269
SPY/XNAS/TICK,b,A,-0.9160998723176552,-0.9330773855621798
SPY/XNAS/TICK,b,b,1.0,1.0
