root,geom,model_i,model_j,corr
NQ,RTH,M1_EWMA,M6_GK,0.48233067597487767
NQ,RTH,M2_HAR,M1_EWMA,0.6778289499440248
NQ,RTH,M2_HAR,M2_HAR,1.0
NQ,RTH,M2_HAR,M3_HARJ,0.9789095972231794
NQ,RTH,M2_HAR,M4_HARQ,0.9751810047208169
NQ,RTH,M2_HAR,M5_RGARCH,0.8447528991628653
NQ,RTH,M2_HAR,M6_PARK,0.7771137861579919
NQ,RTH,M2_HAR,M6_GK,0.8069692480854846
NQ,RTH,M3_HARJ,M1_EWMA,0.6669339492064261
NQ,RTH,M3_HARJ,M2_HAR,0.9789095972231793
NQ,RTH,M3_HARJ,M3_HARJ,1.0
NQ,RTH,M3_HARJ,M4_HARQ,0.9566006574923382
NQ,RTH,M3_HARJ,M5_RGARCH,0.8307297382199297
NQ,RTH,M3_HARJ,M6_PARK,0.7729397555636768
NQ,RTH,M3_HARJ,M6_GK,0.8016504706065678
NQ,RTH,M4_HARQ,M1_EWMA,0.5990210395387031
NQ,RTH,M4_HARQ,M2_HAR,0.975181004720817
NQ,RTH,M4_HARQ,M3_HARJ,0.9566006574923382
NQ,RTH,M4_HARQ,M4_HARQ,0.9999999999999998
NQ,RTH,M4_HARQ,M5_RGARCH,0.8735434036261772
NQ,RTH,M4_HARQ,M6_PARK,0.8066586757712344
NQ,RTH,M4_HARQ,M6_GK,0.8418286120212033
NQ,RTH,M5_RGARCH,M1_EWMA,0.43842270624622015
NQ,RTH,M5_RGARCH,M2_HAR,0.8447528991628653
NQ,RTH,M5_RGARCH,M3_HARJ,0.8307297382199297
NQ,RTH,M5_RGARCH,M4_HARQ,0.8735434036261773
NQ,RTH,M5_RGARCH,M5_RGARCH,1.0
NQ,RTH,M5_RGARCH,M6_PARK,0.7135788559849827
NQ,RTH,M5_RGARCH,M6_GK,0.7499364187758387
NQ,RTH,M6_PARK,M1_EWMA,0.48059361187460337
NQ,RTH,M6_PARK,M2_HAR,0.7771137861579919
NQ,RTH,M6_PARK,M3_HARJ,0.7729397555636768
NQ,RTH,M6_PARK,M4_HARQ,0.8066586757712343
NQ,RTH,M6_PARK,M5_RGARCH,0.7135788559849827
NQ,RTH,M6_PARK,M6_PARK,1.0
NQ,RTH,M6_PARK,M6_GK,0.946807778337471
NQ,RTH,M6_GK,M1_EWMA,0.48233067597487767
NQ,RTH,M6_GK,M2_HAR,0.8069692480854846
NQ,RTH,M6_GK,M3_HARJ,0.8016504706065678
NQ,RTH,M6_GK,M4_HARQ,0.8418286120212033
NQ,RTH,M6_GK,M5_RGARCH,0.7499364187758386
NQ,RTH,M6_GK,M6_PARK,0.9468077783374709
NQ,RTH,M6_GK,M6_GK,1.0
