cell,proxy,n_grid,grid,c,A,b,rmse,cond,b_lo,b_hi,b_se,b_trigamma_ref,ref_inside_95,screen_tight,corr_cb,corr_Ab,n_boot_ok
ES/RTH/B0/30min,RK,5,5;6;10;15;30,-3.245576249857162,7.19641834745332,-0.08846826085811572,0.043914553308017135,14640.132804665234,-0.40234826703927856,-0.00025850681811380764,0.12908069734269273,-1.1971005917687416,False,False,-0.6054102842668929,0.605124165947661,2000
ES/RTH/B0/30min,TSRV,5,5;6;10;15;30,0.7661017531073141,3.9949835657643,-0.32718874059562714,0.018542176255028853,277.814494097758,-0.5237631961046056,-0.1310916794334632,0.0978150256396455,-1.1971005917687416,False,False,-0.7354132592519785,0.5501392347930382,2000
ES/RTH/B1/1day,RV,8,5;6;10;13;26;78;195;389,1.0809384805098678,2.3278820007632417,-0.6274444402914557,0.029115212345218845,36.519380493780425,-0.7574250147470574,-0.504418827042027,0.0642819303609207,-1.144373249661363,False,True,-0.35495993173335216,-0.8970671595199563,2000
ES/RTH/B1/1day,RK,8,5;6;10;13;26;78;195;389,1.2759939061012253,4.742975522811875,-0.7134874950207222,0.01873324409888838,60.80159772068902,-0.9124323593702574,-0.5534351416923878,0.09108824742333542,-1.144373249661363,False,True,-0.6065080424418472,-0.9286570979712914,2000
ES/RTH/B1/1day,TSRV,8,5;6;10;13;26;78;195;389,0.9955337777964193,4.123693003418672,-0.454950455977496,0.06125326659549472,44.94735936773167,-0.6177537333714951,-0.3192828752611597,0.07576778955585663,-1.144373249661363,False,True,-0.8907326474348302,-0.8929697735670815,2000
ES/RTH/B1/1h,RV,9,4;5;6;10;12;15;20;30;60,1.0519367964516115,2.326387548297944,-0.4658063390118118,0.015092670186823661,37.39987542402396,-0.5296488829031809,-0.4013883606816371,0.0335605343712861,-1.2097127786327901,False,True,-0.9099583884356524,-0.6692244493798715,2000
ES/RTH/B1/1h,RK,9,4;5;6;10;12;15;20;30;60,1.3874683248434903,3.461766125120805,-0.49799361032390793,0.04447395951813599,44.5458151075459,-0.5872586092036293,-0.4133945966340376,0.043966640597090025,-1.2097127786327901,False,True,-0.929024956629216,-0.7429988925706633,2000
ES/RTH/B1/1h,TSRV,9,4;5;6;10;12;15;20;30;60,1.2502471169364695,3.9977175127550058,-0.47652002399628496,0.0314054073459137,51.22122768291803,-0.5869321807148555,-0.37051115262746603,0.055753945159931755,-1.2097127786327901,False,True,-0.9546929405473149,-0.740089861922701,2000
ES/RTH/B1/30min,RV,5,5;6;10;15;30,0.8153215093016217,2.5881134806179196,-0.4111082142208998,0.004457446926741688,97.82049114529003,-0.47626979642939454,-0.34086665451743536,0.035421970603573764,-1.1971005917687416,False,False,-0.971195783992971,-0.20150687461821812,2000
ES/RTH/B1/30min,RK,5,5;6;10;15;30,-3.245576249857162,7.19641834745332,-0.08846826085811572,0.043914553308017135,14640.132804665234,-0.40244045868810063,-0.0002721016500311689,0.13233454329157066,-1.1971005917687416,False,False,-0.6074839522243701,0.6071875742041094,2000
ES/RTH/B1/30min,TSRV,5,5;6;10;15;30,0.7661017531073141,3.9949835657643,-0.32718874059562714,0.018542176255028853,277.814494097758,-0.5164572082484082,-0.13210858191689756,0.0984883887526926,-1.1971005917687416,False,False,-0.13041510114351268,0.12168221076081978,2000
NQ/RTH/B0/1day,RV,8,5;6;10;13;26;78;195;389,1.0567722612196038,3.5897308405926833,-0.9743997456786048,0.0162496697379852,70.4702749017908,-1.1273947985307653,-0.8343149985398554,0.07666836454637556,-1.144373249661363,False,True,-0.18429180294852668,-0.9110871785462726,2000
NQ/RTH/B0/1day,RK,8,5;6;10;13;26;78;195;389,1.0689268806105787,5.065440434778012,-0.728950125755739,0.027799506471743177,64.56876265945938,-0.8715513832196736,-0.6020397859679173,0.06850451322300527,-1.144373249661363,False,True,-0.5645230277042425,-0.9145056529374186,2000
NQ/RTH/B0/1day,TSRV,8,5;6;10;13;26;78;195;389,0.9424659766860967,4.915386931824996,-0.5856995260449798,0.04844505811358668,57.53435047125663,-0.7722925661028853,-0.43969640409380445,0.08244053456979127,-1.144373249661363,False,True,-0.8617589532171345,-0.9407334424831231,2000
NQ/RTH/B0/1h,RV,9,4;5;6;10;12;15;20;30;60,1.4248965273456762,2.440780214875596,-0.8032152189778061,0.011876103992107825,48.37411582967017,-0.8978326341042335,-0.7139965630089969,0.04660476253552586,-1.2097127786327901,False,True,-0.58940079977845,-0.9095787572488564,2000
NQ/RTH/B0/1h,RK,9,4;5;6;10;12;15;20;30;60,1.3122066938637347,3.362641779608639,-0.49050978031621784,0.034971803294021345,44.042224021651265,-0.5811848179752634,-0.40016847912205644,0.046381498880343375,-1.2097127786327901,False,True,-0.9377685420844398,-0.7139893603407432,2000
NQ/RTH/B0/1h,TSRV,9,4;5;6;10;12;15;20;30;60,1.2848301426221018,4.382567803582224,-0.5695622959841593,0.03668553047447467,53.366981089924785,-0.6732528394011331,-0.4657300841924171,0.05276687057004715,-1.2097127786327901,False,True,-0.9459096229075911,-0.8793420639892551,2000
NQ/RTH/B0/30min,RV,5,5;6;10;15;30,1.3684356848201322,2.329910031201251,-0.7009504764461806,0.005302468130272782,73.86245859309612,-0.7937155428382195,-0.6081580683347011,0.04720233123124835,-1.1971005917687416,False,False,-0.8619350475392338,-0.9180616911105456,2000
NQ/RTH/B0/30min,RK,5,5;6;10;15;30,1.1055525179333794,3.5774950725210757,-0.4067252183424619,0.03006681470099005,128.08324552608335,-0.5489933690667861,-0.26810236967541334,0.07300943294132183,-1.1971005917687416,False,False,-0.9566475981703089,-0.013782927911468226,2000
NQ/RTH/B0/30min,TSRV,5,5;6;10;15;30,1.0145089436110646,4.168222728220241,-0.4386371459867476,0.014203787188167161,118.07514379802262,-0.6079758534347564,-0.2813898859203265,0.08367157788433137,-1.1971005917687416,False,False,-0.8970107358734373,-0.2505733568103869,2000
NQ/RTH/B1/1day,RV,8,5;6;10;13;26;78;195;389,1.0567722612196038,3.5897308405926833,-0.9743997456786048,0.0162496697379852,70.4702749017908,-1.1340861249941074,-0.8275511987908722,0.07731911455152427,-1.144373249661363,False,True,-0.12975663861012088,-0.9149514995273438,2000
NQ/RTH/B1/1day,RK,8,5;6;10;13;26;78;195;389,1.0689268806105787,5.065440434778012,-0.728950125755739,0.027799506471743177,64.56876265945938,-0.875739833046364,-0.5928336222897529,0.07074221727943496,-1.144373249661363,False,True,-0.5815542574274493,-0.9217843565766518,2000
NQ/RTH/B1/1day,TSRV,8,5;6;10;13;26;78;195;389,0.9424659766860967,4.915386931824996,-0.5856995260449798,0.04844505811358668,57.53435047125663,-0.761039960197555,-0.4372154192662171,0.08029814637497458,-1.144373249661363,False,True,-0.845227578004086,-0.9357469123818579,2000
NQ/RTH/B1/1h,RV,9,4;5;6;10;12;15;20;30;60,1.4248965273456762,2.440780214875596,-0.8032152189778061,0.011876103992107825,48.37411582967017,-0.8966780424373938,-0.7123403488841494,0.04647721091399411,-1.2097127786327901,False,True,-0.5515068796733775,-0.9052727937917036,2000
NQ/RTH/B1/1h,RK,9,4;5;6;10;12;15;20;30;60,1.3122066938637347,3.362641779608639,-0.49050978031621784,0.034971803294021345,44.042224021651265,-0.5767222561800507,-0.40122115508927647,0.045382707965921136,-1.2097127786327901,False,True,-0.9348325062534022,-0.7296072451073758,2000
NQ/RTH/B1/1h,TSRV,9,4;5;6;10;12;15;20;30;60,1.2848301426221018,4.382567803582224,-0.5695622959841593,0.03668553047447467,53.366981089924785,-0.6755926132570247,-0.46665449589962693,0.0529013763521683,-1.2097127786327901,False,True,-0.9459648984807432,-0.8704309191775117,2000
NQ/RTH/B1/30min,RV,5,5;6;10;15;30,1.3684356848201322,2.329910031201251,-0.7009504764461806,0.005302468130272782,73.86245859309612,-0.7999951912270179,-0.6152273025439132,0.04688590657622926,-1.1971005917687416,False,False,-0.8634454794992348,-0.9205250210511797,2000
NQ/RTH/B1/30min,RK,5,5;6;10;15;30,1.1055525179333794,3.5774950725210757,-0.4067252183424619,0.03006681470099005,128.08324552608335,-0.5429108590488242,-0.2629048245045079,0.07226689948440213,-1.1971005917687416,False,False,-0.954018030522625,0.09601451327061546,2000
NQ/RTH/B1/30min,TSRV,5,5;6;10;15;30,1.0145089436110646,4.168222728220241,-0.4386371459867476,0.014203787188167161,118.07514379802262,-0.5994302722408564,-0.2784260418877358,0.0824896647260263,-1.1971005917687416,False,False,-0.9459032514204299,-0.31689120608415844,2000
SPY/ARCX/TICK,RV,15,5;6;10;13;26;39;78;130;195;390;780;1560;2340;4680;11700,1.0342942397323764,1.4569098932482172,-0.5332573378046044,0.05576491103751741,23.174298086131596,-0.6741100333478753,-0.4010333461014544,0.07137295394588335,-1.1261902267497008,False,True,-0.10878152617051746,-0.8954315316109671,2000
SPY/ARCX/TICK,RK,15,5;6;10;13;26;39;78;130;195;390;780;1560;2340;4680;11700,1.028984790306148,3.685171919357388,-0.6057452274371904,0.06334353338470078,37.747450739500586,-0.7207316127409098,-0.5072935892186031,0.05432004899887649,-1.1261902267497008,False,True,-0.2423010921262323,-0.8990703438828501,2000
SPY/ARCX/TICK,TSRV,15,5;6;10;13;26;39;78;130;195;390;780;1560;2340;4680;11700,1.0021375327761355,4.019536232668198,-0.5639538872096846,0.08677854680732969,38.51402580354488,-0.6790771442291147,-0.46907781310941277,0.05476636965482705,-1.1261902267497008,False,True,-0.3207018866905936,-0.9121414898145126,2000
SPY/XNAS/TICK,RV,15,5;6;10;13;26;39;78;130;195;390;780;1560;2340;4680;11700,1.0438873159534647,1.6770886062626031,-0.5985384739875643,0.05900168505030116,27.324601781257975,-0.7528502580834217,-0.453005441548913,0.078563453372864,-1.1261902267497008,False,True,-0.04626978728708661,-0.9119595893542441,2000
SPY/XNAS/TICK,RK,15,5;6;10;13;26;39;78;130;195;390;780;1560;2340;4680;11700,1.0447281450315289,4.340683557857206,-0.6705908529950825,0.07634101266630514,45.02819933630665,-0.8094318437490916,-0.5557865801504054,0.06608803078260682,-1.1261902267497008,False,True,-0.24751326520430256,-0.930480011165752,2000
SPY/XNAS/TICK,TSRV,15,5;6;10;13;26;39;78;130;195;390;780;1560;2340;4680;11700,0.9898773488683097,3.804416270064921,-0.5343435345397104,0.06778826031220578,36.078980292178265,-0.6507175284949034,-0.4307263342445015,0.05572973756211383,-1.1261902267497008,False,True,-0.3697271502059803,-0.9155920884924937,2000
