root,geom,horizon,M,rq_over_rv2,n_windows,constant_vol_value,excess,asym_var,trigamma,ratio_to_trigamma,is_5min
ES,RTH,1day,6,0.8127350736684258,1901,1.0,-0.1872649263315742,0.27091169122280856,0.39493406684822646,0.6859668840037549,False
ES,RTH,1day,10,0.9489043642702568,1901,1.0,-0.05109563572974318,0.18978087285405137,0.22132295573711533,0.8574839072702009,False
ES,RTH,1day,13,1.0226997230727515,1901,1.0,0.022699723072751476,0.15733841893426948,0.16628453574995827,0.9461999471247221,False
ES,RTH,1day,26,1.2006506074244323,1901,1.0,0.2006506074244323,0.09235773903264864,0.07995742842732394,1.1550864109717558,False
ES,RTH,1day,78,1.5060366662142837,1901,1.0,0.5060366662142837,0.03861632477472522,0.025972566037214765,1.4868120739165265,True
ES,RTH,1day,195,1.7512306323795346,1901,1.0,0.7512306323795346,0.017961339819277278,0.01030918704702152,1.7422653927369163,False
ES,RTH,1day,389,1.9283603774237195,1901,1.0,0.9283603774237195,0.009914449241253056,0.0051546277620026035,1.9234074115569566,False
ES,RTH,1h,4,0.6763386398073687,11406,1.0,-0.32366136019263125,0.3381693199036844,0.6449340668482266,0.5243471190106419,False
ES,RTH,1h,5,0.7355094511186595,11406,1.0,-0.2644905488813405,0.2942037804474638,0.4903577561002349,0.5999778259596349,False
ES,RTH,1h,6,0.7729415412757329,11406,1.0,-0.2270584587242671,0.25764718042524426,0.39493406684822646,0.6523802377480349,False
ES,RTH,1h,10,0.8935986766398785,11406,1.0,-0.10640132336012154,0.1787197353279757,0.22132295573711533,0.8075065450520044,False
ES,RTH,1h,12,0.9334638601682039,11406,1.0,-0.06653613983179607,0.155577310028034,0.18132295573711532,0.8580122102884328,True
ES,RTH,1h,15,0.987328044058074,11406,1.0,-0.01267195594192605,0.1316437392077432,0.1426158966967038,0.9230649756226355,False
ES,RTH,1h,20,1.0431676898120545,11406,1.0,0.043167689812054544,0.10431676898120545,0.10516633568168576,0.9919216858230019,False
