root,geom,btag,horizon,sample,candidate,n,n_dropped_predictor,share_dropped,n_dropped_target,ic,r2,lam_intercept,lam_theory,valid,r2_corr_measured,keep_raw,keep_measured,band_lo,band_hi,in_flip_band
ES,GLOBEX,B1,1day,insample,Parkinson,1952,0,0.0,0,0.7803537669093398,0.6089520015295962,0.8272250642225776,0.9930149647327526,True,0.7361382383908864,True,True,0.016544501284451552,0.02,False
ES,GLOBEX,B1,1day,insample,GarmanKlass,1952,0,0.0,0,0.7901299648810017,0.6243053614028531,0.8272250642225776,0.9930149647327526,True,0.7546983141638394,True,True,0.016544501284451552,0.02,False
ES,GLOBEX,B1,1day,insample,VolumeSurprise,1952,0,0.0,0,0.18513271129785847,0.03427412079249621,0.8272250642225776,0.9930149647327526,True,0.041432643031321686,True,True,0.016544501284451552,0.02,False
ES,GLOBEX,B1,1day,insample,CrossLeadLag,1947,5,0.0025614754098360654,0,0.6927935722617312,0.4799629337671706,0.8272250642225776,0.9930149647327526,True,0.5802084034025705,True,True,0.016544501284451552,0.02,False
ES,GLOBEX,B1,1day,insample,RealizedQuarticity,1952,0,0.0,0,0.793314645862576,0.6293481273400644,0.8272250642225776,0.9930149647327526,True,0.7607943165159327,True,True,0.016544501284451552,0.02,False
ES,GLOBEX,B1,1day,insample,SignatureSlope,1952,0,0.0,0,0.06265590564970373,0.003925762512784576,0.8272250642225776,0.9930149647327526,True,0.004745700635260599,False,False,0.016544501284451552,0.02,False
NQ,GLOBEX,B0,1day,insample,RS_up,1947,0,0.0,0,0.7897088593392217,0.6236400825188547,0.9399469453085768,0.9933437324775314,True,0.6634843441234003,True,True,0.018798938906171538,0.02,False
NQ,GLOBEX,B0,1day,insample,RS_down,1947,0,0.0,0,0.8115761193941363,0.6586557975708454,0.9399469453085768,0.9933437324775314,True,0.7007372074118653,True,True,0.018798938906171538,0.02,False
NQ,GLOBEX,B0,1day,insample,JumpVar,1501,446,0.229070364663585,0,0.5343907921687084,0.2855735187546997,0.9399469453085768,0.9933437324775314,True,0.303818763580266,True,True,0.018798938906171538,0.02,False
NQ,GLOBEX,B0,1day,insample,Parkinson,1947,0,0.0,0,0.7582545565227496,0.5749499724875118,0.9399469453085768,0.9933437324775314,True,0.6116834310246739,True,True,0.018798938906171538,0.02,False
NQ,GLOBEX,B0,1day,insample,GarmanKlass,1947,0,0.0,0,0.7694043215798518,0.591983010065752,0.9399469453085768,0.9933437324775314,True,0.629804706553314,True,True,0.018798938906171538,0.02,False
NQ,GLOBEX,B0,1day,insample,VolumeSurprise,1947,0,0.0,0,0.16764069613045712,0.02810340299910426,0.9399469453085768,0.9933437324775314,True,0.02989892476311857,True,True,0.018798938906171538,0.02,False
NQ,GLOBEX,B0,1day,insample,CrossLeadLag,1947,0,0.0,0,0.6384470069176975,0.4076145806421665,0.9399469453085768,0.9933437324775314,True,0.43365700870313484,True,True,0.018798938906171538,0.02,False
NQ,GLOBEX,B0,1day,insample,RealizedQuarticity,1947,0,0.0,0,0.7613879348559247,0.5797115873441698,0.9399469453085768,0.9933437324775314,True,0.6167492646660555,True,True,0.018798938906171538,0.02,False
NQ,GLOBEX,B0,1day,insample,SignatureSlope,1947,0,0.0,0,0.022944706645747243,0.0005264595630593977,0.9399469453085768,0.9933437324775314,True,0.0005600949773676485,False,False,0.018798938906171538,0.02,False
NQ,GLOBEX,B1,1day,insample,RS_up,1947,0,0.0,0,0.7919698936083759,0.6272163123820622,0.9399469453085768,0.9933437324775314,True,0.6672890587203858,True,True,0.018798938906171538,0.02,False
NQ,GLOBEX,B1,1day,insample,RS_down,1947,0,0.0,0,0.8118960864565408,0.6591752552034467,0.9399469453085768,0.9933437324775314,True,0.7012898531065973,True,True,0.018798938906171538,0.02,False
NQ,GLOBEX,B1,1day,insample,JumpVar,1489,458,0.2352336928608115,0,0.5373109803354817,0.2887030895890765,0.9399469453085768,0.9933437324775314,True,0.3071482821770304,True,True,0.018798938906171538,0.02,False
