root,geom,H,sigma_w,seed_index,seed,b,c,A,rmse,cond,emb_neg_eig,emb_min_eig
NQ,GLOBEX,0.5,4.804715622335673,3,1679141230,-0.8761491176138227,1.0372484614355137,4.424960234314204,0.01821288597372497,63.87547705395887,0,1.0
NQ,GLOBEX,0.5,4.804715622335673,4,769219682,-0.8521816056238458,0.9981314883470996,3.960725095197972,0.010576010456563775,58.735115478884694,0,1.0
ES,RTH,0.05,1.650273784607649,0,2095394785,-0.9837405564549826,1.0741226796516747,2.2709472599706935,0.016373629484730028,66.1826686024311,0,0.0004677914385424753
ES,RTH,0.05,1.650273784607649,1,1210165652,-1.0240135098254184,1.02065800907926,2.364936464807857,0.006592930609517162,72.02297580646042,0,0.0004677914385424753
ES,RTH,0.05,1.650273784607649,2,1357613590,-1.0252594166914086,1.0252375799659352,3.060893517559541,0.009741029710209896,74.31235957592705,0,0.0004677914385424753
ES,RTH,0.05,1.650273784607649,3,1481633449,-1.1160050147589848,1.0518122982239881,3.228526903330519,0.018240765119367515,89.22880855752139,0,0.0004677914385424753
ES,RTH,0.05,1.650273784607649,4,2221096222,-1.0490347512923157,1.0153993967180863,2.84190531721463,0.012538660062682004,76.99045729862436,0,0.0004677914385424753
ES,RTH,0.1,1.495183198481798,0,2393355337,-1.0003172833097165,1.0329160965378559,2.7464252246143617,0.017216359102294576,69.72791075580108,0,0.0016981079982429925
ES,RTH,0.1,1.495183198481798,1,577762618,-0.9824644614977929,1.0737208182749531,2.8215412382282223,0.009011195081998376,67.68191643369549,0,0.0016981079982429925
ES,RTH,0.1,1.495183198481798,2,2348123341,-1.054393475169242,0.9638885999662586,2.903612044791263,0.003337521203159204,78.00502846400137,0,0.0016981079982429925
ES,RTH,0.1,1.495183198481798,3,2863539567,-0.8751919832094573,0.9890025811538574,2.0988066173622273,0.013984974778800017,53.08460790823077,0,0.0016981079982429925
ES,RTH,0.1,1.495183198481798,4,4265437257,-1.0898238978904344,1.003356640437312,3.187622386558086,0.005836258314735209,84.61034480207631,0,0.0016981079982429925
ES,RTH,0.2,1.6030905067622663,0,25731749,-1.0907239045813906,1.0136331124499822,3.5032603206910307,0.023744500045906475,85.98356855133657,0,0.011188230819874967
ES,RTH,0.2,1.6030905067622663,1,3006538982,-1.0473722224447874,1.011275499226544,3.5326228254214174,0.004552520647138123,79.51277336178042,0,0.011188230819874967
ES,RTH,0.2,1.6030905067622663,2,878525950,-0.9860268657029476,1.0000118865017,3.101301295682347,0.008735695798756939,69.31509636161373,0,0.011188230819874967
ES,RTH,0.2,1.6030905067622663,3,2349803127,-1.0536471622957466,1.0096913557465717,2.9451647705181463,0.005002780920079904,78.02864100707073,0,0.011188230819874967
ES,RTH,0.2,1.6030905067622663,4,651322314,-1.0321838723724182,1.005078013106331,3.1679446734789174,0.011828674871761136,75.72109505593636,0,0.011188230819874967
ES,RTH,0.3,1.696414750963449,0,2721806086,-0.9314913591794537,1.0007458010106958,2.505535427929406,0.011783049606700818,60.40451729611692,0,0.05528646592043529
ES,RTH,0.3,1.696414750963449,1,1600432313,-1.007648174381175,1.0505698949543487,3.1333376961860058,0.019737166890526864,72.22635666661634,0,0.05528646592043529
ES,RTH,0.3,1.696414750963449,2,3726916713,-1.0004800519647914,0.9424455832524459,3.0686834060597237,0.0037933796471477784,71.00666630149215,0,0.05528646592043529
ES,RTH,0.3,1.696414750963449,3,1039709822,-0.8596935705080785,1.0187773831690679,2.675082071161937,0.005881031433743292,53.87866880383005,0,0.05528646592043529
ES,RTH,0.3,1.696414750963449,4,709767787,-0.9651866236986987,1.0810417204670257,2.7014363136997477,0.008945140947456333,65.07824662990302,0,0.05528646592043529
ES,RTH,0.45,1.881388389617205,0,3474979955,-0.9556275386764909,1.0048756982616265,2.9522437388091234,0.014768979480464193,64.99265587048006,0,0.49586035817205243
ES,RTH,0.45,1.881388389617205,1,2263356315,-1.0302946550583632,1.0568729178747565,3.1650150553196283,0.006352303698096921,75.44311441983574,0,0.49586035817205243
ES,RTH,0.45,1.881388389617205,2,3246521779,-1.0441727558739826,1.0399613003198707,3.5064872449592563,0.010876084699758466,78.93253073949516,0,0.49586035817205243
ES,RTH,0.45,1.881388389617205,3,482833696,-1.0271521374091133,0.9642403319660054,3.088262817682475,0.011478201271955927,74.68691230515533,0,0.49586035817205243
ES,RTH,0.45,1.881388389617205,4,3930808530,-1.0196245141244082,0.9804518165099814,3.2831472954245986,0.004887082488839305,74.4945528718173,0,0.49586035817205243
ES,RTH,0.5,1.9641432735025885,0,2055118144,-1.0312377118462497,1.0560800599455433,3.336380150206124,0.014871443122069646,76.32478919721673,0,1.0
ES,RTH,0.5,1.9641432735025885,1,610729583,-1.175530576598336,1.0038645771682269,4.257853784851887,0.01271578227221421,104.44095819714921,0,1.0
ES,RTH,0.5,1.9641432735025885,2,78892348,-0.9914843425896717,1.0466237659791766,3.201464219170342,0.016029548411181243,70.46185199216916,0,1.0
ES,RTH,0.5,1.9641432735025885,3,1118783851,-1.106154823971351,1.0699159842910968,3.156072209682756,0.01822351041868667,87.2650129249805,0,1.0
ES,RTH,0.5,1.9641432735025885,4,1216801835,-0.917610965904257,1.03654121784498,2.63074916998723,0.011937581242593441,59.360355087825766,0,1.0
NQ,RTH,0.05,1.7530667940080167,0,2043926203,-0.9273444445436165,1.0468468536600992,2.414508741860104,0.013286775882549045,59.622936785745395,0,0.0004677914385424753
NQ,RTH,0.05,1.7530667940080167,1,2988896216,-1.0548816362538567,1.0118172155668483,2.8230722383093863,0.007777488969112798,77.82692956515417,0,0.0004677914385424753
NQ,RTH,0.05,1.7530667940080167,2,664543881,-1.1212822756206484,1.0318542194145504,3.1659874193032165,0.004029583860105118,89.96795341194819,0,0.0004677914385424753
NQ,RTH,0.05,1.7530667940080167,3,243460911,-0.9882557599757062,1.0121219424861914,2.5698846916903704,0.015023235891147683,67.55025106286529,0,0.0004677914385424753
NQ,RTH,0.05,1.7530667940080167,4,2525532255,-0.8585142184754196,0.9873751416907638,2.106437940157302,0.007280321311302822,51.45258897159627,0,0.0004677914385424753
NQ,RTH,0.1,1.6399422071874143,0,76171212,-0.9601034940674876,1.0887103077503613,2.53741796305761,0.009406792463272487,63.877356165556634,0,0.0016981079982429925
NQ,RTH,0.1,1.6399422071874143,1,1403538377,-1.0680487212538263,1.0047228807184183,2.854483234961576,0.0039273002745020425,79.98720868658012,0,0.0016981079982429925
NQ,RTH,0.1,1.6399422071874143,2,1792698313,-1.225560774089544,1.0365418908282207,3.8279417923399617,0.00898029163115008,113.35169553474888,0,0.0016981079982429925
NQ,RTH,0.1,1.6399422071874143,3,299396552,-0.9536758084142442,0.9767981875372826,2.4867375007608157,0.008690307991059779,62.931796591634345,0,0.0016981079982429925
NQ,RTH,0.1,1.6399422071874143,4,1014991116,-1.043414325135102,1.0484083202327055,3.4573043595074275,0.017872466927222695,78.59256187934761,0,0.0016981079982429925
NQ,RTH,0.2,1.6402818970382214,0,3671417969,-0.8625151066730387,0.9669131348860893,2.5200374140449364,0.013146743034671064,53.39519012656445,0,0.011188230819874967
NQ,RTH,0.2,1.6402818970382214,1,709898797,-0.7878957670662974,0.9165026922081072,2.2290434456678385,0.0075838885538794445,45.77318227515759,0,0.011188230819874967
NQ,RTH,0.2,1.6402818970382214,2,3142478141,-0.8664096605304777,0.9087842431222168,2.183820303474575,0.008355014142614059,52.45970971113367,0,0.011188230819874967
NQ,RTH,0.2,1.6402818970382214,3,3042351865,-0.9995361757359237,1.078340535933086,3.310289177981854,0.011121242947273943,71.99925698793692,0,0.011188230819874967
NQ,RTH,0.2,1.6402818970382214,4,2374327938,-0.9532165127201061,1.0442409377073534,2.9784217872857814,0.010006559206167387,64.83695923783907,0,0.011188230819874967
NQ,RTH,0.3,1.8008003694117072,0,3987989881,-0.952397427664564,1.0610247030353972,2.984352224512974,0.005038168177751982,64.77133228867037,0,0.05528646592043529
NQ,RTH,0.3,1.8008003694117072,1,905926629,-0.9678494627251473,1.0528810629980196,2.816922594596219,0.009930448659856919,65.85394605209419,0,0.05528646592043529
