root,geom,btag,horizon,M,c,c_lo,c_hi,sd_log_iv,sd_log_iv_lo,sd_log_iv_hi,vol_ratio_1sd,var_log_rv_naive,sd_log_iv_naive,overstatement_var,overstatement_sd,is_five_min
ES,RTH,B1,1day,195,1.0809384800522852,0.9963368170651992,1.162383452682612,1.0396819129196608,0.9981667280896509,1.07813888376341,1.681760155339004,1.1813134329001658,1.0868824374789419,0.09285908004961163,0.04539900518874207,False
ES,RTH,B1,1day,389,1.0809384800522852,0.9963368170651992,1.162383452682612,1.0396819129196608,0.9981667280896509,1.07813888376341,1.681760155339004,1.0896790432363515,1.0438769291618393,0.008086087548334397,0.004034903550834912,False
ES,RTH,B1,1h,4,1.051936782682572,0.9573569615098012,1.1270853695805287,1.0256396943774027,0.9784461975549812,1.0616427692875456,1.6699936886811888,2.2921742169229553,1.513992806100133,1.1790037715742012,0.4761449019571897,False
ES,RTH,B1,1h,5,1.051936782682572,0.9573569615098012,1.1270853695805287,1.0256396943774027,0.9784461975549812,1.0616427692875456,1.6699936886811888,2.1380102745286265,1.4621936515142673,1.032451293390872,0.4256406606823726,False
ES,RTH,B1,1h,6,1.051936782682572,0.9573569615098012,1.1270853695805287,1.0256396943774027,0.9784461975549812,1.0616427692875456,1.6699936886811888,2.047961170044184,1.4310699389073143,0.9468481412177865,0.3952950015024732,False
ES,RTH,B1,1h,10,1.051936782682572,0.9573569615098012,1.1270853695805287,1.0256396943774027,0.9784461975549812,1.0616427692875456,1.6699936886811888,1.8322413755367217,1.3536031085723472,0.7417789792123002,0.31976474388896303,False
ES,RTH,B1,1h,12,1.051936782682572,0.9573569615098012,1.1270853695805287,1.0256396943774027,0.9784461975549812,1.0616427692875456,1.6699936886811888,1.7888437170876814,1.337476623006055,0.7005239730527373,0.30404140005321056,True
ES,RTH,B1,1h,15,1.051936782682572,0.9573569615098012,1.1270853695805287,1.0256396943774027,0.9784461975549812,1.0616427692875456,1.6699936886811888,1.7091831593719378,1.3073573189346277,0.6247964587884305,0.27467504046656166,False
ES,RTH,B1,1h,20,1.051936782682572,0.9573569615098012,1.1270853695805287,1.0256396943774027,0.9784461975549812,1.0616427692875456,1.6699936886811888,1.644980250875517,1.2825678348046612,0.5637634104595228,0.25050526206790624,False
ES,RTH,B1,1h,30,1.051936782682572,0.9573569615098012,1.1270853695805287,1.0256396943774027,0.9784461975549812,1.0616427692875456,1.6699936886811888,1.5483813167693106,1.2443397111598224,0.47193381033862325,0.2132327931351936,False
ES,RTH,B1,1h,60,1.051936782682572,0.9573569615098012,1.1270853695805287,1.0256396943774027,0.9784461975549812,1.0616427692875456,1.6699936886811888,1.3792227089749467,1.1744031288169097,0.3111269913556536,0.14504453684372187,False
ES,RTH,B1,30min,5,0.8153215401312074,0.6384866973095559,0.9399249735833916,0.9029515713100051,0.7990536260536936,0.9694972787911226,1.5706283868040378,2.1480929177266677,1.4656373759312593,1.6346573860675644,0.6231627725116062,False
ES,RTH,B1,30min,6,0.8153215401312074,0.6384866973095559,0.9399249735833916,0.9029515713100051,0.7990536260536936,0.9694972787911226,1.5706283868040378,2.059807974863609,1.4352031127556855,1.5263750231989826,0.5894574619029547,True
ES,RTH,B1,30min,10,0.8153215401312074,0.6384866973095559,0.9399249735833916,0.9029515713100051,0.7990536260536936,0.9694972787911226,1.5706283868040378,1.8132086626561317,1.3465543667658324,1.2239185074937886,0.49128082784356497,False
ES,RTH,B1,30min,15,0.8153215401312074,0.6384866973095559,0.9399249735833916,0.9029515713100051,0.7990536260536936,0.9694972787911226,1.5706283868040378,1.6699301967974305,1.292257790379857,1.0481860402322907,0.43114850390596815,False
ES,RTH,B1,30min,30,0.8153215401312074,0.6384866973095559,0.9399249735833916,0.9029515713100051,0.7990536260536936,0.9694972787911226,1.5706283868040378,1.4538336578327102,1.2057502468723407,0.7831414801070371,0.3353432068599582,False
NQ,RTH,B0,1day,5,1.0567722578646066,0.9861349099479804,1.122810834100859,1.0279942888287885,0.9930432568362672,1.0596276865488456,1.671960925401744,1.8174300346069436,1.3481209272935955,0.7197934759182449,0.3114089659287238,False
NQ,RTH,B0,1day,6,1.0567722578646066,0.9861349099479804,1.122810834100859,1.0279942888287885,0.9930432568362672,1.0596276865488456,1.671960925401744,1.6648754610695002,1.2903005312986198,0.5754344880643183,0.2551631320526899,False
NQ,RTH,B0,1day,10,1.0567722578646066,0.9861349099479804,1.122810834100859,1.0279942888287885,0.9930432568362672,1.0596276865488456,1.671960925401744,1.452688150140284,1.2052751346229142,0.3746463718452402,0.17245314270773315,False
NQ,RTH,B0,1day,13,1.0567722578646066,0.9861349099479804,1.122810834100859,1.0279942888287885,0.9930432568362672,1.0596276865488456,1.671960925401744,1.3361575822638212,1.15592282712291,0.26437609647679583,0.12444479476619752,False
NQ,RTH,B0,1day,26,1.0567722578646066,0.9861349099479804,1.122810834100859,1.0279942888287885,0.9930432568362672,1.0596276865488456,1.671960925401744,1.2047578070193181,1.0976145985815413,0.14003542206316255,0.06772441297516596,False
NQ,RTH,B0,1day,78,1.0567722578646066,0.9861349099479804,1.122810834100859,1.0279942888287885,0.9930432568362672,1.0596276865488456,1.671960925401744,1.13474711756856,1.0652450974158765,0.07378586930500552,0.036236396439058405,True
