root,geom,btag,horizon,sample,candidate,n,n_dropped_predictor,share_dropped,n_dropped_target,ic,r2
NQ,RTH,B0,1day,insample,RS_down,1900,0,0.0,0,0.774443403884249,0.5997625858198221
NQ,RTH,B0,1day,insample,JumpVar,1248,652,0.3431578947368421,0,0.48876749354732546,0.23889366274853482
NQ,RTH,B0,1day,insample,Parkinson,1900,0,0.0,0,0.7618970627566853,0.5804871342372645
NQ,RTH,B0,1day,insample,GarmanKlass,1900,0,0.0,0,0.7618351926906953,0.5803928608220689
NQ,RTH,B0,1day,insample,VolumeSurprise,1900,0,0.0,0,0.2289649918447241,0.052424967490454576
NQ,RTH,B0,1day,insample,CrossLeadLag,1900,0,0.0,0,0.777038865889189,0.6037893991023571
NQ,RTH,B0,1day,insample,RealizedQuarticity,1900,0,0.0,0,0.7730253539815658,0.5975681978983252
NQ,RTH,B0,1day,insample,SignatureSlope,1900,0,0.0,0,0.059850921667946096,0.0035821328245026194
NQ,RTH,B0,1h,insample,RS_up,11403,2,0.00017536168347216134,0,0.5979332554375711,0.3575241779581717
NQ,RTH,B0,1h,insample,RS_down,11400,5,0.00043840420868040335,0,0.644367332115511,0.41520925869766123
NQ,RTH,B0,1h,insample,JumpVar,6007,5398,0.4733011836913634,0,0.5136217323369507,0.26380728392881025
NQ,RTH,B0,1h,insample,Parkinson,11405,0,0.0,0,0.685039123213409,0.4692786003329961
NQ,RTH,B0,1h,insample,GarmanKlass,11405,0,0.0,0,0.6945060436516226,0.4823386446686295
NQ,RTH,B0,1h,insample,VolumeSurprise,11405,0,0.0,0,0.24139482668408724,0.058271462349840514
NQ,RTH,B0,1h,insample,CrossLeadLag,11405,0,0.0,0,0.707152435953722,0.500064567675283
NQ,RTH,B0,1h,insample,RealizedQuarticity,11405,0,0.0,0,0.6877921053740995,0.4730579802149364
NQ,RTH,B0,1h,insample,SignatureSlope,11405,0,0.0,0,0.02494540179213664,0.0006222730705711339
NQ,RTH,B0,30min,insample,RS_up,22520,291,0.012757003200210424,0,0.5126461935076977,0.26280611971793183
NQ,RTH,B0,30min,insample,RS_down,22405,406,0.01779843058173688,0,0.566754941948827,0.3212111642234183
NQ,RTH,B0,30min,insample,JumpVar,11569,11242,0.4928324054184385,0,0.5322788911734626,0.28332081798885084
NQ,RTH,B0,30min,insample,Parkinson,22811,0,0.0,0,0.7121537447033428,0.507162956094994
NQ,RTH,B0,30min,insample,GarmanKlass,22811,0,0.0,0,0.7221111059932788,0.5214444493988363
NQ,RTH,B0,30min,insample,VolumeSurprise,22811,0,0.0,0,0.18280926817773727,0.03341922853167986
NQ,RTH,B0,30min,insample,CrossLeadLag,22811,0,0.0,0,0.6877764288535373,0.47303641608652486
NQ,RTH,B0,30min,insample,RealizedQuarticity,22811,0,0.0,0,0.6901769034163467,0.47634415800937724
NQ,RTH,B0,30min,insample,SignatureSlope,22811,0,0.0,0,-0.002394726681592918,5.734715879533029e-06
NQ,RTH,B1,1day,insample,RS_up,1900,0,0.0,0,0.7845543325284559,0.6155255006891709
NQ,RTH,B1,1day,insample,RS_down,1900,0,0.0,0,0.7722607957425619,0.5963867366409349
NQ,RTH,B1,1day,insample,JumpVar,1199,701,0.36894736842105263,0,0.4792632531913,0.2296932658595081
NQ,RTH,B1,1day,insample,Parkinson,1900,0,0.0,0,0.7616496708082366,0.5801102210422953
NQ,RTH,B1,1day,insample,GarmanKlass,1900,0,0.0,0,0.761348981375115,0.5796522714409251
NQ,RTH,B1,1day,insample,VolumeSurprise,1900,0,0.0,0,0.22657676528392126,0.051337030566525145
NQ,RTH,B1,1day,insample,CrossLeadLag,1900,0,0.0,0,0.7762196099025992,0.6025168827973433
NQ,RTH,B1,1day,insample,RealizedQuarticity,1900,0,0.0,0,0.772380917521237,0.596572281750948
NQ,RTH,B1,1day,insample,SignatureSlope,1900,0,0.0,0,0.09423782905522755,0.00888076842504229
NQ,RTH,B1,1h,insample,RS_up,11403,2,0.00017536168347216134,0,0.6029585116242564,0.36355896674013854
NQ,RTH,B1,1h,insample,RS_down,11400,5,0.00043840420868040335,0,0.6488355066733914,0.42098751472011653
NQ,RTH,B1,1h,insample,JumpVar,5938,5467,0.479351161771153,0,0.5205827421217579,0.2710063913950087
NQ,RTH,B1,1h,insample,Parkinson,11405,0,0.0,0,0.6893054136052641,0.4751419532255242
NQ,RTH,B1,1h,insample,GarmanKlass,11405,0,0.0,0,0.6986700098390617,0.48813978264851454
NQ,RTH,B1,1h,insample,VolumeSurprise,11405,0,0.0,0,0.24251260996583848,0.058812365992442904
NQ,RTH,B1,1h,insample,CrossLeadLag,11405,0,0.0,0,0.7107859093944691,0.5052166089937223
NQ,RTH,B1,1h,insample,RealizedQuarticity,11405,0,0.0,0,0.694165583367687,0.48186585713220115
NQ,RTH,B1,1h,insample,SignatureSlope,11405,0,0.0,0,0.029698799802009165,0.0008820187096798196
NQ,RTH,B1,30min,insample,RS_up,22517,294,0.012888518697119811,0,0.5148904542178245,0.26511217984463764
NQ,RTH,B1,30min,insample,RS_down,22405,406,0.01779843058173688,0,0.5690332952329757,0.3237988910836989
NQ,RTH,B1,30min,insample,JumpVar,11546,11265,0.49384069089474375,0,0.532720841694392,0.2837914951755815
NQ,RTH,B1,30min,insample,Parkinson,22811,0,0.0,0,0.7156452154523227,0.5121480743998015
NQ,RTH,B1,30min,insample,GarmanKlass,22811,0,0.0,0,0.7256211690494258,0.5265260809726553
NQ,RTH,B1,30min,insample,VolumeSurprise,22811,0,0.0,0,0.18357216546659377,0.03369873993409448
NQ,RTH,B1,30min,insample,CrossLeadLag,22811,0,0.0,0,0.6905143148097337,0.476810018957156
NQ,RTH,B1,30min,insample,RealizedQuarticity,22811,0,0.0,0,0.6937066687167611,0.48122894222210616
NQ,RTH,B1,30min,insample,SignatureSlope,22811,0,0.0,0,0.0004948619095823467,2.4488830955548667e-07
