root,geom,horizon,M,sub_bar_minutes,first_ratio,last_ratio,first_share,last_share,uniform_share,n_windows,first_over_uniform,last_over_uniform,is_5min
ES,RTH,1day,78,4.987179487179487,1.9212686227229219,2.318384314120617,0.02928076694619839,0.02931318938611305,0.01282051282051282,1901,2.2838998218034745,2.286428772116818,True
ES,RTH,1day,195,1.994871794871795,1.3054293529852694,3.0976477440123,0.008934942491298956,0.01597228871724174,0.005128205128205128,1901,1.7423137858032964,3.1145962998621393,False
ES,RTH,1day,389,1.0,2.596628051712927,4.174240218940113,0.008481101973461792,0.011416298337097872,0.002570694087403599,1901,3.2991486676766373,4.440940053131072,False
ES,RTH,1h,4,15.0,1.0957442753203586,0.8897829334813983,0.26530608668433187,0.2303501707360628,0.25,11406,1.0612243467373275,0.9214006829442511,False
ES,RTH,1h,5,12.0,1.090649042771339,0.8887906458829585,0.2146690848216827,0.18849283407992135,0.2,11406,1.0733454241084135,0.9424641703996067,False
ES,RTH,1h,6,10.0,1.1248908925345973,0.9019712143276397,0.182753479527563,0.15684747375510544,0.16666666666666666,11406,1.096520877165378,0.9410848425306326,False
ES,RTH,1h,10,6.0,1.1770448455649694,0.890711098845898,0.11512487924478591,0.09435449938592516,0.1,11406,1.1512487924478592,0.9435449938592516,False
ES,RTH,1h,12,5.0,1.1382000767747331,0.8827358903868363,0.09866336334775512,0.07750335750556679,0.08333333333333333,11406,1.1839603601730615,0.9300402900668016,True
ES,RTH,1h,15,4.0,1.1373674226002712,0.9057309501541078,0.07911986514068861,0.06331088567928908,0.06666666666666667,11406,1.1867979771103292,0.9496632851893362,False
ES,RTH,1h,20,3.0,1.1985701034863436,0.947338345424005,0.060540376032575303,0.04887592341847754,0.05,11406,1.210807520651506,0.9775184683695507,False
ES,RTH,1h,30,2.0,1.2349324370579733,1.0334357066010822,0.04284614976006723,0.03388056308780302,0.03333333333333333,11406,1.285384492802017,1.0164168926340906,False
ES,RTH,1h,60,1.0,1.2301250632661669,1.265946473155253,0.021651296513847892,0.0212250850021652,0.016666666666666666,11406,1.2990777908308735,1.273505100129912,False
ES,RTH,30min,5,6.0,1.116078284421723,0.9581134190538574,0.22011275705532649,0.1955861164230028,0.2,22812,1.1005637852766323,0.9779305821150139,False
ES,RTH,30min,6,5.0,1.1222078138255343,0.9384367310825397,0.1867956362411926,0.1616262367372195,0.16666666666666666,22812,1.1207738174471558,0.9697574204233169,True
ES,RTH,30min,10,3.0,1.201618402095938,1.044605895653006,0.11717740421128925,0.10325215481627362,0.1,22812,1.1717740421128924,1.0325215481627361,False
ES,RTH,30min,15,2.0,1.2481676865186955,1.1665430273722135,0.08343438506893311,0.07340194348207132,0.06666666666666667,22812,1.2515157760339966,1.1010291522310698,False
ES,RTH,30min,30,1.0,1.2753230356969785,1.671211521319646,0.042954091815444115,0.048034903533546024,0.03333333333333333,22812,1.2886227544633235,1.4410471060063808,False
NQ,RTH,1day,5,77.8,1.6577640092301185,1.1707534739008636,0.3392665132212627,0.18382751230818653,0.2,1901,1.6963325661063136,0.9191375615409326,False
NQ,RTH,1day,6,64.83333333333333,1.828935409148829,1.1032452313688201,0.3083994561566515,0.15062847037979252,0.16666666666666666,1901,1.850396736939909,0.9037708222787552,False
NQ,RTH,1day,10,38.9,2.121086729620751,1.2085237373172857,0.22153344373920014,0.09794430415461443,0.1,1901,2.215334437392001,0.9794430415461443,False
NQ,RTH,1day,13,29.923076923076923,2.132198585642548,1.3986857625402702,0.1805391115044622,0.08117977062907726,0.07692307692307693,1901,2.3470084495580084,1.0553370181780044,False
NQ,RTH,1day,26,14.961538461538462,2.5335402221099583,1.7919095104472573,0.11122628411748729,0.051452127974659,0.038461538461538464,1901,2.8918833870546696,1.337755327341134,False
NQ,RTH,1day,78,4.987179487179487,2.7325334768064025,1.5657676297581968,0.04043796615104242,0.019098246642317886,0.01282051282051282,1901,3.154161359781309,1.489663238100795,True
NQ,RTH,1day,195,1.994871794871795,2.199471080727787,2.0945217324828738,0.013381680639116461,0.00965850454161899,0.005128205128205128,1901,2.60942772462771,1.883408385615703,False
NQ,RTH,1day,389,1.0,4.440382176639774,2.864896397724242,0.013307341488652792,0.00704577893232738,0.002570694087403599,1901,5.176555839085936,2.740808004675351,False
NQ,RTH,1h,4,15.0,1.184383843514177,0.8304189339277156,0.27146514076068246,0.22562018215521917,0.25,11406,1.0858605630427298,0.9024807286208767,False
NQ,RTH,1h,5,12.0,1.1762598554712553,0.8272858957022874,0.21892884846083635,0.18022886213472744,0.2,11406,1.0946442423041818,0.9011443106736372,False
NQ,RTH,1h,6,10.0,1.2353063466779353,0.8334983767615802,0.1886542435506355,0.1500438654691147,0.16666666666666666,11406,1.1319254613038132,0.9002631928146881,False
NQ,RTH,1h,10,6.0,1.3500749352053254,0.8099333874748889,0.12073692029876043,0.08786881993602227,0.1,11406,1.2073692029876042,0.8786881993602227,False
NQ,RTH,1h,12,5.0,1.2997353992718634,0.8127926599559077,0.10240755493207902,0.07201605603950513,0.08333333333333333,11406,1.2288906591849484,0.8641926724740616,True
NQ,RTH,1h,15,4.0,1.3003939669491797,0.8351392700922706,0.08160914154857278,0.05883098386312496,0.06666666666666667,11406,1.2241371232285918,0.8824647579468744,False
NQ,RTH,1h,20,3.0,1.3664443220279407,0.8643059938671109,0.06253328734278396,0.04530651179572109,0.05,11406,1.2506657468556792,0.9061302359144217,False
NQ,RTH,1h,30,2.0,1.4544824370329397,0.9302725903685045,0.04475744673399584,0.03129327949413809,0.03333333333333333,11406,1.3427234020198753,0.9387983848241428,False
NQ,RTH,1h,60,1.0,1.5210396644795738,1.1503203477361985,0.02322036814078739,0.02008908558885879,0.016666666666666666,11406,1.3932220884472435,1.2053451353315274,False
NQ,RTH,30min,5,6.0,1.2080962603976668,0.9040683506186076,0.22497584559694145,0.18878850453922888,0.2,22812,1.124879227984707,0.9439425226961443,False
NQ,RTH,30min,6,5.0,1.2034797482577206,0.8930574815504957,0.1910067136676181,0.15594184016783008,0.16666666666666666,22812,1.1460402820057087,0.9356510410069805,True
NQ,RTH,30min,10,3.0,1.2812331388155804,0.9840972590617858,0.11974683788281024,0.09848211623332703,0.1,22812,1.1974683788281022,0.9848211623332703,False
NQ,RTH,30min,15,2.0,1.354026100943932,1.0896780185580712,0.08520564527053774,0.06998973657595692,0.06666666666666667,22812,1.2780846790580662,1.0498460486393537,False
NQ,RTH,30min,30,1.0,1.4211434981981026,1.5222142815701316,0.04457489350031554,0.04631527312320591,0.03333333333333333,22812,1.3372468050094664,1.3894581936961772,False
