root,geom,btag,horizon,M,minutes_per_sub_bar,s2_intercept,s2_intercept_lo,s2_intercept_hi,s2_naive,adj_exact_intercept_vp,adj_exact_intercept_vp_lo,adj_exact_intercept_vp_hi,adj_exact_naive_vp,bias_vp,overstatement_prop,overstatement_lo,overstatement_hi,adj_BL_naive_vp,below_5pct,is_5min
ES,RTH,B0,1h,30,2.0,1.051936782682572,0.94692268588903,1.1327760576027854,1.5483813167693106,2.4642759276121895,2.2325712102392203,2.640580558663994,3.5193888364949855,1.055112908882796,0.4281634605363245,0.3328087359226888,0.5763836872723458,9.259624934575468,False,False
ES,RTH,B0,1h,60,1.0,1.051936782682572,0.94692268588903,1.1327760576027854,1.3792227089749467,2.4642759276121895,2.2325712102392203,2.640580558663994,3.1671988050536726,0.7029228774414831,0.28524519903199086,0.19943275150678286,0.4186328259219587,7.429532931509649,False,False
ES,RTH,B0,30min,5,6.0,0.8153215401312074,0.6376069294255036,0.947611338521586,2.1480929177266677,1.937877228394096,1.5321495397573415,2.2341005927386726,4.7096691376822815,2.771791909288186,1.4303237938273048,1.1080828468466288,2.0738965195448147,18.921254918488813,False,False
ES,RTH,B0,30min,6,5.0,0.8153215401312074,0.6376069294255036,0.947611338521586,2.059807974863609,1.937877228394096,1.5321495397573415,2.2341005927386726,4.5399963895212085,2.602119161127112,1.3427678095394455,1.03213606597537,1.9631548825451093,17.111158328852575,False,True
ES,RTH,B0,30min,10,3.0,0.8153215401312074,0.6376069294255036,0.947611338521586,1.8132086626561317,1.937877228394096,1.5321495397573415,2.2341005927386726,4.0560221970382955,2.1181449686442,1.0930233028226923,0.8155056268376082,1.6472756684577146,12.825213213733466,False,False
ES,RTH,B0,30min,15,2.0,0.8153215401312074,0.6376069294255036,0.947611338521586,1.6699301967974305,1.937877228394096,1.5321495397573415,2.2341005927386726,3.7678961728032156,1.8300189444091197,0.9443420447876578,0.6865382807961837,1.4592222071221368,10.779492509494426,False,False
ES,RTH,B0,30min,30,1.0,0.8153215401312074,0.6376069294255036,0.947611338521586,1.4538336578327102,1.937877228394096,1.5321495397573415,2.2341005927386726,3.3234579160247524,1.3855806876306564,0.7149992101299816,0.4876044197950331,1.1691472208066025,8.198723012364228,False,False
ES,RTH,B1,1day,5,78.0,1.0809384800522852,0.9963368170651992,1.162383452682612,1.9512589903075632,2.527731558392603,2.3419782287064472,2.7047077193022817,4.328795817693218,1.8010642593006154,0.7125219659186917,0.600467136171702,0.8483501531455981,15.093855507250973,False,False
ES,RTH,B1,1day,6,65.0,1.0809384800522852,0.9963368170651992,1.162383452682612,1.829243017305556,2.527731558392603,2.3419782287064472,2.7047077193022817,4.087946617710292,1.560215059317689,0.6172392215215436,0.5114189930898843,0.7455100852787182,13.072923749585225,False,False
ES,RTH,B1,1day,10,39.0,1.0809384800522852,0.9963368170651992,1.162383452682612,1.606092562173579,2.527731558392603,2.3419782287064472,2.7047077193022817,3.6378506111363684,1.1101190527437654,0.4391760070636992,0.3450069244727132,0.5533238381749068,9.958252989862943,False,False
ES,RTH,B1,1day,13,30.0,1.0809384800522852,0.9963368170651992,1.162383452682612,1.531001776273308,2.527731558392603,2.3419782287064472,2.7047077193022817,3.4835467370008,0.955815178608197,0.3781316000248083,0.28795681401738715,0.4874377115473354,9.057013800847853,False,False
ES,RTH,B1,1day,26,15.0,1.0809384800522852,0.9963368170651992,1.162383452682612,1.383633628481132,2.527731558392603,2.3419782287064472,2.7047077193022817,3.176477263302151,0.648745704909548,0.25665134525680755,0.17442533277553895,0.3563222853086152,7.473428039729741,False,False
ES,RTH,B1,1day,78,5.0,1.0809384800522852,0.9963368170651992,1.162383452682612,1.2871686279157708,2.527731558392603,2.3419782287064472,2.7047077193022817,2.9723891347583598,0.44465757636575676,0.17591170822289248,0.09896870317844564,0.2691788071830665,6.556288332498307,False,True
ES,RTH,B1,1day,195,2.0,1.0809384800522852,0.9963368170651992,1.162383452682612,1.1813134329001658,2.527731558392603,2.3419782287064472,2.7047077193022817,2.7455842807895614,0.2178527223969584,0.0861850704334648,0.015113115992372084,0.17233552692163134,5.646628533341928,False,False
ES,RTH,B1,1day,389,1.0025706940874035,1.0809384800522852,0.9963368170651992,1.162383452682612,1.0896790432363517,2.527731558392603,2.3419782287064472,2.7047077193022817,2.546810817063414,0.01907925867081106,0.007547976606718354,-0.058378545345964206,0.0874613546130627,4.933299030902386,True,False
ES,RTH,B1,1h,4,15.0,1.051936782682572,0.9573569615098012,1.1270853695805287,2.2921742169229553,2.4642759276121895,2.255729885339335,2.6282277856627645,4.982585468907965,2.5183095412957757,1.0219267708936894,0.8957966642345265,1.2088573198818184,22.24107823803832,False,False
ES,RTH,B1,1h,5,12.0,1.051936782682572,0.9573569615098012,1.1270853695805287,2.1380102745286265,2.4642759276121895,2.255729885339335,2.6282277856627645,4.69038611993994,2.2261101923277504,0.9033526511313956,0.7846193338060148,1.079320822242134,18.706357237146886,False,False
ES,RTH,B1,1h,6,10.0,1.051936782682572,0.9573569615098012,1.1270853695805287,2.047961170044184,2.4642759276121895,2.255729885339335,2.6282277856627645,4.517085474226546,2.052809546614356,0.8330274721319328,0.7186811199804224,1.0024939615263508,16.88019952695894,False,False
