arm,root,geom,position,H,sigma_w,kappa,seed_index,seed,b,c,A,rmse,cond,corr_cb,corr_Ab
A7,ES,GLOBEX,mid,,0.0,5.20248287031427,1,2868967939,-1.0813547561167631,0.9485263497952067,2.7502750447019917,0.005137054099241602,82.35196984026548,-0.6536041344678107,-0.9763526550025755
A7,ES,GLOBEX,mid,,0.0,5.20248287031427,2,3535697162,-1.3354651515947866,1.047001185383798,4.866233421910113,0.01009816655782734,147.86360495686208,-0.5941038328963828,-0.9836244196376379
A7,ES,GLOBEX,mid,,0.0,5.20248287031427,3,487372626,-0.91619529149127,1.0071627768628033,2.2390197520787667,0.0041551017387938495,57.16585495083803,-0.7108220937978783,-0.9691391933902461
A7,ES,GLOBEX,mid,,0.0,5.20248287031427,4,3546989608,-1.1352441647523375,1.0775487902008027,3.1564581011252857,0.007575736790981143,93.26939060343405,-0.6383732664211658,-0.9781965854085348
A7,ES,GLOBEX,end,,0.0,5.20248287031427,0,963108770,-1.1991610384053402,0.957574623611343,3.4685706308061213,0.004156134769188524,107.67531207915277,-0.6222800463183593,-0.9801473050111124
A7,ES,GLOBEX,end,,0.0,5.20248287031427,1,1478714968,-1.0130214765747694,1.0178885185683173,2.4831290273570543,0.005012496132824328,70.6821546757976,-0.6752882579994702,-0.9736972239592285
A7,ES,GLOBEX,end,,0.0,5.20248287031427,2,136075588,-1.1774521349467153,0.9588357754393544,3.135353043627693,0.008002815122533188,102.13389592213038,-0.6275213107954446,-0.9795105740517983
A7,ES,GLOBEX,end,,0.0,5.20248287031427,3,3339967356,-1.0609067122066418,1.0235016501176937,2.694941908737227,0.012337373485743782,78.71157233155994,-0.6598038730157791,-0.9755987593780672
A7,ES,GLOBEX,end,,0.0,5.20248287031427,4,4231961356,-0.9512261736224228,1.0087482967337986,2.2824029937333115,0.013541470411746451,61.634217870335306,-0.6973153975152592,-0.970914470391059
A7,NQ,GLOBEX,start,,0.0,3.139910523314029,0,2133067050,-1.0048657787878954,0.997528707465632,2.3512338244577182,0.006754002895900251,69.25942523348635,-0.6780618993215795,-0.9733527320906048
A7,NQ,GLOBEX,start,,0.0,3.139910523314029,1,1291084471,-1.2963698224574425,1.0450483324227127,4.3718357004157085,0.006206860951305147,134.86202741268133,-0.6014183157070104,-0.982710265278488
A7,NQ,GLOBEX,start,,0.0,3.139910523314029,2,2537826181,-1.1458445060913955,1.0279587648252524,2.9123225976015923,0.0032815579338737687,95.00157160179667,-0.6355621531237445,-0.9785366229425131
A7,NQ,GLOBEX,start,,0.0,3.139910523314029,3,1833437602,-1.1888850236483333,1.042435080522049,3.465629453296163,0.01673873248445626,105.31740915672187,-0.6247326651152574,-0.9798491042649922
A7,NQ,GLOBEX,start,,0.0,3.139910523314029,4,1630777198,-0.9657456681065297,0.995005265309257,2.186616526949248,0.016662864414882697,63.44719641416673,-0.6919269507750728,-0.971606332309347
A7,NQ,GLOBEX,quarter,,0.0,3.139910523314029,0,126226371,-1.060885331583036,0.9926717113649617,2.913079209523473,0.006165588990070185,79.14422643828075,-0.6598129646619986,-0.9755976555534716
A7,NQ,GLOBEX,quarter,,0.0,3.139910523314029,1,3184879246,-1.0123708817378145,1.0091882427214471,2.6175364434243638,0.004746945786848708,70.8306142789275,-0.6755078222754499,-0.9736700135432016
A7,NQ,GLOBEX,quarter,,0.0,3.139910523314029,2,2461741723,-1.0246334662604855,0.9856444733041462,2.7521304564961304,0.006075554466021534,72.97828589928568,-0.6714089817566143,-0.9741767949965445
A7,NQ,GLOBEX,quarter,,0.0,3.139910523314029,3,3523124153,-1.2388881230795252,0.9984907023304914,3.623983752112741,0.016183216171311247,117.64074972641329,-0.6132656504061446,-0.9812480781296156
A7,NQ,GLOBEX,quarter,,0.0,3.139910523314029,4,3609083287,-0.9919123663227166,1.0068360076480667,2.1945061542914788,0.008353259490664398,67.16902949342015,-0.6825529037487723,-0.9727917960399446
A7,NQ,GLOBEX,mid,,0.0,3.139910523314029,0,1740348936,-1.1274159152387275,0.9659801345232062,2.9943076232882095,0.005992631186322394,91.40386934221083,-0.6404889120490244,-0.9779407209057479
