root,geom,btag,M,variant,year,n,median,iqr,p95,p99,share_gt10x_med,ref_2overM,med_over_ref,acf1,acf5,acf10,acf_full
ES,RTH,B1,390,TRQ3_TRV3,2022,238,0.005618911922403314,0.0008077420010402852,0.0069516869612158555,0.00935276013194347,0.0,0.005128205128205128,1.0956878248686464,0.00045995836193956025,-0.03335962817762165,-0.010848206200144683,"[0.0, -0.01, -0.038, -0.052, -0.033, 0.112, 0.133, 0.083, 0.033, -0.011]"
ES,RTH,B1,390,TRQ3_TRV3,2023,236,0.005532328514205318,0.0005973814947213387,0.006974057864162388,0.009884364677165103,0.0,0.005128205128205128,1.0788040602700368,0.014125377748175138,0.10761592896167899,0.012427307184683845,"[0.014, 0.003, -0.021, 0.078, 0.108, 0.016, 0.008, 0.07, -0.011, 0.012]"
ES,RTH,B1,390,TRQ3_TRV3,0,1901,0.005638210595123107,0.0007244762883376436,0.006938204733562484,0.0083905739380299,0.0,0.005128205128205128,1.099451066049006,0.12274421289066209,0.08970176932852134,0.08623699453617002,"[0.123, 0.084, 0.091, 0.078, 0.09, 0.089, 0.117, 0.092, 0.085, 0.086]"
ES,RTH,B1,390,TRQ5_TRV5,2016,239,0.006995307935212414,0.0016243945428822213,0.009500300081718354,0.012112457545084028,0.0,0.005128205128205128,1.3640850473664208,0.1739805718399256,0.020755148699102728,0.04583258306607254,"[0.174, -0.011, 0.222, 0.236, 0.021, -0.003, 0.147, 0.105, 0.027, 0.046]"
ES,RTH,B1,390,TRQ5_TRV5,2017,237,0.007108431639660797,0.0016272051971132438,0.009512463669226865,0.011272389951818165,0.0,0.005128205128205128,1.3861441697338555,0.04038377229941792,0.07951895315989496,0.09244152323571049,"[0.04, 0.044, 0.036, 0.076, 0.08, -0.029, 0.049, -0.004, -0.005, 0.092]"
ES,RTH,B1,390,TRQ5_TRV5,2018,236,0.007159360067732038,0.001860810239200498,0.00971492966411849,0.011411189426751506,0.0,0.005128205128205128,1.3960752132077474,0.18358008734507555,0.04305475832228634,0.09566901779989163,"[0.184, 0.152, 0.104, -0.023, 0.043, 0.015, 0.094, 0.117, 0.083, 0.096]"
ES,RTH,B1,390,TRQ5_TRV5,2019,237,0.007638474313954173,0.0019003251713448112,0.01087550601422638,0.016590401655414744,0.0,0.005128205128205128,1.4895024912210637,0.08385114378374761,0.0897226450836664,0.06071436031327638,"[0.084, 0.095, 0.102, 0.034, 0.09, 0.152, 0.099, 0.139, 0.073, 0.061]"
ES,RTH,B1,390,TRQ5_TRV5,2020,239,0.007642638095023518,0.002119305184963096,0.010184964360834678,0.01145463617324873,0.0,0.005128205128205128,1.490314428529586,0.2647752070360367,0.2625388233736033,0.13525408726093732,"[0.265, 0.202, 0.176, 0.186, 0.263, 0.192, 0.151, 0.071, 0.113, 0.135]"
ES,RTH,B1,390,TRQ5_TRV5,2021,239,0.007674837869737963,0.0019048752941747977,0.0108033196243956,0.012893181053456814,0.0,0.005128205128205128,1.4965933845989028,0.04128675130727437,0.14013061635976976,-0.005098131235862449,"[0.041, 0.119, 0.161, 0.001, 0.14, 0.019, 0.134, -0.082, 0.01, -0.005]"
ES,RTH,B1,390,TRQ5_TRV5,2022,238,0.007124389297325088,0.001903949802160694,0.010930689450938124,0.013799911951380625,0.0,0.005128205128205128,1.3892559129783921,-0.026860225968972595,-0.049521975668200637,0.0032043041936133977,"[-0.027, -0.03, -0.087, -0.112, -0.05, -0.001, 0.13, 0.019, 0.01, 0.003]"
ES,RTH,B1,390,TRQ5_TRV5,2023,236,0.007124176072403317,0.0017805697344035832,0.011133118906788076,0.013233257388971086,0.0,0.005128205128205128,1.389214334118647,0.09396597448596226,0.11524386952972263,0.05580701924852453,"[0.094, 0.09, -0.046, 0.093, 0.115, -0.005, -0.002, -0.012, -0.014, 0.056]"
ES,RTH,B1,390,TRQ5_TRV5,0,1901,0.007297438951481578,0.0018789859039487402,0.010437308743082864,0.013138143469571852,0.0,0.005128205128205128,1.4230005955389078,0.13343517596796545,0.11519412562587508,0.08564624995050366,"[0.133, 0.117, 0.101, 0.085, 0.115, 0.073, 0.126, 0.075, 0.068, 0.086]"
ES,RTH,B1,390,TRQ10_TRV10,2016,239,0.007531519671695131,0.0025578850021035987,0.014624241238182229,0.019667664024100685,0.0,0.005128205128205128,1.4686463359805506,0.08883901797230094,-0.09014263259217688,0.05192239317228267,"[0.089, 0.016, 0.105, 0.055, -0.09, -0.02, 0.005, 0.09, -0.119, 0.052]"
ES,RTH,B1,390,TRQ10_TRV10,2017,237,0.007759020939265277,0.003063612977902812,0.014768315406172353,0.024714963943924927,0.0,0.005128205128205128,1.5130090831567289,-0.014289380861731978,0.06498548498078001,0.10014777102305931,"[-0.014, -0.007, -0.002, -0.088, 0.065, 0.037, 0.102, 0.027, -0.02, 0.1]"
ES,RTH,B1,390,TRQ10_TRV10,2018,236,0.007428817345189392,0.002479775702136879,0.014762088331990145,0.02401156249565912,0.0,0.005128205128205128,1.4486193823119313,0.12656518910416478,0.08803166666159577,0.05316399808477325,"[0.127, 0.157, 0.028, -0.011, 0.088, -0.029, 0.136, 0.098, 0.133, 0.053]"
ES,RTH,B1,390,TRQ10_TRV10,2019,237,0.008328333673761987,0.0041172295718365955,0.0305684991573003,0.044729641789841325,0.0,0.005128205128205128,1.6240250663835876,0.13812446154136393,0.09688845313080731,0.05997954575866075,"[0.138, 0.141, 0.03, -0.016, 0.097, 0.073, 0.01, 0.112, 0.049, 0.06]"
ES,RTH,B1,390,TRQ10_TRV10,2020,239,0.008568458990291199,0.003343627953341692,0.020939566349419826,0.02902550195998029,0.0,0.005128205128205128,1.6708495031067838,0.09459964513906026,-0.08989660484412812,0.011585098973430196,"[0.095, 0.006, -0.047, -0.032, -0.09, -0.068, 0.042, 0.01, -0.034, 0.012]"
ES,RTH,B1,390,TRQ10_TRV10,2021,239,0.008419583794273554,0.003443894234637335,0.015679410428535413,0.025407405888830014,0.0,0.005128205128205128,1.641818839883343,0.059661533030335966,0.0910911456154224,-0.057229195864046074,"[0.06, 0.08, 0.136, 0.023, 0.091, -0.032, 0.014, -0.03, 0.037, -0.057]"
ES,RTH,B1,390,TRQ10_TRV10,2022,238,0.007627731507374532,0.003095338693910576,0.023936355940368383,0.03189733170540409,0.0,0.005128205128205128,1.4874076439380337,0.021641848625731812,0.006157798639741809,0.03972584531926069,"[0.022, 0.01, -0.05, -0.04, 0.006, -0.009, 0.074, 0.025, -0.025, 0.04]"
ES,RTH,B1,390,TRQ10_TRV10,2023,236,0.007689398056536594,0.0030940053279950594,0.015910037061678844,0.024308755132643068,0.0,0.005128205128205128,1.4994326210246358,-0.022724509437760505,0.02211695794336209,0.02482940914763471,"[-0.023, -0.004, 0.02, 0.014, 0.022, -0.028, -0.006, 0.003, 0.192, 0.025]"
ES,RTH,B1,390,TRQ10_TRV10,0,1901,0.007886711927429572,0.0032188202489862308,0.01836533435832407,0.03144605057840604,0.0,0.005128205128205128,1.5379088258487665,0.10212276960281637,0.06062940946832973,0.06876107705715569,"[0.102, 0.09, 0.055, 0.023, 0.061, 0.031, 0.075, 0.082, 0.061, 0.069]"
ES,RTH,B1,390,MEDRQ_MEDRV,2016,239,0.006593721085748626,0.0018439553731750737,0.011179339673806129,0.023514486326235685,0.0041841004184100415,0.005128205128205128,1.2857756117209822,-0.007479489178361675,-0.07161119134216304,0.02233394251770131,"[-0.007, -0.056, 0.044, 0.055, -0.072, -0.034, 0.011, 0.051, -0.056, 0.022]"
ES,RTH,B1,390,MEDRQ_MEDRV,2017,237,0.006813687564888946,0.0021599435249844397,0.010999470056165753,0.015917032349282656,0.004219409282700422,0.005128205128205128,1.3286690751533445,-0.005517635364032729,0.06260069007754698,0.10688045884373883,"[-0.006, -0.035, -0.03, -0.057, 0.063, 0.013, 0.063, -0.039, -0.062, 0.107]"
ES,RTH,B1,390,MEDRQ_MEDRV,2018,236,0.00647464124880808,0.002165966057383148,0.011535367444917854,0.01525160122592179,0.0,0.005128205128205128,1.2625550435175756,0.07770624694262256,0.03681704145658282,0.06793250311385196,"[0.078, 0.028, 0.1, 0.187, 0.037, 0.078, 0.125, 0.058, 0.105, 0.068]"
ES,RTH,B1,390,MEDRQ_MEDRV,2019,237,0.007534468250561773,0.003409230126273896,0.01974385508909143,0.047751637316522315,0.004219409282700422,0.005128205128205128,1.4692213088595456,0.07706263721793896,0.10694717110959788,0.07670686004501735,"[0.077, 0.065, 0.103, 0.087, 0.107, 0.172, 0.084, 0.099, 0.117, 0.077]"
