root,geom,btag,horizon,scheme,model,n,lam_hat,ic_pearson_log,ic_corrected,ic_spearman,r2_oos,r2_corrected,ic_ir,hit_rate,qlike_mean,m5_nonconv
ES,RTH,B1,1h,S-C_q0.90,M4_HARQ,1091,0.9762090210199692,-0.0494781644180219,-0.050077445980109714,0.6215637003947457,-1183.5301594528937,-1212.3737170716881,1.9101975092656276,0.5247706422018349,2.6873771518446823e+293,0
ES,RTH,B1,1h,S-C_q0.90,M5_RGARCH,1091,0.9762090210199692,0.6906229324381263,0.6989877857958317,0.6007283007022325,0.13118136389630886,0.13437835655241853,3.5595811146640517,0.5110091743119266,0.5423328252264812,0
ES,RTH,B1,1h,S-C_q0.90,M6_PARK,1091,0.9762090210199692,0.6258308664914315,0.6334109556819906,0.5575338576472191,0.11726367472893373,0.12012148239156151,2.9698900693283665,0.544954128440367,0.4482761232307494,0
ES,RTH,B1,1h,S-C_q0.90,M6_GK,1091,0.9762090210199692,0.623423214527989,0.6309741421389586,0.5617657840607916,0.10559062500582839,0.10816395129754536,2.6634674336928947,0.5495412844036697,0.5119433090016211,0
ES,RTH,B1,30min,S-A,M1_EWMA,22312,0.9989785910290314,0.7873568783079054,0.7877592932962963,0.7734530827667371,0.5971677840325851,0.5977783602123569,1.2838341226307959,0.47003720138048494,0.3479689138656808,0
ES,RTH,B1,30min,S-A,M2_HAR,22312,0.9989785910290314,0.8556705512280549,0.8561078810646583,0.8410211732809374,0.6844809195643424,0.6851807693488905,4.219956259242005,0.41495226569853433,0.22728774047510042,0
ES,RTH,B1,30min,S-A,M3_HARJ,22312,0.9989785910290314,0.8557927726832623,0.8562301649867683,0.8411390174469967,0.6851771905791404,0.685877752268295,4.212593895682379,0.4156694007440276,0.22727576385365567,0
ES,RTH,B1,30min,S-A,M4_HARQ,22312,0.9989785910290314,0.10069680505318966,0.10074827079223747,0.8496140372370713,-28.32565006953893,-28.354611724322485,3.9164176942990494,0.4161624310878042,1.5688179035366568e+292,0
ES,RTH,B1,30min,S-A,M5_RGARCH,22312,0.9989785910290314,0.8449705646547699,0.8454024257705286,0.8384365611267787,0.5194261928163764,0.5199572818485769,4.55726861882907,0.4115458742324414,0.6621713776481979,0
ES,RTH,B1,30min,S-A,M6_PARK,22312,0.9989785910290314,0.7962755190047758,0.7966824922751751,0.7816987819307721,0.2491100639029752,0.24936476731335253,3.472413266376167,0.448478329075344,1.1577643396357502,0
ES,RTH,B1,30min,S-A,M6_GK,22312,0.9989785910290314,0.7973656930486802,0.7977732235027243,0.7849721966910586,0.20592549656341708,0.20613604576980635,3.485272560729511,0.4520640043028103,1.3326634370794936,0
ES,RTH,B1,30min,S-B_q0.80,M1_EWMA,4463,0.9989785910290314,0.5503934132796774,0.5506747171777159,0.4840913222321545,-0.494651150328818,-0.4951569080367238,0.6908415859409928,0.48296727924697447,0.6694267749673342,0
ES,RTH,B1,30min,S-B_q0.80,M2_HAR,4463,0.9989785910290314,0.6711351576226284,0.6714781721489559,0.5920399575839075,0.020600722790527937,0.020621786067814996,2.0824792872349254,0.4524876736889287,0.40139723122836274,0
ES,RTH,B1,30min,S-B_q0.80,M3_HARJ,4463,0.9989785910290314,0.6713883636014776,0.67173150754038,0.5915804052224977,0.02027777064455072,0.020298503718345875,2.0644263078036653,0.4549529359031824,0.40270001465790595,0
ES,RTH,B1,30min,S-B_q0.80,M4_HARQ,4463,0.9989785910290314,-0.04130199039430554,-0.04132309967834554,0.589700497278329,-448.4299448160262,-448.88844349918037,1.6777530074680613,0.45271178843567905,7.843034968341897e+292,0
ES,RTH,B1,30min,S-B_q0.80,M5_RGARCH,4463,0.9989785910290314,0.6079901712005609,0.6083009125739154,0.5732191731530731,-1.5502897301226666,-1.5518748289948223,1.6694134353687273,0.44397131331241596,1.381334288008494,0
ES,RTH,B1,30min,S-B_q0.80,M6_PARK,4463,0.9989785910290314,0.5423717832688157,0.542648987343462,0.4970306230806545,-1.8218873787828334,-1.8237501735709243,1.630145055492092,0.47982967279246974,1.8098173532829842,0
ES,RTH,B1,30min,S-B_q0.80,M6_GK,4463,0.9989785910290314,0.5443615074754833,0.544639728490307,0.49867959918539967,-2.05245392555412,-2.0545524638720445,1.6414634757709659,0.48229493500672344,2.158723817293018,0
ES,RTH,B1,30min,S-C_q0.80,M1_EWMA,4463,0.9989785910290314,0.548466907797333,0.5487472270660342,0.4629328513078924,0.2367403594880929,0.23698241545319862,1.0313547615611935,0.5,0.37355001893246953,0
ES,RTH,B1,30min,S-C_q0.80,M2_HAR,4463,0.9989785910290314,0.7261306908635077,0.7265018133894989,0.6514357374570501,0.5060291220691634,0.5065465132219812,4.090655549440633,0.4744509188704617,0.19597091964028404,0
ES,RTH,B1,30min,S-C_q0.80,M3_HARJ,4463,0.9989785910290314,0.7276421496250893,0.7280140446516794,0.6530974509172962,0.5086152963861742,0.5091353317814928,4.111294156080169,0.4782608695652174,0.1958185377971513,0
ES,RTH,B1,30min,S-C_q0.80,M4_HARQ,4463,0.9989785910290314,-0.03549551414903392,-0.03551365576601568,0.6787382029631785,-281.42749068374826,-281.71523715423615,2.7712543796516016,0.4780367548184671,7.843034968341897e+292,0
ES,RTH,B1,30min,S-C_q0.80,M5_RGARCH,4463,0.9989785910290314,0.7490741717751488,0.7494570206235474,0.6891163430429019,0.221368114288224,0.22159445285028215,3.8773402687947365,0.4558493948901838,0.5048572976482428,0
ES,RTH,B1,30min,S-C_q0.80,M6_PARK,4463,0.9989785910290314,0.6438201305651449,0.6441491844891089,0.5836512504198438,0.050008071542422816,0.05005920246089591,3.077052589746098,0.502017032720753,0.5998124781610414,0
ES,RTH,B1,30min,S-C_q0.80,M6_GK,4463,0.9989785910290314,0.6483534379185151,0.648684808797949,0.5854133094247888,0.009450024537325019,0.009459686746230172,3.2345517548477085,0.5080681308830121,0.6804260271116255,0
ES,RTH,B1,30min,S-B_q0.90,M1_EWMA,2232,0.9989785910290314,0.5142301428058577,0.5144929637992961,0.43561951042508634,-1.1746753547744015,-1.175876405483713,0.6652077196518823,0.4845360824742268,0.9163315374846828,0
ES,RTH,B1,30min,S-B_q0.90,M2_HAR,2232,0.9989785910290314,0.6294277125311671,0.6297494105471615,0.5172867686513591,-0.4971546081417122,-0.4976629255183551,1.5591411371990676,0.4625728372926939,0.5722253529139399,0
ES,RTH,B1,30min,S-B_q0.90,M3_HARJ,2232,0.9989785910290314,0.62978300322148,0.6301048828251419,0.5171606553402845,-0.4983105168868107,-0.4988200161261807,1.5638275376492456,0.4634692962796952,0.5746789560189659,0
