nu,nsr,n,M,master,estimator,mean_recovery,sd_recovery
3.0,1e-05,390,78,1861959406,E1_d_L1-10,1.1254347449316469,0.0421120683384926
3.0,1e-05,390,78,1861959406,E2,0.9935282122795306,0.02154701287963175
3.0,1e-05,390,78,1861959406,E4,1.1231204795224412,0.03948024562508881
3.0,1e-05,390,195,1861959406,E1_a_L1-5,0.9854002723808705,0.021746704620983232
3.0,1e-05,390,195,1861959406,E1_a_L1-10,0.9852027884079128,0.02272358035944583
3.0,1e-05,390,195,1861959406,E1_d_L1-5,1.0441009582927165,0.026985497571784593
3.0,1e-05,390,195,1861959406,E1_d_L1-10,1.1144679462197253,0.04231856843421204
3.0,1e-05,390,195,1861959406,E2,0.9842674825463176,0.01956388770380743
3.0,1e-05,390,195,1861959406,E4,1.1075001748650677,0.037523797977406556
3.0,1e-05,390,390,1861959406,E1_a_L1-5,0.9724502444942326,0.020829470922795707
3.0,1e-05,390,390,1861959406,E1_a_L1-10,0.9724542174094453,0.022141280298581898
3.0,1e-05,390,390,1861959406,E1_d_L1-5,1.030620840050863,0.02602880655924008
3.0,1e-05,390,390,1861959406,E1_d_L1-10,1.099880074628976,0.04172297787282674
3.0,1e-05,390,390,1861959406,E2,0.970680994183056,0.01864466260329125
3.0,1e-05,390,390,1861959406,E4,1.0914248808907903,0.037516035563722676
3.0,1e-05,1380,23,2092611599,E1_a_L1-5,0.995468296591755,0.03150287915153726
3.0,1e-05,1380,23,2092611599,E1_a_L1-10,0.9956252502057198,0.03267026974253112
3.0,1e-05,1380,23,2092611599,E1_d_L1-5,1.054922210812287,0.04126342206660269
3.0,1e-05,1380,23,2092611599,E1_d_L1-10,1.128994545478091,0.05774737095274068
3.0,1e-05,1380,23,2092611599,E2,0.9967314582404702,0.029238193599638095
3.0,1e-05,1380,23,2092611599,E4,1.1387891332514355,0.05331842201662244
3.0,1e-05,1380,46,2092611599,E1_a_L1-5,0.994402761503673,0.026016159005336218
3.0,1e-05,1380,46,2092611599,E1_a_L1-10,0.9955156802625731,0.02645187529397862
3.0,1e-05,1380,46,2092611599,E1_d_L1-5,1.052732221928592,0.03214943597992702
3.0,1e-05,1380,46,2092611599,E1_d_L1-10,1.127621707118711,0.05150371331304248
3.0,1e-05,1380,46,2092611599,E2,0.9954778413149057,0.021951812439168553
3.0,1e-05,1380,46,2092611599,E4,1.098670231449831,0.04228363755096167
3.0,1e-05,1380,138,2092611599,E1_a_L1-5,0.9897619495958468,0.02119140288525877
3.0,1e-05,1380,138,2092611599,E1_a_L1-10,0.9914801776438438,0.021737988133429205
3.0,1e-05,1380,138,2092611599,E1_d_L1-5,1.0483743815517321,0.026308625223094732
3.0,1e-05,1380,138,2092611599,E1_d_L1-10,1.123461138748421,0.04466412962050265
3.0,1e-05,1380,138,2092611599,E2,0.9887361583642034,0.017007245697104923
3.0,1e-05,1380,138,2092611599,E4,1.0728058405477099,0.035107877716350364
3.0,1e-05,1380,345,2092611599,E1_a_L1-5,0.9757170359695376,0.020615433733512885
3.0,1e-05,1380,345,2092611599,E1_a_L1-10,0.9765656927163903,0.021653357254630634
3.0,1e-05,1380,345,2092611599,E1_d_L1-5,1.0332614103307753,0.026055888719162854
3.0,1e-05,1380,345,2092611599,E1_d_L1-10,1.1073793452198697,0.04556088100510632
3.0,1e-05,1380,345,2092611599,E2,0.9705571722235214,0.016917519660911987
3.0,1e-05,1380,345,2092611599,E4,1.0538111095779505,0.034603939844874886
3.0,1e-05,1380,1380,2092611599,E1_a_L1-5,0.9114414563481771,0.02412018260681443
3.0,1e-05,1380,1380,2092611599,E1_a_L1-10,0.9122185968181487,0.02454548564009241
3.0,1e-05,1380,1380,2092611599,E1_d_L1-5,0.9658696920524794,0.029617005247795015
3.0,1e-05,1380,1380,2092611599,E1_d_L1-10,1.0347938680169064,0.04691448567494771
3.0,1e-05,1380,1380,2092611599,E2,0.891040498997709,0.022931851550611417
3.0,1e-05,1380,1380,2092611599,E4,0.9846601759622726,0.03742237943218062
3.0,1e-05,1380,23,2383867976,E1_a_L1-5,0.995027237012271,0.031218216295355143
3.0,1e-05,1380,23,2383867976,E1_a_L1-10,0.9954585841179767,0.031176503488467577
3.0,1e-05,1380,23,2383867976,E1_d_L1-5,1.0553282301797853,0.03807466544819267
3.0,1e-05,1380,23,2383867976,E1_d_L1-10,1.1294645015189446,0.0490485415762612
3.0,1e-05,1380,23,2383867976,E2,0.9955097997336446,0.026838392573624144
3.0,1e-05,1380,23,2383867976,E4,1.1371627805389943,0.043391419017884604
3.0,1e-05,1380,46,2383867976,E1_a_L1-5,0.9954151814152116,0.02459065542039805
3.0,1e-05,1380,46,2383867976,E1_a_L1-10,0.9956254271155458,0.024415452293546153
3.0,1e-05,1380,46,2383867976,E1_d_L1-5,1.0548563139494527,0.030614412717750568
3.0,1e-05,1380,46,2383867976,E1_d_L1-10,1.1296058648976646,0.042828378757354416
3.0,1e-05,1380,46,2383867976,E2,0.9939488041345145,0.020583418685037016
3.0,1e-05,1380,46,2383867976,E4,1.0982585359373662,0.033955192170911336
3.0,1e-05,1380,138,2383867976,E1_a_L1-5,0.9894726467911927,0.018640980528936608
3.0,1e-05,1380,138,2383867976,E1_a_L1-10,0.9906109049744891,0.018594276803425472
3.0,1e-05,1380,138,2383867976,E1_d_L1-5,1.0490623303635749,0.02575048253741863
3.0,1e-05,1380,138,2383867976,E1_d_L1-10,1.12242579290581,0.03972846411357603
3.0,1e-05,1380,138,2383867976,E2,0.9870809207320903,0.015586185119480369
3.0,1e-05,1380,138,2383867976,E4,1.0721223005911555,0.027318187253310075
3.0,1e-05,1380,345,2383867976,E1_a_L1-5,0.9761083542783507,0.018521326055316086
3.0,1e-05,1380,345,2383867976,E1_a_L1-10,0.9767303110926783,0.019216395584949416
3.0,1e-05,1380,345,2383867976,E1_d_L1-5,1.033579555657157,0.025002178926371747
3.0,1e-05,1380,345,2383867976,E1_d_L1-10,1.1063128555221555,0.037910550460246044
3.0,1e-05,1380,345,2383867976,E2,0.9693851110096924,0.015290384666519123
3.0,1e-05,1380,345,2383867976,E4,1.053177459979746,0.02629430991275975
3.0,1e-05,1380,1380,2383867976,E1_a_L1-5,0.9129593664018343,0.02188851282194793
3.0,1e-05,1380,1380,2383867976,E1_a_L1-10,0.9129239649595958,0.02206935774098285
3.0,1e-05,1380,1380,2383867976,E1_d_L1-5,0.9658005914116501,0.027400706806061537
3.0,1e-05,1380,1380,2383867976,E1_d_L1-10,1.0339652391371552,0.040128067000623116
3.0,1e-05,1380,1380,2383867976,E2,0.8910471439053587,0.021595491964910712
3.0,1e-05,1380,1380,2383867976,E4,0.9844417588292216,0.029737034474254548
3.0,1e-05,1380,23,3610172792,E1_a_L1-5,0.9975359405395597,0.03152159269655917
3.0,1e-05,1380,23,3610172792,E1_a_L1-10,0.9982221201070385,0.0287158381497948
3.0,1e-05,1380,23,3610172792,E1_d_L1-5,1.0588801518270774,0.04133518947780858
3.0,1e-05,1380,23,3610172792,E1_d_L1-10,1.133497463371899,0.050293539377893506
3.0,1e-05,1380,23,3610172792,E2,0.998309920621827,0.02900437682203888
3.0,1e-05,1380,23,3610172792,E4,1.1401911330350891,0.04411470203030844
3.0,1e-05,1380,46,3610172792,E1_a_L1-5,0.9981338911100903,0.025559378629723857
3.0,1e-05,1380,46,3610172792,E1_a_L1-10,0.9984410262430257,0.02420336165832704
3.0,1e-05,1380,46,3610172792,E1_d_L1-5,1.0587359930890328,0.032711834341593075
3.0,1e-05,1380,46,3610172792,E1_d_L1-10,1.134203595834326,0.04594837158089884
3.0,1e-05,1380,46,3610172792,E2,0.997138138108851,0.021370766316340124
3.0,1e-05,1380,46,3610172792,E4,1.0997260612570765,0.03417172131437814
3.0,1e-05,1380,138,3610172792,E1_a_L1-5,0.9911841817044267,0.0215974032942283
3.0,1e-05,1380,138,3610172792,E1_a_L1-10,0.9913142384321924,0.021704207998361345
3.0,1e-05,1380,138,3610172792,E1_d_L1-5,1.050833913631329,0.02799808377190431
3.0,1e-05,1380,138,3610172792,E1_d_L1-10,1.1245702292616266,0.04375543928736993
3.0,1e-05,1380,138,3610172792,E2,0.987856216290329,0.017110669429477764
3.0,1e-05,1380,138,3610172792,E4,1.0732319789221294,0.030299678478014697
3.0,1e-05,1380,345,3610172792,E1_a_L1-5,0.9767712233688259,0.018908359559069287
3.0,1e-05,1380,345,3610172792,E1_a_L1-10,0.9773529280711517,0.01937453781450255
3.0,1e-05,1380,345,3610172792,E1_d_L1-5,1.0349195916525258,0.02589848702712933
3.0,1e-05,1380,345,3610172792,E1_d_L1-10,1.1087592173738074,0.04096118903137114
3.0,1e-05,1380,345,3610172792,E2,0.9696996506709382,0.016135197151063718
3.0,1e-05,1380,345,3610172792,E4,1.0536992087158525,0.02804687430475449
3.0,1e-05,1380,1380,3610172792,E1_a_L1-5,0.9143824776328262,0.02326367407042245
3.0,1e-05,1380,1380,3610172792,E1_a_L1-10,0.9146691737052711,0.023200606172631293
3.0,1e-05,1380,1380,3610172792,E1_d_L1-5,0.968874367146735,0.029168844432305066
3.0,1e-05,1380,1380,3610172792,E1_d_L1-10,1.039057150016332,0.043606447880726644
3.0,1e-05,1380,1380,3610172792,E2,0.8923269748968476,0.023215059854077628
3.0,1e-05,1380,1380,3610172792,E4,0.9860831115511494,0.03236699844320069
3.0,1e-05,1380,23,338961480,E1_a_L1-5,1.0009891000745432,0.028461362256730002
3.0,1e-05,1380,23,338961480,E1_a_L1-10,1.0006602845030867,0.02802202482084035
3.0,1e-05,1380,23,338961480,E1_d_L1-5,1.0629619067778466,0.036230430275794194
3.0,1e-05,1380,23,338961480,E1_d_L1-10,1.1371165456604313,0.04937099122290636
3.0,1e-05,1380,23,338961480,E2,0.9981790261675271,0.02620094907168705
3.0,1e-05,1380,23,338961480,E4,1.143257929641692,0.04212606548922588
3.0,1e-05,1380,46,338961480,E1_a_L1-5,0.9986461386753054,0.024584018674430524
3.0,1e-05,1380,46,338961480,E1_a_L1-10,0.9980568169723264,0.024885884209419302
3.0,1e-05,1380,46,338961480,E1_d_L1-5,1.060190174092222,0.03188030528864455
3.0,1e-05,1380,46,338961480,E1_d_L1-10,1.132674011983979,0.04619164438802786
3.0,1e-05,1380,46,338961480,E2,0.9968208942581941,0.02097092415957288
3.0,1e-05,1380,46,338961480,E4,1.1025583697690482,0.036160838923592044
3.0,1e-05,1380,138,338961480,E1_a_L1-5,0.9918360413941015,0.01945575635181403
3.0,1e-05,1380,138,338961480,E1_a_L1-10,0.9918366676527893,0.019735933133830662
3.0,1e-05,1380,138,338961480,E1_d_L1-5,1.0515742888139405,0.025987611657928945
3.0,1e-05,1380,138,338961480,E1_d_L1-10,1.1266225720739238,0.04331879644644785
3.0,1e-05,1380,138,338961480,E2,0.9879003535112385,0.015159529131625209
3.0,1e-05,1380,138,338961480,E4,1.0746965093606107,0.030259204163723526
3.0,1e-05,1380,345,338961480,E1_a_L1-5,0.9777661466767938,0.017284845721670924
3.0,1e-05,1380,345,338961480,E1_a_L1-10,0.9780029431081908,0.018087919151969396
3.0,1e-05,1380,345,338961480,E1_d_L1-5,1.0363294263768053,0.02421391515832777
3.0,1e-05,1380,345,338961480,E1_d_L1-10,1.109742655169514,0.04214390301748313
3.0,1e-05,1380,345,338961480,E2,0.9706435706772111,0.013631141002519465
3.0,1e-05,1380,345,338961480,E4,1.0561892396963186,0.028151086348638405
3.0,1e-05,1380,1380,338961480,E1_a_L1-5,0.9151777165794869,0.01984712150249837
3.0,1e-05,1380,1380,338961480,E1_a_L1-10,0.9157479377134564,0.02080839017624405
3.0,1e-05,1380,1380,338961480,E1_d_L1-5,0.9701432856764253,0.02601978950665147
3.0,1e-05,1380,1380,338961480,E1_d_L1-10,1.0392441106983625,0.0430116719988518
3.0,1e-05,1380,1380,338961480,E2,0.8939760753556526,0.019290300154896124
3.0,1e-05,1380,1380,338961480,E4,0.988765174920409,0.030204012519056214
3.0,1e-05,1380,23,1861959406,E1_a_L1-5,1.0000980157717456,0.030406932552783535
3.0,1e-05,1380,23,1861959406,E1_a_L1-10,1.000223404540448,0.02898321516408544
