root,geom,btag,horizon,M,year,tercile,n,estimator,lam
ES,GLOBEX,B0,1day,23,2020,3,143,E2,0.7615530681550952
ES,GLOBEX,B0,1day,23,2020,3,143,E4,0.9077466285343141
ES,GLOBEX,B0,1day,23,2020,0,244,E1_a_exp_L1-5,0.8205617797117218
ES,GLOBEX,B0,1day,23,2020,0,244,E1_d_model_L1-5,0.9623762584159866
ES,GLOBEX,B0,1day,23,2020,0,244,E1_a_exp_L1-10,0.822671818540408
ES,GLOBEX,B0,1day,23,2020,0,244,E1_d_model_L1-10,1.122738442463737
ES,GLOBEX,B0,1day,23,2020,0,244,E2,0.8182591298956464
ES,GLOBEX,B0,1day,23,2020,0,244,E4,0.9458639069678186
ES,GLOBEX,B0,1day,23,2021,1,90,E1_a_exp_L1-5,-0.03390404943935311
ES,GLOBEX,B0,1day,23,2021,1,90,E1_d_model_L1-5,-0.17835747261425333
ES,GLOBEX,B0,1day,23,2021,1,90,E1_a_exp_L1-10,-0.03829285332699377
ES,GLOBEX,B0,1day,23,2021,1,90,E1_d_model_L1-10,-0.17815132187217114
ES,GLOBEX,B0,1day,23,2021,1,90,E2,0.40512628675644813
ES,GLOBEX,B0,1day,23,2021,1,90,E4,0.7467170283789311
ES,GLOBEX,B0,1day,23,2021,2,96,E1_a_exp_L1-5,0.27150831414921944
ES,GLOBEX,B0,1day,23,2021,2,96,E1_d_model_L1-5,-0.5794687748978032
ES,GLOBEX,B0,1day,23,2021,2,96,E1_a_exp_L1-10,0.2599233894993374
ES,GLOBEX,B0,1day,23,2021,2,96,E1_d_model_L1-10,-0.39884781490216376
ES,GLOBEX,B0,1day,23,2021,2,96,E2,-0.9123363366100726
ES,GLOBEX,B0,1day,23,2021,2,96,E4,0.38587483020159663
ES,GLOBEX,B0,1day,23,2021,3,60,E1_a_exp_L1-5,0.3819433667939582
ES,GLOBEX,B0,1day,23,2021,3,60,E1_d_model_L1-5,-0.2846886739012503
ES,GLOBEX,B0,1day,23,2021,3,60,E1_a_exp_L1-10,0.38285605110611504
ES,GLOBEX,B0,1day,23,2021,3,60,E1_d_model_L1-10,-0.28493809949423277
ES,GLOBEX,B0,1day,23,2021,3,60,E2,0.1966327060461192
ES,GLOBEX,B0,1day,23,2021,3,60,E4,0.7715074868197239
ES,GLOBEX,B0,1day,23,2021,0,246,E1_a_exp_L1-5,0.7741265849023923
