nu,nsr,n,M,estimator,recovery,between_seed_sd
3.0,0.0001,1380,138,E4,0.9904111061091083,0.0017581963607105518
3.0,0.0001,1380,345,E1_a_L1-10,0.8111847265884622,0.0017381218783923825
3.0,0.0001,1380,345,E1_a_L1-5,0.8110822498410661,0.0018123381180567971
3.0,0.0001,1380,345,E1_d_L1-10,0.9198514493138727,0.0021466184322820334
3.0,0.0001,1380,345,E1_d_L1-5,0.8595668306585779,0.0021695111212797443
3.0,0.0001,1380,345,E2,0.7723067511203195,0.0021702864509365112
3.0,0.0001,1380,345,E4,0.877720886181898,0.0021944197104382507
3.0,0.0001,1380,1380,E1_a_L1-10,0.5150910019148438,0.0026196438765241263
3.0,0.0001,1380,1380,E1_a_L1-5,0.5148566302803849,0.0025447673870434263
3.0,0.0001,1380,1380,E1_d_L1-10,0.5845099612849604,0.0031276617728825044
3.0,0.0001,1380,1380,E1_d_L1-5,0.546180559322502,0.0026636754950437507
3.0,0.0001,1380,1380,E2,0.4592971716643838,0.0026773338427679982
3.0,0.0001,1380,1380,E4,0.5615420975361995,0.002943785588957632
3.4,1e-05,390,13,E1_a_L1-10,1.0011965322325933,0.0038340673082019605
3.4,1e-05,390,13,E1_a_L1-5,1.0002740760836193,0.003483180102750104
3.4,1e-05,390,13,E1_d_L1-10,1.13602700696342,0.00674712987381833
3.4,1e-05,390,13,E1_d_L1-5,1.0621568917438606,0.004079346163011905
3.4,1e-05,390,13,E2,1.0009325059022427,0.003782597610289874
3.4,1e-05,390,13,E4,1.1737018736378384,0.005825650028260924
3.4,1e-05,390,26,E1_a_L1-10,0.9988535451038156,0.001798072786382543
3.4,1e-05,390,26,E1_a_L1-5,0.9983886258185704,0.002140316123782212
3.4,1e-05,390,26,E1_d_L1-10,1.1325878353209589,0.004733973782857935
3.4,1e-05,390,26,E1_d_L1-5,1.058697480646671,0.0025275550266257284
3.4,1e-05,390,26,E2,0.9972455611813793,0.0014721499801189386
3.4,1e-05,390,26,E4,1.101176705205697,0.003657173464997404
3.4,1e-05,390,78,E1_a_L1-10,0.9953478480858149,0.001990217023491507
3.4,1e-05,390,78,E1_a_L1-5,0.9950756618121206,0.0017888303039091788
3.4,1e-05,390,78,E1_d_L1-10,1.1293742154881392,0.0039493037029118706
3.4,1e-05,390,78,E1_d_L1-5,1.054339624275173,0.0023927230283934346
3.4,1e-05,390,78,E2,0.994668121421593,0.001192207423356169
3.4,1e-05,390,78,E4,1.0694378742640185,0.002255307029388833
3.4,1e-05,390,195,E1_a_L1-10,0.9878321305125007,0.0016738343423860552
3.4,1e-05,390,195,E1_a_L1-5,0.9874990028974955,0.0017419866489095511
3.4,1e-05,390,195,E1_d_L1-10,1.1203433115172037,0.003225674058268823
3.4,1e-05,390,195,E1_d_L1-5,1.0459026465611065,0.0016939809330756646
3.4,1e-05,390,195,E2,0.9868901684649416,0.0011761264494323008
3.4,1e-05,390,195,E4,1.0560569871831542,0.0016173766845686865
3.4,1e-05,390,390,E1_a_L1-10,0.9747227274590553,0.0013857492985944835
3.4,1e-05,390,390,E1_a_L1-5,0.9741876855747407,0.0015408132944330088
3.4,1e-05,390,390,E1_d_L1-10,1.1054162365963038,0.0029420017516247838
3.4,1e-05,390,390,E1_d_L1-5,1.0320125610402604,0.0018725054115717248
3.4,1e-05,390,390,E2,0.9733417170458927,0.0011304739834602495
3.4,1e-05,390,390,E4,1.0407603534273753,0.0018203195052936842
3.4,1e-05,1380,23,E1_a_L1-10,0.9983523110309829,0.00141764079748837
