nu,nsr,n,M,estimator,recovery,between_seed_sd
3.4,0.0001,1380,345,E1_a_L1-5,0.8140179441276423,0.002217319113642766
3.4,0.0001,1380,345,E1_d_L1-10,0.9241833862886499,0.002507851726693015
3.4,0.0001,1380,345,E1_d_L1-5,0.8629419008815816,0.0026058704682681384
3.4,0.0001,1380,345,E2,0.7769138908957535,0.00217944563248525
3.4,0.0001,1380,345,E4,0.846749062182074,0.0023025288251301034
3.4,0.0001,1380,1380,E1_a_L1-10,0.5205317082191352,0.0031370004282227732
3.4,0.0001,1380,1380,E1_a_L1-5,0.5202527894002353,0.0034056941895626767
3.4,0.0001,1380,1380,E1_d_L1-10,0.5915951037371914,0.0036234633098264266
3.4,0.0001,1380,1380,E1_d_L1-5,0.5517929770115713,0.003603800689211342
3.4,0.0001,1380,1380,E2,0.46587274824426295,0.003129856941719392
3.4,0.0001,1380,1380,E4,0.5422628741525851,0.0034622340884477975
4.5,1e-05,390,13,E1_a_L1-10,0.9995791136714507,0.001046832355886506
4.5,1e-05,390,13,E1_a_L1-5,0.9993730447482487,0.0013681461036108597
4.5,1e-05,390,13,E1_d_L1-10,1.1328264035414333,0.002400530883763835
4.5,1e-05,390,13,E1_d_L1-5,1.0610502492202432,0.002195026202872755
4.5,1e-05,390,13,E2,0.9991171153427196,0.001701523950392263
4.5,1e-05,390,13,E4,1.11546498818859,0.0025702923503881456
4.5,1e-05,390,26,E1_a_L1-10,0.9989824775700036,0.0016243739162749664
4.5,1e-05,390,26,E1_a_L1-5,0.9984972538332201,0.0016186922865924437
4.5,1e-05,390,26,E1_d_L1-10,1.1313883055567215,0.002987476115429253
4.5,1e-05,390,26,E1_d_L1-5,1.058051270885088,0.0025544128969653707
4.5,1e-05,390,26,E2,0.9979594053082724,0.002082877331117491
4.5,1e-05,390,26,E4,1.048350668530206,0.002678964284216709
4.5,1e-05,390,78,E1_a_L1-10,0.9955742403332479,0.0015708115655821537
4.5,1e-05,390,78,E1_a_L1-5,0.9953952226466745,0.0013004685676185179
4.5,1e-05,390,78,E1_d_L1-10,1.1279685039388814,0.0026050790312760292
4.5,1e-05,390,78,E1_d_L1-5,1.05447009983977,0.0014803334508684918
4.5,1e-05,390,78,E2,0.9947611856738721,0.0013973612464432304
4.5,1e-05,390,78,E4,1.0197951018808369,0.0015997269491071168
4.5,1e-05,390,195,E1_a_L1-10,0.9883791070887762,0.0014051220256307067
4.5,1e-05,390,195,E1_a_L1-5,0.988001033275304,0.0010259433016087326
4.5,1e-05,390,195,E1_d_L1-10,1.1194787426347572,0.0024369951424616674
4.5,1e-05,390,195,E1_d_L1-5,1.0463122048597902,0.0016547604575472541
4.5,1e-05,390,195,E2,0.987366059263487,0.001012621874366074
4.5,1e-05,390,195,E4,1.0083081900798607,0.0013225163642447838
4.5,1e-05,390,390,E1_a_L1-10,0.9761135768906563,0.0009791430441679382
4.5,1e-05,390,390,E1_a_L1-5,0.9756917598607103,0.0007774529931009132
4.5,1e-05,390,390,E1_d_L1-10,1.1062207361529819,0.0022570889783223498
4.5,1e-05,390,390,E1_d_L1-5,1.0332091404462749,0.0014907059142552708
4.5,1e-05,390,390,E2,0.9748153665912989,0.0008913831539044801
4.5,1e-05,390,390,E4,0.994848826978831,0.0012937867187033387
4.5,1e-05,1380,23,E1_a_L1-10,0.9992101635392497,0.0017926000815187428
4.5,1e-05,1380,23,E1_a_L1-5,0.9993272267572089,0.0013406301611884439
4.5,1e-05,1380,23,E1_d_L1-10,1.1316625786968626,0.004194014694699306
4.5,1e-05,1380,23,E1_d_L1-5,1.0600063617113438,0.0022670212144942367
4.5,1e-05,1380,23,E2,0.9993184375365178,0.0010542656713035264
4.5,1e-05,1380,23,E4,1.0668713577139708,0.0018995178130908105
4.5,1e-05,1380,46,E1_a_L1-10,0.997805600810419,0.0014216165298078626
4.5,1e-05,1380,46,E1_a_L1-5,0.9977491748764811,0.0013592925954237674
4.5,1e-05,1380,46,E1_d_L1-10,1.1301075380136214,0.003935700120453815
4.5,1e-05,1380,46,E1_d_L1-5,1.0573131195449963,0.0013064926802929787
4.5,1e-05,1380,46,E2,0.9969115724385563,0.0009301293265139911
4.5,1e-05,1380,46,E4,1.028390197425074,0.0015128563418429259
4.5,1e-05,1380,138,E1_a_L1-10,0.9914686769716626,0.00048410692722571303
4.5,1e-05,1380,138,E1_a_L1-5,0.991434473342531,0.0002423017148494759
4.5,1e-05,1380,138,E1_d_L1-10,1.1233628112522276,0.0028459611387153757
4.5,1e-05,1380,138,E1_d_L1-5,1.0502091662318933,0.0006448502745527782
4.5,1e-05,1380,138,E2,0.9888444448978708,0.00036817768577474837
4.5,1e-05,1380,138,E4,1.004698173618213,0.0003399763269781448
4.5,1e-05,1380,345,E1_a_L1-10,0.9782999765100433,0.0003012152119978987
4.5,1e-05,1380,345,E1_a_L1-5,0.9782781088805821,0.000655876844462209
4.5,1e-05,1380,345,E1_d_L1-10,1.1076034975647588,0.0020063052309198626
4.5,1e-05,1380,345,E1_d_L1-5,1.0364935304071161,0.00033533729941612016
4.5,1e-05,1380,345,E2,0.9722764694334174,0.0005373643198869967
4.5,1e-05,1380,345,E4,0.9885793777684796,0.0005653006111261857
4.5,1e-05,1380,1380,E1_a_L1-10,0.9180705102179696,0.0006595702922698582
4.5,1e-05,1380,1380,E1_a_L1-5,0.9177869935903387,0.0006691858508043309
4.5,1e-05,1380,1380,E1_d_L1-10,1.0395356450551179,0.0019028735942747837
4.5,1e-05,1380,1380,E1_d_L1-5,0.9722477890713975,0.00045798472432199717
4.5,1e-05,1380,1380,E2,0.8983884779973688,0.0010535532513125789
4.5,1e-05,1380,1380,E4,0.9267948271563313,0.0009340225966015245
4.5,3e-05,390,13,E1_a_L1-10,0.9982668698905796,0.0019789926870948204
4.5,3e-05,390,13,E1_a_L1-5,0.997766579771737,0.002870449141299424
4.5,3e-05,390,13,E1_d_L1-10,1.1311095939768847,0.003322978684076876
4.5,3e-05,390,13,E1_d_L1-5,1.058563185443939,0.004185377740992294
4.5,3e-05,390,13,E2,0.9971083800453421,0.002596722069058024
4.5,3e-05,390,13,E4,1.1139902277323448,0.002765693138062841
4.5,3e-05,390,26,E1_a_L1-10,0.9953860932892754,0.0015021549864765852
4.5,3e-05,390,26,E1_a_L1-5,0.9949085030884854,0.0019623368198198586
4.5,3e-05,390,26,E1_d_L1-10,1.1277095819959253,0.0030151465532191066
4.5,3e-05,390,26,E1_d_L1-5,1.0543106849877306,0.0023515323037459766
4.5,3e-05,390,26,E2,0.9946690737068797,0.0029984675552785617
4.5,3e-05,390,26,E4,1.0446686597383632,0.00223162845293555
4.5,3e-05,390,78,E1_a_L1-10,0.9850405230411784,0.0008824425268134623
4.5,3e-05,390,78,E1_a_L1-5,0.9844032395887595,0.000776558075017615
4.5,3e-05,390,78,E1_d_L1-10,1.115973436711355,0.001946162396762759
4.5,3e-05,390,78,E1_d_L1-5,1.0429270566382194,0.0008166871473366574
4.5,3e-05,390,78,E2,0.9841947022706968,0.001085417127416803
4.5,3e-05,390,78,E4,1.008912244833986,0.0008932593806153609
4.5,3e-05,390,195,E1_a_L1-10,0.9631431169785533,0.0003814093532009181
4.5,3e-05,390,195,E1_a_L1-5,0.9627915380701765,0.0005166581219817122
4.5,3e-05,390,195,E1_d_L1-10,1.0908922870991415,0.001162051196938319
4.5,3e-05,390,195,E1_d_L1-5,1.019777430903074,0.0006478333313538333
4.5,3e-05,390,195,E2,0.9618874570376749,0.0007040550510588344
4.5,3e-05,390,195,E4,0.982877818077829,0.0006915420929337284
4.5,3e-05,390,390,E1_a_L1-10,0.9288294741281856,0.000521671890992351
4.5,3e-05,390,390,E1_a_L1-5,0.928650416705327,0.0007145479762305552
4.5,3e-05,390,390,E1_d_L1-10,1.0521980256092185,0.0014891295608646688
4.5,3e-05,390,390,E1_d_L1-5,0.9838085836305771,0.0007663257385461565
4.5,3e-05,390,390,E2,0.9272160860634722,0.0008157072377097231
4.5,3e-05,390,390,E4,0.9472950407433451,0.000776820775025306
4.5,3e-05,1380,23,E1_a_L1-10,0.996044180985051,0.002099708577832678
4.5,3e-05,1380,23,E1_a_L1-5,0.9958438230047841,0.0012553473265434893
4.5,3e-05,1380,23,E1_d_L1-10,1.1309336609937921,0.002884165153850478
4.5,3e-05,1380,23,E1_d_L1-5,1.0563340381262605,0.0013812484268040548
4.5,3e-05,1380,23,E2,0.9949901474330554,0.0017580886543960901
4.5,3e-05,1380,23,E4,1.0639806239334573,0.0020555855568514187
4.5,3e-05,1380,46,E1_a_L1-10,0.9912183580269398,0.0022524181321390705
4.5,3e-05,1380,46,E1_a_L1-5,0.9911024612318343,0.002394756983290349
4.5,3e-05,1380,46,E1_d_L1-10,1.1249210383421837,0.002333500923355099
4.5,3e-05,1380,46,E1_d_L1-5,1.050491493537335,0.0022585959368288913
4.5,3e-05,1380,46,E2,0.9887065464134415,0.0016286582858775465
4.5,3e-05,1380,46,E4,1.0219406549360692,0.0021182314180323548
4.5,3e-05,1380,138,E1_a_L1-10,0.9741366398002638,0.0013895027298395921
4.5,3e-05,1380,138,E1_a_L1-5,0.9737866603768877,0.00123412934443006
4.5,3e-05,1380,138,E1_d_L1-10,1.1059475269673746,0.0017388612851413241
4.5,3e-05,1380,138,E1_d_L1-5,1.032198133887238,0.00139056928441235
4.5,3e-05,1380,138,E2,0.9670870838124674,0.001075160391683421
4.5,3e-05,1380,138,E4,0.987047082524872,0.001145424073437895
4.5,3e-05,1380,345,E1_a_L1-10,0.9380378324481509,0.0008953429030670815
4.5,3e-05,1380,345,E1_a_L1-5,0.9378041343994881,0.0011444504142703652
4.5,3e-05,1380,345,E1_d_L1-10,1.0646795498113089,0.0020197425871309052
4.5,3e-05,1380,345,E1_d_L1-5,0.9943201904982473,0.0013004261735170316
4.5,3e-05,1380,345,E2,0.9223037997278759,0.0010202964182987994
4.5,3e-05,1380,345,E4,0.9476376094425779,0.000949640322127865
4.5,3e-05,1380,1380,E1_a_L1-10,0.7917422489939498,0.0019306886031384622
4.5,3e-05,1380,1380,E1_a_L1-5,0.7914502891522537,0.00177726516612309
4.5,3e-05,1380,1380,E1_d_L1-10,0.8990499464243511,0.0021152433472548834
4.5,3e-05,1380,1380,E1_d_L1-5,0.8390328987847566,0.0017627168052724274
4.5,3e-05,1380,1380,E2,0.7519311708383691,0.001812853662492022
4.5,3e-05,1380,1380,E4,0.7991711733061937,0.001661218603894632
4.5,0.0001,390,13,E1_a_L1-10,0.9915091638344673,0.0023036477758114175
4.5,0.0001,390,13,E1_a_L1-5,0.9922713219497898,0.001963248569169007
4.5,0.0001,390,13,E1_d_L1-10,1.1254961428006205,0.00525815580195883
4.5,0.0001,390,13,E1_d_L1-5,1.0542803924913653,0.0027051527233038575
4.5,0.0001,390,13,E2,0.9916609950904984,0.0027204747345473436
4.5,0.0001,390,13,E4,1.1089752124138983,0.0044796614424434935
4.5,0.0001,390,26,E1_a_L1-10,0.9838778981984901,0.0008044458367869213
4.5,0.0001,390,26,E1_a_L1-5,0.9840910733539163,0.0006646360013187491
4.5,0.0001,390,26,E1_d_L1-10,1.1159031217381141,0.003357903366030744
4.5,0.0001,390,26,E1_d_L1-5,1.0434354363475151,0.0016811396716531377
4.5,0.0001,390,26,E2,0.9833952493122187,0.0013695358660259502
4.5,0.0001,390,26,E4,1.0334425316976412,0.001988795441575705
4.5,0.0001,390,78,E1_a_L1-10,0.9522964547015891,0.0010461975114538092
4.5,0.0001,390,78,E1_a_L1-5,0.952224301997823,0.0010057682683516144
4.5,0.0001,390,78,E1_d_L1-10,1.0805102618688713,0.0022387851663259834
4.5,0.0001,390,78,E1_d_L1-5,1.0089397090426924,0.0019483888636441103
4.5,0.0001,390,78,E2,0.9507846916626363,0.0007527541281124296
4.5,0.0001,390,78,E4,0.9757110990875713,0.0012227961434181963
4.5,0.0001,390,195,E1_a_L1-10,0.8883675288551693,0.0020525420083236925
4.5,0.0001,390,195,E1_a_L1-5,0.8882305947340182,0.0019524816891562688
4.5,0.0001,390,195,E1_d_L1-10,1.008054500987741,0.0035550325325162378
4.5,0.0001,390,195,E1_d_L1-5,0.9410703519337409,0.00276438900747722
4.5,0.0001,390,195,E2,0.8858106226674209,0.0017846693919380625
4.5,0.0001,390,195,E4,0.9065850624276994,0.0021804901301318014
4.5,0.0001,390,390,E1_a_L1-10,0.7995785323170723,0.0029541764444278432
4.5,0.0001,390,390,E1_a_L1-5,0.7993467605427492,0.0028846742207279544
4.5,0.0001,390,390,E1_d_L1-10,0.9069450176439353,0.004697677309887759
4.5,0.0001,390,390,E1_d_L1-5,0.8467439055646377,0.003961772774135252
4.5,0.0001,390,390,E2,0.7959119575621033,0.003056582185977905
4.5,0.0001,390,390,E4,0.8152591250359287,0.003350416169903289
4.5,0.0001,1380,23,E1_a_L1-10,0.9848187521124354,0.0015775966332411927
4.5,0.0001,1380,23,E1_a_L1-5,0.9846762648074154,0.0018587887500022436
4.5,0.0001,1380,23,E1_d_L1-10,1.1168414269347011,0.003372680457121542
4.5,0.0001,1380,23,E1_d_L1-5,1.0447813204065695,0.0025385493912415758
4.5,0.0001,1380,23,E2,0.9792085502877338,0.0017754430016114495
4.5,0.0001,1380,23,E4,1.0505923682936245,0.0026460485633011763
4.5,0.0001,1380,46,E1_a_L1-10,0.9706816961336091,0.0020825146019029387
4.5,0.0001,1380,46,E1_a_L1-5,0.9703512299793953,0.0014785188152697368
4.5,0.0001,1380,46,E1_d_L1-10,1.1009678601945878,0.002823344011595044
4.5,0.0001,1380,46,E1_d_L1-5,1.028380162649548,0.001836282746778161
4.5,0.0001,1380,46,E2,0.9620893765076302,0.0019011107046065854
4.5,0.0001,1380,46,E4,1.0000191759653319,0.0012916426685512363
4.5,0.0001,1380,138,E1_a_L1-10,0.9180172578684272,0.0016766800875100977
4.5,0.0001,1380,138,E1_a_L1-5,0.9175394641038214,0.0011448876642931646
4.5,0.0001,1380,138,E1_d_L1-10,1.041209287133197,0.002706946830922695
4.5,0.0001,1380,138,E1_d_L1-5,0.9722116493282214,0.0013520344006113672
4.5,0.0001,1380,138,E2,0.8977299783230981,0.001539468633061428
4.5,0.0001,1380,138,E4,0.9296253247864096,0.0012562532753133018
4.5,0.0001,1380,345,E1_a_L1-10,0.8179911020620114,0.001579918093665448
4.5,0.0001,1380,345,E1_a_L1-5,0.817751523730197,0.0012951265648698026
4.5,0.0001,1380,345,E1_d_L1-10,0.9282554599417893,0.0019080833474557422
4.5,0.0001,1380,345,E1_d_L1-5,0.8666158234135034,0.0010287306263868925
4.5,0.0001,1380,345,E2,0.7816036961877135,0.0017326548020190054
4.5,0.0001,1380,345,E4,0.8263831794893672,0.0013916136579794406
4.5,0.0001,1380,1380,E1_a_L1-10,0.5256203541507029,0.0031526112159463073
4.5,0.0001,1380,1380,E1_a_L1-5,0.525286589328261,0.003130199892400174
4.5,0.0001,1380,1380,E1_d_L1-10,0.597038584049377,0.0023783414490493805
4.5,0.0001,1380,1380,E1_d_L1-5,0.5569993618743357,0.0028236260043075657
4.5,0.0001,1380,1380,E2,0.47185985621406773,0.0032953899886204226
4.5,0.0001,1380,1380,E4,0.5307165123267732,0.0031354639314574405
