root,geom,btag,horizon,M,year,tercile,n,E1_a_exp_L1-10,E1_a_exp_L1-5,E1_d_model_L1-10,E1_d_model_L1-5,E2,E4,disagreement
NQ,GLOBEX,B0,1day,23,2020,2,71,0.03233215539482344,0.027932141101420775,0.035994662741682885,0.03043574039813431,-0.8621423387991851,0.5123337278297306,1.3744760666289157
NQ,GLOBEX,B0,1day,23,2020,3,138,0.7314252248369514,0.7620478597450933,1.1495290546448218,0.9623639295921894,0.7497094690035893,0.8586203875887228,0.4181038298078704
NQ,GLOBEX,B0,1day,23,2021,0,246,0.7128871203930399,0.6931625905861176,1.7015726476093838,1.1208100227794076,0.6798205906381117,0.8963986565780337,1.021752056971272
NQ,GLOBEX,B0,1day,23,2021,1,86,0.6846339029298759,0.6852066215079347,-0.485254797802979,-0.4854677514376241,0.3467418208413996,0.7668444890116171,1.2523122404492413
NQ,GLOBEX,B0,1day,23,2021,2,97,-0.04924388665096615,-0.04375047926862668,0.011637746436604991,-0.03537222563862171,-0.46133076478627577,0.6715298873607671,1.132860652147043
NQ,GLOBEX,B0,1day,23,2021,3,63,0.16737688075709023,0.35200935575751974,0.32012798444952023,1.6850118175056683,-0.0342206370257177,0.7419250093621617,1.719232454531386
NQ,GLOBEX,B0,1day,23,2022,0,245,0.3500496985751758,0.32407049915062613,0.4815381512826161,0.3494820855329949,0.29273713393549106,0.8098982832524431,0.517161149316952
NQ,GLOBEX,B0,1day,23,2022,2,35,-0.946796765895642,-0.9454616388702906,0.6782366165767281,0.6778065308833426,-2.4675876593493826,0.28395407147204743,3.1458242759261106
NQ,GLOBEX,B0,1day,23,2022,3,207,0.31008116325495105,0.28716090666315247,0.5394162308248238,0.3593625431864419,0.02807968287629168,0.7571790152837833,0.7290993324074916
NQ,GLOBEX,B0,1day,23,2023,0,244,0.376814405914171,0.3909198968650241,0.6298501228462701,0.5024158950008277,0.4914242782081367,0.8400850281195567,0.4632706222053857
NQ,GLOBEX,B0,1day,23,2023,1,49,0.5069139391678842,0.49341533398626447,-0.4126145710060728,-0.6909101205473559,0.44179251768409245,0.7507364214067731,1.4416465419541291
