root,geom,btag,horizon,scheme,n_obs,pvals,mcs75,mcs90
ES,GLOBEX,B1,30min,S-B_q0.90,7954,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
ES,GLOBEX,B1,30min,S-C_q0.90,7954,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B0,1day,S-A,1448,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0949, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M4_HARQ,M2_HAR|M4_HARQ
NQ,GLOBEX,B0,1day,S-B_q0.80,290,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0023, ""M6_GK"": 0.0023, ""M1_EWMA"": 0.0192, ""M2_HAR"": 0.7181, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,GLOBEX,B0,1day,S-C_q0.80,290,"{""M5_RGARCH"": 0.0001, ""M1_EWMA"": 0.0019, ""M6_PARK"": 0.0187, ""M6_GK"": 0.0187, ""M2_HAR"": 0.8935, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,GLOBEX,B0,1day,S-B_q0.90,145,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0416, ""M6_PARK"": 0.0416, ""M1_EWMA"": 0.0416, ""M3_HARJ"": 0.5627, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,GLOBEX,B0,1day,S-C_q0.90,145,"{""M5_RGARCH"": 0.0056, ""M1_EWMA"": 0.0139, ""M6_GK"": 0.0725, ""M6_PARK"": 0.2059, ""M2_HAR"": 0.4005, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ|M6_PARK
NQ,GLOBEX,B0,1h,S-A,22259,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B0,1h,S-B_q0.80,4452,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B0,1h,S-C_q0.80,4452,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B0,1h,S-B_q0.90,2226,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
