arm,grid,seed_index,seed,c,A,b,rmse,var_log_iv_input,var_log_iv_recovered_as_c,recovery_error
A2,RTH_1day,4,2339113406,0.9214579383193696,3.105024412868476,-1.121323374489711,0.01578694010493681,1.0629289192693496,0.9214579383193696,-0.14147098094998
A2,RTH_1h,0,3280325159,1.154114704485214,3.3548171115668737,-1.2246656597040437,0.0030960890357271628,1.059645215461402,1.154114704485214,0.09446948902381203
A2,RTH_1h,1,10724713,1.1159336442133447,3.200222855825918,-1.1973295639224146,0.00442151727050602,1.0141257049863799,1.1159336442133447,0.10180793922696485
A2,RTH_1h,2,3527105160,1.1281170508020895,3.018422548965232,-1.1533801314524335,0.006037222439051298,1.0331710189203804,1.1281170508020895,0.09494603188170903
A2,RTH_1h,3,1168436609,1.1451888671861594,3.1623979950026064,-1.1701764661321559,0.004496599387907281,1.0474825355339883,1.1451888671861594,0.09770633165217113
A2,RTH_1h,4,2339113406,1.1446758275620257,3.198077987060539,-1.1724752270664864,0.00608162815007387,1.0629289192693496,1.1446758275620257,0.08174690829267606
A2,RTH_30min,0,3280325159,1.1925844914233268,3.2249531450520714,-1.2001441335032017,0.002968579741789979,1.059645215461402,1.1925844914233268,0.13293927596192479
A2,RTH_30min,1,10724713,1.140172454323723,2.7777118422499587,-1.091585739132467,0.0012162608001193057,1.0141257049863799,1.140172454323723,0.12604674933734317
A2,RTH_30min,2,3527105160,1.182836020566454,3.7265946129128116,-1.2995173464401764,0.0006455292261766781,1.0331710189203804,1.182836020566454,0.14966500164607366
A2,RTH_30min,3,1168436609,1.203414885500992,3.344528186430664,-1.2340491604847406,0.0038135469723979526,1.0474825355339883,1.203414885500992,0.15593234996700378
A2,RTH_30min,4,2339113406,1.1957919140330147,3.584131229234761,-1.2493523382313716,0.0032731009162792306,1.0629289192693496,1.1957919140330147,0.13286299476366503
A2,GLOBEX_1day,0,3280325159,0.8997568807984423,2.4878446005660675,-1.0053740009279846,0.012648268866850203,1.0602116295602182,0.8997568807984423,-0.1604547487617759
A2,GLOBEX_1day,1,10724713,0.8488971898702752,3.5265372934989747,-1.1572305697675473,0.014708687336628166,1.013041598231293,0.8488971898702752,-0.16414440836101785
A2,GLOBEX_1day,2,3527105160,0.86284699268535,3.0063610597161556,-1.0469655147556194,0.011100745892699519,1.0401028569541015,0.86284699268535,-0.1772558642687515
A2,GLOBEX_1day,3,1168436609,0.9014113685918408,2.663946169136807,-0.9938971370563333,0.010228195033738377,1.0488552303784604,0.9014113685918408,-0.1474438617866196
A2,GLOBEX_1day,4,2339113406,0.8924659059146748,3.621708105042507,-1.157177722175711,0.006686723618061234,1.058790222014864,0.8924659059146748,-0.16632431610018916
A3,RTH_1day,0,3280325159,0.9283888483782265,3.8897002028041987,-1.2295293518284829,0.007107360094081769,1.059645215461402,0.9283888483782265,-0.13125636708317545
A3,RTH_1day,1,10724713,0.8950954604535654,3.4098376441520717,-1.215341722294277,0.006476286623156784,1.0141257049863799,0.8950954604535654,-0.11903024453281452
A3,RTH_1day,2,3527105160,0.9100438703654874,2.5947938478111756,-0.9994336464470329,0.00771443923291163,1.0331710189203804,0.9100438703654874,-0.12312714855489304
A3,RTH_1day,3,1168436609,0.8889977742950423,2.785751357422318,-1.1310432912986665,0.012269164364374103,1.0474825355339883,0.8889977742950423,-0.15848476123894595
A3,RTH_1day,4,2339113406,0.9208063285226643,3.07053144851647,-1.1140342333003723,0.015582183216094047,1.0629289192693496,0.9208063285226643,-0.14212259074668532
A3,RTH_1h,0,3280325159,1.1548714705977607,3.3602241159024846,-1.2256237139553785,0.002766666877886152,1.059645215461402,1.1548714705977607,0.09522625513635874
A3,RTH_1h,1,10724713,1.1178929097945864,3.3242904486692817,-1.2205961106776866,0.0049274006877161195,1.0141257049863799,1.1178929097945864,0.10376720480820656
A3,RTH_1h,2,3527105160,1.1291051854638314,3.051515169359535,-1.162684689029329,0.005754116993587921,1.0331710189203804,1.1291051854638314,0.095934166543451
A3,RTH_1h,3,1168436609,1.1458025074390248,3.1843389950550214,-1.1736026640659885,0.004763796019576804,1.0474825355339883,1.1458025074390248,0.0983199719050365
A3,RTH_1h,4,2339113406,1.1453486795952779,3.2113892970669604,-1.1761103203361507,0.006170644342291293,1.0629289192693496,1.1453486795952779,0.08241976032592824
A3,RTH_30min,0,3280325159,1.1944115861593445,3.217799972083966,-1.2011319406298844,0.0024124849268717242,1.059645215461402,1.1944115861593445,0.1347663706979425
A3,RTH_30min,1,10724713,1.1420808186133142,2.802656416553204,-1.0986986084575854,0.001625562551339987,1.0141257049863799,1.1420808186133142,0.12795511362693435
A3,RTH_30min,2,3527105160,1.1860914112773864,3.7845036743593434,-1.3146859186128101,0.00038912004555226694,1.0331710189203804,1.1860914112773864,0.15292039235700594
A3,RTH_30min,3,1168436609,1.2077915899941152,3.433729441124004,-1.254692668656705,0.004438827338201673,1.0474825355339883,1.2077915899941152,0.1603090544601269
A3,RTH_30min,4,2339113406,1.1972599071114525,3.585867700275346,-1.2522600635954508,0.0031453929846434847,1.0629289192693496,1.1972599071114525,0.13433098784210284
A3,GLOBEX_1day,0,3280325159,0.8993637483232011,2.4711273710166126,-1.0017196401888893,0.01277722222264155,1.0602116295602182,0.8993637483232011,-0.1608478812370171
A3,GLOBEX_1day,1,10724713,0.8491868096189981,3.5294987386664305,-1.1581522681394052,0.014874847998123041,1.013041598231293,0.8491868096189981,-0.16385478861229497
A3,GLOBEX_1day,2,3527105160,0.8629943491459453,3.019303488770003,-1.0498192646432607,0.011340403196870547,1.0401028569541015,0.8629943491459453,-0.17710850780815623
A3,GLOBEX_1day,3,1168436609,0.9015780553330668,2.662946665171415,-0.9937806809672295,0.010267457385666342,1.0488552303784604,0.9015780553330668,-0.14727717504539362
A3,GLOBEX_1day,4,2339113406,0.8919682812423334,3.5934762321586393,-1.1527043023291292,0.006702355139394878,1.058790222014864,0.8919682812423334,-0.16682194077253054
A4,RTH_1day,0,3280325159,1.0132568844630625,2.8062195205384683,-1.1270984972545446,0.006431388917687758,1.02,1.0132568844630625,-0.006743115536937516
A4,RTH_1day,1,10724713,1.0258091422529956,3.280317106932233,-1.2423349074668406,0.00921802016943539,1.02,1.0258091422529956,0.005809142252995558
A4,RTH_1day,2,3527105160,1.0302683356301088,4.1646276049790405,-1.2709960116456718,0.016243603932953307,1.0199999999999998,1.0302683356301088,0.010268335630108982
A4,RTH_1day,3,1168436609,1.016168407931479,3.07250874502617,-1.103026612377109,0.002413686284764078,1.02,1.016168407931479,-0.003831592068521017
A4,RTH_1day,4,2339113406,1.0264757317619528,2.7056393108131767,-1.0531018683730085,0.0077402226073097075,1.0199999999999998,1.0264757317619528,0.006475731761953041
A4,RTH_1h,0,3280325159,1.036437568794884,3.8907841762194946,-1.3231563719995136,0.006769884758668152,1.02,1.036437568794884,0.016437568794883894
A4,RTH_1h,1,10724713,1.032227646549415,3.395927299520552,-1.2217980438756009,0.005721367909007461,1.02,1.032227646549415,0.012227646549414883
A4,RTH_1h,2,3527105160,1.048639273048451,3.9334385227638045,-1.3325036789346891,0.0100810465951922,1.0199999999999998,1.048639273048451,0.028639273048451264
A4,RTH_1h,3,1168436609,1.0244222107607608,3.530238158564413,-1.2241371036783861,0.003911556601224142,1.02,1.0244222107607608,0.00442221076076077
A4,RTH_1h,4,2339113406,1.028545095375843,3.1793634935919477,-1.159441330631957,0.004654246118571467,1.0199999999999998,1.028545095375843,0.008545095375843248
A4,RTH_30min,0,3280325159,1.0319112825212042,3.216211023480438,-1.2141805906405216,0.0017155195473059564,1.02,1.0319112825212042,0.011911282521204214
A4,RTH_30min,1,10724713,1.0275773749238046,3.230792401048922,-1.1844492057770155,0.0028871148041351045,1.02,1.0275773749238046,0.007577374923804614
A4,RTH_30min,2,3527105160,1.026359032830994,3.0288718368220224,-1.1440880576097983,0.003450762358364283,1.0199999999999998,1.026359032830994,0.006359032830994149
A4,RTH_30min,3,1168436609,1.0308605288280415,3.5578488134414057,-1.2449819650634408,0.001221182238678803,1.02,1.0308605288280415,0.01086052882804145
A4,RTH_30min,4,2339113406,1.0238810352549013,3.110571883457934,-1.143832732165934,0.003919658201092977,1.0199999999999998,1.0238810352549013,0.003881035254901466
A4,GLOBEX_1day,0,3280325159,1.0193619409727033,3.1435479511620827,-1.1305398055758682,0.005829836966138766,1.02,1.0193619409727033,-0.0006380590272967446
A4,GLOBEX_1day,1,10724713,1.0237885250977299,3.7852098504803555,-1.209293206873421,0.012099840475230406,1.02,1.0237885250977299,0.003788525097729867
A4,GLOBEX_1day,2,3527105160,1.020329792133834,2.6027778397786547,-1.0787463525533574,0.006534586370323605,1.0200000000000002,1.020329792133834,0.0003297921338336618
A4,GLOBEX_1day,3,1168436609,1.0153139215576008,2.18177884284413,-0.9303587033415416,0.006741679654026454,1.02,1.0153139215576008,-0.004686078442399211
A4,GLOBEX_1day,4,2339113406,1.0304144253784067,2.596972270299815,-1.1150294393349007,0.012699052769155915,1.0200000000000002,1.0304144253784067,0.010414425378406422
