arm,grid,seed_index,M,lam_true,var_log_rv,trv_over_rv,estimator,lam
A0,RTH_1day,0,13,0.8787316464463395,1.2058803387208044,0.9658955904736174,E4,0.8970719504093864
A0,RTH_1day,0,26,0.9366979058273976,1.1312560953420765,0.9722791807306514,E1_a_exp_L1-5,0.0044601597671797355
A0,RTH_1day,0,26,0.9366979058273976,1.1312560953420765,0.9722791807306514,E1_a_exp_L1-10,-0.00707248714244061
A0,RTH_1day,0,26,0.9366979058273976,1.1312560953420765,0.9722791807306514,E1_d_model_L1-5,0.004799539882482183
A0,RTH_1day,0,26,0.9366979058273976,1.1312560953420765,0.9722791807306514,E1_d_model_L1-10,-0.007778365457594873
A0,RTH_1day,0,26,0.9366979058273976,1.1312560953420765,0.9722791807306514,E2,0.9320279902082274
A0,RTH_1day,0,26,0.9366979058273976,1.1312560953420765,0.9722791807306514,E4,0.940967818672421
A0,RTH_1day,0,78,0.9840222154278156,1.0768509072741903,0.9716274668693561,E1_a_exp_L1-5,0.005430749762848334
A0,RTH_1day,0,78,0.9840222154278156,1.0768509072741903,0.9716274668693561,E1_a_exp_L1-10,-0.004043893008430648
A0,RTH_1day,0,78,0.9840222154278156,1.0768509072741903,0.9716274668693561,E1_d_model_L1-5,0.0058075977577071985
A0,RTH_1day,0,78,0.9840222154278156,1.0768509072741903,0.9716274668693561,E1_d_model_L1-10,-0.004427010530357166
A0,RTH_1day,0,78,0.9840222154278156,1.0768509072741903,0.9716274668693561,E2,0.9763447636753098
A0,RTH_1day,0,78,0.9840222154278156,1.0768509072741903,0.9716274668693561,E4,0.9779077785988981
A0,RTH_1day,0,195,0.9946463422580262,1.065348727926568,0.9713714005784249,E1_a_exp_L1-5,0.002987257161299198
A0,RTH_1day,0,195,0.9946463422580262,1.065348727926568,0.9713714005784249,E1_a_exp_L1-10,-0.006778725685840138
A0,RTH_1day,0,195,0.9946463422580262,1.065348727926568,0.9713714005784249,E1_d_model_L1-5,-0.013279092152221738
A0,RTH_1day,0,195,0.9946463422580262,1.065348727926568,0.9713714005784249,E1_d_model_L1-10,-0.007467964226774959
A0,RTH_1day,0,195,0.9946463422580262,1.065348727926568,0.9713714005784249,E2,0.9899403383602664
A0,RTH_1day,0,195,0.9946463422580262,1.065348727926568,0.9713714005784249,E4,0.9910085994374485
A0,RTH_1day,0,389,1.0002337163046005,1.0593976169652624,0.9718476280584777,E1_a_exp_L1-5,0.003373243368803091
A0,RTH_1day,0,389,1.0002337163046005,1.0593976169652624,0.9718476280584777,E1_a_exp_L1-10,-0.006207347823717891
A0,RTH_1day,0,389,1.0002337163046005,1.0593976169652624,0.9718476280584777,E1_d_model_L1-5,-0.01562808485530487
A0,RTH_1day,0,389,1.0002337163046005,1.0593976169652624,0.9718476280584777,E1_d_model_L1-10,-0.0068347457601850535
A0,RTH_1day,0,389,1.0002337163046005,1.0593976169652624,0.9718476280584777,E2,0.9949025511013089
A0,RTH_1day,0,389,1.0002337163046005,1.0593976169652624,0.9718476280584777,E4,0.9954212912138849
A0,RTH_1day,1,5,0.6617793125442323,1.5324227967893713,0.9520685930679488,E1_a_exp_L1-5,-0.004903033653480966
A0,RTH_1day,1,5,0.6617793125442323,1.5324227967893713,0.9520685930679488,E1_a_exp_L1-10,-0.007166906189603294
