arm,grid,seed_index,estimator,ratio_max_min,elasticity,mean_abs_error_vs_true,mean_lam,mean_lam_true
A0,RTH_1day,3,E2,1.047228501239431,-1.0574028807731417,0.01155563394961423,0.8669542464796918,0.873673277735936
A0,RTH_1day,3,E4,1.2413030508597507,-0.8651460294965669,0.04909353713646472,0.9227668148724008,0.873673277735936
A0,RTH_1day,4,E1_a_exp_L1-10,23.908653873770596,3.6068548268115657,0.8707685606451853,0.0012756525580978062,0.8720442132032831
A0,RTH_1day,4,E1_a_exp_L1-5,3.3206391567558082,1.3017486131335843,0.8555021589816023,0.01654205422168077,0.8720442132032831
A0,RTH_1day,4,E1_d_model_L1-10,51.94024987266748,-1.1520041770064289,0.8146216486095698,0.05742256459371338,0.8720442132032831
A0,RTH_1day,4,E1_d_model_L1-5,,,0.902850060145481,-0.030805846942197852,0.8720442132032831
A0,RTH_1day,4,E2,1.0778329935107422,-1.0442981493715644,0.009242290338443454,0.873591031904061,0.8720442132032831
A0,RTH_1day,4,E4,1.3089384210762456,-0.8595102769360679,0.05337352848040408,0.92431259667763,0.8720442132032831
A2,GLOBEX_1day,0,E1_a_exp_L1-10,,,1.0291305310172756,-0.015346816920519368,1.013783714096756
A2,GLOBEX_1day,0,E1_a_exp_L1-5,1.8850035297762862,0.06760671149223813,1.0266744322582144,-0.012890718161458193,1.013783714096756
A2,GLOBEX_1day,0,E1_d_model_L1-10,,,1.0623404081678678,-0.048556694071111774,1.013783714096756
A2,GLOBEX_1day,0,E1_d_model_L1-5,84.40708280916098,,0.9857977628048133,0.02798595129194285,1.013783714096756
A2,GLOBEX_1day,0,E2,1.0743550747347423,-0.386080813847556,0.2506210215620119,0.7631626925347443,1.013783714096756
A2,GLOBEX_1day,0,E4,1.3309916383837694,-0.8623314811308368,0.11811787729775577,0.9209771615245717,1.013783714096756
A2,GLOBEX_1day,1,E1_a_exp_L1-10,2.5515057581124183,-0.05024631031373502,0.9500164788216979,0.06907041608812793,1.0190868949098257
A2,GLOBEX_1day,1,E1_a_exp_L1-5,2.360878532990492,-0.12511434839459226,0.9582557957340136,0.0608310991758121,1.0190868949098257
A2,GLOBEX_1day,1,E1_d_model_L1-10,1.0,,1.1271744601329088,-0.1080875652230833,1.0190868949098257
A2,GLOBEX_1day,1,E1_d_model_L1-5,9.62111771407642,0.48425493030283395,1.0701380389285848,-0.05105114401875918,1.0190868949098257
A2,GLOBEX_1day,1,E2,1.0619396663815104,-0.3973033030086522,0.25675118685382853,0.7623357080559973,1.0190868949098257
A2,GLOBEX_1day,1,E4,1.3919843622660035,-0.8622303541059765,0.14131226688585427,0.9177952206301333,1.0190868949098257
