root,geom,btag,horizon,scheme,n_obs,model_set,mcs75,mcs90,seed,pvals
NQ,GLOBEX,B0,1h,S-B_q0.80,4427,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,M2_HAR,M2_HAR,872817494,"{""M1_EWMA"": 0.0, ""M6_GK"": 0.0083, ""M6_PARK"": 0.0083, ""M4_HARQ"": 0.0083, ""M3_HARJ"": 0.0083, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,1h,S-C_q0.80,4427,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B0,1h,S-B_q0.90,2214,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,M2_HAR|M3_HARJ,M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,3775719496,"{""M1_EWMA"": 0.0, ""M6_GK"": 0.1761, ""M6_PARK"": 0.1761, ""M4_HARQ"": 0.1761, ""M3_HARJ"": 0.2911, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,1h,S-C_q0.90,2214,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B0,30min,S-A,80551,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B0,30min,S-B_q0.80,16110,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK,M2_HAR,M2_HAR,884277221,"{""M1_EWMA"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0032, ""M3_HARJ"": 0.0032, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,30min,S-C_q0.80,16110,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B0,30min,S-B_q0.90,8055,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK,M2_HAR,M2_HAR,483590025,"{""M1_EWMA"": 0.0, ""M6_GK"": 0.0002, ""M4_HARQ"": 0.0269, ""M3_HARJ"": 0.0269, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,30min,S-C_q0.90,8055,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B1,1day,S-A,1448,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,3337662334,"{""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.1031, ""M3_HARJ"": 0.1031, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1day,S-B_q0.80,290,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,1967094566,"{""M5_RGARCH"": 0.0, ""M4_HARQ"": 0.015, ""M6_PARK"": 0.015, ""M6_GK"": 0.015, ""M3_HARJ"": 0.0278, ""M1_EWMA"": 0.0278, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1day,S-C_q0.80,290,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,2186999783,"{""M4_HARQ"": 0.0007, ""M5_RGARCH"": 0.0007, ""M3_HARJ"": 0.0029, ""M1_EWMA"": 0.0029, ""M6_PARK"": 0.0188, ""M6_GK"": 0.0188, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1day,S-B_q0.90,145,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,979901154,"{""M5_RGARCH"": 0.0002, ""M4_HARQ"": 0.0784, ""M3_HARJ"": 0.0784, ""M6_PARK"": 0.0784, ""M1_EWMA"": 0.0784, ""M6_GK"": 0.0784, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1day,S-C_q0.90,145,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR|M6_PARK,1250553518,"{""M4_HARQ"": 0.0131, ""M3_HARJ"": 0.0131, ""M1_EWMA"": 0.0131, ""M5_RGARCH"": 0.0131, ""M6_GK"": 0.0807, ""M6_PARK"": 0.1197, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1h,S-A,17982,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B1,1h,S-B_q0.80,3597,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,M2_HAR,M2_HAR,2244297469,"{""M1_EWMA"": 0.0, ""M6_GK"": 0.0159, ""M6_PARK"": 0.0159, ""M4_HARQ"": 0.0159, ""M3_HARJ"": 0.0159, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1h,S-C_q0.80,3597,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B1,1h,S-B_q0.90,1799,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,1393827794,"{""M1_EWMA"": 0.0, ""M6_GK"": 0.3153, ""M6_PARK"": 0.3153, ""M4_HARQ"": 0.3153, ""M3_HARJ"": 0.3153, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1h,S-C_q0.90,1799,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B1,30min,S-A,83081,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B1,30min,S-B_q0.80,16616,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,M2_HAR,M2_HAR,3347351648,"{""M1_EWMA"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0002, ""M3_HARJ"": 0.0002, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,30min,S-C_q0.80,16616,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
NQ,GLOBEX,B1,30min,S-B_q0.90,8308,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,M2_HAR,M2_HAR,2440383775,"{""M1_EWMA"": 0.0, ""M6_PARK"": 0.0003, ""M6_GK"": 0.0004, ""M4_HARQ"": 0.0031, ""M3_HARJ"": 0.0031, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,30min,S-C_q0.90,8308,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_PARK|M6_GK,HALTED,HALTED,-1,
