cell,model,n_eval,n_replaced,share_replaced,replacement_value,mean_qlike,share_qlike_from_replaced,share_qlike_worst5,flag_replaced_over_quarter,ic
NQ/GLOBEX/B0/1day,M4_HARQ,1448,2,0.0013812154696132596,6.461583325290121e-06,0.3120058507928465,0.4416202863915222,0.513615464369924,True,0.7960834841780148
NQ/GLOBEX/B0/1day,M5_RGARCH,1448,0,0.0,6.461583325290121e-06,0.4171101677501196,0.0,0.06756136870253666,False,0.8048609873954781
NQ/GLOBEX/B0/1day,M6_PARK,1448,0,0.0,6.461583325290121e-06,0.4863588758932519,0.0,0.12501393901966343,False,0.7346184365004711
NQ/GLOBEX/B0/1day,M6_GK,1448,0,0.0,6.461583325290121e-06,0.42911526206415074,0.0,0.12930710825592656,False,0.7435074435225328
NQ/GLOBEX/B0/1h,M1_EWMA,22134,0,0.0,8.539800546714105e-07,inf,0.0,0.015271412360331676,False,
NQ/GLOBEX/B0/1h,M2_HAR,22134,0,0.0,8.539800546714105e-07,inf,0.0,0.02104896894139511,False,
NQ/GLOBEX/B0/1h,M3_HARJ,22134,0,0.0,8.539800546714105e-07,inf,0.0,0.021315692104258387,False,
NQ/GLOBEX/B0/1h,M4_HARQ,22134,2,9.035872413481521e-05,8.539800546714105e-07,inf,0.04940091719453313,0.0767405372663352,False,
NQ/GLOBEX/B0/1h,M5_RGARCH,22134,63,0.0028462998102466793,8.539800546714105e-07,inf,inf,0.00032193104474353734,True,
NQ/GLOBEX/B0/1h,M6_PARK,22134,61,0.002755941086111864,8.539800546714105e-07,inf,inf,0.7114449794625507,True,
NQ/GLOBEX/B0/1h,M6_GK,22134,61,0.002755941086111864,8.539800546714105e-07,inf,inf,0.8805338645573386,True,
NQ/GLOBEX/B1/1day,M1_EWMA,1448,0,0.0,6.33928084425861e-06,0.26760980914403953,0.0,0.07050484482057244,False,0.6869064657529118
NQ/GLOBEX/B1/1day,M2_HAR,1448,0,0.0,6.33928084425861e-06,0.1544668173917415,0.0,0.07088472383645725,False,0.823776942961659
NQ/GLOBEX/B1/1day,M3_HARJ,1448,3,0.0020718232044198894,6.33928084425861e-06,0.28483176996445125,0.3968213686404743,0.41992035609303546,True,0.7826998757932158
NQ/GLOBEX/B1/1day,M4_HARQ,1448,2,0.0013812154696132596,6.33928084425861e-06,0.3452832856595636,0.4012709397128544,0.514407147259543,True,0.7867913194238522
NQ/GLOBEX/B1/1day,M5_RGARCH,1448,0,0.0,6.33928084425861e-06,0.41369288069083954,0.0,0.06720854113133086,False,0.8034523216548101
NQ/GLOBEX/B1/1day,M6_PARK,1448,0,0.0,6.33928084425861e-06,0.46637916037575455,0.0,0.11889652218827516,False,0.735911084702344
NQ/GLOBEX/B1/1day,M6_GK,1448,0,0.0,6.33928084425861e-06,0.4106071380664082,0.0,0.12178091664243282,False,0.7449011121127203
ES/GLOBEX/B1/1h,M1_EWMA,1384,0,0.0,7.943096989038168e-07,0.43296068234570717,0.0,0.08195812787912284,False,0.444092951394939
ES/GLOBEX/B1/1h,M2_HAR,1384,0,0.0,7.943096989038168e-07,0.22261632881167345,0.0,0.10152076732980884,False,0.7026576819274976
ES/GLOBEX/B1/1h,M3_HARJ,1384,0,0.0,7.943096989038168e-07,0.22377959068977543,0.0,0.10603089355537053,False,0.7032574463150337
ES/GLOBEX/B1/1h,M4_HARQ,1384,0,0.0,7.943096989038168e-07,0.22351936258353405,0.0,0.12873793539318357,False,0.7204132750968362
ES/GLOBEX/B1/1h,M5_RGARCH,1384,1,0.000722543352601156,7.943096989038168e-07,587.2820855615645,2.510392443671489e-06,0.00438848708135325,False,0.6477415271953113
ES/GLOBEX/B1/1h,M6_PARK,1384,5,0.0036127167630057803,7.943096989038168e-07,0.9110525758208573,0.0022699961821062964,0.11995374391178593,False,0.6440425988796944
ES/GLOBEX/B1/1h,M6_GK,1384,5,0.0036127167630057803,7.943096989038168e-07,0.7950706016285806,0.0026011348735260685,0.11580655230922633,False,0.6536257795640777
ES/GLOBEX/B1/30min,M1_EWMA,79367,0,0.0,2.474673692631768e-07,inf,0.0,0.02355072907348398,False,
ES/GLOBEX/B1/30min,M2_HAR,79367,0,0.0,2.474673692631768e-07,inf,0.0,0.02372276839016057,False,
ES/GLOBEX/B1/30min,M3_HARJ,79367,0,0.0,2.474673692631768e-07,inf,0.0,0.023768534385535726,False,
ES/GLOBEX/B1/30min,M4_HARQ,79367,4,5.039878034951554e-05,2.474673692631768e-07,inf,0.05507619320586839,0.0673206342790729,False,
ES/GLOBEX/B1/30min,M5_RGARCH,79367,73474,0.9257499968500762,2.474673692631768e-07,inf,inf,0.6534928946907788,True,
ES/GLOBEX/B1/30min,M6_PARK,79367,89,0.0011213728627767208,2.474673692631768e-07,inf,inf,0.07595084525740421,True,
ES/GLOBEX/B1/30min,M6_GK,79367,90,0.0011339725578640998,2.474673692631768e-07,inf,inf,0.07474339563923295,True,
ES/RTH/B0/1day,M1_EWMA,1401,0,0.0,4.0984739371197065e-06,0.30100796071902153,0.0,0.08724587732786643,False,0.7192041478735158
ES/RTH/B0/1day,M2_HAR,1401,0,0.0,4.0984739371197065e-06,0.17115634814621614,0.0,0.05846721784689271,False,0.8342518445148247
ES/RTH/B0/1day,M3_HARJ,1401,1,0.0007137758743754461,4.0984739371197065e-06,0.1920767530341356,0.019935385142054368,0.0737526624523328,False,0.8155293233743431
ES/RTH/B0/1day,M4_HARQ,1401,2,0.0014275517487508922,4.0984739371197065e-06,0.36609020179328583,0.4716091525233079,0.4959811235502571,True,0.8016908143180368
ES/RTH/B0/1day,M5_RGARCH,1401,0,0.0,4.0984739371197065e-06,0.23568485498972416,0.0,0.0748542616558843,False,0.8312417872581033
ES/RTH/B0/1day,M6_PARK,1401,0,0.0,4.0984739371197065e-06,0.4637886580929051,0.0,0.07438872947275976,False,0.7733496112571301
ES/RTH/B0/1day,M6_GK,1401,0,0.0,4.0984739371197065e-06,0.4189536185434794,0.0,0.09113188984154254,False,0.7770172929505352
NQ/GLOBEX/B1/1h,M1_EWMA,17982,0,0.0,8.539800546714105e-07,inf,0.0,0.01854214888327145,False,
NQ/GLOBEX/B1/1h,M2_HAR,17982,0,0.0,8.539800546714105e-07,inf,0.0,0.022075222214358883,False,
NQ/GLOBEX/B1/1h,M3_HARJ,17982,0,0.0,8.539800546714105e-07,inf,0.0,0.02227031204470939,False,
NQ/GLOBEX/B1/1h,M4_HARQ,17982,1,5.5611166722277836e-05,8.539800546714105e-07,inf,0.04408165162078199,0.07439011234751529,False,
NQ/GLOBEX/B1/1h,M5_RGARCH,17982,2,0.00011122233344455567,8.539800546714105e-07,inf,1.9166078138742045e-26,1.0,False,
NQ/GLOBEX/B1/1h,M6_PARK,17982,61,0.003392281170058948,8.539800546714105e-07,inf,inf,0.763923450112621,True,
NQ/GLOBEX/B1/1h,M6_GK,17982,61,0.003392281170058948,8.539800546714105e-07,inf,inf,0.9070810805559842,True,
ES/RTH/B0/1h,M1_EWMA,10906,0,0.0,1.3670380667463178e-06,0.34513515908408093,0.0,0.04444935073019688,False,0.7707014496706104
ES/RTH/B0/1h,M2_HAR,10906,0,0.0,1.3670380667463178e-06,0.249757519443894,0.0,0.03431788123903375,False,0.8347784620564269
ES/RTH/B0/1h,M3_HARJ,10906,0,0.0,1.3670380667463178e-06,0.25173621102963506,0.0,0.03468897707340422,False,0.8332311151828586
ES/RTH/B0/1h,M4_HARQ,10906,2,0.00018338529249954154,1.3670380667463178e-06,0.27054913235948347,0.07542563999196714,0.09961253944264932,False,0.8367485183449377
ES/RTH/B0/1h,M5_RGARCH,10906,0,0.0,1.3670380667463178e-06,0.7860581612075446,0.0,0.031599101258818464,False,0.8047930422100434
ES/RTH/B0/1h,M6_PARK,10906,0,0.0,1.3670380667463178e-06,0.7738743934547857,0.0,0.032699995333604744,False,0.777685347038212
ES/RTH/B0/1h,M6_GK,10906,0,0.0,1.3670380667463178e-06,0.6844407423876048,0.0,0.031873809322871996,False,0.7853313186539026
ES/GLOBEX/B0/1h,M1_EWMA,40833,0,0.0,7.943096989038168e-07,inf,0.0,0.019689932469941065,False,
ES/GLOBEX/B0/1h,M2_HAR,40833,0,0.0,7.943096989038168e-07,inf,0.0,0.02872946451678534,False,
ES/GLOBEX/B0/1h,M3_HARJ,40833,0,0.0,7.943096989038168e-07,inf,0.0,0.028262244256709704,False,
ES/GLOBEX/B0/1h,M4_HARQ,40833,3,7.346998751010212e-05,7.943096989038168e-07,inf,0.0398697646019803,0.06506914998593948,False,
ES/GLOBEX/B0/1h,M5_RGARCH,40833,1,2.4489995836700708e-05,7.943096989038168e-07,inf,5.45001024095954e-34,0.9999999999997777,False,
ES/GLOBEX/B0/1h,M6_PARK,40833,69,0.0016898097127323489,7.943096989038168e-07,inf,inf,0.03568391282804594,True,
ES/GLOBEX/B0/1h,M6_GK,40833,70,0.0017142997085690496,7.943096989038168e-07,inf,inf,0.03907179505545307,True,
ES/RTH/B1/1day,M1_EWMA,1401,0,0.0,4.0120150970324175e-06,0.30802031462071433,0.0,0.09300689346992322,False,0.7182282722693459
ES/RTH/B1/1day,M2_HAR,1401,0,0.0,4.0120150970324175e-06,0.17356905257357763,0.0,0.06135468984325153,False,0.8338351559494853
ES/RTH/B1/1day,M3_HARJ,1401,0,0.0,4.0120150970324175e-06,0.19450867377320374,0.0,0.09038787194005421,False,0.8162144856230477
ES/RTH/B1/1day,M4_HARQ,1401,2,0.0014275517487508922,4.0120150970324175e-06,0.36616170986121577,0.46486536865541894,0.4921307113576016,True,0.8017225065691759
ES/RTH/B1/1day,M5_RGARCH,1401,0,0.0,4.0120150970324175e-06,0.26110639698508387,0.0,0.07806286186146758,False,0.829556282554894
ES/RTH/B1/1day,M6_PARK,1401,0,0.0,4.0120150970324175e-06,0.45286523883161983,0.0,0.07563271391530406,False,0.7731510578920353
ES/RTH/B1/1day,M6_GK,1401,0,0.0,4.0120150970324175e-06,0.40988499110856147,0.0,0.09224501700723793,False,0.7766162767563186
ES/RTH/B1/1h,M1_EWMA,10906,0,0.0,1.3670380667463178e-06,0.34249042772678245,0.0,0.045827334199872574,False,0.773158891647726
ES/RTH/B1/1h,M2_HAR,10906,0,0.0,1.3670380667463178e-06,0.24435886876414348,0.0,0.035252210838025134,False,0.8379261482749453
ES/RTH/B1/1h,M3_HARJ,10906,0,0.0,1.3670380667463178e-06,0.24594559910873948,0.0,0.03564968427999766,False,0.8369494775799992
ES/RTH/B1/1h,M4_HARQ,10906,2,0.00018338529249954154,1.3670380667463178e-06,0.26315188891687946,0.07094442283021678,0.0960689289282358,False,0.8404220097166222
ES/RTH/B1/1h,M5_RGARCH,10906,0,0.0,1.3670380667463178e-06,0.609524198172949,0.0,0.03658567279570536,False,0.8210388422712975
ES/RTH/B1/1h,M6_PARK,10906,0,0.0,1.3670380667463178e-06,0.7558034442389264,0.0,0.03278224560748849,False,0.7801754235194378
ES/RTH/B1/1h,M6_GK,10906,0,0.0,1.3670380667463178e-06,0.6676875735815262,0.0,0.0323864182530039,False,0.7878647433142483
NQ/RTH/B0/1day,M1_EWMA,1401,0,0.0,5.4536676543648355e-06,0.2715943535077155,0.0,0.07338510085374887,False,0.7014148995486105
NQ/RTH/B0/1day,M2_HAR,1401,0,0.0,5.4536676543648355e-06,0.1520362654920865,0.0,0.04936266991035258,False,0.8290965215129756
NQ/RTH/B0/1day,M3_HARJ,1401,0,0.0,5.4536676543648355e-06,0.15817123299320177,0.0,0.047914493934693214,False,0.8212523057230681
NQ/RTH/B0/1day,M4_HARQ,1401,1,0.0007137758743754461,5.4536676543648355e-06,0.1994073264600877,0.2052701412964607,0.24989733110952977,False,0.815267688298779
NQ/RTH/B0/1day,M5_RGARCH,1401,0,0.0,5.4536676543648355e-06,0.6605546191378474,0.0,0.04463263587777163,False,0.814650974522939
NQ/RTH/B0/1day,M6_PARK,1401,0,0.0,5.4536676543648355e-06,0.3546720024155992,0.0,0.09129995124568467,False,0.7576768176524785
NQ/RTH/B0/1day,M6_GK,1401,0,0.0,5.4536676543648355e-06,0.3210261578108787,0.0,0.07978127693522662,False,0.7618657980310002
ES/RTH/B0/30min,M1_EWMA,22312,0,0.0,1.130086502598715e-06,0.35325406043925534,0.0,0.03457320559733047,False,0.7847766106815511
ES/RTH/B0/30min,M2_HAR,22312,0,0.0,1.130086502598715e-06,0.2307362319956834,0.0,0.029514131386416034,False,0.8555993234531597
ES/RTH/B0/30min,M3_HARJ,22312,0,0.0,1.130086502598715e-06,0.23052378286403824,0.0,0.030083470577291983,False,0.8560190457074592
ES/RTH/B0/30min,M4_HARQ,22312,2,8.963786303334529e-05,1.130086502598715e-06,0.23438619229608937,0.034432156366722436,0.057270624562754384,False,0.860571498812658
ES/RTH/B0/30min,M5_RGARCH,22312,0,0.0,1.130086502598715e-06,0.8695747103513299,0.0,0.022729327973757145,False,0.8301530412891832
ES/RTH/B0/30min,M6_PARK,22312,0,0.0,1.130086502598715e-06,0.6250649263838997,0.0,0.02813955236450498,False,0.8118446414693152
ES/RTH/B0/30min,M6_GK,22312,0,0.0,1.130086502598715e-06,0.5612102674269662,0.0,0.03381592806434855,False,0.8184410827247199
ES/RTH/B1/30min,M1_EWMA,22312,0,0.0,1.130086502598715e-06,0.3473323883178603,0.0,0.034057645046819025,False,0.7876948804639288
ES/RTH/B1/30min,M2_HAR,22312,0,0.0,1.130086502598715e-06,0.22517220782553177,0.0,0.030231780973373323,False,0.8580014742375154
ES/RTH/B1/30min,M3_HARJ,22312,0,0.0,1.130086502598715e-06,0.22496236920445334,0.0,0.030843205807714134,False,0.8585906966375204
ES/RTH/B1/30min,M4_HARQ,22312,2,8.963786303334529e-05,1.130086502598715e-06,0.24547864787561893,0.05434944817627411,0.11911938105465152,False,0.8626462604923174
ES/RTH/B1/30min,M5_RGARCH,22312,0,0.0,1.130086502598715e-06,0.662894503930616,0.0,0.02560252303414617,False,0.8462644619975264
ES/RTH/B1/30min,M6_PARK,22312,0,0.0,1.130086502598715e-06,0.6085532123858208,0.0,0.02850854237295184,False,0.8140889033414894
ES/RTH/B1/30min,M6_GK,22312,0,0.0,1.130086502598715e-06,0.5461986532463002,0.0,0.03394763868875159,False,0.8206673434581009
ES/GLOBEX/B0/30min,M1_EWMA,13019,0,0.0,2.474673692631768e-07,0.8135405288064455,0.0,0.08557588774841993,False,0.45766390620720804
ES/GLOBEX/B0/30min,M2_HAR,13019,0,0.0,2.474673692631768e-07,0.5060036701730647,0.0,0.07157754506523678,False,0.7450464089594865
ES/GLOBEX/B0/30min,M3_HARJ,13019,0,0.0,2.474673692631768e-07,0.5033562122823256,0.0,0.07182392362974072,False,0.7511636703954343
