root,geom,btag,horizon,scheme,model,n,ic_pearson_log,r2_oos,ic_ir,ic_ir_n_blocks,ic_ir_block_len_windows,hit_rate,qlike_mean,lam_E2,ic_corrected_E2,r2_corrected_E2,lam_E4,ic_corrected_E4,r2_corrected_E4,lam_INT,ic_corrected_INT,r2_corrected_INT
NQ,RTH,B0,30min,S-C_q0.80,M6_GK,4463,0.6016218998871485,0.16329242475158312,3.6171779723499435,70,63,0.5356342447333035,0.3371038196554998,0.9264306788654363,0.6250534730504232,0.17625973370350928,0.9605987174182957,0.6138363963473414,0.16999025898186465,0.8653811737464322,0.6467253958708958,0.18869421903951644
NQ,RTH,B0,30min,S-B_q0.90,M1_EWMA,2232,0.38834951537596096,-2.0374954437898736,0.4781314834454837,35,63,0.4796055580457194,0.906359880072005,0.9264306788654363,0.4034746962980002,-2.1992961699898745,0.9605987174182957,0.39623402520142953,-2.121068253417873,0.8653811737464322,0.4174640153805909,-2.3544485431420834
NQ,RTH,B0,30min,S-B_q0.90,M2_HAR,2232,0.48771276411338693,-1.5077425861581477,1.315292611965926,35,63,0.44822949350067237,0.7225652120845323,0.9264306788654363,0.5067078793462755,-1.6274748025449908,0.9605987174182957,0.49761460750035685,-1.5695862994803442,0.8653811737464322,0.5242765107149264,-1.7422872508663283
NQ,RTH,B0,30min,S-B_q0.90,M3_HARJ,2232,0.488426691293193,-1.5087636899046428,1.31463038774405,35,63,0.44822949350067237,0.7223698335187766,0.9264306788654363,0.5074496120912547,-1.6285769937502148,0.9605987174182957,0.498343029267232,-1.5706492862697077,0.8653811737464322,0.5250439608992858,-1.7434671976660425
NQ,RTH,B0,30min,S-B_q0.90,M4_HARQ,2232,0.45525317825898803,-1.6393450685084185,1.1879327943371896,35,63,0.44822949350067237,0.9181255305623495,0.9264306788654363,0.47298407893961447,-1.7695280455479527,0.9605987174182957,0.46449600724406825,-1.7065867763329114,0.8653811737464322,0.48938343498841247,-1.8943618352723348
NQ,RTH,B0,30min,S-B_q0.90,M5_RGARCH,2232,0.4028293174980078,-13.731157202706166,1.06266387624002,35,63,0.43343792021515015,7.2473992944071925,0.9264306788654363,0.4185184482079057,-14.821570049388026,0.9605987174182957,0.41100780513877405,-14.29437386675886,0.8653811737464322,0.4330293659126602,-15.867178093626487
NQ,RTH,B0,30min,S-B_q0.90,M6_PARK,2232,0.3951951452624609,-3.341849300107489,1.2067359806634101,35,63,0.474675033617212,1.6840780098131414,0.9264306788654363,0.4105869452646306,-3.6072308229258145,0.9605987174182957,0.40321863926060025,-3.4789233417769285,0.8653811737464322,0.4248228610262743,-3.861707882596824
NQ,RTH,B0,30min,S-B_q0.90,M6_GK,2232,0.4065174648835386,-3.0659926404492417,1.2054804879744199,35,63,0.47736441057821605,1.539911539972619,0.9264306788654363,0.4223502391265546,-3.3094679509146263,0.9605987174182957,0.414770831552468,-3.1917517532080417,0.8653811737464322,0.4369940131078256,-3.542938919246257
NQ,RTH,B0,30min,S-C_q0.90,M1_EWMA,2232,0.4255608525488683,0.019614105221814948,0.8434981757033391,35,63,0.5141192290452712,0.3654019417337006,0.9264306788654363,0.44213531610113393,0.021171692247751967,0.9605987174182957,0.43420084974316897,0.020418625245024063,0.8653811737464322,0.45746508044911327,0.022665278396225123
NQ,RTH,B0,30min,S-C_q0.90,M2_HAR,2232,0.6757040540650185,0.41556725937527306,4.476379614041511,35,63,0.5262214253697893,0.16619571544095113,0.9264306788654363,0.7020209301337184,0.44856811076701625,0.9605987174182957,0.6894226118137695,0.4326127568566313,0.8653811737464322,0.7263614770983889,0.48021296508703526
NQ,RTH,B0,30min,S-C_q0.90,M3_HARJ,2232,0.6762284574462588,0.41625029749081766,4.464763018682063,35,63,0.5275661138502914,0.16615456778232407,0.9264306788654363,0.7025657576321606,0.44930539001642655,0.9605987174182957,0.6899576619537882,0.43332381143453075,0.8653811737464322,0.7269251949158293,0.4810022567151251
NQ,RTH,B0,30min,S-C_q0.90,M4_HARQ,2232,0.6503635097983781,0.35970088980811976,3.2242844922607525,35,63,0.528014343343792,0.32221060821440856,0.9264306788654363,0.6756934390536518,0.3882653046946065,0.9605987174182957,0.6635675882898043,0.3744548928556261,0.8653811737464322,0.6991211563495913,0.4156560146217333
NQ,RTH,B0,30min,S-C_q0.90,M5_RGARCH,2232,0.5763728392982199,-2.9638693981968296,4.775213745571884,35,63,0.48543254146122816,2.358583999021142,0.9264306788654363,0.5988210286940413,-3.1992349409526954,0.9605987174182957,0.5880747138587703,-3.0854396788729037,0.8653811737464322,0.6195834173162487,-3.4249293699856724
NQ,RTH,B0,30min,S-C_q0.90,M6_PARK,2232,0.5582257891284166,0.018244996306472583,3.5322381213263663,35,63,0.5437023756163155,0.30989819237784344,0.9264306788654363,0.5799671991768919,0.01969386023443926,0.9605987174182957,0.569559231156668,0.018993359012083443,0.8653811737464322,0.6000758857467421,0.021083190690971285
NQ,RTH,B0,30min,S-C_q0.90,M6_GK,2232,0.5786398793793323,0.07451288433083814,3.6513099447064365,35,63,0.5414612281488121,0.29565722982572973,0.9264306788654363,0.6011763639577835,0.0804300699779191,0.9605987174182957,0.5903877807767566,0.07756921072214097,0.8653811737464322,0.6220204170235192,0.08610411988540828
NQ,RTH,B1,1day,S-A,M1_EWMA,1401,0.7032070200986535,0.3922198317838985,1.6519003062007795,22,63,0.5271428571428571,0.2752353857775822,0.9344009680731142,0.7274724615810609,0.4197553782427251,0.994621494991568,0.7051057841647319,0.3943407957287547,1.0097312791173454,0.6998102394620835,0.388439815518795
NQ,RTH,B1,1day,S-A,M2_HAR,1401,0.8283085739402963,0.6741865832754111,2.9335494718605464,22,63,0.37214285714285716,0.1541909810118227,0.9344009680731142,0.8568908728307494,0.7215174280755432,0.994621494991568,0.8305451309012917,0.6778323077374541,1.0097312791173454,0.8243075010774705,0.6676891141420814
