root,geom,arm,ticks,n,ann_return,ann_vol,sharpe,sharpe_gross,max_drawdown,turnover,annual_cost_bps,share_invested
ES,RTH,A1_raw,2.0,620,-0.02769292704221029,0.08207007052024115,-0.33743028203418335,-0.2741992066539075,-0.15185859683261782,78.69855199763775,51.89378815529921,0.682258064516129
ES,RTH,A1_raw,4.0,620,-0.03288230585774021,0.08207007052024115,-0.40066135741445924,-0.2741992066539075,-0.15185859683261782,78.69855199763775,103.78757631059842,0.682258064516129
ES,RTH,A2_ma5,0.5,620,-0.038916495528891794,0.0811380643148329,-0.4796330286841393,-0.46686856955105355,-0.1697134219383991,62.8258565458791,10.356835060843718,0.6629032258064517
ES,RTH,A2_ma5,1.0,620,-0.039952179034976165,0.0811380643148329,-0.49239748781722514,-0.46686856955105355,-0.1697134219383991,62.8258565458791,20.713670121687436,0.6629032258064517
ES,RTH,A2_ma5,2.0,620,-0.04202354604714491,0.0811380643148329,-0.5179264060833967,-0.46686856955105355,-0.1697134219383991,62.8258565458791,41.42734024337487,0.6629032258064517
ES,RTH,A2_ma5,4.0,620,-0.04616628007148239,0.0811380643148329,-0.5689842426157399,-0.46686856955105355,-0.1697134219383991,62.8258565458791,82.85468048674974,0.6629032258064517
ES,RTH,A3_shrunk,0.5,620,-0.023800892930562846,0.08207007052024115,-0.29000697549897647,-0.2741992066539075,-0.15185859683261782,78.69855199763775,12.973447038824803,0.682258064516129
ES,RTH,A3_shrunk,1.0,620,-0.02509823763444533,0.08207007052024115,-0.30581474434404543,-0.2741992066539075,-0.15185859683261782,78.69855199763775,25.946894077649606,0.682258064516129
ES,RTH,A3_shrunk,2.0,620,-0.02769292704221029,0.08207007052024115,-0.33743028203418335,-0.2741992066539075,-0.15185859683261782,78.69855199763775,51.89378815529921,0.682258064516129
ES,RTH,A3_shrunk,4.0,620,-0.03288230585774021,0.08207007052024115,-0.40066135741445924,-0.2741992066539075,-0.15185859683261782,78.69855199763775,103.78757631059842,0.682258064516129
ES,RTH,reference_kernel,0.5,620,-0.019574903542533488,0.0820997655600164,-0.23842825139645354,-0.22122091416824022,-0.14728330672313628,85.6972617821571,14.127183523484549,0.6854838709677419
ES,RTH,reference_kernel,1.0,620,-0.02098762189488194,0.0820997655600164,-0.25563558862466684,-0.22122091416824022,-0.14728330672313628,85.6972617821571,28.254367046969097,0.6854838709677419
ES,RTH,reference_kernel,2.0,620,-0.023813058599578853,0.0820997655600164,-0.29005026308109344,-0.22122091416824022,-0.14728330672313628,85.6972617821571,56.508734093938195,0.6854838709677419
ES,RTH,reference_kernel,4.0,620,-0.02946393200897267,0.0820997655600164,-0.3588796119939467,-0.22122091416824022,-0.14728330672313628,85.6972617821571,113.01746818787639,0.6854838709677419
ES,RTH,always_invested,0.5,620,0.01756371626347776,0.10241505677514201,0.17149545014694356,0.17943034065971952,-0.14354580203957912,49.29650241355971,8.126522623704853,1.0
ES,RTH,always_invested,1.0,620,0.016751064001107277,0.10241505677514201,0.16356055963416763,0.17943034065971952,-0.14354580203957912,49.29650241355971,16.253045247409705,1.0
ES,RTH,always_invested,2.0,620,0.015125759476366305,0.10241505677514201,0.14769077860861568,0.17943034065971952,-0.14354580203957912,49.29650241355971,32.50609049481941,1.0
ES,RTH,always_invested,4.0,620,0.011875150426884364,0.10241505677514201,0.11595121655751187,0.17943034065971952,-0.14354580203957912,49.29650241355971,65.01218098963882,1.0
NQ,RTH,A1_raw,0.5,620,-0.007377969996964195,0.08066990400296649,-0.09145876753110904,-0.0881573537677604,-0.15630952786656138,58.78384068519187,2.6632473136340753,0.6580645161290323
NQ,RTH,A1_raw,1.0,620,-0.0076442947283276025,0.08066990400296649,-0.0947601812944577,-0.0881573537677604,-0.15630952786656138,58.78384068519187,5.326494627268151,0.6580645161290323
NQ,RTH,A1_raw,2.0,620,-0.008176944191054417,0.08066990400296649,-0.10136300882115498,-0.0881573537677604,-0.15630952786656138,58.78384068519187,10.652989254536301,0.6580645161290323
NQ,RTH,A1_raw,4.0,620,-0.009242243116508047,0.08066990400296649,-0.11456866387454955,-0.0881573537677604,-0.15630952786656138,58.78384068519187,21.305978509072602,0.6580645161290323
NQ,RTH,A2_ma5,0.5,620,-0.027510467311439243,0.0784101492163349,-0.35085339827038725,-0.348212510642133,-0.1535098951205387,45.70552084218157,2.0707239299498488,0.632258064516129
NQ,RTH,A2_ma5,1.0,620,-0.027717539704434226,0.0784101492163349,-0.3534942858986414,-0.348212510642133,-0.1535098951205387,45.70552084218157,4.1414478598996975,0.632258064516129
NQ,RTH,A2_ma5,2.0,620,-0.028131684490424195,0.0784101492163349,-0.3587760611551498,-0.348212510642133,-0.1535098951205387,45.70552084218157,8.282895719799395,0.632258064516129
NQ,RTH,A2_ma5,4.0,620,-0.028959974062404137,0.0784101492163349,-0.36933961166816665,-0.348212510642133,-0.1535098951205387,45.70552084218157,16.56579143959879,0.632258064516129
NQ,RTH,A3_shrunk,0.5,620,-0.007377969996964195,0.08066990400296649,-0.09145876753110904,-0.0881573537677604,-0.15630952786656138,58.78384068519187,2.6632473136340753,0.6580645161290323
NQ,RTH,A3_shrunk,1.0,620,-0.0076442947283276025,0.08066990400296649,-0.0947601812944577,-0.0881573537677604,-0.15630952786656138,58.78384068519187,5.326494627268151,0.6580645161290323
NQ,RTH,A3_shrunk,2.0,620,-0.008176944191054417,0.08066990400296649,-0.10136300882115498,-0.0881573537677604,-0.15630952786656138,58.78384068519187,10.652989254536301,0.6580645161290323
NQ,RTH,A3_shrunk,4.0,620,-0.009242243116508047,0.08066990400296649,-0.11456866387454955,-0.0881573537677604,-0.15630952786656138,58.78384068519187,21.305978509072602,0.6580645161290323
NQ,RTH,reference_kernel,0.5,620,-0.00697087679312631,0.08191278581007395,-0.08510120519266974,-0.08189723087627379,-0.1407098632056324,57.92781964676594,2.624464619199201,0.6887096774193548
NQ,RTH,reference_kernel,1.0,620,-0.00723332325504623,0.08191278581007395,-0.08830517950906569,-0.08189723087627379,-0.1407098632056324,57.92781964676594,5.248929238398402,0.6887096774193548
NQ,RTH,reference_kernel,2.0,620,-0.00775821617888607,0.08191278581007395,-0.0947131281418576,-0.08189723087627379,-0.1407098632056324,57.92781964676594,10.497858476796804,0.6887096774193548
NQ,RTH,reference_kernel,4.0,620,-0.00880800202656575,0.08191278581007395,-0.10752902540744143,-0.08189723087627379,-0.1407098632056324,57.92781964676594,20.995716953593607,0.6887096774193548
NQ,RTH,always_invested,0.5,620,0.0021328071750331195,0.10113691512411763,0.021088315501967683,0.022912944466720642,-0.13473738111202738,40.73153033217361,1.8453734474122707,1.0
NQ,RTH,always_invested,1.0,620,0.0019482698302918922,0.10113691512411763,0.019263686537214716,0.022912944466720642,-0.13473738111202738,40.73153033217361,3.6907468948245414,1.0
NQ,RTH,always_invested,2.0,620,0.001579195140809438,0.10113691512411763,0.01561442860770879,0.022912944466720642,-0.13473738111202738,40.73153033217361,7.381493789649083,1.0
NQ,RTH,always_invested,4.0,620,0.0008410457618445297,0.10113691512411763,0.008315912748696936,0.022912944466720642,-0.13473738111202738,40.73153033217361,14.762987579298166,1.0
