geom,H,sigma_w,M,implied_rq_rv2,sd_log_within_window_var,seed
GLOBEX,0.45,3.0661878175865187,276,2.466337521460172,1.2455065520753008,1739877788
GLOBEX,0.45,3.6090190182329693,276,2.9505726430836625,1.4660083142955398,1739877788
GLOBEX,0.45,4.247951870156351,276,3.576576288936094,1.7255472273530976,1739877788
GLOBEX,0.45,4.999999999999999,276,4.3819548086214635,2.031034343251147,1739877788
GLOBEX,0.5,0.10000000000000002,276,0.9999337040503847,0.038620404784492905,1739877788
GLOBEX,0.5,0.11770378179487162,276,1.0005464570101252,0.045457676975835686,1739877788
GLOBEX,0.5,0.1385418024881474,276,1.0014007192487373,0.05350540491665519,1739877788
GLOBEX,0.5,0.163068940895331,276,1.002590299981226,0.06297788505156232,1739877788
GLOBEX,0.5,0.19193831036664843,276,1.0042451184711412,0.07412735240011592,1739877788
GLOBEX,0.5,0.22591865001472328,276,1.0065449737284629,0.08725069711934796,1739877788
GLOBEX,0.5,0.26591479484724945,276,1.00973848383125,0.10269737015186159,1739877788
GLOBEX,0.5,0.3129917698872869,276,1.0141690748421741,0.12087868847261875,1739877788
GLOBEX,0.5,0.36840314986403866,276,1.0203105329821818,0.14227878771631375,1739877788
GLOBEX,0.5,0.43362443964140174,276,1.0288154331284276,0.16746751383399847,1739877788
GLOBEX,0.5,0.51039236424475,276,1.040580705717017,0.19711559706046586,1739877788
GLOBEX,0.5,0.6007511147083267,276,1.056835585214549,0.232012512247709,1739877788
GLOBEX,0.5,0.7071067811865475,276,1.079257832595721,0.27308750115284314,1739877788
GLOBEX,0.5,0.8322914227845536,276,1.1101235772836917,0.3214343164660098,1739877788
GLOBEX,0.5,0.9796384801717631,276,1.1524927626852035,0.3783403464669891,1739877788
GLOBEX,0.5,1.153071539079968,276,1.2104240162325666,0.44532089584746587,1739877788
GLOBEX,0.5,1.357208808297453,276,1.289200155939645,0.5241595355352686,1739877788
GLOBEX,0.5,1.597486094219211,276,1.395537861973408,0.616955595963445,1739877788
GLOBEX,0.5,1.880301546543196,276,1.537774746555703,0.7261800684440626,1739877788
GLOBEX,0.5,2.2131860294287993,276,1.7260841828944757,0.8547414031992484,1739877788
GLOBEX,0.5,2.6050036547934554,276,1.9727963706700335,1.0060629561320666,1739877788
GLOBEX,0.5,3.0661878175865187,276,2.292795571443551,1.1841741466047224,1739877788
GLOBEX,0.5,3.6090190182329693,276,2.7038613877062145,1.3938177535909047,1739877788
GLOBEX,0.5,4.247951870156351,276,3.227188981366662,1.6405762073048191,1739877788
GLOBEX,0.5,4.999999999999999,276,3.888933225364973,1.9310202392246447,1739877788
RTH,0.05,0.10000000000000002,78,0.9569492115265862,0.06601001380405709,3527321114
RTH,0.05,0.11770378179487162,78,0.9572683513454752,0.07769628261069199,3527321114
RTH,0.05,0.1385418024881474,78,0.9577776737105682,0.0914514629468156,3527321114
RTH,0.05,0.163068940895331,78,0.9585632834193916,0.1076418303951377,3527321114
RTH,0.05,0.19193831036664843,78,0.9597474615163774,0.1266985051682986,3527321114
RTH,0.05,0.22591865001472328,78,0.9615037295484943,0.14912893206065825,3527321114
RTH,0.05,0.26591479484724945,78,0.9640784169401797,0.17553039278569943,3527321114
RTH,0.05,0.3129917698872869,78,0.967821791490882,0.20660591050816066,3527321114
RTH,0.05,0.36840314986403866,78,0.9732334690720958,0.24318297007983303,3527321114
RTH,0.05,0.43362443964140174,78,0.9810295359629388,0.28623555246505444,3527321114
RTH,0.05,0.51039236424475,78,0.9922433850743146,0.33691007009281276,3527321114
RTH,0.05,0.6007511147083267,78,1.0083801181658076,0.39655589374699324,3527321114
RTH,0.05,0.7071067811865475,78,1.031658106639663,0.4667612838706637,3527321114
RTH,0.05,0.8322914227845536,78,1.0653955937192578,0.5493956830700669,3527321114
RTH,0.05,0.9796384801717631,78,1.1146427821852718,0.646659495991236,3527321114
RTH,0.05,1.153071539079968,78,1.187230028785292,0.7611426821173402,3527321114
RTH,0.05,1.357208808297453,78,1.2954941656368668,0.8958937217070274,3527321114
RTH,0.05,1.597486094219211,78,1.4589595951397722,1.0545007913119937,3527321114
RTH,0.05,1.880301546543196,78,1.7078480554319828,1.2411873104310625,3527321114
RTH,0.05,2.2131860294287993,78,2.0860338727346317,1.4609244035354134,3527321114
RTH,0.05,2.6050036547934554,78,2.6500970706644877,1.7195632721253515,3527321114
RTH,0.05,3.0661878175865187,78,3.4595134081577736,2.0239910016471776,3527321114
RTH,0.05,3.6090190182329693,78,4.558246814667561,2.3823139521266286,3527321114
RTH,0.05,4.247951870156351,78,5.956386938965863,2.8040736158799087,3527321114
RTH,0.05,4.999999999999999,78,7.60984450980787,3.300500690202854,3527321114
RTH,0.1,0.10000000000000002,78,0.9573331248891571,0.061758842756111605,3527321114
RTH,0.1,0.11770378179487162,78,0.9577932243662269,0.07269249351669148,3527321114
RTH,0.1,0.1385418024881474,78,0.958496501098489,0.08556181395013766,3527321114
RTH,0.1,0.163068940895331,78,0.9595491593262184,0.10070949079160403,3527321114
RTH,0.1,0.19193831036664843,78,0.9611011833729549,0.11853887928807588,3527321114
RTH,0.1,0.22591865001472328,78,0.9633642263583806,0.13952474381932306,3527321114
RTH,0.1,0.26591479484724945,78,0.9666369942302637,0.16422590001494952,3527321114
RTH,0.1,0.3129917698872869,78,0.9713414740520679,0.19330009500426015,3527321114
RTH,0.1,0.36840314986403866,78,0.9780750272162533,0.22752152203309378,3527321114
RTH,0.1,0.43362443964140174,78,0.987686001589276,0.2678014358302033,3527321114
RTH,0.1,0.51039236424475,78,1.001384733498455,0.31521241767311553,3527321114
RTH,0.1,0.6007511147083267,78,1.0209086396434608,0.37101693628830307,3527321114
RTH,0.1,0.7071067811865475,78,1.0487711740833066,0.436700965110802,3527321114
RTH,0.1,0.8322914227845536,78,1.088642092869159,0.5140135510701164,3527321114
RTH,0.1,0.9796384801717631,78,1.1459332091321712,0.6050133885476408,3527321114
RTH,0.1,1.153071539079968,78,1.2286987320948726,0.7121236386858731,3527321114
RTH,0.1,1.357208808297453,78,1.348984094639355,0.8381964537885201,3527321114
RTH,0.1,1.597486094219211,78,1.524692715712543,0.9865889249795913,3527321114
RTH,0.1,1.880301546543196,78,1.7816614595211484,1.161252475470347,3527321114
RTH,0.1,2.2131860294287993,78,2.154611967835332,1.366838079815162,3527321114
RTH,0.1,2.6050036547934554,78,2.6843079573882442,1.6088201109548503,3527321114
RTH,0.1,3.0661878175865187,78,3.4092174868663276,1.893642112870308,3527321114
RTH,0.1,3.6090190182329693,78,4.3568787999657,2.228888380508662,3527321114
RTH,0.1,4.247951870156351,78,5.5422485983074266,2.623485915845163,3527321114
RTH,0.1,4.999999999999999,78,6.963275119180785,3.0879421378055794,3527321114
RTH,0.2,0.10000000000000002,78,0.9576770982886859,0.05440114200826283,3527321114
RTH,0.2,0.11770378179487162,78,0.9582173539277353,0.0640322014833239,3527321114
RTH,0.2,0.1385418024881474,78,0.959022221214428,0.07536832271238407,3527321114
RTH,0.2,0.163068940895331,78,0.9602043082108659,0.08871136610783918,3527321114
RTH,0.2,0.19193831036664843,78,0.9619219638712115,0.10441663279082065,3527321114
RTH,0.2,0.22591865001472328,78,0.9643976626627571,0.1229023256176599,3527321114
RTH,0.2,0.26591479484724945,78,0.9679438701711771,0.14466068516583294,3527321114
RTH,0.2,0.3129917698872869,78,0.9729995479263498,0.17027109721055816,3527321114
RTH,0.2,0.36840314986403866,78,0.9801818808878638,0.20041552072044896,3527321114
RTH,0.2,0.43362443964140174,78,0.9903599348922663,0.23589664719185285,3527321114
RTH,0.2,0.51039236424475,78,1.0047601194112363,0.2776592748721165,3527321114
RTH,0.2,0.6007511147083267,78,1.0251179876337422,0.3268154670286987,3527321114
RTH,0.2,0.7071067811865475,78,1.0538974330427544,0.38467416418335,3527321114
RTH,0.2,0.8322914227845536,78,1.0946064448876516,0.4527760388316161,3527321114
RTH,0.2,0.9796384801717631,78,1.1522456287745129,0.5329345207658285,3527321114
RTH,0.2,1.153071539079968,78,1.2339232745514965,0.6272840854317551,3527321114
RTH,0.2,1.357208808297453,78,1.349639910260188,0.7383370911505489,3527321114
RTH,0.2,1.597486094219211,78,1.513154374495756,0.8690506786784443,3527321114
RTH,0.2,1.880301546543196,78,1.7426549120103187,1.0229055145185262,3527321114
RTH,0.2,2.2131860294287993,78,2.060650355295296,1.2039984747765944,3527321114
RTH,0.2,2.6050036547934554,78,2.4921525413867935,1.4171517375646243,3527321114
RTH,0.2,3.0661878175865187,78,3.060348059234907,1.6680411888852966,3527321114
RTH,0.2,3.6090190182329693,78,3.780712064864191,1.9633475612141305,3527321114
RTH,0.2,4.247951870156351,78,4.657991473107628,2.310934329326413,3527321114
RTH,0.2,4.999999999999999,78,5.690183451058813,2.7200571004131406,3527321114
RTH,0.3,0.10000000000000002,78,0.9577647169702925,0.048323435900260316,3527321114
RTH,0.3,0.11770378179487162,78,0.9582790813787182,0.056878511547827054,3527321114
RTH,0.3,0.1385418024881474,78,0.9590372563758904,0.06694815912042515,3527321114
RTH,0.3,0.163068940895331,78,0.9601416867841798,0.07880051512678865,3527321114
RTH,0.3,0.19193831036664843,78,0.9617360558905024,0.09275118637807005,3527321114
RTH,0.3,0.22591865001472328,78,0.9640216476166569,0.10917165402659823,3527321114
RTH,0.3,0.26591479484724945,78,0.9672801962930905,0.1284991654373193,3527321114
RTH,0.3,0.3129917698872869,78,0.9719058189621487,0.15124837729457333,3527321114
RTH,0.3,0.36840314986403866,78,0.9784496807331997,0.17802505997908863,3527321114
RTH,0.3,0.43362443964140174,78,0.9876825329580811,0.2095422281379757,3527321114
RTH,0.3,0.51039236424475,78,1.0006823417242643,0.2466391269756349,3527321114
RTH,0.3,0.6007511147083267,78,1.0189570200087155,0.2903035798361775,3527321114
RTH,0.3,0.7071067811865475,78,1.0446156783220975,0.3416982921530752,3527321114
RTH,0.3,0.8322914227845536,78,1.0806048309325642,0.40219181219265826,3527321114
RTH,0.3,0.9796384801717631,78,1.1310253844554223,0.47339497302008626,3527321114
RTH,0.3,1.153071539079968,78,1.201534545215365,0.5572037860714534,3527321114
RTH,0.3,1.357208808297453,78,1.299803044858825,0.6558499285103064,3527321114
RTH,0.3,1.597486094219211,78,1.43593913192828,0.7719601687555925,3527321114
RTH,0.3,1.880301546543196,78,1.6227330438424377,0.9086263125754046,3527321114
RTH,0.3,2.2131860294287993,78,1.8755580600036763,1.069487532284542,3527321114
RTH,0.3,2.6050036547934554,78,2.2117282455309355,1.2588272713235538,3527321114
RTH,0.3,3.0661878175865187,78,2.648947972353481,1.481687304613012,3527321114
RTH,0.3,3.6090190182329693,78,3.2025567146270806,1.7440019919040128,3527321114
RTH,0.3,4.247951870156351,78,3.8821415693502628,2.052756299048913,3527321114
RTH,0.3,4.999999999999999,78,4.688825465016757,2.4161717950130153,3527321114
RTH,0.45,0.10000000000000002,78,0.9577647623506215,0.04096186001347095,3527321114
RTH,0.45,0.11770378179487162,78,0.9582024158021641,0.04821365832937661,3527321114
RTH,0.45,0.1385418024881474,78,0.9588404094398699,0.05674929919533435,3527321114
RTH,0.45,0.163068940895331,78,0.9597617142858103,0.06679607129499515,3527321114
RTH,0.45,0.19193831036664843,78,0.961082339444443,0.07862150200460792,3527321114
RTH,0.45,0.22591865001472328,78,0.9629642304752214,0.0925404811633543,3527321114
RTH,0.45,0.26591479484724945,78,0.9656331132646495,0.10892364602043876,3527321114
RTH,0.45,0.3129917698872869,78,0.969403118417355,0.12820725063491556,3527321114
RTH,0.45,0.36840314986403866,78,0.9747106520019406,0.1509047825325251,3527321114
RTH,0.45,0.43362443964140174,78,0.9821607859666415,0.1776206359501088,3527321114
RTH,0.45,0.51039236424475,78,0.9925904389767214,0.20906620576137921,3527321114
RTH,0.45,0.6007511147083267,78,1.0071537636936794,0.246078830636191,3527321114
RTH,0.45,0.7071067811865475,78,1.027436224011659,0.28964408985539386,3527321114
RTH,0.45,0.8322914227845536,78,1.0556040699938933,0.34092204750513444,3527321114
RTH,0.45,0.9796384801717631,78,1.0945932117036365,0.40127814288605196,3527321114
RTH,0.45,1.153071539079968,78,1.1483314535355842,0.47231954969311135,3527321114
RTH,0.45,1.357208808297453,78,1.2219649947216986,0.5559379721452998,3527321114
RTH,0.45,1.597486094219211,78,1.3220260929980054,0.6543600176487376,3527321114
RTH,0.45,1.880301546543196,78,1.4564623763930413,0.7702064873261532,3527321114
RTH,0.45,2.2131860294287993,78,1.6344987649289175,0.9065621632123205,3527321114
RTH,0.45,2.6050036547934554,78,1.8663935048780311,1.067057950422297,3527321114
RTH,0.45,3.0661878175865187,78,2.1630857041568117,1.2559675615898895,3527321114
RTH,0.45,3.6090190182329693,78,2.5354208088871117,1.4783213181081323,3527321114
RTH,0.45,4.247951870156351,78,2.992615805698758,1.7400400984930655,3527321114
RTH,0.45,4.999999999999999,78,3.540641826477298,2.0480930006735467,3527321114
RTH,0.5,0.10000000000000002,78,0.9577558639589105,0.03885836998339645,3527321114
RTH,0.5,0.11770378179487162,78,0.9581687296993263,0.04573777101430085,3527321114
RTH,0.5,0.1385418024881474,78,0.9587685265021051,0.05383508619251067,3527321114
RTH,0.5,0.163068940895331,78,0.9596323196912994,0.06336593238111381,3527321114
RTH,0.5,0.19193831036664843,78,0.9608677637091887,0.07458409878215203,3527321114
RTH,0.5,0.22591865001472328,78,0.962624992514695,0.08778830488421568,3527321114
RTH,0.5,0.26591479484724945,78,0.9651130284036047,0.10333015482233382,3527321114
RTH,0.5,0.3129917698872869,78,0.9686223506417565,0.12162349996038277,3527321114
RTH,0.5,0.36840314986403866,78,0.9735557991220606,0.14315545900465462,3527321114
RTH,0.5,0.43362443964140174,78,0.9804706464161461,0.1684993890942855,3527321114
RTH,0.5,0.51039236424475,78,0.9901354429075753,0.1983301532652294,3527321114
RTH,0.5,0.6007511147083267,78,1.003606059711439,0.23344209083273998,3527321114
RTH,0.5,0.7071067811865475,78,1.0223260094907514,0.27477016921115416,3527321114
RTH,0.5,0.8322914227845536,78,1.0482559848478568,0.32341488040569616,3527321114
RTH,0.5,0.9796384801717631,78,1.0840349532330498,0.3806715451248655,3527321114
RTH,0.5,1.153071539079968,78,1.133166539455153,0.4480648048289377,3527321114
RTH,0.5,1.357208808297453,78,1.2002050059406288,0.5273892201754701,3527321114
RTH,0.5,1.597486094219211,78,1.290885936728536,0.6207570569250102,3527321114
RTH,0.5,1.880301546543196,78,1.4121310720256632,0.7306545317592804,3527321114
RTH,0.5,2.2131860294287993,78,1.5719008930763352,0.8600080157362843,3527321114
RTH,0.5,2.6050036547934554,78,1.7789652407709782,1.0122619582606405,3527321114
RTH,0.5,3.0661878175865187,78,2.042648519512808,1.1914706065435985,3527321114
RTH,0.5,3.6090190182329693,78,2.372336558534424,1.4024059628761094,3527321114
RTH,0.5,4.247951870156351,78,2.7763489906698986,1.6506848544219637,3527321114
RTH,0.5,4.999999999999999,78,3.260452330889079,1.9429184991698218,3527321114
