root,geom,H,M,sigma_w,implied_rq_rv2,measured_rq_rv2,constant_vol_value,abs_discrepancy,prop_discrepancy,sd_log_within_window_var,is_calibration_point
NQ,GLOBEX,0.2,276,2.88187941017747,3.6066983553077874,3.606698088553108,1.0,2.6675467923453766e-07,7.396091183942133e-08,1.5390278076039976,True
NQ,GLOBEX,0.2,345,2.88187941017747,3.960333872268357,3.7415162701222937,1.0,0.21881760214606327,0.05848366981413955,1.5390278076039976,False
NQ,GLOBEX,0.2,1379,2.88187941017747,5.05963514300935,5.519786828741501,1.0,-0.4601516857321508,-0.08336403198329023,1.5390278076039976,False
NQ,GLOBEX,0.3,5,3.3582282758057116,0.8761496036791492,0.8624008734817927,1.0,0.013748730197356451,0.015942388998109847,1.6034751126993312,False
NQ,GLOBEX,0.3,6,3.3582282758057116,0.9714491810365685,0.938664361063099,1.0,0.03278481997346949,0.034927095704729405,1.6034751126993312,False
NQ,GLOBEX,0.3,10,3.3582282758057116,1.2733878806110455,1.1590570205149535,1.0,0.11433086009609195,0.09864127309741533,1.6034751126993312,False
NQ,GLOBEX,0.3,12,3.3582282758057116,1.3874562600419649,1.2895252654029532,1.0,0.09793099463901167,0.07594344776828388,1.6034751126993312,False
NQ,GLOBEX,0.3,23,3.3582282758057116,1.8250668371931997,1.6554942825174754,1.0,0.1695725546757243,0.10243016630529156,1.6034751126993312,False
NQ,GLOBEX,0.3,46,3.3582282758057116,2.3506878129185087,2.202413823965541,1.0,0.14827398895296762,0.06732340096103906,1.6034751126993312,False
NQ,GLOBEX,0.3,138,3.3582282758057116,3.0880398301379346,3.0305424483172274,1.0,0.05749738182070718,0.01897263701177776,1.6034751126993312,False
NQ,GLOBEX,0.3,276,3.3582282758057116,3.6066978804079657,3.606698088553108,1.0,-2.081451424551517e-07,-5.771071975857467e-08,1.6034751126993312,True
NQ,GLOBEX,0.3,345,3.3582282758057116,3.7385873430358036,3.7415162701222937,1.0,-0.002928927086490063,-0.0007828182146042417,1.6034751126993312,False
NQ,GLOBEX,0.3,1379,3.3582282758057116,4.419670133567546,5.519786828741501,1.0,-1.1001166951739547,-0.19930419947481537,1.6034751126993312,False
NQ,GLOBEX,0.45,5,4.465884292930365,0.8943011598457243,0.8624008734817927,1.0,0.03190028636393161,0.03699009050760793,1.7877263988347472,False
NQ,GLOBEX,0.45,6,4.465884292930365,1.019106819641004,0.938664361063099,1.0,0.080442458577905,0.0856988524490252,1.7877263988347472,False
NQ,GLOBEX,0.45,10,4.465884292930365,1.278637572904508,1.1590570205149535,1.0,0.11958055238955456,0.10317055181325463,1.7877263988347472,False
NQ,GLOBEX,0.45,12,4.465884292930365,1.4397637367246319,1.2895252654029532,1.0,0.15023847132167867,0.11650680708045824,1.7877263988347472,False
NQ,GLOBEX,0.45,23,4.465884292930365,1.8249658008809786,1.6554942825174754,1.0,0.16947151836350316,0.10236913540153791,1.7877263988347472,False
NQ,GLOBEX,0.45,46,4.465884292930365,2.4073321777125596,2.202413823965541,1.0,0.2049183537470185,0.09304262056349355,1.7877263988347472,False
NQ,GLOBEX,0.45,138,4.465884292930365,3.301542178552635,3.0305424483172274,1.0,0.27099973023540747,0.08942284586242488,1.7877263988347472,False
NQ,GLOBEX,0.45,276,4.465884292930365,3.6066982385691677,3.606698088553108,1.0,1.5001605957465358e-07,4.159373911960529e-08,1.7877263988347472,True
NQ,GLOBEX,0.45,345,4.465884292930365,3.8127218030139214,3.7415162701222937,1.0,0.07120553289162768,0.01903119691346422,1.7877263988347472,False
NQ,GLOBEX,0.45,1379,4.465884292930365,4.02066944150619,5.519786828741501,1.0,-1.4991173872353114,-0.2715897250649998,1.7877263988347472,False
NQ,GLOBEX,0.5,5,4.804715622335673,0.9772248967778523,0.8624008734817927,1.0,0.11482402329605956,0.1331446045879774,1.8029467751251307,False
NQ,GLOBEX,0.5,6,4.804715622335673,1.0761226860099418,0.938664361063099,1.0,0.13745832494684274,0.14644033655561617,1.8029467751251307,False
NQ,GLOBEX,0.5,10,4.804715622335673,1.4301523888369578,1.1590570205149535,1.0,0.2710953683220043,0.23389303849914156,1.8029467751251307,False
NQ,GLOBEX,0.5,12,4.804715622335673,1.546535910407444,1.2895252654029532,1.0,0.2570106450044909,0.199306405155373,1.8029467751251307,False
NQ,GLOBEX,0.5,23,4.804715622335673,2.056332122399732,1.6554942825174754,1.0,0.4008378398822565,0.24212577724684792,1.8029467751251307,False
NQ,GLOBEX,0.5,46,4.804715622335673,2.7083901446755316,2.202413823965541,1.0,0.5059763207099905,0.2297371707370408,1.8029467751251307,False
NQ,GLOBEX,0.5,138,4.804715622335673,3.305936853624254,3.0305424483172274,1.0,0.2753944053070265,0.09087297406441053,1.8029467751251307,False
NQ,GLOBEX,0.5,276,4.804715622335673,3.606697943352159,3.606698088553108,1.0,-1.4520094904213465e-07,-4.025869237977986e-08,1.8029467751251307,True
NQ,GLOBEX,0.5,345,4.804715622335673,3.6103111975857107,3.7415162701222937,1.0,-0.13120507253658298,-0.03506735319696863,1.8029467751251307,False
NQ,GLOBEX,0.5,1379,4.804715622335673,3.961830483969586,5.519786828741501,1.0,-1.557956344771915,-0.2822493681566912,1.8029467751251307,False
ES,RTH,0.05,5,1.650273784607649,0.761207286139366,0.7638973463386984,1.0,-0.002690060199332489,-0.0035214943633797846,1.0723729647113518,False
