root,geom,kappa,b_mean,b_sd,share,rmse,cond,n_seeds,in_observed_range
ES,RTH,320.0,-1.1924275975237961,0.12402922156910443,0.3179418304411679,0.009032476001641173,107.9837907570297,5,False
ES,RTH,640.0,-1.0822943584331821,0.07204482787598088,0.43239116356552393,0.005881320485149994,82.43466963343607,5,False
ES,RTH,1280.0,-1.148240134459309,0.06923178127471989,0.5384031808399202,0.007522221209902033,95.03843568860398,5,False
NQ,GLOBEX,1.0,-1.219296573505745,0.08751993358561104,0.002883983726865969,0.010124669494055067,114.426102192295,5,False
NQ,GLOBEX,3.0,-1.180999150239846,0.10170741438990796,0.0043439564556596085,0.007870972018037792,105.57853658485217,5,False
NQ,GLOBEX,6.0,-1.1300737505733651,0.14224000619799468,0.006489652330970226,0.009090647550990419,96.19116634837873,5,False
NQ,GLOBEX,10.0,-1.1348814616334149,0.07730616421670158,0.00926301959683028,0.010257327197887236,94.18888259850124,5,False
NQ,GLOBEX,20.0,-1.2053772633821203,0.05661502847064389,0.016500885759529536,0.007882075781119874,109.86036605687096,5,False
NQ,GLOBEX,40.0,-1.153536763383903,0.12427464429831077,0.028481185097112872,0.005272217473601527,100.47796649412462,5,False
NQ,GLOBEX,80.0,-1.1662640943114173,0.08895645776063324,0.05234207915241651,0.008824199121937002,101.2876208423827,5,False
NQ,GLOBEX,160.0,-1.082807096569785,0.07849951830404443,0.09133223484398807,0.010332324222493947,83.48818356514171,5,False
NQ,GLOBEX,320.0,-1.1501612774001637,0.13510964707107154,0.15144611220612955,0.007392030489761389,99.7174753947025,5,False
NQ,GLOBEX,640.0,-1.1647580481648012,0.13501517688720158,0.23484700104882617,0.009565386556664232,102.9227285499388,5,False
NQ,GLOBEX,1280.0,-1.1185552091023307,0.21901808975853276,0.33522037254683446,0.007770624176200144,98.86788439802586,5,False
NQ,GLOBEX,2000.0,-1.1989063671608853,0.07868199417073352,0.4013821920673798,0.007816861391611472,108.137946844018,5,False
NQ,RTH,1.0,-1.0736276511473901,0.09425498107211067,0.010522722093983267,0.007951115665973002,81.83751292581876,5,False
NQ,RTH,3.0,-1.1664094779830307,0.0327840278891477,0.015106711084624158,0.012668839979853394,98.85860069762946,5,False
NQ,RTH,6.0,-1.1514011811303604,0.059967310923016305,0.022707376560012482,0.007162793441910497,96.09064155348287,5,False
NQ,RTH,10.0,-1.1071308722549575,0.17819481987655839,0.031140220941496367,0.0059482250708723875,92.6202096852656,5,False
NQ,RTH,20.0,-1.1886473808746818,0.09903737398094022,0.05216689127051703,0.008688369229930597,105.64161568119133,5,False
NQ,RTH,40.0,-1.0911777273285428,0.1517508103173953,0.08725790598881286,0.009261309723229605,87.02211744237206,5,False
NQ,RTH,80.0,-1.1805244653079594,0.10089430966595891,0.14319873563281577,0.010051657909810047,103.64185896817958,5,False
NQ,RTH,160.0,-1.1912931027182765,0.132373734644147,0.2224522386262489,0.006276521654539138,107.84268903407602,5,False
NQ,RTH,320.0,-1.1608504255809426,0.13806556392737884,0.31539560964769353,0.009064627514294177,100.49495463544513,5,False
NQ,RTH,640.0,-1.1040204935167883,0.1586800617630275,0.4288199875986246,0.009254506542193038,89.50560147223484,5,False
NQ,RTH,1280.0,-1.1121891573544873,0.16224440331816406,0.5410995984352044,0.00833833150627895,91.4250145099842,5,False
