distinct,year,b,b_pooled,dev,c,A,A_over_c,decaying_over_c,cond,log_cond,rmse,n_windows
ES/RTH/B0/1h,2019,-0.6710487259449076,-0.4658063300928055,-0.20524239585210213,0.8666519396042294,2.566100593579534,2.960935614765237,0.18975919647717598,41.80490729111788,1.6212272646545118,0.0204142382769209,1422
ES/RTH/B0/1h,2020,-0.5940920656470665,-0.4658063300928055,-0.12828573555426104,1.6613703695673048,2.022046649536689,1.217095649817879,0.10689051285172887,35.220155443771795,1.5467912683894456,0.0161788009133917,1434
ES/RTH/B0/1h,2021,-0.5785686346356195,-0.4658063300928055,-0.112762304542814,1.001935875212445,2.0132925657094596,2.0094026129991325,0.18805479936167002,34.63757766878008,1.5395475126216787,0.0306731007971627,1434
ES/RTH/B0/1h,2022,-1.1794090178334444,-0.4658063300928055,-0.713602687740639,0.7347529161917478,3.406491424010386,4.636240767394787,0.03706793234652358,89.80677933157014,1.9533091219141003,0.0137598934803161,1428
ES/RTH/B0/1h,2023,-0.670155247784134,-0.4658063300928055,-0.20434891769132857,0.5126728063723547,1.928280526371777,3.7612303644817575,0.24193156885547473,38.19859715681739,1.5820474137431133,0.0187118057617116,1416
ES/RTH/B0/30min,2016,-0.5942360773642839,-0.4111082270680417,-0.18312785029624218,0.6144233076274085,2.6613644023719925,4.331483472931445,0.5739551029189526,69.66965164051017,1.843043638997575,0.0111538924115082,2868
ES/RTH/B0/30min,2017,-0.5568444571523194,-0.4111082270680417,-0.14573623008427777,0.1666319836860435,2.7560659444277227,16.539837571762405,2.4888828608925277,69.35771193875861,1.8410947576405614,0.0085350381408298,2844
ES/RTH/B0/30min,2018,-0.3903759620342944,-0.4111082270680417,0.020732265033747255,0.8206153632196677,2.221824641008927,2.707510413029124,0.7176910076277063,102.03132885456051,2.0087335429343085,0.0345925327570958,2832
ES/RTH/B0/30min,2019,-0.6289521009427976,-0.4111082270680417,-0.21784387387475596,0.7888357693424121,2.497457094608529,3.166003865025612,0.372797442415355,69.87189516974627,1.8443025229967336,0.0016406269754925,2844
ES/RTH/B0/30min,2020,-0.5113889602156253,-0.4111082270680417,-0.10028073314758362,1.560721348461552,2.0980799758617343,1.3443014526134804,0.23610933898898342,62.20483224859629,1.7938241232339873,0.0059919868248966,2868
ES/RTH/B0/30min,2021,-0.625400949913049,-0.4111082270680417,-0.21429272284500728,0.9728625046323812,2.411779656933818,2.4790550005266834,0.2954562125639739,68.60461539222881,1.836353333956762,0.0228977683379408,2868
ES/RTH/B0/30min,2022,-0.8996197068860083,-0.4111082270680417,-0.48851147981796667,0.7041906687502171,2.2447126092296092,3.187648898008658,0.14949376853532287,95.7187079892033,1.9809968278755148,0.007139446295974,2856
ES/RTH/B0/30min,2023,-0.5644683926204483,-0.4111082270680417,-0.15336016555240667,0.3934095736493778,2.084268475872586,5.297960739842515,0.7768201375911332,61.91022717661475,1.7917623976386388,0.006520354940238,2832
NQ/RTH/B0/1day,2016,-0.8684905647193712,-0.9743997227891924,0.10590915806982115,0.7118682777626558,3.0435608463006663,4.275455082598048,0.024078839743902222,56.67602275555803,1.7533993659946279,0.0317585380442174,239
NQ/RTH/B0/1day,2017,-0.8996221486835724,-0.9743997227891924,0.07477757410562003,0.3983528276141427,3.2867651737821486,8.250889527928278,0.038594440288973034,60.944493528257226,1.7849344722460343,0.0224793837011024,237
NQ/RTH/B0/1day,2018,-0.7451000269756826,-0.9743997227891924,0.22929969581350984,0.9220232687572189,2.128029833114664,2.3080001397177354,0.027130907016957313,42.17580571567663,1.6250633879897924,0.0290321063854173,236
NQ/RTH/B0/1day,2019,-1.0120173149335214,-0.9743997227891924,-0.037617592144329026,0.6532879150677899,3.639900910597655,5.571664233556122,0.013332484738004465,75.28768217103436,1.87672392702744,0.0257462976091463,237
NQ/RTH/B0/1day,2020,-1.461906309935615,-0.9743997227891924,-0.4875065871464227,1.125115000267289,5.8411730631251295,5.1916231334018885,0.0008492577022541227,192.31971546911575,2.284023807798288,0.0157623502432761,239
NQ/RTH/B0/1day,2021,-1.1366006896376455,-0.9743997227891924,-0.1622009668484531,0.6473001660583799,4.636134452429294,7.162263653754666,0.008152894096492502,99.24988622736753,1.996730017592787,0.0236813945459244,239
NQ/RTH/B0/1day,2022,-1.4110732896641764,-0.9743997227891924,-0.43667356687498404,0.3364691966821241,5.1180657546983035,15.211097494709284,0.003369394370530428,170.83587481634098,2.232579075947657,0.0126793078789894,238
NQ/RTH/B0/1day,2023,-1.0916884202303403,-0.9743997227891924,-0.1172886974411479,0.3149896341307748,4.033079147564697,12.803847208160116,0.01905120692734681,88.63658542728484,1.947613017255163,0.0140481567559621,236
NQ/RTH/B0/1h,2016,-0.7547480897306522,-0.8032152282589848,0.04846713852833262,0.97266791424655,2.454852910639197,2.5238345736332635,0.11481658511886186,45.490282192155846,1.6579186309191176,0.0260993228210301,1434
NQ/RTH/B0/1h,2017,-0.6823777483639757,-0.8032152282589848,0.12083747989500915,0.7177200346114638,2.2369398559463427,3.1167304075011715,0.19069020761732217,40.28657103957756,1.6051603043215257,0.0273860742481236,1422
NQ/RTH/B0/1h,2018,-1.07808703133533,-0.8032152282589848,-0.27487180307634507,1.3419889282071389,3.4840553596020394,2.596187856971848,0.031429271274263024,77.61262029081846,1.8899323459620854,0.0092714017836799,1416
