root,geom,q,lam_variant,lam,var_log_rv,var_eps,nugget,H_naive,se_H_naive,H_corrected,delta_H,zeta_naive,zeta_corr,rmse_naive,rmse_corr,n_lags_used
ES,RTH,2.0,lo,0.7745820972055979,1.2871686279157712,0.2901508526475213,0.5803017052950425,0.17382898191370688,0.0021425795770854835,0.4431032247941884,0.2692742428804815,0.34765796382741376,0.8862064495883768,0.02278087580341385,0.26103227521678535,39
ES,RTH,0.5,hi,0.9020246584263021,1.2871686279157712,0.12611078598299577,0.25222157196599154,0.16800371072823106,0.0023440341443705776,0.23628526674846131,0.06828155602023026,0.08400185536411553,0.11814263337423066,0.006230707985477204,0.014130351882300505,40
ES,RTH,1.0,hi,0.9020246584263021,1.2871686279157712,0.12611078598299577,0.25222157196599154,0.168978439868281,0.002160585952349792,0.235902578999696,0.06692413913141498,0.168978439868281,0.235902578999696,0.011486163867489688,0.028511911911074828,40
ES,RTH,2.0,hi,0.9020246584263021,1.2871686279157712,0.12611078598299577,0.25222157196599154,0.17382898191370688,0.0021425795770854835,0.2385244745153091,0.0646954926016022,0.34765796382741376,0.4770489490306182,0.02278087580341385,0.05600385321216329,40
NQ,RTH,0.5,point,0.9312843759268288,1.1347471175685595,0.07797485634895576,0.15594971269791152,0.14790637258092446,0.0026579763925394413,0.18386992201903166,0.0359635494381072,0.07395318629046223,0.09193496100951583,0.007065202003980358,0.010752480685525572,40
NQ,RTH,1.0,point,0.9312843759268288,1.1347471175685595,0.07797485634895576,0.15594971269791152,0.1503261346235457,0.0022584263409539695,0.18615398414572962,0.03582784952218393,0.1503261346235457,0.18615398414572962,0.012006305514779504,0.0198441012262199,40
NQ,RTH,2.0,point,0.9312843759268288,1.1347471175685595,0.07797485634895576,0.15594971269791152,0.15604452753756692,0.0018864704435554067,0.1914304255781016,0.035385898040534686,0.31208905507513385,0.3828608511562032,0.020057807579733196,0.0349995699973804,40
NQ,RTH,0.5,lo,0.8690349547315768,1.1347471175685595,0.14861220762057917,0.29722441524115834,0.14790637258092446,0.0026579763925394413,0.241326153172269,0.09341978059134454,0.07395318629046223,0.1206630765861345,0.007065202003980358,0.020556303442871692,40
NQ,RTH,1.0,lo,0.8690349547315768,1.1347471175685595,0.14861220762057917,0.29722441524115834,0.1503261346235457,0.0022584263409539695,0.2429372348684608,0.09261110024491512,0.1503261346235457,0.2429372348684608,0.012006305514779504,0.04025749303373584,40
NQ,RTH,2.0,lo,0.8690349547315768,1.1347471175685595,0.14861220762057917,0.29722441524115834,0.15604452753756692,0.0018864704435554067,0.24604220666683763,0.0899976791292707,0.31208905507513385,0.49208441333367525,0.020057807579733196,0.07333771416394844,40
NQ,RTH,0.5,hi,0.9894811070388294,1.1347471175685595,0.011936283467700535,0.02387256693540107,0.14790637258092446,0.0026579763925394413,0.15238633010851133,0.00447995752758687,0.07395318629046223,0.07619316505425566,0.007065202003980358,0.0074378805536066345,40
NQ,RTH,1.0,hi,0.9894811070388294,1.1347471175685595,0.011936283467700535,0.02387256693540107,0.1503261346235457,0.0022584263409539695,0.15480216595605834,0.004476031332512648,0.1503261346235457,0.15480216595605834,0.012006305514779504,0.012795702802435197,40
NQ,RTH,2.0,hi,0.9894811070388294,1.1347471175685595,0.011936283467700535,0.02387256693540107,0.15604452753756692,0.0018864704435554067,0.16050130230307855,0.004456774765511623,0.31208905507513385,0.3210026046061571,0.020057807579733196,0.021538815729844632,40
