root,geom,q,lag,S_naive,nugget,S_corrected,nugget_share
ES,GLOBEX,2.0,24,1.4392209569323973,0.43188649996019807,1.0073344569721991,0.3000835263549352
ES,GLOBEX,2.0,25,1.445711224601493,0.43188649996019807,1.0138247246412948,0.2987363538518881
ES,GLOBEX,2.0,26,1.4575791020165942,0.43188649996019807,1.0256926020563961,0.29630398745609976
ES,GLOBEX,2.0,27,1.4716534729698874,0.43188649996019807,1.0397669730096892,0.2934702413935969
ES,GLOBEX,2.0,28,1.5059182917846343,0.43188649996019807,1.0740317918244362,0.2867927843869788
ES,GLOBEX,2.0,29,1.5074811618050712,0.43188649996019807,1.075594661844873,0.28649545407456595
ES,GLOBEX,2.0,30,1.5068870442380888,0.43188649996019807,1.0750005442778907,0.2866084101071877
ES,GLOBEX,2.0,31,1.4988531081913983,0.43188649996019807,1.0669666082312002,0.2881446471304563
ES,GLOBEX,2.0,32,1.5067037076904521,0.43188649996019807,1.074817207730254,0.2866432847784084
ES,GLOBEX,2.0,33,1.5189867990424255,0.43188649996019807,1.0871002990822274,0.28432538072908914
ES,GLOBEX,2.0,34,1.5417777672469206,0.43188649996019807,1.1098912672867225,0.28012240747990375
ES,GLOBEX,2.0,35,1.550123746023247,0.43188649996019807,1.118237246063049,0.2786142081031775
ES,GLOBEX,2.0,36,1.5532551192661592,0.43188649996019807,1.121368619305961,0.27805251990042973
ES,GLOBEX,2.0,37,1.5462583899452222,0.43188649996019807,1.1143718899850241,0.2793106913880662
ES,GLOBEX,2.0,38,1.570817345707335,0.43188649996019807,1.138930845747137,0.27494380625503
ES,GLOBEX,2.0,39,1.605513809318657,0.43188649996019807,1.1736273093584588,0.269002046231842
ES,GLOBEX,2.0,40,1.5950998089778377,0.43188649996019807,1.1632133090176395,0.27075829207011004
NQ,GLOBEX,0.5,1,0.3454597114028728,0.13868386397758925,0.20677584742528354,0.4014472871942426
NQ,GLOBEX,0.5,2,0.4810926794719903,0.13868386397758925,0.34240881549440105,0.288268497724384
NQ,GLOBEX,0.5,3,0.5704464455751423,0.13868386397758925,0.4317625815975531,0.24311460795897105
NQ,GLOBEX,0.5,4,0.6215973158429778,0.13868386397758925,0.4829134518653886,0.22310885269752723
NQ,GLOBEX,0.5,5,0.6607730463770521,0.13868386397758925,0.5220891823994629,0.209881236436592
NQ,GLOBEX,0.5,6,0.721234475381487,0.13868386397758925,0.5825506114038977,0.19228679259159698
NQ,GLOBEX,0.5,7,0.7878100465998187,0.13868386397758925,0.6491261826222294,0.17603718634478907
NQ,GLOBEX,0.5,8,0.838124991741113,0.13868386397758925,0.6994411277635237,0.165469190567255
NQ,GLOBEX,0.5,9,0.8443696920640029,0.13868386397758925,0.7056858280864137,0.16424543097773464
