root,geom,kappa,seed_index,seed,b,c,A,rmse,cond,corr_cb,corr_Ab,first_share
ES,GLOBEX,320.0,2,3418281980,-1.0069927647204482,1.0729381302805796,2.5260275946759183,0.006968597357861636,69.85093665122444,-0.677333527536042,-0.9734433402239654,0.14953612032610708
ES,GLOBEX,320.0,3,2177592484,-1.1039880473112686,1.0823707243502858,2.622184106701869,0.004309822629581242,86.33007316355337,-0.6470124021008494,-0.9771515219374608,0.1542968518362217
ES,GLOBEX,320.0,4,2475837633,-1.113726320473523,1.1434944127413793,2.6514080495874213,0.012304593099249455,88.22864547665357,-0.6442635361346679,-0.9774841738069797,0.14750217897726628
ES,GLOBEX,640.0,0,772784895,-1.1062877953141572,1.115855478021954,2.76188369551603,0.0184841694925182,86.94379849520979,-0.6463577292512306,-0.9772307729717566,0.22796645119197104
ES,GLOBEX,640.0,1,201636215,-1.1072514695968354,1.1414413532555425,3.097248620051222,0.003829961114215954,87.73995852403158,-0.6460856110185293,-0.9772637019730376,0.2259740793401045
ES,GLOBEX,640.0,2,3819007438,-1.1131952861647934,1.1048593141536072,3.1554413731760027,0.008053436016019455,88.98460956268133,-0.6444125720735676,-0.9774661414828991,0.2303414756060115
ES,GLOBEX,640.0,3,825758894,-1.0567788729238876,1.1135799963259985,2.3874545893799906,0.007611402518120308,77.6073786030788,-0.6610871769667332,-0.9754422939516897,0.23018140816758725
ES,GLOBEX,640.0,4,3002800748,-1.1820825143646096,1.106277818063211,2.736883456600179,0.0035541857599011243,102.71202740921993,-0.6263839177397339,-0.9796485965441699,0.23456039709030224
ES,GLOBEX,1280.0,0,3298700500,-1.342097409466291,1.2674218733425058,3.6772348164986486,0.0077664833931722094,147.59592744493676,-0.5929169645227629,-0.9837736920306398,0.33107712180532844
ES,GLOBEX,1280.0,1,1950098737,-1.0234045032036105,1.2490712003114819,2.442391993135109,0.004184198857110983,72.21831701186356,-0.671815375133228,-0.974126678235174,0.3310904369262813
ES,GLOBEX,1280.0,2,1387368065,-1.2489552482168562,1.2121235790256857,3.086918738276559,0.005568435377273706,119.4768971693826,-0.6110916540231613,-0.9815149130325582,0.3319268179813439
ES,GLOBEX,1280.0,3,1081652591,-1.241157927899734,1.2837607097832284,2.8319237864988906,0.006938922753219739,117.24874506715764,-0.6127703936607392,-0.9813087937916657,0.3352558770738733
ES,GLOBEX,1280.0,4,3247909881,-1.1145471109494287,1.3562766635095602,2.642845503391002,0.007248030828694553,88.3788309048133,-0.6440358815767834,-0.9775117090789558,0.34222616775959597
ES,GLOBEX,2000.0,0,1134123434,-1.0649293499879575,1.3706901561120182,2.4815763149739833,0.012018743658385445,79.09928438591912,-0.6585663196786388,-0.9757495053264316,0.4003974520159569
ES,GLOBEX,2000.0,1,4066668031,-1.3039064279625343,1.4224512378727467,4.007196946038968,0.010429311005962647,136.2465504155384,-0.599964126204657,-0.9828912498707729,0.4116964368670696
ES,GLOBEX,2000.0,2,2983899440,-0.936935048236408,1.3463530590596535,1.805306724717407,0.013021426490321968,59.408424841579155,-0.7027373619451808,-0.970209384812247,0.4059387476140347
ES,GLOBEX,2000.0,3,2483050282,-1.4100971219645193,1.382804056920707,4.368716282464946,0.005226812175693586,172.5443065813882,-0.5815942856022408,-0.9852122247362592,0.4143573541612453
ES,GLOBEX,2000.0,4,1090009725,-0.9388183452919909,1.4046658496846434,1.5001129159928535,0.007129880684909763,60.1591350308043,-0.7020100816523095,-0.9703045235599599,0.3968720524683802
NQ,GLOBEX,1.0,0,1718307184,-1.1784368437500963,1.0615037064137152,3.363170777618101,0.01193575370674492,102.76995622769643,-0.6272749228675752,-0.9795404631519151,0.002880619701383651
NQ,GLOBEX,1.0,1,357572343,-1.2651842651769094,1.0389482614906287,4.137205221629562,0.007268544015411838,125.6372667883811,-0.6076746806723369,-0.9819355537030331,0.0027830081722593656
NQ,GLOBEX,1.0,2,2995453545,-1.1946735917964542,0.9894507666880757,3.3169331535014264,0.011429178868202798,106.34583190015736,-0.6233434306024025,-0.9800179595503816,0.002910057188562372
NQ,GLOBEX,1.0,3,833692480,-1.1149330486576479,1.0803792930189755,2.9992497008993757,0.0029938699820585358,88.98859079012642,-0.6439273682229543,-0.9775248387368416,0.002886885629294255
NQ,GLOBEX,1.0,4,691672897,-1.3432551181476176,1.0359013376497168,3.967586231294094,0.01699600089785724,148.38886525511364,-0.5927088949402745,-0.9837999021388574,0.0029593479428302013
NQ,GLOBEX,3.0,0,358389900,-1.1596874404118882,1.0308139935922245,3.263855984277681,0.007689695031136948,98.51411723258516,-0.6319779451181244,-0.978970455239926,0.00416609899271188
NQ,GLOBEX,3.0,1,3209558193,-1.2359254869675649,1.0081373841522712,3.6107272321990522,0.005803977795596172,116.8631521786153,-0.6139095228416115,-0.9811691544323417,0.004584136324610316
NQ,GLOBEX,3.0,2,1355519257,-1.0574043212537492,0.993511980428434,3.0684015273830667,0.01097234194656436,78.94930039936902,-0.6608949930203492,-0.9754657352266035,0.004309733177693124
NQ,GLOBEX,3.0,3,2441212922,-1.1295978590595575,1.0593762769723039,3.0878894621151254,0.007080917264897463,92.01018630217305,-0.6398955976146755,-0.9780124802613291,0.004366853705574823
NQ,GLOBEX,3.0,4,2848503070,-1.3223806435064709,0.9932728397531486,3.846419544705651,0.007807928051994016,141.5559268115183,-0.5964897134644838,-0.9833251628653434,0.0042929600777078985
NQ,GLOBEX,6.0,0,2652314196,-1.1947931361372015,0.986380503375502,3.1650321739061815,0.007476217877054619,106.11945508077622,-0.6233170203427645,-0.980021169456522,0.006375500692024256
NQ,GLOBEX,6.0,1,2377890247,-1.0576417094695119,1.0116006344760815,2.718363847580657,0.014959285788729177,78.20336108702384,-0.6608170458639373,-0.9754752461542613,0.006322117397659257
NQ,GLOBEX,6.0,2,1957883794,-1.036044281411385,1.0080775743183115,2.6609577674759826,0.005906472594201307,74.5710779658445,-0.6676748765306535,-0.9746362061788221,0.0067238556132148694
