root,geom,btag,horizon,M,trv_over_rv,share_rv_removed
NQ,RTH,B1,1day,6,0.91129044950333,0.08870955049666995
NQ,RTH,B1,1day,10,0.9088960642424561,0.09110393575754394
NQ,RTH,B1,1day,13,0.9065863473030483,0.09341365269695168
NQ,RTH,B1,1day,26,0.8769964539901959,0.12300354600980412
NQ,RTH,B1,1day,78,0.8416367716218648,0.1583632283781352
NQ,RTH,B1,1day,195,0.8100612473256777,0.18993875267432225
NQ,RTH,B1,1day,389,0.8052461463683678,0.19475385363163222
NQ,RTH,B1,1h,4,0.9301753488182369,0.06982465118176306
NQ,RTH,B1,1h,5,0.9380374278801097,0.06196257211989031
NQ,RTH,B1,1h,6,0.9399276214684886,0.06007237853151137
NQ,RTH,B1,1h,10,0.9396768781299026,0.06032312187009736
NQ,RTH,B1,1h,12,0.9401140059845255,0.05988599401547445
NQ,RTH,B1,1h,15,0.9341572934847074,0.06584270651529256
NQ,RTH,B1,1h,20,0.9285969383187952,0.0714030616812048
NQ,RTH,B1,1h,30,0.9154408132505006,0.08455918674949936
NQ,RTH,B1,1h,60,0.9015878217464308,0.09841217825356918
NQ,RTH,B1,30min,5,0.9304858482671843,0.06951415173281572
NQ,RTH,B1,30min,6,0.9361042922838987,0.06389570771610131
NQ,RTH,B1,30min,10,0.9372639612934356,0.06273603870656441
NQ,RTH,B1,30min,15,0.9300168391737218,0.0699831608262782
NQ,RTH,B1,30min,30,0.9193598378758745,0.0806401621241255
