cell,root,geom,btag,horizon,model,n_eval,n_nonpositive,n_below_1e12,n_below_1e6,n_above_100x_mean_rv,min_forecast,p001_forecast,max_forecast,in_sample_mean_rv,worst1_share_of_qlike,worst5_share_of_qlike
NQ/GLOBEX/B1/1day,NQ,GLOBEX,B1,1day,M2_HAR,1448,0,0,0,0,2.796560006699381e-05,3.0332260044369325e-05,0.005614039977885453,0.00021727132394712927,,
NQ/GLOBEX/B1/1day,NQ,GLOBEX,B1,1day,M3_HARJ,1448,0,3,3,0,1e-300,1e-300,0.00539587528754718,0.00021727132394712927,0.6035608430110768,1.0
NQ/GLOBEX/B1/1day,NQ,GLOBEX,B1,1day,M4_HARQ,1448,0,2,2,0,1e-300,4.6214175247633384e-06,0.005311067049904666,0.00021727132394712927,0.5071292157388724,1.0
NQ/GLOBEX/B1/1day,NQ,GLOBEX,B1,1day,M5_RGARCH,1448,0,0,0,0,7.197035995881106e-06,7.5585108657451294e-06,0.0016749766314539537,0.00021727132394712927,,
NQ/GLOBEX/B1/1day,NQ,GLOBEX,B1,1day,M6_PARK,1448,0,0,0,0,1.265312178120629e-06,2.9851388425633808e-06,0.004508701910473088,0.00021727132394712927,,
NQ/GLOBEX/B1/1day,NQ,GLOBEX,B1,1day,M6_GK,1448,0,0,0,0,1.731070199411667e-06,2.9133084629911998e-06,0.00466393684717804,0.00021727132394712927,,
NQ/GLOBEX/B1/1h,NQ,GLOBEX,B1,1h,M1_EWMA,39503,0,0,4089,0,1.413977475030755e-07,2.4491709617222567e-07,0.0002485984799050478,8.121999208896607e-06,,
NQ/GLOBEX/B1/1h,NQ,GLOBEX,B1,1h,M2_HAR,39503,0,0,3125,0,4.151985412605728e-07,4.738190444050777e-07,0.0007626417013824902,8.121999208896607e-06,,
NQ/GLOBEX/B1/1h,NQ,GLOBEX,B1,1h,M3_HARJ,39503,0,0,3530,0,2.773297659664189e-07,3.611550731887397e-07,0.0007391666861722534,8.121999208896607e-06,inf,inf
NQ/GLOBEX/B1/1h,NQ,GLOBEX,B1,1h,M4_HARQ,39503,0,3,4925,0,1e-300,3.72196976960232e-07,0.0005724073093597694,8.121999208896607e-06,inf,inf
NQ/GLOBEX/B1/1h,NQ,GLOBEX,B1,1h,M5_RGARCH,39503,18495,19052,19062,20435,0.0,0.0,3.8600655765517884e+276,8.121999208896607e-06,,
NQ/GLOBEX/B1/1h,NQ,GLOBEX,B1,1h,M6_PARK,39503,166,166,16087,2,0.0,0.0,0.001486056044020087,8.121999208896607e-06,,
NQ/GLOBEX/B1/1h,NQ,GLOBEX,B1,1h,M6_GK,39503,0,166,16269,2,1e-300,1e-300,0.0011825873065219022,8.121999208896607e-06,,
NQ/GLOBEX/B1/30min,NQ,GLOBEX,B1,30min,M1_EWMA,83735,0,0,26173,0,5.379262945912568e-08,9.586007394086735e-08,0.0001848883327430143,3.9718261148115875e-06,,
NQ/GLOBEX/B1/30min,NQ,GLOBEX,B1,30min,M2_HAR,83735,0,0,23431,4,2.433988448714139e-07,2.761890298468182e-07,0.0006782413477845297,3.9718261148115875e-06,,
NQ/GLOBEX/B1/30min,NQ,GLOBEX,B1,30min,M3_HARJ,83735,0,0,23785,3,2.3197243661733146e-07,2.666369133353124e-07,0.0005401399472975422,3.9718261148115875e-06,inf,inf
NQ/GLOBEX/B1/30min,NQ,GLOBEX,B1,30min,M4_HARQ,83735,0,5,28014,0,1e-300,1.5455160389002758e-07,0.00039114907819367986,3.9718261148115875e-06,inf,inf
NQ/GLOBEX/B1/30min,NQ,GLOBEX,B1,30min,M5_RGARCH,83735,0,385,385,83350,9.232210984831646e-231,2.0858611928621794e-184,6.061375298368408e+306,3.9718261148115875e-06,,
NQ/GLOBEX/B1/30min,NQ,GLOBEX,B1,30min,M6_PARK,83735,385,385,50350,4,0.0,0.0,0.001486056044020087,3.9718261148115875e-06,,
NQ/GLOBEX/B1/30min,NQ,GLOBEX,B1,30min,M6_GK,83735,0,385,51690,5,1e-300,1e-300,0.0012714834831634612,3.9718261148115875e-06,,
ES/RTH/B0/1day,ES,RTH,B0,1day,M1_EWMA,1401,0,0,0,0,8.847318290259212e-06,9.13019037308505e-06,0.0005728180134705575,8.94786517924438e-05,,
