root,geom,btag,horizon,estimator,M,var_log_rv,lam,var_log_eps,interior_min_M,interior_depth
ES,GLOBEX,B1,1day,E1_d_model_L1-5,10,1.733752892535443,0.8109375104291499,0.3277876381634135,,
ES,GLOBEX,B1,1day,E1_d_model_L1-5,12,1.7119648410236044,0.8184491679531181,0.31080864132284336,,
ES,GLOBEX,B1,1day,E1_d_model_L1-5,23,1.5300181798960488,0.8840487679390093,0.17740749303466133,,
ES,GLOBEX,B1,1day,E1_d_model_L1-5,46,1.430672917311101,0.9221956361580879,0.11131259619724278,,
ES,GLOBEX,B1,1day,E1_d_model_L1-5,138,1.3219597535250718,0.9684617892464102,0.041692245314437285,,
ES,GLOBEX,B1,1day,E1_d_model_L1-5,345,1.2268554714356799,0.9896363581117097,0.012714690754648967,,
ES,GLOBEX,B1,1day,E1_d_model_L1-5,1379,1.0459490460855796,0.9977763961146608,0.0023257763627426765,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,5,2.0214334056908165,0.7628353127365733,0.479412621484506,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,6,2.0614722980778666,0.7543369361618956,0.5064276007631868,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,10,1.733752892535443,0.8660196012965173,0.232288903795215,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,12,1.7119648410236044,0.8742181903905147,0.2153340356917637,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,23,1.5300181798960488,0.9438856286789935,0.0858560082745774,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,46,1.430672917311101,1.0120492009949407,-0.017238465538699586,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,138,1.3219597535250718,1.0621405065278342,-0.08214724869345882,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,345,1.2268554714356799,1.0544202520405481,-0.06676578397285518,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,1379,1.0459490460855796,1.0912916258034375,-0.09548638892470716,,
ES,GLOBEX,B1,1day,E2,5,2.0214334056908165,2.0492886684951888,-2.1210671667090115,,
ES,GLOBEX,B1,1day,E2,6,2.0614722980778666,0.6274647898205018,0.7679710158436512,,
ES,GLOBEX,B1,1day,E2,10,1.733752892535443,0.6960923422464524,0.5269007806938846,,
ES,GLOBEX,B1,1day,E2,12,1.7119648410236044,0.7227917636005602,0.4745707543580007,,
ES,GLOBEX,B1,1day,E2,23,1.5300181798960488,0.7846058246645399,0.3295570041069711,,
ES,GLOBEX,B1,1day,E2,46,1.430672917311101,0.8227973694403543,0.25351900441796954,,
ES,GLOBEX,B1,1day,E2,138,1.3219597535250718,0.8562153533337382,0.19007751606762097,,
ES,GLOBEX,B1,1day,E2,345,1.2268554714356799,0.8602218117140847,0.17148763508594178,,
ES,GLOBEX,B1,1day,E2,1379,1.0459490460855796,0.8444567409259516,0.16269032345354312,,
ES,GLOBEX,B1,1day,E4,5,2.0214334056908165,0.8339331118049941,0.3356931553765069,,
ES,GLOBEX,B1,1day,E4,6,2.0614722980778666,0.8526728808412853,0.3037107749013072,,
ES,GLOBEX,B1,1day,E4,10,1.733752892535443,0.8726760772982756,0.2207482192730739,,
ES,GLOBEX,B1,1day,E4,12,1.7119648410236044,0.8837140894909753,0.19907739029786756,,
ES,GLOBEX,B1,1day,E4,23,1.5300181798960488,0.912841278741038,0.13335442806270403,,
ES,GLOBEX,B1,1day,E4,46,1.430672917311101,0.942006605589861,0.0829695787655268,,
ES,GLOBEX,B1,1day,E4,138,1.3219597535250718,0.9724431250664376,0.03642907959509338,,
ES,GLOBEX,B1,1day,E4,345,1.2268554714356799,0.9852904051910725,0.018046546873934612,,
ES,GLOBEX,B1,1day,E4,1379,1.0459490460855796,0.9940315923966,0.006242650239426156,,
ES,GLOBEX,B1,1day,E4_asS05,5,2.0214334056908165,0.9986609319963369,0.002706836795096352,,
ES,GLOBEX,B1,1day,E4_asS05,6,2.0614722980778666,0.8849347752440238,0.23720377330654857,,
ES,GLOBEX,B1,1day,E4_asS05,10,1.733752892535443,0.8934685562197716,0.1846991987999479,,
ES,GLOBEX,B1,1day,E4_asS05,12,1.7119648410236044,0.9059299388934985,0.1610446372072726,,
ES,GLOBEX,B1,1day,E4_asS05,23,1.5300181798960488,0.9337997119503374,0.10128764423033892,,
ES,GLOBEX,B1,1day,E4_asS05,46,1.430672917311101,0.9603152246881925,0.05677593326817916,,
ES,GLOBEX,B1,1day,E4_asS05,138,1.3219597535250718,0.9854463317582554,0.019239363681742415,,
ES,GLOBEX,B1,1day,E4_asS05,345,1.2268554714356799,0.9934812949562922,0.007997508949548244,,
ES,GLOBEX,B1,1day,E4_asS05,1379,1.0459490460855796,0.9980677545235572,0.002021030312888495,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-5,5,1.9032951015076205,0.5271373089299134,0.899997243599407,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-5,6,1.908129701335428,0.5383825532164023,0.8808259608624092,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-5,10,1.5455114440776194,0.6689464604750905,0.51164703393815,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-5,12,1.5747649063393498,0.6456484993678909,0.5580203077041314,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-5,23,1.3674164774385906,0.7413058246543943,0.3537426779849692,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-5,46,1.2827947530383816,0.7867368896377892,0.2735727989892893,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-5,138,1.1919436636551204,0.8353646815307392,0.19623602466327825,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-5,345,1.1347261358242071,0.8507039260633641,0.16941015707184398,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-5,1379,1.0759255735059792,0.8668440933129714,0.1432658452679499,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-10,5,1.9032951015076205,0.5259104957832378,0.9023322310519399,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-10,6,1.908129701335428,0.540702576916122,0.8763990547331718,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-10,10,1.5455114440776194,0.6530990813788651,0.5361393396900029,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-10,12,1.5747649063393498,0.6393577030463974,0.567926832984148,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-10,23,1.3674164774385906,0.7308901687946393,0.36798521743092805,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-10,46,1.2827947530383816,0.7675795440754404,0.2981477413588135,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-10,138,1.1919436636551204,0.8153408279941882,0.2201033300081284,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-10,345,1.1347261358242071,0.8285878819158179,0.19450581038710665,,
NQ,GLOBEX,B0,1day,E1_a_exp_L1-10,1379,1.0759255735059792,0.8431568876978951,0.16875151555410492,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-5,5,1.9032951015076205,0.5842301572704283,0.7913327050217877,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-5,6,1.908129701335428,0.587947430217549,0.7862497469134837,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-5,10,1.5455114440776194,0.765818811198083,0.36192970728106433,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-5,12,1.5747649063393498,0.7282096867151088,0.4280058472440243,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-5,23,1.3674164774385906,0.8423586974747608,0.21556131459789382,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-5,46,1.2827947530383816,0.9086203259395025,0.11722136641916373,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-5,138,1.1919436636551204,0.9411006964495755,0.07020465166062802,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-5,345,1.1347261358242071,0.9667151450236546,0.03776919486877751,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-5,1379,1.0759255735059792,0.9850380439998032,0.016097951090282954,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-10,5,1.9032951015076205,0.6829938172141847,0.6033563148438715,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-10,6,1.908129701335428,0.6700554446918273,0.6295770057774341,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-10,10,1.5455114440776194,0.835141138923285,0.25479125645166545,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-10,12,1.5747649063393498,0.7926979722576469,0.3264519583016439,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-10,23,1.3674164774385906,0.9204416546417455,0.10878939236062715,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-10,46,1.2827947530383816,0.9666342177089714,0.04280145045395244,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-10,138,1.1919436636551204,1.0266937061373178,-0.03181739388984776,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-10,345,1.1347261358242071,1.0589560226438424,-0.0668989397582117,,
NQ,GLOBEX,B0,1day,E1_d_model_L1-10,1379,1.0759255735059792,1.0775261308870787,-0.08341234683637977,,
NQ,GLOBEX,B0,1day,E2,5,1.9032951015076205,0.5535334536076925,0.8497575907355037,,
NQ,GLOBEX,B0,1day,E2,6,1.908129701335428,0.6077689799625419,0.7484276591185652,,
NQ,GLOBEX,B0,1day,E2,10,1.5455114440776194,0.6670745695591237,0.5145400627708417,,
NQ,GLOBEX,B0,1day,E2,12,1.5747649063393498,0.6869904130760759,0.4929165128355719,,
NQ,GLOBEX,B0,1day,E2,23,1.3674164774385906,0.7752884188848818,0.30727431868809113,,
NQ,GLOBEX,B0,1day,E2,46,1.2827947530383816,0.8197376203304609,0.23123963481029736,,
NQ,GLOBEX,B0,1day,E2,138,1.1919436636551204,0.8615537402151943,0.1650201421072499,,
NQ,GLOBEX,B0,1day,E2,345,1.1347261358242071,0.8734468177431017,0.1436032034786268,,
NQ,GLOBEX,B0,1day,E2,1379,1.0759255735059792,0.8763327663913454,0.13305673924428962,,
NQ,GLOBEX,B0,1day,E4,5,1.9032951015076205,0.8187370111281171,0.34499695880448494,,
NQ,GLOBEX,B0,1day,E4,6,1.908129701335428,0.8359983157187932,0.3129364848460062,,
NQ,GLOBEX,B0,1day,E4,10,1.5455114440776194,0.8500099113268427,0.23181139854258156,,
NQ,GLOBEX,B0,1day,E4,12,1.5747649063393498,0.863503691633035,0.2149495962611707,,
NQ,GLOBEX,B0,1day,E4,23,1.3674164774385906,0.8947374995098529,0.14393767762661483,,
NQ,GLOBEX,B0,1day,E4,46,1.2827947530383816,0.9253760732544234,0.09572718168034623,,
NQ,GLOBEX,B0,1day,E4,138,1.1919436636551204,0.9631457447605009,0.043928196011449525,,
NQ,GLOBEX,B0,1day,E4,345,1.1347261358242071,0.9808797714384321,0.021696223071743605,,
NQ,GLOBEX,B0,1day,E4,1379,1.0759255735059792,0.9925462531774807,0.008019676824787462,,
NQ,GLOBEX,B0,1day,E4_asS05,5,1.9032951015076205,0.8691012950315326,0.24913886396017532,,
NQ,GLOBEX,B0,1day,E4_asS05,6,1.908129701335428,0.8708208743312067,0.2464905264811663,,
NQ,GLOBEX,B0,1day,E4_asS05,10,1.5455114440776194,0.8825270486392941,0.18155579069754452,,
NQ,GLOBEX,B0,1day,E4_asS05,12,1.5747649063393498,0.8957692541523851,0.1641389207223999,,
NQ,GLOBEX,B0,1day,E4_asS05,23,1.3674164774385906,0.9223493241482954,0.10618081364386374,,
NQ,GLOBEX,B0,1day,E4_asS05,46,1.2827947530383816,0.9553340789518657,0.05729720916017326,,
NQ,GLOBEX,B0,1day,E4_asS05,138,1.1919436636551204,0.9830187788438903,0.020240658958151202,,
NQ,GLOBEX,B0,1day,E4_asS05,345,1.1347261358242071,0.9926113343310687,0.00838411204340335,,
NQ,GLOBEX,B0,1day,E4_asS05,1379,1.0759255735059792,0.99802517980558,0.0021247595502524937,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-5,5,1.8991211834437822,0.5361402560865548,0.8809258658128318,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-5,6,1.9039529265724109,0.5424125247747853,0.8712250126179281,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-5,10,1.5798563754025008,0.6686160582517249,0.5235390330770234,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-5,12,1.5800938777259734,0.6491609617782467,0.5543586163614612,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-5,23,1.3807796713813238,0.7466800701892061,0.349779009438488,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-5,46,1.289831249860521,0.7883317413379489,0.2730163346258734,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-5,138,1.2003968480859935,0.8347606590345557,0.19835278407472617,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-5,345,1.139072020743408,0.8505353824537691,0.17025096393802583,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-5,1379,1.0807412909247482,0.8674343876467182,0.14326913102691552,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-10,5,1.8991211834437822,0.5350104385739549,0.883071526184436,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-10,6,1.9039529265724109,0.546964372213475,0.8625585093657236,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-10,10,1.5798563754025008,0.653829262710014,0.5469000462853687,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-10,12,1.5800938777259734,0.6353841567443359,0.576127261650168,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-10,23,1.3807796713813238,0.7206499733651618,0.38572083797721596,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-10,46,1.289831249860521,0.7705419667284216,0.295962141845217,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-10,138,1.2003968480859935,0.8155339739608818,0.2214324362363063,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-10,345,1.139072020743408,0.8281327619138887,0.19576916218633517,,
NQ,GLOBEX,B1,1day,E1_a_exp_L1-10,1379,1.0807412909247482,0.8437337718575688,0.1688833651305923,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-5,5,1.8991211834437822,0.5941446864170231,0.7707684234386504,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-5,6,1.9039529265724109,0.5922961872702015,0.77624886742163,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-5,10,1.5798563754025008,0.7654454353545233,0.37056252433491443,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-5,12,1.5800938777259734,0.732135382048949,0.42325124288386257,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-5,23,1.3807796713813238,0.841223656573403,0.21923514729970478,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-5,46,1.289831249860521,0.9104995159840508,0.11544052116141337,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-5,138,1.2003968480859935,0.9641267446037872,0.04306214270819767,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-5,345,1.139072020743408,0.966527808405734,0.03812723691799103,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-5,1379,1.0807412909247482,0.985717407179997,0.015435787802042574,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-10,5,1.8991211834437822,0.694824623949688,0.5795650213225697,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-10,6,1.9039529265724109,0.6577078548086064,0.6517081315799025,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-10,10,1.5798563754025008,0.8361652677392618,0.258835346274489,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-10,12,1.5800938777259734,0.7995590622555329,0.31671549857568554,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-10,23,1.3807796713813238,0.9210692012659284,0.1089860423378968,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-10,46,1.289831249860521,0.9704308609425942,0.03813919958771323,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-10,138,1.2003968480859935,1.0270111504110107,-0.03242409981655388,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-10,345,1.139072020743408,1.0583989149823692,-0.06652057009818972,,
NQ,GLOBEX,B1,1day,E1_d_model_L1-10,1379,1.0807412909247482,1.0782795406593573,-0.0845999318251901,,
NQ,GLOBEX,B1,1day,E2,5,1.8991211834437822,0.6527738013583542,0.6594246292870083,,
NQ,GLOBEX,B1,1day,E2,6,1.9039529265724109,0.6063407726932301,0.7495086379029585,,
NQ,GLOBEX,B1,1day,E2,10,1.5798563754025008,0.6606270957359934,0.5361604464403533,,
NQ,GLOBEX,B1,1day,E2,12,1.5800938777259734,0.6891351790681358,0.49119560035481963,,
NQ,GLOBEX,B1,1day,E2,23,1.3807796713813238,0.7743818458587616,0.31152896073280006,,
NQ,GLOBEX,B1,1day,E2,46,1.289831249860521,0.8204186645996436,0.23162961829106307,,
NQ,GLOBEX,B1,1day,E2,138,1.2003968480859935,0.8612730685490555,0.16652737125835546,,
NQ,GLOBEX,B1,1day,E2,345,1.139072020743408,0.8726067507029949,0.14511008590580837,,
NQ,GLOBEX,B1,1day,E2,1379,1.0807412909247482,0.8745550986722822,0.1355734846008454,,
NQ,GLOBEX,B1,1day,E4,5,1.8991211834437822,0.8185490058448828,0.34459742675691707,,
NQ,GLOBEX,B1,1day,E4,6,1.9039529265724109,0.8359728797443574,0.3122999156479755,,
NQ,GLOBEX,B1,1day,E4,10,1.5798563754025008,0.8541357803227718,0.23044451740017985,,
NQ,GLOBEX,B1,1day,E4,12,1.5800938777259734,0.8651204419236131,0.21312236394688375,,
NQ,GLOBEX,B1,1day,E4,23,1.3807796713813238,0.8960224929483268,0.1435700280178586,,
NQ,GLOBEX,B1,1day,E4,46,1.289831249860521,0.9271829265948401,0.09392173680136263,,
NQ,GLOBEX,B1,1day,E4,138,1.2003968480859935,0.9648497579840946,0.04219423972535275,,
NQ,GLOBEX,B1,1day,E4,345,1.139072020743408,0.9809250495385227,0.021727742367735392,,
NQ,GLOBEX,B1,1day,E4,1379,1.0807412909247482,0.992647308749938,0.0079463570333631,,
NQ,GLOBEX,B1,1day,E4_asS05,5,1.8991211834437822,0.8680554463336004,0.25057869690789436,,
NQ,GLOBEX,B1,1day,E4_asS05,6,1.9039529265724109,0.8747576896456972,0.23845546332976494,,
NQ,GLOBEX,B1,1day,E4_asS05,10,1.5798563754025008,0.8853174701914498,0.1811819258653254,,
