root,geom,btag,horizon,reference,M,n_ref_nonpositive,var_log_ref,var_log_rv,lam_ref,elasticity,elasticity_r2,n_dropped
ES,GLOBEX,B1,1day,kernel,1379,0,1.2941336015651725,1.0459490460855796,1.2372816882508888,-0.9693403794865191,0.9739599518525027,2
ES,GLOBEX,B1,1day,tsrv,5,0,1.294097012143162,2.0214334056908165,0.6401878036149846,-0.9690077651102632,0.974002744456208,2
ES,GLOBEX,B1,1day,tsrv,6,0,1.294097012143162,2.0614722980778666,0.6277537725584712,-0.9690077651102632,0.974002744456208,2
ES,GLOBEX,B1,1day,tsrv,10,0,1.294097012143162,1.733752892535443,0.7464137581052122,-0.9690077651102632,0.974002744456208,2
ES,GLOBEX,B1,1day,tsrv,12,0,1.294097012143162,1.7119648410236044,0.7559133114961671,-0.9690077651102632,0.974002744456208,2
ES,GLOBEX,B1,1day,tsrv,23,0,1.294097012143162,1.5300181798960488,0.8458049905204946,-0.9690077651102632,0.974002744456208,2
ES,GLOBEX,B1,1day,tsrv,46,0,1.294097012143162,1.430672917311101,0.9045372960406433,-0.9690077651102632,0.974002744456208,2
ES,GLOBEX,B1,1day,tsrv,138,0,1.294097012143162,1.3219597535250718,0.9789231545759148,-0.9690077651102632,0.974002744456208,2
ES,GLOBEX,B1,1day,tsrv,345,0,1.294097012143162,1.2268554714356799,1.0548080375178956,-0.9690077651102632,0.974002744456208,2
ES,GLOBEX,B1,1day,tsrv,1379,0,1.294097012143162,1.0459490460855796,1.2372467062198353,-0.9690077651102632,0.974002744456208,2
NQ,GLOBEX,B0,1day,kernel,5,0,1.1535268289162492,1.9032951015076205,0.6060683012332287,-0.8951063568370419,0.9898087075968532,2
NQ,GLOBEX,B0,1day,kernel,6,0,1.1535268289162492,1.908129701335428,0.6045327149978009,-0.8951063568370419,0.9898087075968532,2
NQ,GLOBEX,B0,1day,kernel,10,0,1.1535268289162492,1.5455114440776194,0.7463722338236638,-0.8951063568370419,0.9898087075968532,2
NQ,GLOBEX,B0,1day,kernel,12,0,1.1535268289162492,1.5747649063393498,0.7325073249172807,-0.8951063568370419,0.9898087075968532,2
NQ,GLOBEX,B0,1day,kernel,23,0,1.1535268289162492,1.3674164774385906,0.8435811970592939,-0.8951063568370419,0.9898087075968532,2
NQ,GLOBEX,B0,1day,kernel,46,0,1.1535268289162492,1.2827947530383816,0.8992294567654311,-0.8951063568370419,0.9898087075968532,2
NQ,GLOBEX,B0,1day,kernel,138,0,1.1535268289162492,1.1919436636551204,0.9677695885214364,-0.8951063568370419,0.9898087075968532,2
NQ,GLOBEX,B0,1day,kernel,345,0,1.1535268289162492,1.1347261358242071,1.016568485115914,-0.8951063568370419,0.9898087075968532,2
NQ,GLOBEX,B0,1day,kernel,1379,0,1.1535268289162492,1.0759255735059792,1.0721251147116069,-0.8951063568370419,0.9898087075968532,2
NQ,GLOBEX,B0,1day,tsrv,5,0,1.1536864052606006,1.9032951015076205,0.6061521433784772,-0.8961820362833663,0.9897575312052788,2
NQ,GLOBEX,B0,1day,tsrv,6,0,1.1536864052606006,1.908129701335428,0.6046163447134537,-0.8961820362833663,0.9897575312052788,2
NQ,GLOBEX,B0,1day,tsrv,10,0,1.1536864052606006,1.5455114440776194,0.7464754853039184,-0.8961820362833663,0.9897575312052788,2
NQ,GLOBEX,B0,1day,tsrv,12,0,1.1536864052606006,1.5747649063393498,0.7326086583567731,-0.8961820362833663,0.9897575312052788,2
NQ,GLOBEX,B0,1day,tsrv,23,0,1.1536864052606006,1.3674164774385906,0.8436978962120277,-0.8961820362833663,0.9897575312052788,2
NQ,GLOBEX,B0,1day,tsrv,46,0,1.1536864052606006,1.2827947530383816,0.8993538541750505,-0.8961820362833663,0.9897575312052788,2
NQ,GLOBEX,B0,1day,tsrv,138,0,1.1536864052606006,1.1919436636551204,0.9679034676209418,-0.8961820362833663,0.9897575312052788,2
NQ,GLOBEX,B0,1day,tsrv,345,0,1.1536864052606006,1.1347261358242071,1.016709114946596,-0.8961820362833663,0.9897575312052788,2
NQ,GLOBEX,B0,1day,tsrv,1379,0,1.1536864052606006,1.0759255735059792,1.072273430123268,-0.8961820362833663,0.9897575312052788,2
NQ,GLOBEX,B1,1day,kernel,5,0,1.1577888231088276,1.8991211834437822,0.6096445204246232,-0.8680783632512935,0.993179083949578,2
NQ,GLOBEX,B1,1day,kernel,6,0,1.1577888231088276,1.9039529265724109,0.6080973993370391,-0.8680783632512935,0.993179083949578,2
NQ,GLOBEX,B1,1day,kernel,10,0,1.1577888231088276,1.5798563754025008,0.7328443529012928,-0.8680783632512935,0.993179083949578,2
NQ,GLOBEX,B1,1day,kernel,12,0,1.1577888231088276,1.5800938777259734,0.7327341998027893,-0.8680783632512935,0.993179083949578,2
NQ,GLOBEX,B1,1day,kernel,23,0,1.1577888231088276,1.3807796713813238,0.838503670864869,-0.8680783632512935,0.993179083949578,2
NQ,GLOBEX,B1,1day,kernel,46,0,1.1577888231088276,1.289831249860521,0.8976281379707833,-0.8680783632512935,0.993179083949578,2
NQ,GLOBEX,B1,1day,kernel,138,0,1.1577888231088276,1.2003968480859935,0.9645050509378599,-0.8680783632512935,0.993179083949578,2
NQ,GLOBEX,B1,1day,kernel,345,0,1.1577888231088276,1.139072020743408,1.016431623307896,-0.8680783632512935,0.993179083949578,2
NQ,GLOBEX,B1,1day,kernel,1379,0,1.1577888231088276,1.0807412909247482,1.0712913745695354,-0.8680783632512935,0.993179083949578,2
NQ,GLOBEX,B1,1day,tsrv,5,0,1.1578119803563467,1.8991211834437822,0.6096567140896305,-0.868219350077184,0.9931727908944085,2
NQ,GLOBEX,B1,1day,tsrv,6,0,1.1578119803563467,1.9039529265724109,0.6081095620576589,-0.868219350077184,0.9931727908944085,2
NQ,GLOBEX,B1,1day,tsrv,10,0,1.1578119803563467,1.5798563754025008,0.7328590107194841,-0.868219350077184,0.9931727908944085,2
NQ,GLOBEX,B1,1day,tsrv,12,0,1.1578119803563467,1.5800938777259734,0.7327488554177788,-0.868219350077184,0.9931727908944085,2
NQ,GLOBEX,B1,1day,tsrv,23,0,1.1578119803563467,1.3807796713813238,0.8385204420036677,-0.868219350077184,0.9931727908944085,2
NQ,GLOBEX,B1,1day,tsrv,46,0,1.1578119803563467,1.289831249860521,0.8976460916740462,-0.868219350077184,0.9931727908944085,2
NQ,GLOBEX,B1,1day,tsrv,138,0,1.1578119803563467,1.2003968480859935,0.9645243422643541,-0.868219350077184,0.9931727908944085,2
NQ,GLOBEX,B1,1day,tsrv,345,0,1.1578119803563467,1.139072020743408,1.0164519532318144,-0.868219350077184,0.9931727908944085,2
NQ,GLOBEX,B1,1day,tsrv,1379,0,1.1578119803563467,1.0807412909247482,1.071312801758182,-0.868219350077184,0.9931727908944085,2
ES,RTH,B0,1day,kernel,5,0,1.307574652020492,1.9488508622192238,0.670946493325565,-1.291912819249394,0.9899149117553789,3
ES,RTH,B0,1day,kernel,6,0,1.307574652020492,1.8260915595278078,0.7160509806850023,-1.291912819249394,0.9899149117553789,3
ES,RTH,B0,1day,kernel,10,0,1.307574652020492,1.6040631157317915,0.8151640912358751,-1.291912819249394,0.9899149117553789,3
ES,RTH,B0,1day,kernel,13,0,1.307574652020492,1.5283148259668886,0.8555662941980915,-1.291912819249394,0.9899149117553789,3
ES,RTH,B0,1day,kernel,26,0,1.307574652020492,1.3813160554355983,0.9466151116358001,-1.291912819249394,0.9899149117553789,3
ES,RTH,B0,1day,kernel,78,0,1.307574652020492,1.2879430297423513,1.0152426169673576,-1.291912819249394,0.9899149117553789,3
ES,RTH,B0,1day,kernel,195,0,1.307574652020492,1.1822887198092387,1.1059689821209393,-1.291912819249394,0.9899149117553789,3
ES,RTH,B0,1day,kernel,389,0,1.307574652020492,1.090467395405732,1.1990955965574566,-1.291912819249394,0.9899149117553789,3
ES,RTH,B0,1day,tsrv,5,0,1.3221621196461852,1.9488508622192238,0.6784316569717365,-1.406200249777909,0.9840498854958507,3
ES,RTH,B0,1day,tsrv,6,0,1.3221621196461852,1.8260915595278078,0.7240393356771612,-1.406200249777909,0.9840498854958507,3
ES,RTH,B0,1day,tsrv,10,0,1.3221621196461852,1.6040631157317915,0.824258164581635,-1.406200249777909,0.9840498854958507,3
ES,RTH,B0,1day,tsrv,13,0,1.3221621196461852,1.5283148259668886,0.8651110996124238,-1.406200249777909,0.9840498854958507,3
ES,RTH,B0,1day,tsrv,26,0,1.3221621196461852,1.3813160554355983,0.9571756691333332,-1.406200249777909,0.9840498854958507,3
ES,RTH,B0,1day,tsrv,78,0,1.3221621196461852,1.2879430297423513,1.026568791564235,-1.406200249777909,0.9840498854958507,3
ES,RTH,B0,1day,tsrv,195,0,1.3221621196461852,1.1822887198092387,1.1183073114826936,-1.406200249777909,0.9840498854958507,3
ES,RTH,B0,1day,tsrv,389,0,1.3221621196461852,1.090467395405732,1.2124728581676174,-1.406200249777909,0.9840498854958507,3
ES,RTH,B1,1day,kernel,5,0,1.3192638511440269,1.971067250843463,0.6693144795437522,-1.3401727830958206,0.9880480279745308,3
ES,RTH,B1,1day,kernel,6,0,1.3192638511440269,1.8424833951475572,0.7160248253083292,-1.3401727830958206,0.9880480279745308,3
ES,RTH,B1,1day,kernel,10,0,1.3192638511440269,1.6110380074526773,0.8188905817498405,-1.3401727830958206,0.9880480279745308,3
ES,RTH,B1,1day,kernel,13,0,1.3192638511440269,1.5395361920738684,0.8569229212902632,-1.3401727830958206,0.9880480279745308,3
ES,RTH,B1,1day,kernel,26,0,1.3192638511440269,1.3880202216140394,0.950464431714071,-1.3401727830958206,0.9880480279745308,3
ES,RTH,B1,1day,kernel,78,0,1.3192638511440269,1.296075064084177,1.0178915463328009,-1.3401727830958206,0.9880480279745308,3
ES,RTH,B1,1day,kernel,195,0,1.3192638511440269,1.1909780923944289,1.107714625121007,-1.3401727830958206,0.9880480279745308,3
ES,RTH,B1,1day,kernel,389,0,1.3192638511440269,1.0981077479095862,1.201397452713948,-1.3401727830958206,0.9880480279745308,3
ES,RTH,B1,1day,tsrv,5,0,1.318447394596061,1.971067250843463,0.6689002590002286,-1.33406361136883,0.9883481991942217,3
