root,geom,btag,M,variant,median,ref_2overM,med_over_ref,trigamma,median_over_trigamma,p95,share_gt10x_med
NQ,GLOBEX,B1,46,RQ_RV,0.0772810014444478,0.0434782608695652,1.7774630332223007,0.044437133536578646,1.7391086079130995,0.1974228593041968,0.0
NQ,GLOBEX,B1,46,TQ_BV,0.0604364896992728,0.0434782608695652,1.390039263083276,0.044437133536578646,1.3600447393737538,0.1273747482980277,0.0
NQ,GLOBEX,B1,46,TRQ3_TRV3,0.0564531902809397,0.0434782608695652,1.2984233764616149,0.044437133536578646,1.270405757258622,0.0900466077032318,0.0
NQ,GLOBEX,B1,46,TRQ5_TRV5,0.0722673570351228,0.0434782608695652,1.6621492118078256,0.044437133536578646,1.6262830494148675,0.134109076102943,0.0
NQ,GLOBEX,B1,46,TRQ10_TRV10,0.0772810014444478,0.0434782608695652,1.7774630332223007,0.044437133536578646,1.7391086079130995,0.1942709532364548,0.0
NQ,GLOBEX,B1,46,MEDRQ_MEDRV,0.0653642592880105,0.0434782608695652,1.503377963624243,0.044437133536578646,1.4709377965211365,0.1484403297425013,0.0
NQ,GLOBEX,B1,138,RQ_RV,0.0334122369115247,0.0144927536231884,2.305444346895208,0.014598280898442317,2.288778873619968,0.0880081975782131,0.0005133470225872
NQ,GLOBEX,B1,138,TQ_BV,0.0272332048549271,0.0144927536231884,1.879091134989976,0.014598280898442317,1.8655076610995318,0.0595303416980845,0.0
NQ,GLOBEX,B1,138,TRQ3_TRV3,0.0203048252478369,0.0144927536231884,1.4010329421007526,0.014598280898442317,1.3909052298071267,0.0291657286085855,0.0
NQ,GLOBEX,B1,138,TRQ5_TRV5,0.0286142762021797,0.0144927536231884,1.9743850579504032,0.014598280898442317,1.960112728426327,0.0465386645151006,0.0
NQ,GLOBEX,B1,138,TRQ10_TRV10,0.0333949238244081,0.0144927536231884,2.304249743884159,0.014598280898442317,2.2875929060915277,0.0843689655889346,0.0
NQ,GLOBEX,B1,138,MEDRQ_MEDRV,0.0289870250842738,0.0144927536231884,2.0001047308148925,0.014598280898442317,1.9856464802897995,0.0711113056073732,0.0
NQ,GLOBEX,B1,345,RQ_RV,0.0160933363886947,0.0057971014492753,2.776100527049843,0.005813937111601127,2.768061655944311,0.0515950454916156,0.0082135523613963
NQ,GLOBEX,B1,345,TQ_BV,0.0127514539232714,0.0057971014492753,2.1996258017643298,0.005813937111601127,2.193256252776996,0.0297705596723011,0.0
NQ,GLOBEX,B1,345,TRQ3_TRV3,0.0083811374009343,0.0057971014492753,1.445746201661174,0.005813937111601127,1.4415596935526844,0.0117140008531475,0.0
NQ,GLOBEX,B1,345,TRQ5_TRV5,0.0121193641839597,0.0057971014492753,2.0905903217330506,0.005813937111601127,2.0845365113731154,0.0176797790534745,0.0
NQ,GLOBEX,B1,345,TRQ10_TRV10,0.0158088769141115,0.0057971014492753,2.7270312676842385,0.005813937111601127,2.71913448849773,0.0365122522949556,0.0
NQ,GLOBEX,B1,345,MEDRQ_MEDRV,0.0138256210546588,0.0057971014492753,2.3849196319286454,0.005813937111601127,2.3780135198007497,0.0329495575863836,0.0
NQ,GLOBEX,B1,1380,RQ_RV,0.0047769760070429,0.0014492753623188,3.2961134448596607,0.0014503260691993117,3.2937255342035927,0.0211538433988632,0.0133470225872689
NQ,GLOBEX,B1,1380,TQ_BV,0.0039212440791086,0.0014492753623188,2.7056584145849754,0.0014503260691993117,2.7036982664687392,0.0099037199851573,0.0025667351129363
NQ,GLOBEX,B1,1380,TRQ3_TRV3,0.0021273948397019,0.0014492753623188,1.4679024393943627,0.0014503260691993117,1.4668389990923771,0.0028632565624578,0.0
NQ,GLOBEX,B1,1380,TRQ5_TRV5,0.003101159807795,0.0014492753623188,2.1398002673786043,0.0014503260691993117,2.1382500622822507,0.0042152541228322,0.0
NQ,GLOBEX,B1,1380,TRQ10_TRV10,0.0045394214839817,0.0014492753623188,3.1322008239474104,0.0014503260691993117,3.129931661841947,0.0080910204125234,0.0
NQ,GLOBEX,B1,1380,MEDRQ_MEDRV,0.0040558695004064,0.0014492753623188,2.7985499552804725,0.0014503260691993117,2.7965225107244627,0.010245986888537,0.0061601642710472
ES,RTH,B0,13,RQ_RV,0.1412414565131088,0.1538461538461538,0.9180694673352072,0.16628453574995827,0.8493962224213879,0.2854614625332195,0.0
