root,geom,btag,horizon,estimator,elasticity_raw,r2_raw,elasticity_noise_corrected,r2_corrected,shift,mean_delta,mean_var_log,delta_share_of_var
ES,RTH,B0,1day,E1_d_model_L1-5,-0.8435308237409708,0.9825437370696242,-0.9278653228013178,0.9838477322254314,-0.08433449906034707,0.0039939893755510285,1.4811669454798289,0.0035080472482699565
ES,RTH,B0,1day,E1_d_model_L1-10,-1.6237074943583762,0.9802502050342368,-1.6330995261169492,0.9805365026628244,-0.00939203175857295,0.0039939893755510285,1.4811669454798289,0.0035080472482699565
ES,RTH,B0,1day,E2,-0.3702899586142057,0.8937119798598467,-0.41146191282083494,0.9380673370074057,-0.041171954206629224,0.0039939893755510285,1.4811669454798289,0.0035080472482699565
ES,RTH,B0,1day,E4,-0.7044242036543622,0.9960670042886957,-0.8277667713439373,0.9685761444553822,-0.12334256768957508,0.0039939893755510285,1.4811669454798289,0.0035080472482699565
ES,RTH,B0,1day,E4_asS05,-0.33350109232472747,0.10269324050829776,-0.45086943696243337,0.09867325841754948,-0.1173683446377059,0.0039939893755510285,1.4811669454798289,0.0035080472482699565
ES,RTH,B1,1day,E1_a_exp_L1-5,-0.3156227614198179,0.8750726804763783,-0.3437869639988511,0.9132639847851893,-0.028164202579033237,0.00419271568633531,1.4921632464399746,0.003655775149624848
ES,RTH,B1,1day,E1_a_exp_L1-10,-0.2906875102281309,0.8935692585105649,-0.3145954186007152,0.9243303408516325,-0.02390790837258433,0.00419271568633531,1.4921632464399746,0.003655775149624848
ES,RTH,B1,1day,E1_d_model_L1-5,-0.8166574197444809,0.9795749637480473,-0.9119335681215585,0.9811721883450216,-0.09527614837707754,0.00419271568633531,1.4921632464399746,0.003655775149624848
ES,RTH,B1,1day,E1_d_model_L1-10,-1.6711769399568202,0.9820453330095672,-1.6809418818041306,0.9823578112539126,-0.009764941847310471,0.00419271568633531,1.4921632464399746,0.003655775149624848
ES,RTH,B1,1day,E2,-0.36546592985183746,0.9002030463265701,-0.40910552511515647,0.9457309873236099,-0.04363959526331901,0.00419271568633531,1.4921632464399746,0.003655775149624848
ES,RTH,B1,1day,E4,-0.7058426977011333,0.9960402532720493,-0.8398293071462118,0.9664790058170352,-0.13398660944507856,0.00419271568633531,1.4921632464399746,0.003655775149624848
ES,RTH,B1,1day,E4_asS05,-0.3331239281153991,0.10279677760135209,-0.48386255904404507,0.11005545327126365,-0.15073863092864598,0.00419271568633531,1.4921632464399746,0.003655775149624848
NQ,RTH,B0,1day,E1_a_exp_L1-5,-0.37307115454590073,0.9156016132723953,-0.37457070606756526,0.9173220966965777,-0.0014995515216645328,0.00021661064448597926,1.3418105892272398,0.00020392223675921563
NQ,RTH,B0,1day,E1_a_exp_L1-10,-0.33416797443079194,0.9127302018449938,-0.33545132459398835,0.9144200765795382,-0.0012833501631964173,0.00021661064448597926,1.3418105892272398,0.00020392223675921563
NQ,RTH,B0,1day,E1_d_model_L1-5,-1.013909188158322,0.9929855509372019,-1.044213617365342,0.9884760947196594,-0.030304429207020034,0.00021661064448597926,1.3418105892272398,0.00020392223675921563
