root,geom,btag,horizon,M,variant,n,n_Q_zero,n_Q_lt_1e14,n_P_zero,n_P_lt_1e14,min_Q,min_P
ES,GLOBEX,B1,1day,23,TRQ3_TRV3,1953,0,0,0,0,8.916511440472692e-13,9.916520866681822e-07
ES,GLOBEX,B1,1day,23,TRQ5_TRV5,1953,0,0,0,0,2.476066800357696e-12,1.7486870547145372e-06
ES,GLOBEX,B1,1day,23,TRQ10_TRV10,1953,0,0,0,0,2.476066800357696e-12,1.7486870547145372e-06
ES,GLOBEX,B1,1day,23,MEDRQ_MEDRV,1953,0,0,0,0,8.004250790929204e-13,9.007588392158087e-07
ES,GLOBEX,B1,1day,46,RQ_RV,1953,0,0,0,0,4.886787456292308e-12,2.0840698198298924e-06
ES,GLOBEX,B1,1day,46,TQ_BV,1953,0,0,0,0,3.584489942234213e-12,1.8649990973967497e-06
ES,GLOBEX,B1,1day,46,TRQ3_TRV3,1953,0,0,0,0,4.180336355902111e-12,1.741802634569467e-06
ES,GLOBEX,B1,1day,46,TRQ5_TRV5,1953,0,0,0,0,4.886787456292308e-12,2.0840698198298924e-06
ES,GLOBEX,B1,1day,46,TRQ10_TRV10,1953,0,0,0,0,4.886787456292308e-12,2.0840698198298924e-06
ES,GLOBEX,B1,1day,46,MEDRQ_MEDRV,1953,0,0,0,0,4.338796627665034e-12,1.9140409937517622e-06
ES,GLOBEX,B1,1day,138,RQ_RV,1953,0,0,0,0,1.1994274238864584e-11,2.9731572794844396e-06
ES,GLOBEX,B1,1day,138,TQ_BV,1953,0,0,0,0,8.17032432869196e-12,2.459719339352492e-06
ES,GLOBEX,B1,1day,138,TRQ3_TRV3,1953,0,0,0,0,5.105608035671744e-12,2.1541413843806367e-06
ES,GLOBEX,B1,1day,138,TRQ5_TRV5,1953,0,0,0,0,7.272396180603492e-12,2.417972837065463e-06
ES,GLOBEX,B1,1day,138,TRQ10_TRV10,1953,0,0,0,0,1.1994274238864584e-11,2.9731572794844396e-06
ES,GLOBEX,B1,1day,138,MEDRQ_MEDRV,1953,0,0,0,0,8.348591037455135e-12,2.6184020642330646e-06
ES,GLOBEX,B1,1day,345,RQ_RV,1953,0,0,0,0,1.4776216909697836e-11,3.356068191351369e-06
ES,GLOBEX,B1,1day,345,TQ_BV,1953,0,0,0,0,1.6474319888832818e-11,3.2499737673096397e-06
ES,GLOBEX,B1,1day,345,TRQ3_TRV3,1953,0,0,0,0,1.0077238413709111e-11,3.0327917102113133e-06
ES,GLOBEX,B1,1day,345,TRQ5_TRV5,1953,0,0,0,0,1.4776216909697836e-11,3.356068191351369e-06
ES,GLOBEX,B1,1day,345,TRQ10_TRV10,1953,0,0,0,0,1.4776216909697836e-11,3.356068191351369e-06
ES,GLOBEX,B1,1day,345,MEDRQ_MEDRV,1953,0,0,0,0,1.960774368655723e-11,3.5838257506781417e-06
NQ,GLOBEX,B0,1day,5,RQ_RV,1948,0,0,0,0,1.2601680662416206e-13,4.307676135795191e-07
NQ,GLOBEX,B0,1day,5,TQ_BV,1948,12,12,0,0,0.0,3.2420279006181124e-07
NQ,GLOBEX,B0,1day,5,TRQ3_TRV3,1948,0,2,0,0,9.3208699413214e-17,1.0348230716772377e-08
NQ,GLOBEX,B0,1day,5,TRQ5_TRV5,1948,0,1,0,0,2.7357131772189828e-15,4.216872184770182e-08
NQ,GLOBEX,B0,1day,5,TRQ10_TRV10,1948,0,0,0,0,3.532151760032049e-14,2.630777089507319e-07
NQ,GLOBEX,B0,1day,5,MEDRQ_MEDRV,1948,0,0,0,0,3.166507471020801e-14,2.6204816469200115e-07
NQ,GLOBEX,B0,1day,6,RQ_RV,1948,0,0,0,0,2.0844935105144028e-13,5.462607077788562e-07
NQ,GLOBEX,B0,1day,6,TQ_BV,1948,1,2,0,0,0.0,1.5967693689963577e-07
NQ,GLOBEX,B0,1day,6,TRQ3_TRV3,1948,0,1,0,0,2.1778265608052534e-16,1.4757461030967534e-08
NQ,GLOBEX,B0,1day,6,TRQ5_TRV5,1948,0,0,0,0,1.1659266601728418e-13,2.559781933086924e-07
NQ,GLOBEX,B0,1day,6,TRQ10_TRV10,1948,0,0,0,0,2.0844935105144028e-13,5.462607077788562e-07
NQ,GLOBEX,B0,1day,6,MEDRQ_MEDRV,1948,0,1,0,0,1.2007432323271328e-15,4.4123568334069245e-08
NQ,GLOBEX,B0,1day,10,RQ_RV,1948,0,0,0,0,3.8736855194386306e-12,2.056270204775501e-06
NQ,GLOBEX,B0,1day,10,TQ_BV,1948,0,0,0,0,5.518888027702553e-13,1.083529260327004e-06
NQ,GLOBEX,B0,1day,10,TRQ3_TRV3,1948,0,0,0,0,2.0732736914872461e-13,5.399006113293581e-07
NQ,GLOBEX,B0,1day,10,TRQ5_TRV5,1948,0,0,0,0,2.0732736914872461e-13,5.399006113293581e-07
NQ,GLOBEX,B0,1day,10,TRQ10_TRV10,1948,0,0,0,0,3.8736855194386306e-12,2.056270204775501e-06
NQ,GLOBEX,B0,1day,10,MEDRQ_MEDRV,1948,0,0,0,0,2.0862711934928826e-13,5.841446411506467e-07
NQ,GLOBEX,B0,1day,12,RQ_RV,1948,0,0,0,0,3.4379584742568315e-12,2.045196197286714e-06
NQ,GLOBEX,B0,1day,12,TQ_BV,1948,0,0,0,0,1.3800764584742092e-12,8.424350908029869e-07
NQ,GLOBEX,B0,1day,12,TRQ3_TRV3,1948,0,0,0,0,6.687427165859638e-14,1.6851390682859346e-07
NQ,GLOBEX,B0,1day,12,TRQ5_TRV5,1948,0,0,0,0,3.4379584742568315e-12,2.045196197286714e-06
NQ,GLOBEX,B0,1day,12,TRQ10_TRV10,1948,0,0,0,0,3.4379584742568315e-12,2.045196197286714e-06
