root,geom,horizon,estimator,B0,B1,abs_diff,pct_diff
NQ,RTH,1h,E1_a_exp_L1-5,-0.32211220233853544,-0.3301191405623186,0.008006938223783178,2.4857606031850965
NQ,RTH,1h,E1_d_model_L1-10,-0.5471462684859985,-0.5884506992218856,0.04130443073588719,7.5490655999866645
NQ,RTH,1h,E1_d_model_L1-5,-0.6010075298645251,-0.6558033873600331,0.05479585749550797,9.117332940547294
NQ,RTH,1h,E2,-0.5308547532051413,-0.5304165557337076,0.0004381974714336989,0.08254564337758952
NQ,RTH,1h,E4,-0.677683431134601,-0.6776477198269586,3.571130764246089e-05,0.005269614985668423
NQ,RTH,1h,E4_asS05,0.862653443861716,0.8410349966065307,0.021618447255185358,2.506040798771889
NQ,RTH,30min,E1_a_exp_L1-10,-0.4051008559332277,-0.4159875026239375,0.010886646690709822,2.687391678210686
NQ,RTH,30min,E1_a_exp_L1-5,-0.7510168480798576,-0.7422368006467371,0.008780047433120441,1.1690879446404692
NQ,RTH,30min,E1_d_model_L1-10,-2.6802534268879254,-5.32625875979242,2.646005332904495,98.7222068764148
NQ,RTH,30min,E2,-0.8566366967495203,-0.8657977405912066,0.009161043841686367,1.0694199625637855
NQ,RTH,30min,E4,-0.659822989289926,-0.6584655731883761,0.0013574161015499353,0.2057242811455736
NQ,RTH,30min,E4_asS05,2.32286132524757,2.3293795472262357,0.006518221978665917,0.28061175705231595
