root,geom,btag,horizon,M,session_minutes,L_returns_per_window,M_divides_session,M_divides_L,subbar_size_min,subbar_size_max,n_stub_subbars,n_windows,var_log_rv,n_nonfinite_log,share_full_M,share_below_0p9M,mean_eff_M,mean_first_share,mean_last_share,trigamma_M_over_2,two_over_M,mean_trv_over_rv,note
ES,RTH,B1,1h,6,60,60,True,True,10,10,0,11406,2.041432479992342,0,0.9998246536910398,0.0001753463089601,5.99982465369104,0.1786884655865753,0.1576561677264309,0.3949340668482264,0.3333333333333333,0.9394459506258812,
ES,RTH,B1,1h,10,60,60,True,True,6,6,0,11406,1.825062532277394,0,0.9997369805365596,0.0001753463089601,9.9995616342276,0.1103921989369291,0.0949200322460385,0.2213229557371153,0.2,0.93946490226671,
ES,RTH,B1,1h,12,60,60,True,True,5,5,0,11406,1.7817341300035796,0,0.9997369805365596,0.0002630194634402,11.99947396107312,0.094019664861923,0.077907728943692,0.1813229557371153,0.1666666666666666,0.9397660309853736,
ES,RTH,B1,1h,15,60,60,True,True,4,4,0,11406,1.7023841219877207,0,0.9997369805365596,0.0002630194634402,14.99929861476416,0.0739899925359874,0.063612623973357,0.1426158966967038,0.1333333333333333,0.9308802986588022,
ES,RTH,B1,1h,20,60,60,True,True,3,3,0,11406,1.6386054423041794,0,0.9997369805365596,0.0002630194634402,19.99894792214624,0.0552153588088571,0.0491119270809368,0.1051663356816857,0.1,0.9248420222320072,
ES,RTH,B1,1h,30,60,60,True,True,2,2,0,11406,1.5414281872332405,0,0.9997369805365596,0.0002630194634402,29.99833421006488,0.037253735135343,0.0340560259061889,0.0689382278476838,0.0666666666666666,0.9153753829738244,
ES,RTH,B1,1h,60,60,60,True,True,1,1,0,11406,1.3740109252746957,0,0.9997369805365596,0.0002630194634402,59.99631772751184,0.01652686608503,0.0213201624883487,0.0338950603577399,0.0333333333333333,0.9030887200270212,
ES,RTH,B1,30min,5,30,30,True,True,6,6,0,22812,2.1398639066228555,0,0.9998684902682798,0.0001315097317201,4.9997808171138,0.2167221336355832,0.1964100754556871,0.4903577561002349,0.4,0.9269683469371874,
ES,RTH,B1,30min,6,30,30,True,True,5,5,0,22812,2.051544659518124,0,0.9998684902682798,0.0001315097317201,5.99973698053656,0.1834764670605137,0.1622529988978217,0.3949340668482264,0.3333333333333333,0.9326142038801128,
ES,RTH,B1,30min,10,30,30,True,True,3,3,0,22812,1.8059254615816211,0,0.9998246536910398,0.0001315097317201,9.99947396107312,0.1129623100779032,0.1037723115521907,0.2213229557371153,0.2,0.932710904460034,
ES,RTH,B1,30min,15,30,30,True,True,2,2,0,22812,1.6621173124488644,0,0.9998246536910398,0.0001315097317201,14.99916710503244,0.0788886510678056,0.0737895470020576,0.1426158966967038,0.1333333333333333,0.9289098398168076,
ES,RTH,B1,30min,30,30,30,True,True,1,1,0,22812,1.44792528542265,0,0.9998246536910398,0.0001315097317201,29.99815886375592,0.0384865275419154,0.048282080315242,0.0689382278476838,0.0666666666666666,0.917872252621101,
NQ,RTH,B0,1day,5,390,389,True,False,77,78,1,1901,1.8163782746876296,0,1.0,0.0,5.0,0.3391773000783604,0.183837052553718,0.4903577561002349,0.4,0.8880518762301018,
NQ,RTH,B0,1day,6,390,389,True,False,64,65,1,1901,1.663586383510003,0,1.0,0.0,6.0,0.308326929996272,0.1506632316982408,0.3949340668482264,0.3333333333333333,0.902979503436988,
NQ,RTH,B0,1day,10,390,389,True,False,38,39,1,1901,1.4517097176797054,0,1.0,0.0,10.0,0.2214804464107118,0.0979527406093419,0.2213229557371153,0.2,0.9071335657909924,
NQ,RTH,B0,1day,13,390,389,True,False,29,30,1,1901,1.3351090740917526,0,1.0,0.0,13.0,0.1804340117075853,0.0812142620304462,0.1662845357499582,0.1538461538461538,0.89586435129439,
NQ,RTH,B0,1day,26,390,389,True,False,14,15,1,1901,1.205103630744104,0,1.0,0.0,26.0,0.1112644890122402,0.0514418127796361,0.0799574284273239,0.0769230769230769,0.8662238988488303,
NQ,RTH,B0,1day,78,390,389,True,False,4,5,1,1901,1.1349450880328027,0,0.9984218832193582,0.0,77.99684376643872,0.0404607360093273,0.0190954479627928,0.0259725660372147,0.0256410256410256,0.8344225769870856,
NQ,RTH,B0,1day,195,390,389,True,False,1,2,1,1901,1.080826877393913,0,0.9984218832193582,0.0,194.98947922146235,0.0133816765380298,0.0096573199448306,0.0103091870470215,0.0102564102564102,0.8105094801664043,
NQ,RTH,B0,1h,4,60,60,True,True,15,15,0,11406,2.242931446212441,0,1.0,0.0,4.0,0.2714815616979861,0.2256195723767932,0.6449340668482266,0.5,0.9291608129182772,
NQ,RTH,B0,1h,5,60,60,True,True,12,12,0,11406,2.078465906115687,0,1.0,0.0,5.0,0.2189381407496562,0.1802265745001799,0.4903577561002349,0.4,0.9369709680034728,
NQ,RTH,B0,1h,6,60,60,True,True,10,10,0,11406,1.9944671809499015,0,0.9998246536910398,0.0001753463089601,5.99982465369104,0.1886691170470777,0.1500423260333899,0.3949340668482264,0.3333333333333333,0.9385358404376885,
NQ,RTH,B0,1h,10,60,60,True,True,6,6,0,11406,1.8087541015938593,0,0.9997369805365596,0.0001753463089601,9.9995616342276,0.1207476796400077,0.0878680723695583,0.2213229557371153,0.2,0.938464980108928,
NQ,RTH,B0,1h,12,60,60,True,True,5,5,0,11406,1.7589853604612276,0,0.9997369805365596,0.0002630194634402,11.99947396107312,0.1024236708840037,0.07201674186747,0.1813229557371153,0.1666666666666666,0.9382907951367866,
NQ,RTH,B0,1h,15,60,60,True,True,4,4,0,11406,1.6992638646956932,0,0.9997369805365596,0.0002630194634402,14.99929861476416,0.0816219727537152,0.0588318785350813,0.1426158966967038,0.1333333333333333,0.9329007664143694,
NQ,RTH,B0,1h,20,60,60,True,True,3,3,0,11406,1.6606307987124385,0,0.9997369805365596,0.0002630194634402,19.99894792214624,0.0625330087296866,0.0453060160876322,0.1051663356816857,0.1,0.9275972097467308,
NQ,RTH,B0,1h,30,60,60,True,True,2,2,0,11406,1.5953461917322496,0,0.9997369805365596,0.0002630194634402,29.998246536910397,0.0447574217029418,0.0312931578396179,0.0689382278476838,0.0666666666666666,0.913890743650014,
NQ,RTH,B0,1h,60,60,60,True,True,1,1,0,11406,1.5004058110408809,0,0.9997369805365596,0.0002630194634402,59.99614238120287,0.0232203666591055,0.0200890298116275,0.0338950603577399,0.0333333333333333,0.9013932471027376,
NQ,RTH,B0,30min,5,30,30,True,True,6,6,0,22812,2.1287262213323292,0,0.9998684902682798,0.0001315097317201,4.9997808171138,0.224982199953249,0.1887851373833529,0.4903577561002349,0.4,0.9297027059531904,
NQ,RTH,B0,30min,6,30,30,True,True,5,5,0,22812,2.0228871089574083,0,0.9998684902682798,0.0001315097317201,5.99973698053656,0.1910160816986659,0.155941460851657,0.3949340668482264,0.3333333333333333,0.9355457062847036,
NQ,RTH,B0,30min,10,30,30,True,True,3,3,0,22812,1.834502588687949,0,0.9998246536910398,0.0001315097317201,9.99947396107312,0.1197465059627683,0.0984809740000074,0.2213229557371153,0.2,0.936431869518746,
NQ,RTH,B0,30min,15,30,30,True,True,2,2,0,22812,1.7209164536623864,0,0.9998246536910398,0.0001315097317201,14.999123268455198,0.0852056323229505,0.0699890970639705,0.1426158966967038,0.1333333333333333,0.9293207604844322,
NQ,RTH,B0,30min,30,30,30,True,True,1,1,0,22812,1.581459570379477,0,0.9998246536910398,0.0001315097317201,29.998071190601436,0.0445748922544671,0.0463151223755112,0.0689382278476838,0.0666666666666666,0.9196930746461426,
NQ,RTH,B1,1day,5,390,389,True,False,77,78,1,1901,1.8290644792899533,0,1.0,0.0,5.0,0.3352452007239444,0.176257319691166,0.4903577561002349,0.4,0.8978713820075676,
NQ,RTH,B1,1day,6,390,389,True,False,64,65,1,1901,1.6687166754392468,0,1.0,0.0,6.0,0.3028257183762443,0.1425322860490597,0.3949340668482264,0.3333333333333333,0.91129044950333,
NQ,RTH,B1,1day,10,390,389,True,False,38,39,1,1901,1.4544993355579572,0,1.0,0.0,10.0,0.2134383799510451,0.0900844975275505,0.2213229557371153,0.2,0.908896064242456,
NQ,RTH,B1,1day,13,390,389,True,False,29,30,1,1901,1.3365058948082371,0,1.0,0.0,13.0,0.1709450019169161,0.0734269304747785,0.1662845357499582,0.1538461538461538,0.9065863473030484,
NQ,RTH,B1,1day,26,390,389,True,False,14,15,1,1901,1.2109025819433092,0,1.0,0.0,26.0,0.0992137872014548,0.0428110120703021,0.0799574284273239,0.0769230769230769,0.8769964539901959,
NQ,RTH,B1,1day,78,390,389,True,False,4,5,1,1901,1.1394686502729452,0,0.9984218832193582,0.0,77.99684376643872,0.0282721653264354,0.0113229133797018,0.0259725660372147,0.0256410256410256,0.8416367716218648,
NQ,RTH,B1,1day,195,390,389,True,False,1,2,1,1901,1.0875639072138068,0,0.9984218832193582,0.0,194.98947922146235,0.0,0.0022667557754129,0.0103091870470215,0.0102564102564102,0.8100612473256777,
NQ,RTH,B1,1h,4,60,60,True,True,15,15,0,11406,2.2265665074763072,0,1.0,0.0,4.0,0.2680725045542624,0.2266063789035372,0.6449340668482266,0.5,0.9301753488182368,
NQ,RTH,B1,1h,5,60,60,True,True,12,12,0,11406,2.0622346610365376,0,1.0,0.0,5.0,0.2153524085828677,0.1809872312617169,0.4903577561002349,0.4,0.9380374278801096,
NQ,RTH,B1,1h,6,60,60,True,True,10,10,0,11406,1.9800993546309775,0,0.9998246536910398,0.0001753463089601,5.99982465369104,0.1845410186596676,0.1508024127912465,0.3949340668482264,0.3333333333333333,0.9399276214684886,
NQ,RTH,B1,1h,10,60,60,True,True,6,6,0,11406,1.7938375915971745,0,0.9997369805365596,0.0001753463089601,9.9995616342276,0.1158443120185207,0.0883803669680153,0.2213229557371153,0.2,0.9396768781299026,
NQ,RTH,B1,1h,12,60,60,True,True,5,5,0,11406,1.7446420610969389,0,0.9997369805365596,0.0002630194634402,11.99947396107312,0.0972700131554567,0.0724260947171303,0.1813229557371153,0.1666666666666666,0.9401140059845255,
