cell,model,rank,window_index,trade_date,coef,regressors,components,linear_fit,fit_negative_by_construction,forecast_stored,realized,coef_fit_at_step
NQ/GLOBEX/B1/1day,M3_HARJ,1,1653,2022-10-14,"[2.8977991208575454e-05, 0.6038248918352002, 0.366378625059757, -0.013333629598521909, -2.090456834749878]","[1.0, 0.002194034597778227, 0.0007800990315445233, 0.00046634667680998314, 0.0010133304191990685]","[2.8977991208575454e-05, 0.0013248127036861249, 0.00028581161058773046, -6.218093853085922e-06, -0.002118323500674652]",-0.0004849392890453072,True,1e-300,0.0006813409563619643,1653
NQ/GLOBEX/B1/1day,M3_HARJ,2,1590,2022-07-14,"[2.916903734391317e-05, 0.6097483689686783, 0.3834520827802518, -0.018933210462439762, -2.625531866782328]","[1.0, 0.0013287443298395374, 0.0004372746845547226, 0.0003925075045365454, 0.00041816939141328094]","[2.916903734391317e-05, 0.0008101996878960375, 0.00016767388853958598, -7.431427191477444e-06, -0.0010979170628685417]",-9.830587628048245e-05,True,1e-300,0.0003510252099658828,1590
NQ/GLOBEX/B1/1day,M3_HARJ,3,1325,2021-06-17,"[2.9799848158448294e-05, 0.6155362623948516, 0.42631654516941075, -0.03560865393360034, -3.6000758582077803]","[1.0, 0.0001344845722996979, 7.786342757754028e-05, 9.334146741159863e-05, 3.987226910415224e-05]","[2.9799848158448294e-05, 8.278013098312625e-05, 3.319446743990559e-05, -3.3237640107140496e-06, -0.00014354319341382244]",-1.0925108430563554e-06,True,1e-300,9.650255378801376e-05,1325
NQ/GLOBEX/B1/1day,M4_HARQ,1,1653,2022-10-14,"[5.992801306567243e-06, 0.7799377418717114, 0.3264109310723284, -0.0725034986826792, -40.71677629615492]","[1.0, 0.002194034597778227, 0.0007800990315445233, 0.00046634667680998314, 5.9022705889850056e-05]","[5.992801306567243e-06, 0.001711210389779559, 0.00025463285121506954, -3.381176566776444e-05, -0.0024032143121107703]",-0.0004651900354773388,True,1e-300,0.0006813409563619643,1653
NQ/GLOBEX/B1/1day,M4_HARQ,2,1013,2020-03-04,"[6.737617230829521e-06, 0.8710268460681048, 0.26724659946101287, -0.09244254468076284, -125.63054022574042]","[1.0, 0.002101301418406365, 0.001586150488947169, 0.0004592061418820363, 2.1767890060354446e-05]","[6.737617230829521e-06, 0.001830289947112931, 0.0004238933244045538, -4.245018428861086e-05, -0.0027347117878568543]",-0.0005162410833971509,True,1e-300,0.0006621843922403059,1013
NQ/GLOBEX/B1/1day,M4_HARQ,3,508,2018-02-06,"[4.440679411133386e-06, 1.038385099411254, -0.054155113043057056, 0.0787966892944492, -343.9536852559937]","[1.0, 0.0007965838549353066, 0.00026816148947546027, 9.700921389759804e-05, 2.191770124611015e-06]","[4.440679411133386e-06, 0.0008271608053963983, -1.4522315776338106e-05, 7.644004886187797e-06, -0.0007538674115939472]",7.085576232343418e-05,False,7.085576232343423e-05,0.001897047856800782,508
NQ/GLOBEX/B1/1h,M3_HARJ,1,680,2016-02-15,"[4.349860957564056e-05, 0.5945524836881914, 0.4266498128114763, -2.46219390307138, 0.7234603494699597]","[1.0, 0.0, 1.8583989582442552e-05, 1.8068970853878566e-05, 0.0]","[4.349860957564056e-05, 0.0, 7.92885567663954e-06, -4.448930987119427e-05, 0.0]",6.938155381085828e-06,False,6.938155381085826e-06,0.0,660
NQ/GLOBEX/B1/1h,M3_HARJ,2,22362,2020-03-09,"[3.048000461853473e-07, 0.6539292728988924, 0.334611109491438, -0.020455792484250994, -0.26583162654293674]","[1.0, 0.0, 4.9509542689272416e-05, 2.452574501359236e-05, 0.0]","[3.048000461853473e-07, 0.0, 1.6566443009671157e-05, -5.016935505196989e-07, -0.0]",1.6369549505336804e-05,False,1.6369549505336804e-05,0.0,22352
NQ/GLOBEX/B1/1h,M3_HARJ,3,22361,2020-03-09,"[3.048000461853473e-07, 0.6539292728988924, 0.334611109491438, -0.020455792484250994, -0.26583162654293674]","[1.0, 1.862645149230957e-09, 4.9872425651384134e-05, 2.4532723938505078e-05, 1.862645149230957e-09]","[3.048000461853473e-07, 1.2180381881052486e-09, 1.66878676802389e-05, -5.018363099594766e-07, -4.951499896923764e-10]",1.6491554304663183e-05,False,1.6491554304663183e-05,0.0,22352
NQ/GLOBEX/B1/1h,M4_HARQ,1,680,2016-02-15,"[4.4913283803362886e-05, 1.0362396779037202, 0.4742974846873056, -2.7880508370676704, -5146.33182458542]","[1.0, 0.0, 1.8583989582442552e-05, 1.8068970853878566e-05, 0.0]","[4.4913283803362886e-05, 0.0, 8.814339514407593e-06, -5.037720931410748e-05, -0.0]",3.350414003663e-06,False,3.3504140036630034e-06,0.0,660
NQ/GLOBEX/B1/1h,M4_HARQ,2,38936,2023-04-07,"[4.391213409637892e-07, 0.6236910150226471, 0.38923870986693837, -0.05097297950047237, -117.61535929078579]","[1.0, 0.0, 3.089385493446819e-06, 6.858022121483102e-06, 0.0]","[4.391213409637892e-07, 0.0, 1.2025084237508747e-06, -3.495738210121442e-07, -0.0]",1.2920559437025196e-06,False,1.2920559437025196e-06,0.0,38918
NQ/GLOBEX/B1/1h,M4_HARQ,3,6069,2017-02-20,"[1.487599586668674e-07, 0.7463972012561375, 0.16399424636131887, 0.05336596179301004, -609.086149432843]","[1.0, 3.3317337511107326e-07, 7.711426488557746e-07, 1.0131602815186657e-06, 1.604189774307147e-13]","[1.487599586668674e-07, 2.4867967471596636e-07, 1.264629575361739e-07, 5.406827287372041e-08, -9.770897725922816e-11]",5.778731548154688e-07,False,5.778731548154688e-07,0.0,6050
NQ/GLOBEX/B1/30min,M3_HARJ,1,18311,2017-09-04,"[8.798468993081422e-08, 0.5217403199517341, 0.31179279447705577, 0.06381617487708793, 0.2531315050050395]","[1.0, 0.0, 8.663901705100822e-07, 1.1382068199357794e-06, 0.0]","[8.798468993081422e-08, 0.0, 2.7013421237079135e-07, 7.263600546731583e-08, 0.0]",4.307549077689214e-07,False,4.307549077689214e-07,0.0,18270
