root,geom,btag,horizon,proxy,trimmed,estimator,n_grid,n_valid,product_min,product_max,ratio_max_min,cv,elasticity,elasticity_r2,n_used,n_dropped,elasticity_s05grid,elasticity_s05grid_r2,n_used_s05grid
ES,GLOBEX,B1,1day,TRV3,False,E1_a_exp_L1-5,9,9,0.8586667035623596,1.3343434695374126,1.5539713651427354,0.13209775141829083,-0.7952630566763309,0.40372532930480576,9,0,-0.23774360000663372,0.8652438672336188,5
ES,GLOBEX,B1,1day,TRV3,False,E1_d_model_L1-10,9,5,0.9449411740536934,1.5606500918771715,1.6515843893034683,0.16591174223322921,-4.177146871569492,0.5983496167364829,5,4,,,1
ES,GLOBEX,B1,1day,TRV3,False,E1_d_model_L1-5,9,7,0.9359418146172299,1.5293302105715323,1.6340013734689043,0.13010059513248676,-2.58053984218677,0.7386931050561862,7,2,-2.5167328165607312,0.9670824171147813,3
ES,GLOBEX,B1,1day,TRV3,False,E2,9,9,0.8832587226320364,4.142500572399828,4.690019431741955,0.6399906181550221,-0.6219496476453211,0.4295186170280376,9,0,-0.16139590925720607,0.8742337726398179,5
ES,GLOBEX,B1,1day,TRV3,False,E4,9,9,1.0106840841113434,239.34728460754823,236.81711067805855,2.6771784535013166,-0.46252792803917303,0.25400702990730706,9,0,-0.8871748717692459,0.9996281054436121,5
ES,GLOBEX,B1,1day,TRV3,False,E4_asS05,9,9,1.0106840841113434,239.34728460754823,236.81711067805855,2.6771784535013166,-0.46252792803917303,0.25400702990730706,9,0,-0.8871748717692459,0.9996281054436121,5
ES,RTH,B0,1day,RV,False,E1_a_exp_L1-10,8,8,0.9298139600948434,1.1938247811796117,1.283939403381122,0.07740636764350027,-0.2868735366040316,0.9028320681215058,8,0,-0.18976309280373518,0.9302244377512076,5
ES,RTH,B0,1day,RV,False,E1_a_exp_L1-5,8,8,0.9514705045479521,1.2225428013850552,1.2848982659382497,0.0789059614878342,-0.3108647917012917,0.8993495606637306,8,0,-0.19951151488293425,0.963800792471577,5
ES,RTH,B0,1day,RV,False,E1_d_model_L1-10,8,5,1.3515854721965161,1.5031336508231194,1.1121262263793914,0.03634149396307612,-1.6237074943583762,0.9802502050342368,5,3,,,2
ES,RTH,B0,1day,RV,False,E1_d_model_L1-5,8,8,1.0812234320560992,1.377047772852095,1.2736014888554938,0.0776082614250535,-0.8435308237409708,0.9825437370696242,8,0,-0.7421619113132712,0.9785754897683123,5
ES,RTH,B0,1day,RV,False,E2,8,8,0.9941199500116832,1.300773965574582,1.3084678217747214,0.0863917895648693,-0.3702899586142057,0.8937119798598467,8,0,-0.25687601895429524,0.888854181640595,5
ES,RTH,B0,1day,RV,False,E4,8,8,1.080547391543724,1.6433244417561101,1.520825883822064,0.13227681126470064,-0.7044242036543622,0.9960670042886957,8,0,-0.7478570457266737,0.9997245578593957,5
ES,RTH,B0,1day,RV,False,E4_asS05,8,8,1.0848467194814049,1.946492520593146,1.794255801892122,0.18198118106600494,-0.33350109232472747,0.10269324050829776,8,0,-0.8657987162065437,0.9996629358057364,5
ES,RTH,B0,1day,RV,True,E1_a_exp_L1-10,7,7,1.0040717803185149,1.233184879395893,1.2281839840222362,0.06402559866725782,-0.30334384042994544,0.9222239646142535,7,0,-0.21251437885035362,0.9584561006742014,4
ES,RTH,B0,1day,RV,True,E1_a_exp_L1-5,7,7,1.0405782153186702,1.268981838310387,1.219496833231099,0.061576724429450856,-0.3465841946643046,0.9224791311452186,7,0,-0.23643605542901205,0.9759558860734104,4
ES,RTH,B0,1day,RV,True,E1_d_model_L1-10,7,5,1.4249675195864009,1.6007007478021822,1.1233243746262989,0.04200575640839262,-1.5470408400080127,0.9610083925903672,5,2,,,2
ES,RTH,B0,1day,RV,True,E1_d_model_L1-5,7,7,1.1824997069352987,1.4294832297104838,1.2088656101364252,0.06087694624180414,-0.769064021899237,0.9843037910983047,7,0,-0.6575149807961309,0.9923889971491916,4
ES,RTH,B0,1day,RV,True,E2,7,6,1.095323068633386,1.3348350140915484,1.2186678545508924,0.06544943477621658,-0.3810661955086485,0.9151326671446336,6,1,-0.2895421852618351,0.920006941219394,4
ES,RTH,B0,1day,RV,True,E4,7,7,1.1913034929276642,1.704008325628006,1.4303729786272634,0.1167573029963075,-0.6860270514737918,0.9946652886828032,7,0,-0.7381833815291338,0.9997969158315986,4
ES,RTH,B0,1day,RV,True,E4_asS05,7,7,1.197936319496281,2.006956662672461,1.6753450329616553,0.16701041576989234,-0.15620471630243601,0.015635342749321324,7,0,-0.841759324293574,0.9987853209200168,4
ES,RTH,B0,1day,TRV3,False,E1_a_exp_L1-10,8,8,0.9582707080793708,1.330339305220553,1.388270865428942,0.09223195957634975,-0.8794268543822132,0.3771572382804289,8,0,-0.21882703461661834,0.9118565308883734,5
ES,RTH,B0,1day,TRV3,False,E1_a_exp_L1-5,8,8,0.982655657609289,1.3117880096218442,1.3349416954595306,0.08448905531881047,-0.9179856876214152,0.3914633148456541,8,0,-0.24450078643867404,0.933651392222657,5
ES,RTH,B0,1day,TRV3,False,E1_d_model_L1-10,8,4,1.5151723459385604,1.6512528370991197,1.0898118894034232,0.03278468985163793,-6.882783170389269,0.7065639573835557,4,4,,,1
ES,RTH,B0,1day,TRV3,False,E1_d_model_L1-5,8,8,1.116649997196422,1.4409674423305365,1.290437868578677,0.08039966480370725,-2.0247847911223382,0.7659672079883975,8,0,-1.5886778407885052,0.8711413696312035,5
ES,RTH,B0,1day,TRV3,False,E2,8,8,0.9941199500116832,1.300773965574582,1.3084678217747214,0.0863917895648693,-0.921206835667763,0.3863934152196751,8,0,-0.2572796358839995,0.9627417430150264,5
ES,RTH,B0,1day,TRV3,False,E4,8,8,1.111262429177229,245.27620146216617,220.71852248596846,2.5283900497938614,-0.33350109232472747,0.10269324050829776,8,0,-0.8657987162065437,0.9996629358057364,5
ES,RTH,B0,1day,TRV3,False,E4_asS05,8,8,1.111262429177229,245.27620146216617,220.71852248596846,2.5283900497938614,-0.33350109232472747,0.10269324050829776,8,0,-0.8657987162065437,0.9996629358057364,5
ES,RTH,B0,1h,RV,False,E1_a_exp_L1-10,9,9,1.0854643704879958,1.3650847182817312,1.2576043538564288,0.06840326975349474,-0.335683409621666,0.9261339661162492,9,0,,,1
ES,RTH,B0,1h,RV,False,E1_a_exp_L1-5,9,9,1.1148116699493742,1.4036179627276577,1.2590628539001558,0.06841161658030147,-0.36061815010505055,0.9163405727862857,9,0,,,1
ES,RTH,B0,1h,RV,False,E1_d_model_L1-10,9,9,1.305614664359493,1.6656061212393833,1.275725653752897,0.07235997989309942,-0.6987000311963419,0.9716861631688914,9,0,,,1
ES,RTH,B0,1h,RV,False,E1_d_model_L1-5,9,9,1.3225256871336608,1.6813260453957766,1.2712993492321134,0.07136254381018105,-0.7836817751683093,0.9830436454116808,9,0,,,1
ES,RTH,B0,1h,RV,False,E2,9,6,1.2843952984176048,1.5566490126018404,1.2119703447370576,0.06298732366173779,-0.49644146004867323,0.9728336297910543,6,3,,,1
ES,RTH,B0,1h,RV,False,E4,9,9,1.3387064063694916,1.9520547280047134,1.4581649260188374,0.10983132972435264,-0.6434127893703211,0.9940445986446286,9,0,,,1
ES,RTH,B0,1h,RV,False,E4_asS05,9,9,1.3471477747725127,2.289909556085993,1.6998206128297102,0.17226549264899207,2.4540905671483766,0.6163454306889125,9,0,,,1
