root,geom,btag,horizon,estimator,cv_RV,cv_TRV3,elasticity_RV,elasticity_TRV3,ratio_max_min_RV,ratio_max_min_TRV3,elasticity_shift_TRV3_minus_RV,moves_toward_minus1
NQ,RTH,B0,1day,E1_a_exp_L1-5,0.032454551445532935,0.027942084946682908,-0.37307115454590073,-0.4925697207237441,1.102483888336205,1.0931399677330034,-0.11949856617784338,True
NQ,RTH,B0,1day,E1_d_model_L1-10,0.020927643697978428,0.03063314811769062,-1.4087442509845964,-2.178500386689965,1.0646192669552492,1.093545312492046,-0.7697561357053686,False
NQ,RTH,B0,1day,E1_d_model_L1-5,0.021243747977308398,0.04534723278107081,-1.013909188158322,-1.3346690431662684,1.0723765598288333,1.1542403071639584,-0.32075985500794646,False
NQ,RTH,B0,1day,E2,0.1507786113716358,0.1507786113716358,-0.3724576774027832,-0.33310153301009815,1.5699494507466396,1.5699494507466396,0.03935614439268503,False
NQ,RTH,B0,1day,E4,0.13006193110538022,0.21263832010409628,-0.7076470944337411,-0.7920583679883544,1.4500373750351265,1.8112781449804587,-0.08441127355461331,True
NQ,RTH,B0,1day,E4_asS05,0.14571668862448514,0.21263832010409628,-0.7920583679883544,-0.7920583679883544,1.5215038881247183,1.8112781449804587,0.0,False
NQ,RTH,B0,1h,E1_a_exp_L1-10,0.024023234522956426,0.30792130624829006,-0.32739218390856056,-2.02081423999647,1.0938331658753095,2.2282159462704962,-1.6934220560879094,False
NQ,RTH,B0,1h,E1_a_exp_L1-5,0.028371914855387988,0.3221700908664188,-0.32211220233853544,-2.001889545562707,1.1041796819816883,2.293951346939245,-1.6797773432241714,False
NQ,RTH,B0,1h,E1_d_model_L1-10,0.029006881094017303,0.3899059059750775,-0.5471462684859985,-2.2831169571331618,1.1002687355824807,2.6415197295500383,-1.7359706886471633,False
NQ,RTH,B0,1h,E1_d_model_L1-5,0.03309876632953699,0.39534969966290545,-0.6010075298645251,-2.3558188267159674,1.1226339894977595,2.675411276518976,-1.7548112968514422,False
NQ,RTH,B0,1h,E2,0.07762941790914746,0.07762941790914746,-0.5308547532051413,-2.5534374847313224,1.306367789594816,1.306367789594816,-2.022582731526181,False
NQ,RTH,B0,1h,E4,0.08165103683221862,1.9389028577992273,-0.677683431134601,0.862653443861716,1.305584280018594,216.4115946772533,1.540336874996317,False
NQ,RTH,B0,1h,E4_asS05,0.1440264785656026,1.9389028577992273,0.862653443861716,0.862653443861716,1.5266473247781323,216.4115946772533,0.0,False
NQ,RTH,B0,30min,E1_a_exp_L1-10,0.028150735106654015,0.9848755838358233,-0.4051008559332277,-3.2964012050408744,1.0805776987040177,6.514603718889081,-2.8913003491076466,False
NQ,RTH,B0,30min,E1_a_exp_L1-5,0.029400787716664805,1.166096568973079,-0.7510168480798576,-3.7047468832559636,1.0861851565493033,9.092593380686713,-2.9537300351761058,False
NQ,RTH,B0,30min,E1_d_model_L1-10,0.024583668769487605,0.8237188754309613,-2.6802534268879254,-7.988830395644356,1.068893981259681,5.179344797719744,-5.30857696875643,False
NQ,RTH,B0,30min,E1_d_model_L1-5,0.007544368321476906,0.6504604145407613,,,1.015203436971217,4.721812587756899,,False
NQ,RTH,B0,30min,E2,0.02323982626275227,0.16103422075151416,-0.8566366967495203,-4.395487563254597,1.065071465994016,1.491761203273061,-3.5388508665050766,False
NQ,RTH,B0,30min,E4,0.07015093773504033,1.66232625121383,-0.659822989289926,2.32286132524757,1.21640787067258,336.25051003075305,2.982684314537496,False
NQ,RTH,B0,30min,E4_asS05,0.13370456871731898,1.66232625121383,2.32286132524757,2.32286132524757,1.4004680617166148,336.25051003075305,0.0,False
NQ,RTH,B1,1day,E1_a_exp_L1-10,0.03832770469401527,0.024373218507025153,-0.3326304668493659,-0.43890292653754903,1.1331451997607216,1.0795791290132166,-0.10627245968818311,True
NQ,RTH,B1,1day,E1_a_exp_L1-5,0.030763727081565728,0.025719684358296257,-0.3721985935757247,-0.48162198813154056,1.1024704880605414,1.0946818480988947,-0.10942339455581584,True
NQ,RTH,B1,1day,E1_d_model_L1-10,0.02223601699822321,0.01837610662267542,-1.3986334931142277,-2.040927248534431,1.0640424039245515,1.0470646255869167,-0.6422937554202035,False
NQ,RTH,B1,1day,E1_d_model_L1-5,0.02247337240800987,0.03248566696574063,-0.9770474678662513,-1.3014783589437762,1.0736111632455076,1.094812976911302,-0.3244308910775249,False
NQ,RTH,B1,1day,E2,0.056819926196168415,0.056819926196168415,-0.48624634537037836,-0.39990605742504814,1.1846788224687634,1.1846788224687634,0.08634028794533022,False
NQ,RTH,B1,1day,E4,0.130350610586087,0.2174298060724282,-0.7088633652698744,-0.7939893460044704,1.4521382995553838,1.8448554551712673,-0.08512598073459599,True
NQ,RTH,B1,1day,E4_asS05,0.14595503733495913,0.2174298060724282,-0.7939893460044704,-0.7939893460044704,1.5254131865990208,1.8448554551712673,0.0,False
NQ,RTH,B1,1h,E1_a_exp_L1-10,0.023902190527331137,0.29486390656690864,-0.3341558117283324,-2.0115229714897644,1.0932775875150673,2.162251226735037,-1.677367159761432,False
NQ,RTH,B1,1h,E1_a_exp_L1-5,0.0282182150409766,0.32426988334574863,-0.3301191405623186,-1.9916068137719836,1.1035468279211809,2.3015148520036406,-1.661487673209665,False
NQ,RTH,B1,1h,E1_d_model_L1-10,0.02648495600559169,0.4016375139009045,-0.5884506992218856,-2.2842470367158265,1.0975318609345135,2.6934847202172394,-1.6957963374939409,False
NQ,RTH,B1,1h,E1_d_model_L1-5,0.029581667460686568,0.4225147002291497,-0.6558033873600331,-2.350720880523778,1.09666373566102,2.8079222759830462,-1.6949174931637447,False
NQ,RTH,B1,1h,E2,0.08160179702508447,0.08160179702508447,-0.5304165557337076,-2.5350267526354,1.3233910535556725,1.3233910535556725,-2.0046101969016923,False
NQ,RTH,B1,1h,E4,0.08153659618760654,1.8937667047171578,-0.6776477198269586,0.8410349966065307,1.305172255997941,191.01057052229177,1.5186827164334893,False
NQ,RTH,B1,1h,E4_asS05,0.1442915565942823,1.8937667047171578,0.8410349966065307,0.8410349966065307,1.5274613003900215,191.01057052229177,0.0,False
NQ,RTH,B1,30min,E1_a_exp_L1-10,0.02800490167938698,0.9884073627815553,-0.4159875026239375,-3.2793802559869754,1.0804067066795793,6.6051464541856975,-2.863392753363038,False
