root,geom,group,n_days,intercept_EIV,omega2_N1,omega2_N2,NSR_N1,NSR_N2,signature_R2,mean_rv_coarsest,mean_rv_finest
ES,RTH,y2018,236,7.487406702938126e-05,5.913174086272744e-09,1.0179107978078541e-07,7.897492844822174e-05,0.001359497137251,0.6975701088685804,7.577613039217376e-05,7.93970422290126e-05
ES,RTH,y2019,237,3.424850605170221e-05,5.206648115521209e-09,4.852850049941485e-08,0.0001520255542726,0.0014169523314726,0.8514211637960295,3.4092647210462386e-05,3.785223038954358e-05
ES,RTH,y2020,239,0.0001719423140879,2.698667109505961e-08,2.396608181756015e-07,0.0001569518895811,0.0013938443218403,0.4300866342154165,0.0001598440336193,0.0001869354381769
ES,RTH,y2021,239,4.2941158470961594e-05,2.8084137477491196e-10,5.5282638532497125e-08,6.540144345775565e-06,0.0012874044506712,0.0471841722315542,4.236230106000928e-05,4.3120458055347755e-05
ES,RTH,y2022,238,0.0001369239539034,-1.691617128511408e-11,1.7458950938226705e-07,-1.235442798930781e-07,0.0012750837556544,9.860164801533957e-06,0.000138307419032,0.0001361798173181
ES,RTH,y2023,236,4.697642704885756e-05,1.1163375853100906e-09,6.124092320509261e-08,2.3763782293384087e-05,0.0013036522156399,0.3894111338747956,4.650598951483517e-05,4.776792009997224e-05
ES,RTH,terc1,634,1.05891305323057e-05,6.739622545583051e-09,1.9530029744935503e-08,0.0006364660937006,0.001844346869212,0.7713368425615967,9.126337978182356e-06,1.5233423201049692e-05
ES,RTH,terc2,633,3.283940014804571e-05,7.114460037796557e-09,4.81699541485715e-08,0.0002166440314294,0.0014668341666234,0.6994983150008811,3.0940550849444806e-05,3.757256423588577e-05
ES,RTH,terc3,634,0.0001676578768357,5.176331374068515e-09,2.1831943829436305e-07,3.0874370305547906e-05,0.0013021722713825,0.3462845315319522,0.0001670845659626,0.0001702891618696
NQ,GLOBEX,all,1901,0.0001837385910375,2.1170788980168042e-09,6.84866158358277e-08,1.1522233223093575e-05,0.0003727394198959,0.6750186243684044,0.0001817355272057,0.0001890230597068
NQ,GLOBEX,y2016,239,0.000116650249412,7.954749221622573e-10,4.3178157028939633e-08,6.819316085232267e-06,0.0003701505761586,0.2487533944417249,0.0001172601196695,0.0001191717133998
NQ,GLOBEX,y2017,237,3.664985088541337e-05,7.196871209738491e-10,1.4038198637614387e-08,1.963683626500877e-05,0.000383035627662,0.8771319852394135,3.678960503552407e-05,3.874542823981571e-05
NQ,GLOBEX,y2018,236,0.0001879331451353,3.207584153026757e-09,7.126894099562032e-08,1.7067687292293103e-05,0.0003792249682423,0.8150420467521824,0.000187331872216,0.0001967022771479
NQ,GLOBEX,y2019,237,0.000100178852391,1.1772753091866255e-10,3.6644098011608446e-08,1.1751734833132076e-06,0.0003657867617467,0.0028080850324502,0.0001043299811332,0.000101137710512
NQ,GLOBEX,y2020,239,0.0003888761262771,1.2094272729629836e-08,1.512845807120526e-07,3.110057911092061e-05,0.0003890302605108,0.4885093002666083,0.0003690588500706,0.0004175454427652
NQ,GLOBEX,y2021,239,0.0001307372181139,4.288113565200868e-10,4.759128866669994e-08,3.279948607643298e-06,0.0003640224975967,0.059418795136553,0.0001284006596369,0.00013135195672
NQ,GLOBEX,y2022,238,0.0003810440703929,-1.3651682934839782e-09,1.3678158340617197e-07,-3.5827044679529504e-06,0.0003589652589662,0.1042272572568636,0.0003838873121859,0.000377517170201
NQ,GLOBEX,y2023,236,0.0001260633430566,8.935775566936515e-10,4.642776763122413e-08,7.088321910456259e-06,0.0003682891989495,0.5135339500047156,0.0001251711937784,0.0001281406386621
NQ,GLOBEX,terc1,634,3.6011061490140255e-05,3.550577368141836e-09,1.6174164442048872e-08,9.859685388929663e-05,0.0004491443398989,0.5441524008602872,3.0839914624078427e-05,4.4640693860054875e-05
NQ,GLOBEX,terc2,633,9.927329581694816e-05,3.292837985010314e-09,3.8853505451353764e-08,3.3169423437719235e-05,0.0003913792237037,0.5480862502629034,9.452295621701532e-05,0.0001072356750457
NQ,GLOBEX,terc3,634,0.0004157981897877,-4.90324149500678e-10,1.503854376923384e-07,-1.179235892659797e-06,0.00036167891392,0.0180930735778441,0.0004197061515158,0.0004150638080308
NQ,RTH,all,1901,0.0001141360008978,1.9800242715552407e-09,1.469708643769286e-07,1.734793803864703e-05,0.0012876819164922,0.1412409055916771,0.0001128848006549,0.000114637274214
NQ,RTH,y2016,239,6.902686544086463e-05,-3.172800488280151e-09,8.649029781389709e-08,-4.596471921498872e-05,0.0012529947182375,0.2822786760666991,7.128358186199548e-05,6.746243229483972e-05
NQ,RTH,y2017,237,2.5088532776128476e-05,1.6048139404809014e-09,3.378851343551022e-08,6.396603399653041e-05,0.0013467712016885,0.8962589437170692,2.5273341219509543e-05,2.6355040479697977e-05
NQ,RTH,y2018,236,0.0001271023639659,5.989324044125058e-09,1.6828469978797518e-07,4.71220507411528e-05,0.0013240092043687,0.533666115476398,0.0001263175738755,0.0001312620658346
NQ,RTH,y2019,237,5.665006766892539e-05,4.3145060817081397e-10,7.290757443932385e-08,7.616065186228899e-06,0.0012869812418479,0.0323783779188134,5.734612909340848e-05,5.686790806267259e-05
NQ,RTH,y2020,239,0.0002203573516961,1.7863085607001932e-08,2.919163175864422e-07,8.106416903953134e-05,0.001324740542303,0.2726509470062136,0.0002098497169776,0.0002276947277174
NQ,RTH,y2021,239,8.512785517574936e-05,-6.871779804784793e-10,1.0756589840183314e-07,-8.072304641762407e-06,0.0012635805069886,0.0127171793526978,8.241722567165363e-05,8.390140075342985e-05
NQ,RTH,y2022,238,0.000241495303376,-3.152615903827501e-09,3.046174628524108e-07,-1.3054564042260024e-05,0.0012613804848125,0.1155125321725493,0.0002431132786437,0.0002376016210248
NQ,RTH,y2023,236,8.737315262353334e-05,-3.086733276045431e-09,1.0908078070614603e-07,-3.53281664145199e-05,0.0012484473483078,0.5294496671838753,8.666401894422479e-05,8.50830089507939e-05
NQ,RTH,terc1,634,2.188826376316349e-05,8.407255046396027e-09,3.4824248944713125e-08,0.000384098763491,0.0015910009730109,0.5196075927139597,1.8457098535351627e-05,2.7162914176876233e-05
NQ,RTH,terc2,633,6.346785886607175e-05,6.441694608074699e-09,8.607311644447723e-08,0.000101495382437,0.0013561685864668,0.3372892644114713,5.947204158700081e-05,6.713703082669224e-05
NQ,RTH,terc3,634,0.0002569719618592,-8.901839504889386e-09,3.199191745114181e-07,-3.4641287090161305e-05,0.0012449575128612,0.4596877635127142,0.0002606410145884,0.0002495369561189
