root,geom,btag,horizon,M,omega2_N1,iv_hat,bias_2Momega2_over_IV,bias_min_across_estimates,bias_max_across_estimates,trigamma
ES,GLOBEX,B1,1day,46,3.951537423267866e-09,0.0001209727002771,0.0030051527502313814,0.000701380417324691,0.01067636094980068,0.044437133536578646
ES,GLOBEX,B1,1day,138,3.951537423267866e-09,0.0001209727002771,0.009015458250694145,0.002104141251974073,0.03202908284940204,0.014598280898442317
ES,GLOBEX,B1,1day,345,3.951537423267866e-09,0.0001209727002771,0.022538645626735365,0.005260353129935183,0.08007270712350509,0.005813937111601127
ES,GLOBEX,B1,1day,1379,3.951537423267866e-09,0.0001209727002771,0.09008925309932772,0.02102616511936411,0.3200587336907639,0.001451378555092054
NQ,GLOBEX,B0,1day,5,2.1170788980168042e-09,0.0001837385910375,0.00011522233223094218,-7.429948633955482e-05,0.0006582325825695193,0.4903577561002349
NQ,GLOBEX,B0,1day,6,2.1170788980168042e-09,0.0001837385910375,0.00013826679867713062,-8.91593836074658e-05,0.0007898790990834232,0.39493406684822646
NQ,GLOBEX,B0,1day,10,2.1170788980168042e-09,0.0001837385910375,0.00023044466446188436,-0.00014859897267910965,0.0013164651651390387,0.22132295573711533
NQ,GLOBEX,B0,1day,12,2.1170788980168042e-09,0.0001837385910375,0.00027653359735426125,-0.0001783187672149316,0.0015797581981668463,0.18132295573711532
NQ,GLOBEX,B0,1day,23,2.1170788980168042e-09,0.0001837385910375,0.0005300227282623341,-0.0003417776371619522,0.003027869879819789,0.09084666127454626
NQ,GLOBEX,B0,1day,46,2.1170788980168042e-09,0.0001837385910375,0.0010600454565246682,-0.0006835552743239044,0.006055739759639578,0.044437133536578646
NQ,GLOBEX,B0,1day,138,2.1170788980168042e-09,0.0001837385910375,0.0031801363695740043,-0.002050665822971713,0.018167219278918734,0.014598280898442317
NQ,GLOBEX,B0,1day,345,2.1170788980168042e-09,0.0001837385910375,0.007950340923935012,-0.005126664557429283,0.045418048197296834,0.005813937111601127
NQ,GLOBEX,B0,1day,1379,2.1170788980168042e-09,0.0001837385910375,0.031778319229293854,-0.020491798332449223,0.18154054627267344,0.001451378555092054
NQ,GLOBEX,B1,1day,5,2.1170788980168042e-09,0.0001837385910375,0.00011522233223094218,-7.429948633955482e-05,0.0006582325825695193,0.4903577561002349
NQ,GLOBEX,B1,1day,6,2.1170788980168042e-09,0.0001837385910375,0.00013826679867713062,-8.91593836074658e-05,0.0007898790990834232,0.39493406684822646
NQ,GLOBEX,B1,1day,10,2.1170788980168042e-09,0.0001837385910375,0.00023044466446188436,-0.00014859897267910965,0.0013164651651390387,0.22132295573711533
NQ,GLOBEX,B1,1day,12,2.1170788980168042e-09,0.0001837385910375,0.00027653359735426125,-0.0001783187672149316,0.0015797581981668463,0.18132295573711532
NQ,GLOBEX,B1,1day,23,2.1170788980168042e-09,0.0001837385910375,0.0005300227282623341,-0.0003417776371619522,0.003027869879819789,0.09084666127454626
NQ,GLOBEX,B1,1day,46,2.1170788980168042e-09,0.0001837385910375,0.0010600454565246682,-0.0006835552743239044,0.006055739759639578,0.044437133536578646
NQ,GLOBEX,B1,1day,138,2.1170788980168042e-09,0.0001837385910375,0.0031801363695740043,-0.002050665822971713,0.018167219278918734,0.014598280898442317
NQ,GLOBEX,B1,1day,345,2.1170788980168042e-09,0.0001837385910375,0.007950340923935012,-0.005126664557429283,0.045418048197296834,0.005813937111601127
NQ,GLOBEX,B1,1day,1379,2.1170788980168042e-09,0.0001837385910375,0.031778319229293854,-0.020491798332449223,0.18154054627267344,0.001451378555092054
ES,RTH,B0,1day,5,6.343065749071181e-09,7.038187425831277e-05,0.0009012356968203363,-2.403484059408395e-06,0.0038343211770709876,0.4903577561002349
ES,RTH,B0,1day,6,6.343065749071181e-09,7.038187425831277e-05,0.0010814828361844035,-2.8841808712900737e-06,0.004601185412485186,0.39493406684822646
ES,RTH,B0,1day,10,6.343065749071181e-09,7.038187425831277e-05,0.0018024713936406725,-4.80696811881679e-06,0.007668642354141975,0.22132295573711533
ES,RTH,B0,1day,13,6.343065749071181e-09,7.038187425831277e-05,0.0023432128117328744,-6.249058554461826e-06,0.009969235060384567,0.16628453574995827
ES,RTH,B0,1day,26,6.343065749071181e-09,7.038187425831277e-05,0.004686425623465749,-1.2498117108923653e-05,0.019938470120769134,0.07995742842732394
ES,RTH,B0,1day,78,6.343065749071181e-09,7.038187425831277e-05,0.014059276870397248,-3.749435132677096e-05,0.05981541036230741,0.025972566037214765
ES,RTH,B0,1day,195,6.343065749071181e-09,7.038187425831277e-05,0.03514819217599312,-9.373587831692739e-05,0.14953852590576852,0.01030918704702152
ES,RTH,B0,1day,389,6.343065749071181e-09,7.038187425831277e-05,0.07011613721262218,-0.0001869910598219731,0.2983101875761228,0.0051546277620026035
ES,RTH,B1,1day,5,6.343065749071181e-09,7.038187425831277e-05,0.0009012356968203363,-2.403484059408395e-06,0.0038343211770709876,0.4903577561002349
ES,RTH,B1,1day,6,6.343065749071181e-09,7.038187425831277e-05,0.0010814828361844035,-2.8841808712900737e-06,0.004601185412485186,0.39493406684822646
ES,RTH,B1,1day,10,6.343065749071181e-09,7.038187425831277e-05,0.0018024713936406725,-4.80696811881679e-06,0.007668642354141975,0.22132295573711533
ES,RTH,B1,1day,13,6.343065749071181e-09,7.038187425831277e-05,0.0023432128117328744,-6.249058554461826e-06,0.009969235060384567,0.16628453574995827
