cell,rank,estimator,ratio_max_min,cv,elasticity
ES/RTH/B0/1h,7,E4_asS05,1.6998206128297102,0.17226549264899207,2.4540905671483766
ES/RTH/B0/30min,1,E1_d_model_L1-5,1.014070790883145,0.0069862444492207075,
ES/RTH/B0/30min,2,E1_d_model_L1-10,1.1164517184203366,0.04383140488117327,-2.1844769417445224
ES/RTH/B0/30min,3,E1_a_exp_L1-5,1.2089087183226337,0.06814177023870531,-0.7610138959552538
ES/RTH/B0/30min,4,E1_a_exp_L1-10,1.21603330900214,0.06806916769641218,-0.43895535601142366
ES/RTH/B0/30min,5,E4,1.3417300268227201,0.10498058919873103,-0.6089996839964602
ES/RTH/B0/30min,6,E4_asS05,1.478160631810435,0.1395017259976378,1.798400936782435
ES/RTH/B0/30min,7,E2,1.482436622844541,0.16689098408560965,1.1683406002331311
ES/RTH/B1/1day,1,E1_d_model_L1-10,1.1097742590114854,0.03352637211983267,-1.6711769399568202
ES/RTH/B1/1day,2,E1_a_exp_L1-10,1.261212355054057,0.07460738107753595,-0.2906875102281309
ES/RTH/B1/1day,3,E1_d_model_L1-5,1.2666316787583767,0.07633235317216781,-0.8166574197444809
ES/RTH/B1/1day,4,E1_a_exp_L1-5,1.2778076044728257,0.07695045354954463,-0.3156227614198179
ES/RTH/B1/1day,5,E2,1.34295068731105,0.09058857012237233,-0.36546592985183746
ES/RTH/B1/1day,6,E4,1.531163933210133,0.134534051006742,-0.7058426977011333
ES/RTH/B1/1day,7,E4_asS05,1.8020540244049148,0.18381151476150825,-0.3331239281153991
ES/RTH/B1/1h,1,E2,1.2123255346030426,0.06301429761124748,-0.5024190406007196
ES/RTH/B1/1h,2,E1_a_exp_L1-10,1.259634657379752,0.06883981182208913,-0.34052327172229907
ES/RTH/B1/1h,3,E1_a_exp_L1-5,1.270757189615577,0.07014333456227295,-0.36211166259376304
ES/RTH/B1/1h,4,E1_d_model_L1-5,1.2724451738697513,0.07204708782436313,-0.836212796424708
ES/RTH/B1/1h,5,E1_d_model_L1-10,1.2761247782356995,0.07279022684700999,-0.7338739047407823
ES/RTH/B1/1h,6,E4,1.4605570783032467,0.1101338873393209,-0.6423270217870859
ES/RTH/B1/1h,7,E4_asS05,1.70297867185201,0.17273201487797538,2.464866800893817
ES/RTH/B1/30min,1,E1_d_model_L1-5,1.0109218853018267,0.005431282727418036,
ES/RTH/B1/30min,2,E1_d_model_L1-10,1.1174617321527613,0.04422544502253816,-2.663730658123659
ES/RTH/B1/30min,3,E1_a_exp_L1-5,1.2105217993538426,0.06803116155231424,-0.7555794532475834
ES/RTH/B1/30min,4,E1_a_exp_L1-10,1.2175980875118217,0.0685300527342047,-0.4464946817209782
ES/RTH/B1/30min,5,E4,1.3424861171407807,0.10519137747113809,-0.6073786688328614
ES/RTH/B1/30min,6,E4_asS05,1.4792917578154225,0.13979042240772788,1.7997743046920391
ES/RTH/B1/30min,7,E2,1.4838598673660994,0.16748025931093324,1.170055404762997
NQ/GLOBEX/B0/1day,1,E1_d_model_L1-10,1.048343393431545,0.01730891540634081,-1.2121399044222914
NQ/GLOBEX/B0/1day,2,E1_a_exp_L1-5,1.1085119029344548,0.03021253763458169,-0.3239542593861698
NQ/GLOBEX/B0/1day,3,E1_d_model_L1-5,1.116768153389683,0.031470627121661265,-0.6853644320299721
NQ/GLOBEX/B0/1day,4,E1_a_exp_L1-10,1.137301753239718,0.03702370512716002,-0.2886589111378938
NQ/GLOBEX/B0/1day,5,E2,1.2299717628539113,0.05408632616150327,-0.3215679901602372
NQ/GLOBEX/B0/1day,6,E4,1.4937582248088705,0.13875097755036492,-0.6027910603165793
NQ/GLOBEX/B0/1day,7,E4_asS05,1.5474370602616918,0.152819348652791,-0.7877058779324109
NQ/GLOBEX/B1/1day,1,E1_d_model_L1-10,1.0553882073790384,0.022917705460654438,-1.2562738127947257
NQ/GLOBEX/B1/1day,2,E1_a_exp_L1-5,1.1267719592234042,0.033794642030254854,-0.3197893848762055
NQ/GLOBEX/B1/1day,3,E1_d_model_L1-5,1.1351615546177232,0.03497923586411729,-0.7074335560327747
NQ/GLOBEX/B1/1day,4,E1_a_exp_L1-10,1.1420577567494579,0.03952517299178796,-0.28646345966409315
NQ/GLOBEX/B1/1day,5,E2,1.3116152982171485,0.076194127947507,-0.29196617226943805
NQ/GLOBEX/B1/1day,6,E4,1.4836507524797669,0.13542601096304083,-0.6045256796194861
NQ/GLOBEX/B1/1day,7,E4_asS05,1.5440887512688828,0.15041821645455752,-0.7868227825907941
NQ/RTH/B0/1day,1,E1_d_model_L1-10,1.0646192669552492,0.020927643697978428,-1.4087442509845964
NQ/RTH/B0/1day,2,E1_d_model_L1-5,1.0723765598288333,0.021243747977308398,-1.013909188158322
NQ/RTH/B0/1day,3,E1_a_exp_L1-5,1.102483888336205,0.032454551445532935,-0.37307115454590073
NQ/RTH/B0/1day,4,E1_a_exp_L1-10,1.13177824246519,0.03923376365907838,-0.33416797443079194
NQ/RTH/B0/1day,5,E4,1.4500373750351265,0.13006193110538022,-0.7076470944337411
NQ/RTH/B0/1day,6,E4_asS05,1.5215038881247183,0.14571668862448514,-0.7920583679883544
