root,geom,btag,horizon,model,window_index,session_date,window_in_session,window_start_min_from_1800NY,ny_clock,overnight,rv,forecast
ES,GLOBEX,B0,1h,M1_EWMA,22153,2020-02-17,21,1260,15:00,False,0.0,4.3712207670804866e-07
ES,GLOBEX,B0,1h,M1_EWMA,22466,2020-03-09,4,240,22:00,True,0.0,5.8364749496679515e-05
ES,GLOBEX,B0,1h,M1_EWMA,22468,2020-03-09,6,360,00:00,True,0.0,5.157109265526601e-05
ES,GLOBEX,B0,1h,M1_EWMA,22469,2020-03-09,7,420,01:00,True,0.0,4.8476827095950046e-05
ES,GLOBEX,B0,1h,M1_EWMA,22470,2020-03-09,8,480,02:00,True,0.0,4.556821747019304e-05
ES,GLOBEX,B0,1h,M1_EWMA,22471,2020-03-09,9,540,03:00,True,0.0,4.2834124421981456e-05
ES,GLOBEX,B0,1h,M1_EWMA,22472,2020-03-09,10,600,04:00,True,0.0,4.0264076956662566e-05
ES,GLOBEX,B0,1h,M1_EWMA,22474,2020-03-09,12,720,06:00,True,0.0,3.5577338398907036e-05
ES,GLOBEX,B0,1h,M1_EWMA,22475,2020-03-09,13,780,07:00,True,0.0,3.344269809497261e-05
ES,GLOBEX,B0,1h,M1_EWMA,22476,2020-03-09,14,840,08:00,True,0.0,3.1436136209274256e-05
ES,GLOBEX,B0,1h,M1_EWMA,22558,2020-03-18,8,480,02:00,True,0.0,0.00013487390667420374
ES,GLOBEX,B0,1h,M1_EWMA,22559,2020-03-18,9,540,03:00,True,0.0,0.0001267814722737515
ES,GLOBEX,B0,1h,M1_EWMA,22560,2020-03-18,10,600,04:00,True,0.0,0.00011917458393732641
ES,GLOBEX,B0,1h,M1_EWMA,22561,2020-03-18,11,660,05:00,True,0.0,0.00011202410890108682
ES,GLOBEX,B0,1h,M1_EWMA,22562,2020-03-18,12,720,06:00,True,0.0,0.00010530266236702161
ES,GLOBEX,B0,1h,M1_EWMA,22563,2020-03-18,13,780,07:00,True,0.0,9.898450262500031e-05
ES,GLOBEX,B0,1h,M1_EWMA,22564,2020-03-18,14,840,08:00,True,0.0,9.304543246750029e-05
ES,GLOBEX,B0,1h,M1_EWMA,22650,2020-03-24,12,720,06:00,True,0.0,0.00014856509369153925
ES,GLOBEX,B0,1h,M1_EWMA,23603,2020-05-25,19,1140,13:00,False,0.0,4.0643857551209645e-06
ES,GLOBEX,B0,1h,M1_EWMA,23604,2020-05-25,20,1200,14:00,False,0.0,3.820522609813707e-06
ES,GLOBEX,B0,1h,M1_EWMA,23605,2020-05-25,21,1260,15:00,False,0.0,3.591291253224884e-06
ES,GLOBEX,B0,1h,M1_EWMA,24112,2020-07-01,0,0,18:00,True,0.0,6.4686736433586945e-06
ES,GLOBEX,B0,1h,M1_EWMA,24113,2020-07-01,1,60,19:00,True,0.0,6.0805532247571725e-06
ES,GLOBEX,B0,1h,M1_EWMA,25165,2020-09-07,19,1140,13:00,False,0.0,1.1977190321328215e-05
ES,GLOBEX,B0,1h,M1_EWMA,25166,2020-09-07,20,1200,14:00,False,0.0,1.1258558902048523e-05
