arm,root,geom,range,rule,te_mean,te_sd,turnover_mean,turnover_sd,cost_0.5t,cost_1.0t,cost_2.0t,cost_4.0t,lam_in_unit,n_seeds
A4p,ES,GLOBEX,extended,R2,1.5475827058072962,0.30059742765765,132.36327844234503,70.77618921386703,101.51709100585822,203.03418201171644,406.0683640234329,812.1367280468658,True,5
A4p,ES,GLOBEX,extended,R3,1.3097571422113323,0.24216657681176856,13.400515388613755,7.162754159982045,10.27763407072047,20.55526814144094,41.11053628288188,82.22107256576376,True,5
A4p,ES,GLOBEX,restricted_S05,R0,3.03898349173443e-17,7.572339181917564e-18,0.004770759510126656,6.0727720925736436e-05,0.003658972738179412,0.007317945476358824,0.014635890952717648,0.029271781905435296,True,5
A4p,ES,GLOBEX,restricted_S05,R1,1.5577198534427823,0.3030442150976784,145.7720237545687,77.94716138192804,111.80103708330674,223.60207416661348,447.20414833322695,894.4082966664539,True,5
A4p,ES,GLOBEX,restricted_S05,R2,1.5577293434097423,0.30304650426215785,145.78518723378318,77.95420123689433,111.81113292055929,223.62226584111858,447.24453168223715,894.4890633644743,False,5
A4p,ES,GLOBEX,restricted_S05,R3,109.46507822748381,22.464232944620193,763361721.3634356,281366739.656,585466469.6280963,1170932939.2561927,2341865878.5123854,4683731757.024771,False,5
A4p,ES,RTH,extended,R0,3.6708140636136483e-17,8.903346335463114e-18,0.0049319220365274755,1.5821059601154114e-05,0.0037838367572866584,0.007567673514573317,0.015135347029146633,0.030270694058293267,True,5
A4p,ES,RTH,extended,R1,1.6789345844771404,0.09381423344842471,172.78442660216348,31.432788141180463,132.56253031207518,265.12506062415036,530.2501212483007,1060.5002424966015,True,5
A4p,ES,RTH,extended,R2,1.6416737397820556,0.09114940022053758,124.96067157111983,22.73986605928441,95.87150380806615,191.7430076161323,383.4860152322646,766.9720304645292,True,5
A4p,ES,RTH,extended,R3,1.426545426714623,0.07556760622516995,18.903902959102442,3.446345332880122,14.503327981071456,29.00665596214291,58.01331192428582,116.02662384857165,True,5
A4p,ES,RTH,restricted_S05,R0,3.6708140636136483e-17,8.903346335463114e-18,0.0049319220365274755,1.5821059601154114e-05,0.0037838367572866584,0.007567673514573317,0.015135347029146633,0.030270694058293267,True,5
A4p,ES,RTH,restricted_S05,R1,1.6789345844771404,0.09381423344842471,172.78442660216348,31.432788141180463,132.56253031207518,265.12506062415036,530.2501212483007,1060.5002424966015,True,5
A4p,ES,RTH,restricted_S05,R2,1.5917260587742164,0.0875630100126504,80.83112478005653,14.71554344893607,62.01472343041134,124.02944686082267,248.05889372164535,496.1177874432907,True,5
A4p,ES,RTH,restricted_S05,R3,0.7214770808488684,0.019747118819792294,0.020943680164399826,0.00382774686719737,0.016068272420362312,0.032136544840724625,0.06427308968144925,0.1285461793628985,True,5
A4p,NQ,GLOBEX,extended,R0,4.300638423837714e-17,1.4800671411906756e-17,0.004892783659229465,3.346938560815796e-05,0.0012732420104216136,0.0025464840208432272,0.0050929680416864544,0.010185936083372909,True,5
A4p,NQ,GLOBEX,extended,R1,1.476853264655889,0.2314292214567678,135.82747373308564,51.36304897953318,35.34618690940411,70.69237381880822,141.38474763761644,282.7694952752329,True,5
A4p,NQ,GLOBEX,extended,R2,1.4677754501981677,0.22960688871048196,123.89544006711203,46.851589622784665,32.24113105748133,64.48226211496267,128.96452422992533,257.92904845985066,True,5
A4p,NQ,GLOBEX,extended,R3,1.395255014709567,0.2149536936049194,59.25401336058144,22.409540634388367,15.419586139775735,30.83917227955147,61.67834455910294,123.35668911820588,True,5
A4p,NQ,GLOBEX,restricted_S05,R0,4.300638423837714e-17,1.4800671411906756e-17,0.004892783659229465,3.346938560815796e-05,0.0012732420104216136,0.0025464840208432272,0.0050929680416864544,0.010185936083372909,True,5
A4p,NQ,GLOBEX,restricted_S05,R1,1.476853264655889,0.2314292214567678,135.82747373308564,51.36304897953318,35.34618690940411,70.69237381880822,141.38474763761644,282.7694952752329,True,5
