root,geom,btag,horizon,scheme,n_obs,model_set,mcs75,mcs90,seed,pvals
ES,RTH,B1,1h,S-D_q0.80,2181,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,2270887940,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.2202, ""M3_HARJ"": 0.2202, ""M4_HARQ"": 1.0}"
ES,RTH,B1,1h,S-D_q0.90,1091,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,3730732519,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.2306, ""M3_HARJ"": 0.2306, ""M4_HARQ"": 1.0}"
ES,RTH,B1,30min,S-D_q0.80,4463,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M3_HARJ,M3_HARJ,660990530,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0715, ""M2_HAR"": 0.0715, ""M3_HARJ"": 1.0}"
ES,RTH,B1,30min,S-D_q0.90,2232,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M3_HARJ,M3_HARJ,2559638505,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.0334, ""M2_HAR"": 0.0334, ""M3_HARJ"": 1.0}"
NQ,RTH,B0,1day,S-D_q0.80,280,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,1474898919,"{""M5_RGARCH"": 0.0, ""M6_GK"": 0.0055, ""M6_PARK"": 0.0088, ""M1_EWMA"": 0.0624, ""M4_HARQ"": 0.3232, ""M3_HARJ"": 0.5117, ""M2_HAR"": 1.0}"
NQ,RTH,B0,1day,S-D_q0.90,140,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,1771099207,"{""M5_RGARCH"": 0.0021, ""M1_EWMA"": 0.0114, ""M6_PARK"": 0.0114, ""M6_GK"": 0.0184, ""M4_HARQ"": 0.3496, ""M3_HARJ"": 0.3636, ""M2_HAR"": 1.0}"
NQ,RTH,B0,1h,S-D_q0.80,2181,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,3590493274,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.6053, ""M3_HARJ"": 0.82, ""M2_HAR"": 1.0}"
NQ,RTH,B0,1h,S-D_q0.90,1091,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,3034858868,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.4908, ""M2_HAR"": 0.4938, ""M3_HARJ"": 1.0}"
NQ,RTH,B0,30min,S-D_q0.80,4463,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,3779582251,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.7196, ""M3_HARJ"": 0.907, ""M2_HAR"": 1.0}"
NQ,RTH,B0,30min,S-D_q0.90,2232,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,424531438,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.7392, ""M2_HAR"": 0.7491, ""M3_HARJ"": 1.0}"
NQ,RTH,B1,1day,S-D_q0.80,280,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ,M2_HAR|M3_HARJ,670391009,"{""M5_RGARCH"": 0.0, ""M4_HARQ"": 0.0022, ""M6_GK"": 0.0022, ""M6_PARK"": 0.0059, ""M1_EWMA"": 0.0443, ""M3_HARJ"": 0.3306, ""M2_HAR"": 1.0}"
NQ,RTH,B1,1day,S-D_q0.90,140,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR|M3_HARJ,2345609419,"{""M4_HARQ"": 0.0018, ""M5_RGARCH"": 0.0018, ""M1_EWMA"": 0.0047, ""M6_PARK"": 0.0047, ""M6_GK"": 0.0072, ""M3_HARJ"": 0.2344, ""M2_HAR"": 1.0}"
NQ,RTH,B1,1h,S-D_q0.80,2181,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,1268979933,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.8554, ""M4_HARQ"": 0.8831, ""M2_HAR"": 1.0}"
NQ,RTH,B1,1h,S-D_q0.90,1091,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,4090868778,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.8441, ""M4_HARQ"": 0.8441, ""M3_HARJ"": 1.0}"
NQ,RTH,B1,30min,S-D_q0.80,4463,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,3158499643,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.7578, ""M2_HAR"": 0.8432, ""M3_HARJ"": 1.0}"
NQ,RTH,B1,30min,S-D_q0.90,2232,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M4_HARQ,M4_HARQ,1016400134,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M1_EWMA"": 0.0, ""M6_GK"": 0.0, ""M2_HAR"": 0.0037, ""M3_HARJ"": 0.0037, ""M4_HARQ"": 1.0}"
