root,geom,btag,horizon,arm,range,rule,seed_index,seed,lam_used,lam_in_unit,te,turnover,0.5t,1.0t,2.0t,4.0t
ES,GLOBEX,B0,1day,A4p,extended,R1,0,3280325159,,True,1.6131297889503244,164.86141313621178,126.441799248673,252.883598497346,505.767196994692,1011.534393989384
ES,GLOBEX,B0,1day,A4p,extended,R2,0,3280325159,0.9930149647327526,True,1.6024499684005924,149.6985668070088,114.81253115540778,229.62506231081557,459.25012462163113,918.5002492432623
ES,GLOBEX,B0,1day,A4p,extended,R3,0,3280325159,0.8272250642225776,True,1.3517269133325043,15.160003014584856,11.627087390035104,23.25417478007021,46.50834956014042,93.01669912028083
ES,GLOBEX,B0,1day,A2,restricted_S05,R0,1,10724713,,True,3.481045681351083e-17,0.0039446528636646475,0.0030253835388460216,0.006050767077692043,0.012101534155384086,0.024203068310768173
ES,GLOBEX,B0,1day,A2,restricted_S05,R1,1,10724713,,True,0.5803282498085385,9.946802653041096e-05,7.628781048861083e-05,0.00015257562097722167,0.00030515124195444333,0.0006103024839088867
ES,GLOBEX,B0,1day,A2,restricted_S05,R2,1,10724713,1.0000065365203092,False,0.5803290405146392,9.946850771547438e-05,7.628817953740178e-05,0.00015257635907480355,0.0003051527181496071,0.0006103054362992142
ES,GLOBEX,B0,1day,A2,restricted_S05,R3,1,10724713,-890.2105121888576,False,27.63327798940979,8676870.34799078,6654796.157430435,13309592.31486087,26619184.62972174,53238369.25944348
ES,GLOBEX,B0,1day,A2,extended,R0,1,10724713,,True,3.481045681351083e-17,0.0039446528636646475,0.0030253835388460216,0.006050767077692043,0.012101534155384086,0.024203068310768173
ES,GLOBEX,B0,1day,A2,extended,R1,1,10724713,,True,0.5803282498085385,9.946802653041096e-05,7.628781048861083e-05,0.00015257562097722167,0.00030515124195444333,0.0006103024839088867
ES,GLOBEX,B0,1day,A2,extended,R2,1,10724713,0.9930149647327526,True,0.5794855127213311,9.895273095346357e-05,7.589260036239241e-05,0.00015178520072478481,0.00030357040144956963,0.0006071408028991393
ES,GLOBEX,B0,1day,A2,extended,R3,1,10724713,0.8272250642225776,True,0.5608350021192732,8.606507238703857e-05,6.600830599512896e-05,0.0001320166119902579,0.0002640332239805158,0.0005280664479610317
ES,GLOBEX,B0,1day,A4p,restricted_S05,R0,1,10724713,,True,2.8422618968763854e-17,0.004711333109054275,0.0036133951774177746,0.007226790354835549,0.014453580709671099,0.028907161419342197
ES,GLOBEX,B0,1day,A4p,restricted_S05,R1,1,10724713,,True,1.231574146630092,86.76913361135594,66.54829146711057,133.09658293422115,266.1931658684423,532.3863317368846
ES,GLOBEX,B0,1day,A4p,restricted_S05,R2,1,10724713,1.0000065365203092,False,1.23158124425411,86.77697009206425,66.55430171961106,133.10860343922212,266.21720687844424,532.4344137568885
ES,GLOBEX,B0,1day,A4p,restricted_S05,R3,1,10724713,-890.2105121888576,False,81.74504723069572,416312317.35020864,319294111.6648885,638588223.329777,1277176446.659554,2554352893.319108
ES,GLOBEX,B0,1day,A4p,extended,R0,1,10724713,,True,2.8422618968763854e-17,0.004711333109054275,0.0036133951774177746,0.007226790354835549,0.014453580709671099,0.028907161419342197
ES,GLOBEX,B0,1day,A4p,extended,R1,1,10724713,,True,1.231574146630092,86.76913361135594,66.54829146711057,133.09658293422115,266.1931658684423,532.3863317368846
ES,GLOBEX,B0,1day,A4p,extended,R2,1,10724713,0.9930149647327526,True,1.2239941270367714,78.78669322555973,60.42609400698429,120.85218801396859,241.70437602793717,483.40875205587434
ES,GLOBEX,B0,1day,A4p,extended,R3,1,10724713,0.8272250642225776,True,1.0472741741748155,7.973953191148074,6.115688137286749,12.231376274573497,24.462752549146995,48.92550509829399
ES,GLOBEX,B0,1day,A2,restricted_S05,R0,2,3527105160,,True,3.481045681351083e-17,0.0040422827974981364,0.0031002616092179894,0.006200523218435979,0.012401046436871958,0.024802092873743915
ES,GLOBEX,B0,1day,A2,restricted_S05,R1,2,3527105160,,True,0.5669535887245363,2.8846341323654654e-05,2.212393567008128e-05,4.424787134016256e-05,8.849574268032512e-05,0.00017699148536065023
ES,GLOBEX,B0,1day,A2,restricted_S05,R2,2,3527105160,1.0000065365203092,False,0.5669543784211685,2.88464777313685e-05,2.212404028908485e-05,4.42480805781697e-05,8.84961611563394e-05,0.0001769923223126788
ES,GLOBEX,B0,1day,A2,restricted_S05,R3,2,3527105160,-890.2105121888576,False,27.650449873129016,0.0,0.0,0.0,0.0,0.0
ES,GLOBEX,B0,1day,A2,extended,R0,2,3527105160,,True,3.481045681351083e-17,0.0040422827974981364,0.0031002616092179894,0.006200523218435979,0.012401046436871958,0.024802092873743915
