root,geom,btag,horizon,range,candidate,n_oos,ic_oos,r2_oos,r2_oos_corr_theory,r2_oos_corr_measured,keep_oos_raw,keep_oos_measured,r2_is,r2_is_corr_measured,keep_is_raw,keep_is_measured,partition_is,degradation_r2
NQ,GLOBEX,B1,1day,extended,JumpVar,640,0.012521704160406944,0.00015679307508075258,0.00015784372514204102,0.00016681055868454227,False,False,0.0048747505740178,0.0051861975809895,False,False,clears_neither,0.004717957498937047
NQ,GLOBEX,B1,1day,extended,Parkinson,640,0.5366442196761564,0.2879870185118308,0.2899167821732291,0.3063864614372325,True,True,0.5747892676558244,0.6115124587879008,True,True,clears_both,0.2868022491439936
NQ,GLOBEX,B1,1day,extended,GarmanKlass,640,0.5660211464825492,0.32037993826541944,0.3225267626809798,0.34084895946998517,True,True,0.5920207278559138,0.6298448341268434,True,True,clears_both,0.2716407895904943
NQ,GLOBEX,B1,1day,extended,VolumeSurprise,640,0.1422575835554161,0.020237220079026192,0.020372827066167592,0.021530172718825614,True,True,0.0277610456388618,0.0295346942478206,True,True,clears_both,0.007523825559835606
NQ,GLOBEX,B1,1day,extended,CrossLeadLag,640,0.6202398748045795,0.3846975022976005,0.38727531036825874,0.40927576201793764,True,True,0.4079212636487506,0.4339832856362264,True,True,clears_both,0.023223761351150063
NQ,GLOBEX,B1,1day,extended,RealizedQuarticity,640,0.5552765166986361,0.3083320099969707,0.3103981028077256,0.32803129105946277,True,True,0.5798500511849212,0.6168965749386645,True,True,clears_both,0.2715180411879505
NQ,GLOBEX,B1,1day,extended,SignatureSlope,640,0.05350249434027551,0.0028625169006312127,0.0028816982551364318,0.003045402631412853,False,False,0.0005960899334709,0.0006341740206148,False,False,clears_neither,-0.0022664269671603125
ES,RTH,B0,1day,restricted_S05,RS_up,620,0.6423134980744208,0.41256662980859904,0.43658229611514715,1.1901870690785803,True,True,0.6418698537783953,1.8516892661745823,True,True,clears_both,0.2293032239697963
ES,RTH,B0,1day,restricted_S05,RS_down,620,0.665309590370259,0.4426368510386419,0.4684029167877233,1.276934726030217,True,True,0.629791657740911,1.8168456513425264,True,True,clears_both,0.18715480670226903
ES,RTH,B0,1day,restricted_S05,JumpVar,620,-0.071967552296112,0.005179328583493616,0.0054808193439335835,0.014941513591254344,False,False,0.0021795889631965,0.0062877567221237,False,False,clears_neither,-0.0029997396202971157
ES,RTH,B0,1day,restricted_S05,Parkinson,620,0.6275348486959119,0.39379998632780105,0.416723238912624,1.1360483802291796,True,True,0.608208921246901,1.7545829959687311,True,True,clears_both,0.2144089349190999
ES,RTH,B0,1day,restricted_S05,GarmanKlass,620,0.6352749579691156,0.40357427222266157,0.42706648984604006,1.1642455921242307,True,True,0.6068728252296992,1.7507285780691093,True,True,clears_both,0.20329855300703764
ES,RTH,B0,1day,restricted_S05,VolumeSurprise,620,0.36941228015450656,0.13646543272895165,0.1444091394129305,0.3936803940870398,True,True,0.0804463400059553,0.2320744983039616,True,True,clears_both,-0.05601909272299635
ES,RTH,B0,1day,restricted_S05,CrossLeadLag,620,0.6354860315909259,0.4038424963471832,0.42735032740268264,1.165019374736675,True,True,0.610407186874479,1.7609246318047589,True,True,clears_both,0.2065646905272958
ES,RTH,B0,1day,restricted_S05,RealizedQuarticity,620,0.6310922694125414,0.3982774525122717,0.4214613401703554,1.148965135899569,True,True,0.6283224179496165,1.8126071354892557,True,True,clears_both,0.23004496543734482
ES,RTH,B0,1day,restricted_S05,SignatureSlope,620,-0.05464193045584199,0.002985740563941072,0.003159541700244314,0.008613371887286812,False,False,0.0063778062419922,0.018398925094425,False,False,clears_neither,0.0033920656780511284
ES,RTH,B0,1day,extended,RS_up,620,0.6423134980744208,0.41256662980859904,0.42247969538139707,0.49127941357410165,True,True,0.6418698537783953,0.7643309530425136,True,True,clears_both,0.2293032239697963
ES,RTH,B0,1day,extended,RS_down,620,0.665309590370259,0.4426368510386419,0.453272437662113,0.5270866737463373,True,True,0.629791657740911,0.7499483815071445,True,True,clears_both,0.18715480670226903
ES,RTH,B0,1day,extended,JumpVar,620,-0.071967552296112,0.005179328583493616,0.0053037764184895265,0.006167482596415488,False,False,0.0021795889631965,0.0025954284964069,False,False,clears_neither,-0.0029997396202971157
