root,geom,btag,horizon,range,candidate,n,ic_raw,r2_raw,lam_theory,lam_intercept,r2_corr_theory,r2_corr_measured,ic_corr_theory,ic_corr_measured,keep_raw,keep_theory,keep_measured,band_lo,band_hi,in_flip_band,lam_in_unit
NQ,GLOBEX,B0,1day,restricted_S05,RealizedQuarticity,1947,0.7613879348559247,0.5797115873441698,0.9926414064188588,0.8496344690820835,0.5840090727582973,0.6823070490189396,0.7642048630820778,0.8260187945918298,True,True,True,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B0,1day,restricted_S05,SignatureSlope,1947,0.022944706645747243,0.0005264595630593977,0.9926414064188588,0.8496344690820835,0.0005303622835548437,0.0006196306555549317,0.023029595818312657,0.024892381476165185,False,False,False,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B0,1day,extended,RS_up,1947,0.7897088593392217,0.6236400825188547,0.9933437324775314,0.9399469453085768,0.6278190138306037,0.6634843441234003,0.7923503100463858,0.8145454831520462,True,True,True,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B0,1day,extended,RS_down,1947,0.8115761193941363,0.6586557975708454,0.9933437324775314,0.9399469453085768,0.663069364647895,0.7007372074118653,0.8142907126130662,0.8371004762941336,True,True,True,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B0,1day,extended,JumpVar,1947,-0.07808682911196578,0.006097552880761347,0.9933437324775314,0.9399469453085768,0.006138411791810715,0.006487124524628962,-0.0783480171530251,-0.08054268759253669,False,False,False,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B0,1day,extended,Parkinson,1947,0.7582545565227496,0.5749499724875118,0.9933437324775314,0.9399469453085768,0.5788026376866647,0.6116834310246739,0.7607907975827946,0.7821019313520929,True,True,True,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B0,1day,extended,GarmanKlass,1947,0.7694043215798518,0.591983010065752,0.9933437324775314,0.9399469453085768,0.5959498114406658,0.629804706553314,0.7719778568331257,0.793602360476148,True,True,True,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B0,1day,extended,VolumeSurprise,1947,0.16764069613045712,0.02810340299910426,0.9933437324775314,0.9399469453085768,0.028291720257811095,0.02989892476311857,0.16820142763309442,0.17291305550223374,True,True,True,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B0,1day,extended,CrossLeadLag,1947,0.6384470069176975,0.4076145806421665,0.9933437324775314,0.9399469453085768,0.41034595308264693,0.43365700870313484,0.6405825107530231,0.6585263918045615,True,True,True,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B0,1day,extended,RealizedQuarticity,1947,0.7613879348559247,0.5797115873441698,0.9933437324775314,0.9399469453085768,0.5835961595069332,0.6167492646660555,0.7639346565688281,0.7853338555455607,True,True,True,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B0,1day,extended,SignatureSlope,1947,0.022944706645747243,0.0005264595630593977,0.9933437324775314,0.9399469453085768,0.0005299873003137973,0.0005600949773676485,0.02302145304523147,0.023666325810476972,False,False,False,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B1,1day,restricted_S05,RS_up,1947,0.7919698936083759,0.6272163123820622,0.9926414064188588,0.8496344690820835,0.6318659571585508,0.7382190050030404,0.7948999667622026,0.85919672078229,True,True,True,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B1,1day,restricted_S05,RS_down,1947,0.8118960864565408,0.6591752552034467,0.9926414064188588,0.8496344690820835,0.6640618162217772,0.7758339370524803,0.8148998811030576,0.8808143601534208,True,True,True,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B1,1day,restricted_S05,JumpVar,1947,-0.06981941401943921,0.004874750574017864,0.9926414064188588,0.8496344690820835,0.004910887801471477,0.005737467995247863,-0.07007772685719392,-0.07574607577457636,False,False,False,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B1,1day,restricted_S05,Parkinson,1947,0.7581485788787211,0.5747892676558244,0.9926414064188588,0.8496344690820835,0.5790502632058088,0.6765135932830119,0.7609535223690136,0.8225044639897171,True,True,True,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B1,1day,restricted_S05,GarmanKlass,1947,0.7694288322229118,0.5920207278559138,0.9926414064188588,0.8496344690820835,0.5964094626998689,0.6967946209803765,0.7722755095818259,0.8347422482301806,True,True,True,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B1,1day,restricted_S05,VolumeSurprise,1947,0.16661646268860061,0.02776104563886184,0.9926414064188588,0.8496344690820835,0.027966842264836655,0.032674104746308066,0.16723289827314677,0.18075979847938553,True,True,True,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B1,1day,restricted_S05,CrossLeadLag,1947,0.6386871406633694,0.4079212636487506,0.9926414064188588,0.8496344690820835,0.4109452426736897,0.480113835411427,0.6410501093313141,0.6929024717890874,True,True,True,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B1,1day,restricted_S05,RealizedQuarticity,1947,0.7614788580025851,0.5798500511849212,0.9926414064188588,0.8496344690820835,0.5841485630514243,0.6824700177375944,0.7642961226196455,0.8261174358029216,True,True,True,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B1,1day,restricted_S05,SignatureSlope,1947,0.024414953071242498,0.0005960899334709734,0.9926414064188588,0.8496344690820835,0.0006005088339216881,0.0007015839813031232,0.02450528175560706,0.026487430628566507,False,False,False,0.01699268938164167,0.02,False,True
NQ,GLOBEX,B1,1day,extended,RS_up,1947,0.7919698936083759,0.6272163123820622,0.9933437324775314,0.9399469453085768,0.6314192075463156,0.6672890587203858,0.7946189071160563,0.8168776277511741,True,True,True,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B1,1day,extended,RS_down,1947,0.8118960864565408,0.6591752552034467,0.9933437324775314,0.9399469453085768,0.6635923030987229,0.7012898531065973,0.8146117499144749,0.8374305064341742,True,True,True,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B1,1day,extended,JumpVar,1947,-0.06981941401943921,0.004874750574017864,0.9933437324775314,0.9399469453085768,0.004907415645397578,0.005186197580989557,-0.07005294887010524,-0.07201525936209323,False,False,False,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B1,1day,extended,Parkinson,1947,0.7581485788787211,0.5747892676558244,0.9933437324775314,0.9399469453085768,0.5786408559927423,0.6115124587879008,0.7606844654603789,0.7819926206735591,True,True,True,0.018798938906171538,0.02,False,True
