root,geom,horizon,scale,lam_range,lam,v_raw,n_windows,n_windows_binding,share_windows_binding,n_bind_total,states_differ_vs_A1,share_states_differ,mis_A4,mis_A1,reduction_pp,switches_A4,switches_A1,dur_A4,dur_A1
ES,RTH,1h,0.75,extended,0.588054052124918,0.5526801904770524,10966,6096,0.5559000547145723,8037,198,0.018055808863760715,0.06219223053073135,0.0563560094838592,-0.5836221046872148,892,992,12.279955207166854,11.04330312185297
ES,RTH,1h,1.0,extended,0.588054052124918,0.7369069206360699,10966,9643,0.8793543680466898,17159,533,0.048604778405982124,0.07979208462520518,0.0563560094838592,-2.3436075141345976,704,992,15.554609929078014,11.04330312185297
ES,RTH,30min,0.25,extended,0.3958240376050629,0.31112161639049685,22372,0,0.0,0,1,4.469873055605221e-05,0.4884230287859825,0.4883783300554264,-0.0044698730556069766,2353,2353,9.503823279524214,9.503823279524214
ES,RTH,30min,0.5,extended,0.3958240376050629,0.6222432327809937,22372,11856,0.529948149472555,14015,312,0.013946003933488289,0.488020740210978,0.4883783300554264,0.03575898444483916,2253,2353,9.925465838509316,9.503823279524214
ES,RTH,30min,0.75,extended,0.3958240376050629,0.9333648491714905,22372,21380,0.9556588592883962,40365,1555,0.06950652601466119,0.48770784909708564,0.4883783300554264,0.06704809583407689,1557,2353,14.3594351732991,9.503823279524214
ES,RTH,30min,1.0,extended,0.3958240376050629,1.2444864655619874,22372,21756,0.9724655819774718,36958,8340,0.3727874128374754,0.48632218844984804,0.4883783300554264,0.20561416055783766,3680,2353,6.077696278185276,9.503823279524214
NQ,GLOBEX,1day,0.25,extended,0.9399469453085768,0.017335482997198656,1508,0,0.0,0,0,0.0,0.021220159151193633,0.021220159151193633,0.0,74,74,20.106666666666666,20.106666666666666
NQ,GLOBEX,1day,0.5,extended,0.9399469453085768,0.03467096599439731,1508,0,0.0,0,0,0.0,0.021220159151193633,0.021220159151193633,0.0,74,74,20.106666666666666,20.106666666666666
NQ,GLOBEX,1day,0.75,extended,0.9399469453085768,0.05200644899159597,1508,0,0.0,0,0,0.0,0.021220159151193633,0.021220159151193633,0.0,74,74,20.106666666666666,20.106666666666666
NQ,GLOBEX,1day,1.0,extended,0.9399469453085768,0.06934193198879463,1508,0,0.0,0,0,0.0,0.021220159151193633,0.021220159151193633,0.0,74,74,20.106666666666666,20.106666666666666
NQ,RTH,1day,0.25,extended,0.9312843759268288,0.01949371408723894,1461,0,0.0,0,0,0.0,0.03490759753593429,0.03490759753593429,0.0,88,88,16.415730337078653,16.415730337078653
NQ,RTH,1day,0.5,extended,0.9312843759268288,0.03898742817447788,1461,0,0.0,0,0,0.0,0.03490759753593429,0.03490759753593429,0.0,88,88,16.415730337078653,16.415730337078653
NQ,RTH,1day,0.75,extended,0.9312843759268288,0.05848114226171682,1461,0,0.0,0,0,0.0,0.03490759753593429,0.03490759753593429,0.0,88,88,16.415730337078653,16.415730337078653
NQ,RTH,1day,1.0,extended,0.9312843759268288,0.07797485634895576,1461,0,0.0,0,0,0.0,0.03490759753593429,0.03490759753593429,0.0,88,88,16.415730337078653,16.415730337078653
NQ,RTH,1h,0.25,extended,0.8101747602302579,0.08346388280276497,10966,0,0.0,0,0,0.0,0.06492795914645268,0.06492795914645268,0.0,1242,1242,8.822204344328238,8.822204344328238
NQ,RTH,1h,0.5,extended,0.8101747602302579,0.16692776560552994,10966,8,0.0007295276308590188,8,0,0.0,0.06492795914645268,0.06492795914645268,0.0,1242,1242,8.822204344328238,8.822204344328238
NQ,RTH,1h,0.75,extended,0.8101747602302579,0.2503916484082949,10966,154,0.014043406894036112,154,1,9.119095385737735e-05,0.06483676819259529,0.06492795914645268,0.009119095385738685,1242,1242,8.822204344328238,8.822204344328238
NQ,RTH,1h,1.0,extended,0.8101747602302579,0.3338555312110599,10966,848,0.077329928871056,848,20,0.001823819077147547,0.06547510486959694,0.06492795914645268,-0.05471457231442656,1254,1242,8.737848605577689,8.822204344328238
NQ,RTH,30min,0.25,extended,0.6765338975574761,0.16356998481899013,22372,22033,0.9848471303414983,22033,0,0.0,0.4847577328803862,0.4847577328803862,0.0,6384,6384,3.503837118245889,3.503837118245889
NQ,RTH,30min,0.5,extended,0.6765338975574761,0.32713996963798025,22372,22037,0.9850259252637225,22037,0,0.0,0.4847577328803862,0.4847577328803862,0.0,6384,6384,3.503837118245889,3.503837118245889
